Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-03,106.7,106.7,102.1,103.3,5549,0,0
2008-01-04,102.0,102.0,96.25,96.5,5727,0,0
2008-01-07,96.0,97.15,95.0,96.0,4697,0,0
2008-01-08,67.0,67.0,67.0,67.0,300,0,0
2008-01-09,94.15,95.5,92.0,92.0,2910,0,0
2008-01-10,93.4,94.0,92.75,92.75,3020,0,0
2008-01-11,95.0,95.35,93.7,94.0,1373,0,0
2008-01-14,94.0,95.7,94.0,95.7,324,0,0
2008-01-15,95.0,95.0,91.25,91.25,2035,0,0
2008-01-16,91.0,91.2,88.95,91.0,11643,0,0
2008-01-17,91.0,91.75,87.0,87.0,5242,0,0
2008-01-18,86.95,88.0,86.15,87.0,4835,0,0
2008-01-22,74.5,80.7,74.5,80.7,18225,0,0
2008-01-23,81.0,81.0,74.5,74.5,1653,0,0
2008-01-24,79.9,85.45,79.9,82.6,31141,0,0
2008-01-25,85.05,85.65,82.0,82.0,3704,0,0
2008-01-28,81.5,82.55,81.0,82.55,2407,0,0
2008-01-29,84.25,86.0,83.75,83.9,545,0,0
2008-01-30,84.9,84.9,83.45,84.3,841,0,0
2008-01-31,82.8,83.1,81.2,83.1,1312,0,0
2008-02-01,85.85,87.3,85.5,86.75,1164,0,0
2008-02-04,89.0,89.15,88.1,88.7,1890,0,0
2008-02-05,87.1,87.1,82.0,82.0,575,0,0
2008-02-06,80.6,83.55,80.4,83.55,2748,0,0
2008-02-07,81.75,81.8,79.0,79.6,2981,0,0
2008-02-08,82.85,82.85,81.45,81.45,1265,0,0
2008-02-11,80.55,81.25,79.05,79.8,3111,0,0
2008-02-12,81.6,85.2,81.15,85.2,2388,0,0
2008-02-13,85.5,87.9,84.8,86.05,9867,0,0
2008-02-14,87.5,88.05,85.8,87.35,815,0,0
2008-02-15,87.5,88.2,86.1,86.1,2127,0,0
2008-02-19,91.0,93.05,90.3,90.5,1522,0,0
2008-02-20,90.25,90.25,88.55,89.0,1198,0,0
2008-02-21,91.5,91.5,90.3,90.3,992,0,0
2008-02-22,89.0,89.4,87.5,87.5,6910,0,0
2008-02-25,91.0,91.0,89.0,89.05,840,0,0
2008-02-26,92.25,92.25,91.75,92.2,3115,0,0
2008-02-27,91.65,92.2,91.0,91.6,1429,0,0
2008-02-28,94.0,94.0,91.6,92.2,837,0,0
2008-02-29,88.9,88.9,87.8,88.5,430,0,0
2008-03-03,67.1,67.1,67.05,67.05,800,0,0
2008-03-04,88.0,88.0,85.0,85.0,1510,0,0
2008-03-05,86.15,86.65,86.15,86.65,450,0,0
2008-03-06,85.95,86.95,85.6,85.6,2039,0,0
2008-03-07,85.0,85.0,84.0,84.0,3126,0,0
2008-03-10,84.65,85.0,83.3,83.3,1547,0,0
2008-03-11,83.5,84.7,82.0,84.7,912,0,0
2008-03-12,85.1,86.0,85.1,86.0,1950,0,0
2008-03-13,82.7,83.45,82.0,83.45,2525,0,0
2008-03-14,83.5,85.5,81.5,81.5,3292,0,0
2008-03-17,81.0,81.0,78.65,80.1,5349,0,0
2008-03-18,80.0,82.95,80.0,82.5,2030,0,0
2008-03-19,83.8,83.8,82.3,82.65,4208,0,0
2008-03-20,82.1,83.4,81.4,81.95,2020,0,0
2008-03-25,85.75,85.75,85.4,85.65,550,0,0
2008-03-26,85.25,85.25,84.85,84.85,641,0,0
2008-03-27,86.45,86.45,85.35,85.35,701,0,0
2008-03-28,87.0,87.4,87.0,87.4,250,0,0
2008-03-31,84.6,84.6,84.2,84.2,1240,0,0
2008-04-01,85.1,87.85,85.1,87.85,3245,0,0
2008-04-02,85.75,86.2,84.6,86.2,3250,0,0
2008-04-03,85.9,85.9,85.2,85.2,1300,0,0
2008-04-04,84.0,84.15,83.05,83.75,2790,0,0
2008-04-07,86.15,86.15,84.4,84.4,649,0,0
2008-04-08,84.1,84.1,83.6,83.65,479,0,0
2008-04-09,83.8,84.3,83.8,84.0,3683,0,0
2008-04-10,79.95,80.85,79.0,79.7,2190,0,0
2008-04-11,80.7,82.15,78.7,79.0,1728,0,0
2008-04-14,78.7,78.7,76.9,77.5,1957,0,0
2008-04-15,78.45,78.45,77.3,77.4,750,0,0
2008-04-16,79.35,79.5,78.7,78.7,1172,0,0
2008-04-17,80.0,80.55,79.15,79.15,658,0,0
2008-04-18,80.45,81.4,80.2,81.4,2865,0,0
2008-04-21,83.0,83.0,79.3,79.4,761,0,0
2008-04-22,78.6,79.2,78.6,79.15,4361,0,0
2008-04-23,78.45,79.15,78.0,79.0,1431,0,0
2008-04-24,79.0,79.0,78.0,78.25,1380,0,0
2008-04-25,79.75,81.45,79.75,81.15,3141,0,0
2008-04-28,82.4,82.65,81.7,82.2,3282,0,0
2008-04-29,83.45,83.45,80.8,80.8,1563,0,0
2008-04-30,81.4,81.4,79.65,80.5,4364,0,0
2008-05-02,81.3,83.2,81.3,83.2,559,0,0
2008-05-05,82.0,82.95,81.85,81.85,2077,0,0
2008-05-06,83.5,83.5,81.2,82.1,1450,0,0
2008-05-07,82.85,85.7,82.3,85.1,1626,0,0
2008-05-08,85.0,85.0,83.5,84.45,2510,0,0
2008-05-09,82.3,82.3,82.15,82.15,1040,0,0
2008-05-13,83.5,84.3,83.5,84.3,1150,0,0
2008-05-14,84.65,85.15,83.4,84.7,2141,0,0
2008-05-15,83.4,83.9,83.4,83.9,7531,0,0
2008-05-16,84.3,85.3,84.3,85.3,2054,0,0
2008-05-19,84.4,85.35,84.4,85.35,867,0,0
2008-05-20,85.15,85.7,85.15,85.7,175,0,0
2008-05-21,85.0,85.0,82.9,82.9,190,0,0
2008-05-22,81.7,81.7,81.7,81.7,300,0,0
2008-05-23,81.1,81.35,80.0,80.4,1760,0,0
2008-05-27,79.05,79.2,78.5,79.2,4401,0,0
2008-05-28,78.45,80.05,78.45,80.05,1410,0,0
2008-05-29,81.9,81.9,79.1,79.1,1182,0,0
2008-05-30,80.6,80.6,79.1,79.1,1830,0,0
2008-06-02,78.8,78.8,77.9,77.9,1732,0,0
2008-06-03,77.15,77.7,77.05,77.1,577,0,0
2008-06-04,77.0,77.0,75.2,76.2,3420,0,0
2008-06-05,77.0,77.0,75.85,76.0,822,0,0
2008-06-06,76.15,76.7,72.5,72.7,8830,0,0
2008-06-09,73.0,73.0,70.55,72.2,2570,0,0
2008-06-10,71.35,71.4,70.55,71.4,807,0,0
2008-06-11,72.55,72.55,70.0,70.15,1420,0,0
2008-06-12,69.5,70.15,69.2,70.15,1179,0,0
2008-06-13,70.0,71.65,69.25,71.65,1595,0,0
2008-06-16,71.35,71.35,70.8,71.0,922,0,0
2008-06-17,71.0,74.25,71.0,73.5,1413,0,0
2008-06-18,72.7,72.7,72.7,72.7,250,0,0
2008-06-19,71.15,72.7,70.95,72.25,4602,0,0
2008-06-20,72.55,72.55,70.35,70.35,689,0,0
2008-06-23,71.35,71.35,70.05,70.05,1150,0,0
2008-06-24,70.0,70.0,66.45,67.95,9780,0,0
