Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,20.59,20.59,19.89,20.1,745200,0.0,0
2008-01-03,20.15,20.39,19.92,20.1,1057200,0.0,0
2008-01-04,19.87,19.92,18.86,18.87,952100,0.0,0
2008-01-07,18.72,19.13,18.45,18.89,1182800,0.0,0
2008-01-08,18.89,19.18,18.36,18.37,563700,0.0,0
2008-01-09,18.32,18.44,17.12,17.46,1141100,0.0,0
2008-01-10,17.39,18.34,17.35,18.22,1112000,0.0,0
2008-01-11,18.11,18.16,17.46,17.48,662600,0.0,0
2008-01-14,17.91,18.3,17.68,17.93,885300,0.0,0
2008-01-15,18.16,18.16,17.32,17.39,786700,0.0,0
2008-01-16,17.36,17.9,17.08,17.7,983600,0.0,0
2008-01-17,17.81,18.12,17.05,17.15,703700,0.0,0
2008-01-18,17.23,17.5,17.05,17.24,696900,0.0,0
2008-01-22,16.58,17.39,16.58,16.69,857500,0.0,0
2008-01-23,16.32,16.97,16.24,16.94,998900,0.0,0
2008-01-24,17.18,18.01,16.97,18.01,1148000,0.0,0
2008-01-25,18.1,18.37,17.56,17.62,981400,0.0,0
2008-01-28,17.59,18.13,17.56,18.13,495200,0.0,0
2008-01-29,18.08,18.39,17.74,18.32,635000,0.0,0
2008-01-30,18.22,18.65,18.16,18.34,535100,0.0,0
2008-01-31,18.12,18.39,17.91,18.2,469600,0.0,0
2008-02-01,18.32,19.13,18.29,19.1,647300,0.0,0
2008-02-04,19.1,19.1,18.63,18.79,465300,0.0,0
2008-02-05,18.63,18.73,18.18,18.27,407600,0.0,0
2008-02-06,18.46,19.25,18.23,18.7,1146800,0.0,0
2008-02-07,18.52,18.7,17.53,17.66,1079600,0.0,0
2008-02-08,17.64,18.02,17.56,17.94,599500,0.0,0
2008-02-11,17.99,17.99,17.24,17.43,828400,0.0,0
2008-02-12,17.49,17.81,17.4,17.52,591900,0.0,0
2008-02-13,17.7,18.21,17.67,17.97,508900,0.0,0
2008-02-14,18.03,18.03,17.34,17.58,496700,0.0,0
2008-02-15,17.51,17.73,17.37,17.56,506100,0.0,0
2008-02-19,17.77,17.91,17.61,17.68,482800,0.0,0
2008-02-20,17.74,17.74,17.39,17.6,517200,0.0,0
2008-02-21,17.84,17.95,17.48,17.53,544300,0.25,0
2008-02-22,17.61,17.81,17.43,17.77,358100,0.0,0
2008-02-25,17.82,18.32,17.63,18.32,407000,0.0,0
2008-02-26,18.27,18.46,18.15,18.34,328700,0.0,0
2008-02-27,18.31,18.56,18.16,18.31,277500,0.0,0
2008-02-28,18.15,18.22,17.63,17.75,366700,0.0,0
2008-02-29,17.61,17.61,17.09,17.15,397100,0.0,0
2008-03-03,27.95,27.98,26.88,27.62,13464500,0.0,0
2008-03-04,27.62,27.62,26.66,26.79,3771000,0.0,0
2008-03-05,26.6,27.13,26.51,26.75,2746300,0.0,0
2008-03-06,26.62,26.71,26.3,26.34,2118500,0.0,0
2008-03-07,26.24,26.79,26.24,26.67,1669000,0.0,0
2008-03-10,26.7,26.71,26.22,26.23,1742500,0.0,0
2008-03-11,26.71,26.89,26.29,26.49,1329900,0.0,0
2008-03-12,26.49,26.76,26.26,26.36,1126100,0.0,0
2008-03-13,26.09,26.58,26.09,26.52,1200000,0.0,0
2008-03-14,26.69,26.69,25.86,26.03,2017100,0.0,0
2008-03-17,25.85,25.95,25.33,25.64,1505300,0.0,0
