Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,42.5,42.81,41.55,41.99,4134600,0.0,0
2008-01-03,41.99,42.38,41.54,41.75,4154600,0.0,0
2008-01-04,41.29,41.44,40.07,40.08,6804800,0.0,0
2008-01-07,39.65,40.64,39.65,40.28,5105200,0.0,0
2008-01-08,40.9,41.3,39.82,39.96,7044400,0.0,0
2008-01-09,40.6,40.6,38.89,39.62,9261100,0.0,0
2008-01-10,39.3,40.26,39.01,39.98,6128500,0.0,0
2008-01-11,39.46,39.8,39.02,39.27,4670200,0.0,0
2008-01-14,39.62,40.22,39.3,40.19,4124300,0.0,0
2008-01-15,39.63,39.94,38.98,39.03,3870800,0.0,0
2008-01-16,38.96,39.56,38.31,38.82,5164200,0.0,0
2008-01-17,38.85,39.46,37.46,37.53,8680500,0.0,0
2008-01-18,37.7,38.43,37.21,37.86,6575800,0.0,0
2008-01-22,35.79,38.23,35.77,37.86,8175600,0.0,0
2008-01-23,37.4,39.69,36.59,39.4,9450000,0.0,0
2008-01-24,39.7,39.98,38.42,39.02,6936200,0.0,0
2008-01-25,39.18,39.81,38.88,39.34,4005700,0.0,0
2008-01-28,40.07,40.75,39.33,40.73,4620000,0.0,0
2008-01-29,41.68,43.34,40.89,41.11,8226000,0.0,0
2008-01-30,41.51,42.33,40.71,40.94,5888500,0.0,0
2008-01-31,40.36,42.44,40.09,41.87,5587500,0.0,0
2008-02-01,42.04,43.38,41.91,43.22,5973700,0.0,0
2008-02-04,43.34,43.34,42.51,42.53,3262400,0.0,0
2008-02-05,42.25,42.25,41.25,41.37,4534500,0.0,0
2008-02-06,41.6,42.21,40.99,41.23,5634100,0.0,0
2008-02-07,41.23,41.55,40.53,41.09,4724400,0.0,0
2008-02-08,41.23,42.01,40.97,41.72,3798400,0.0,0
2008-02-11,41.98,41.98,40.65,41.21,5956900,0.0,0
2008-02-12,41.25,42.32,41.25,41.94,5638900,0.0,0
2008-02-13,42.37,42.41,41.47,42.15,4531100,0.0,0
2008-02-14,42.47,42.47,41.65,41.77,3460700,0.0,0
2008-02-15,41.72,41.95,41.21,41.85,3213100,0.0,0
2008-02-19,42.41,42.89,41.99,42.45,4611000,0.0,0
2008-02-20,41.35,42.53,41.35,42.21,4142400,0.0,0
2008-02-21,42.05,42.27,41.42,41.59,4165700,0.0,0
2008-02-22,41.55,42.05,41.1,41.99,3734800,0.0,0
2008-02-25,42.46,42.46,41.59,42.26,5628500,0.0,0
2008-02-26,42.2,42.3,41.86,42.26,6715600,0.0,0
2008-02-27,42.18,42.48,41.82,42.44,6132400,0.0,0
2008-02-28,42.46,42.46,41.39,41.93,4053800,0.0,0
2008-02-29,41.77,41.77,40.63,40.84,4733700,0.0,0
2008-03-03,40.83,41.11,40.61,41.11,4428700,0.0,0
2008-03-04,41.02,41.2,40.26,40.83,6241100,0.0,0
2008-03-05,41.23,41.76,40.52,40.86,5141600,0.0,0
2008-03-06,40.96,40.96,40.09,40.13,3759900,0.0,0
2008-03-07,40.0,40.35,39.03,39.2,5786500,0.0,0
