Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-09-16,1.75,2.0,1.7,1.9,19737,0,0
2011-09-19,1.82,1.97,1.78,1.85,17700,0,0
2011-09-20,1.8,1.9,1.48,1.5,55408,0,0
2011-09-21,1.3,1.45,1.04,1.04,75098,0,0
2011-09-22,1.04,1.2,1.04,1.2,13123,0,0
2011-09-23,1.2,1.44,1.2,1.35,17707,0,0
2011-09-26,1.54,1.54,1.24,1.29,17677,0,0
2011-09-27,1.29,1.35,1.14,1.3,9439,0,0
2011-09-28,1.32,1.37,1.06,1.08,47897,0,0
2011-09-29,1.12,1.19,1.05,1.06,74143,0,0
2011-09-30,1.06,1.15,1.06,1.15,6573,0,0
2011-10-03,1.13,1.16,1.12,1.16,17145,0,0
2011-10-04,1.14,1.16,1.11,1.15,17579,0,0
2011-10-05,1.18,1.18,1.12,1.16,3579,0,0
2011-10-06,1.16,1.25,1.12,1.23,9310,0,0
2011-10-07,1.28,1.34,1.25,1.33,11578,0,0
2011-10-10,1.38,1.5,1.37,1.5,5000,0,0
2011-10-11,1.5,1.5,1.27,1.4,22788,0,0
2011-10-12,1.25,1.25,0.95,0.98,93318,0,0
2011-10-13,1.02,1.02,0.95,1.02,12115,0,0
2011-10-14,1.02,1.02,0.95,1.02,9790,0,0
2011-10-17,1.02,1.07,0.95,1.02,16313,0,0
2011-10-18,1.02,1.07,1.02,1.02,1500,0,0
2011-10-19,1.02,1.43,1.02,1.42,57796,0,0
2011-10-20,1.5,2.1,1.43,2.1,27576,0,0
2011-10-21,2.1,2.52,1.9,2.3,46198,0,0
2011-10-24,2.3,2.95,2.3,2.41,31665,0,0
2011-10-25,2.44,2.79,2.35,2.77,24198,0,0
2011-10-26,2.5,2.65,2.25,2.25,2085,0,0
2011-10-27,2.3,2.7,2.3,2.6,9721,0,0
2011-10-28,2.6,2.79,1.95,2.08,50712,0,0
2011-10-31,1.95,2.2,1.95,2.2,1168,0,0
2011-11-02,2.16,2.16,1.9,2.16,4576,0,0
2011-11-03,2.0,2.0,1.7,1.9,6544,0,0
2011-11-04,1.7,1.8,1.55,1.55,3911,0,0
2011-11-07,1.54,1.54,1.5,1.54,425,0,0
2011-11-08,1.5,1.55,1.45,1.55,1965,0,0
2011-11-09,1.43,1.43,1.33,1.35,5541,0,0
2011-11-10,1.4,1.5,1.27,1.27,7477,0,0
2011-11-14,1.23,1.35,1.01,1.01,123198,0,0
2011-11-15,1.0,1.04,1.0,1.04,18595,0,0
2011-11-16,1.04,1.05,0.97,1.01,28453,0,0
2011-11-17,1.0,1.07,0.99,1.02,74641,0,0
2011-11-18,0.99,1.0,0.9,0.92,87434,0,0
2011-11-21,0.91,0.91,0.77,0.82,32926,0,0
2011-11-22,0.8,0.91,0.8,0.91,15141,0,0
2011-11-23,0.92,0.92,0.9,0.92,5951,0,0
2011-11-25,0.86,0.88,0.86,0.88,41,0,0
2011-11-28,0.88,0.96,0.85,0.95,28992,0,0
2011-11-29,0.89,0.89,0.8,0.83,19506,0,0
2011-11-30,0.83,0.84,0.8,0.84,4590,0,0
2011-12-01,0.83,0.87,0.83,0.86,2320,0,0
2011-12-02,0.86,0.97,0.86,0.94,479211,0,0
2011-12-05,0.94,0.97,0.89,0.93,24863,0,0
2011-12-06,0.89,0.89,0.81,0.81,24967,0,0
