Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,27.58,27.85,27.05,27.17,9269900,0.0,0
2008-01-03,27.21,27.33,27.02,27.11,9681100,0.0,0
2008-01-04,26.46,27.04,26.46,26.57,9550700,0.0,0
2008-01-07,26.78,26.88,26.38,26.59,10742900,0.0,0
2008-01-08,26.67,26.88,26.0,26.06,13014300,0.0,0
2008-01-09,26.09,26.11,24.92,25.74,24858700,0.0,0
2008-01-10,25.52,26.41,25.52,26.18,12240900,0.0,0
2008-01-11,25.99,26.36,25.78,25.88,11671000,0.0,0
2008-01-14,26.03,26.24,25.71,25.9,8717400,0.0,0
2008-01-15,25.79,25.84,25.25,25.48,12043800,0.0,0
2008-01-16,25.31,25.83,25.03,25.46,18819600,0.0,0
2008-01-17,25.52,25.64,24.49,24.55,20109200,0.0,0
2008-01-18,24.75,25.02,24.11,24.33,16355300,0.0,0
2008-01-22,23.2,24.31,22.45,24.0,20538100,0.0,0
2008-01-23,23.13,24.36,23.12,24.34,22041300,0.0,0
2008-01-24,24.39,25.02,24.2,24.95,14847200,0.0,0
2008-01-25,25.2,25.48,24.41,24.48,11966600,0.0,0
2008-01-28,24.54,25.15,24.32,25.07,10421800,0.0,0
2008-01-29,24.52,24.92,24.0,24.58,23011500,0.0,0
2008-01-30,24.8,25.59,24.8,25.1,16609200,0.0,0
2008-01-31,24.78,25.75,24.61,25.47,15074200,0.0,0
2008-02-01,26.24,26.29,25.76,26.17,13988600,0.0,0
2008-02-04,26.5,26.5,26.13,26.37,11835300,0.0,0
2008-02-05,26.45,26.45,25.65,25.66,19217700,0.0,0
2008-02-06,27.23,27.46,26.54,26.88,31176300,0.0,0
2008-02-07,26.68,27.24,26.55,27.07,16612800,0.0,0
2008-02-08,26.98,27.57,26.98,27.41,15161400,0.0,0
2008-02-11,27.54,27.54,26.9,27.25,9082000,0.0,0
2008-02-12,27.36,27.69,27.11,27.34,14314100,0.0,0
2008-02-13,27.37,28.13,27.37,27.98,14445500,0.0,0
2008-02-14,27.93,28.04,27.45,27.58,11997100,0.0,0
2008-02-15,27.45,27.91,27.34,27.73,15225700,0.0,0
2008-02-19,27.76,27.98,27.41,27.47,10609500,0.0,0
2008-02-20,27.29,27.88,27.22,27.81,10207100,0.0,0
2008-02-21,27.85,28.07,27.48,27.54,10305200,0.0,0
2008-02-22,27.52,27.86,27.14,27.8,8812400,0.0,0
2008-02-25,28.01,28.24,27.73,28.07,13567800,0.0,0
2008-02-26,27.95,28.34,27.93,28.07,10340600,0.0,0
2008-02-27,27.96,28.36,27.83,28.25,10319600,0.0,0
2008-02-28,28.1,28.33,27.69,27.77,11221100,0.0,0
2008-02-29,27.42,28.04,27.42,27.66,14575900,0.0,0
2008-03-03,27.83,27.92,27.4,27.66,8283100,0.0,0
2008-03-04,27.45,27.52,26.78,27.2,15907700,0.0,0
2008-03-05,27.23,27.44,26.9,27.0,9692200,0.0,0
2008-03-06,26.93,27.09,26.62,26.67,10529000,0.0,0
2008-03-07,26.55,26.67,26.08,26.25,12750400,0.0,0
2008-03-10,26.3,26.3,25.84,26.0,12622400,0.0,0
2008-03-11,26.46,26.64,26.12,26.62,14520900,0.0,0
