Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,24.06,25.34,24.06,24.7,2512200,0.0,0
2008-01-03,24.8,25.58,24.54,25.0,1621400,0.0,0
2008-01-04,24.81,24.92,23.29,23.49,3696300,0.0,0
2008-01-07,23.64,24.12,22.28,24.08,3587100,0.0,0
2008-01-08,24.21,25.05,24.08,24.5,2472500,0.0,0
2008-01-09,24.47,24.81,22.63,23.88,2639900,0.0,0
2008-01-10,23.75,24.18,22.97,24.07,3216600,0.0,0
2008-01-11,23.92,23.92,22.4,22.68,2664300,0.0,0
2008-01-14,22.79,22.96,22.07,22.36,3165700,0.0,0
2008-01-15,23.13,23.7,21.02,22.83,8706300,0.0,0
2008-01-16,22.7,24.6,22.24,24.34,4480900,0.0,0
2008-01-17,24.39,25.06,22.96,23.06,3695700,0.0,0
2008-01-18,23.11,23.75,22.29,22.74,2827800,0.0,0
2008-01-22,21.78,24.72,20.97,24.47,3889500,0.0,0
2008-01-23,23.82,27.36,23.4,27.3,5989700,0.0,0
2008-01-24,27.24,27.98,26.06,26.83,3509500,0.0,0
2008-01-25,27.07,27.35,25.8,26.09,2104700,0.0,0
2008-01-28,26.05,26.73,25.41,26.67,2509500,0.0,0
2008-01-29,26.81,27.42,26.41,27.15,1781100,0.0,0
2008-01-30,27.05,28.65,26.97,27.69,2585400,0.0,0
2008-01-31,27.23,28.74,27.23,28.24,3090200,0.0,0
2008-02-01,28.26,28.69,27.06,28.6,1926200,0.0,0
2008-02-04,28.74,28.74,27.15,27.61,1646800,0.0,0
2008-02-05,27.14,27.44,26.32,26.45,1125100,0.0,0
2008-02-06,26.54,28.25,26.3,27.27,2866800,0.0,0
2008-02-07,27.06,29.41,26.95,28.23,2886200,0.0,0
2008-02-08,28.12,29.05,27.58,28.34,1179700,0.0,0
2008-02-11,28.41,29.01,27.83,29.01,1192000,0.0,0
2008-02-12,29.21,29.33,27.8,28.14,1247400,0.0,0
2008-02-13,26.93,28.04,26.93,27.95,1648000,0.0,0
2008-02-14,27.93,27.95,26.27,26.46,1853400,0.0,0
2008-02-15,26.31,26.49,25.47,26.34,2082600,0.0,0
2008-02-19,26.64,27.14,25.86,26.0,1763300,0.0,0
2008-02-20,25.83,26.77,25.65,26.53,853400,0.0,0
2008-02-21,26.64,26.93,25.34,25.62,1065200,0.0,0
2008-02-22,25.65,25.78,25.14,25.61,1193900,0.0,0
2008-02-25,25.54,25.62,24.75,25.14,2711100,0.0,0
2008-02-26,24.8,26.25,24.56,25.92,2525600,0.0,0
2008-02-27,25.75,26.01,25.32,25.6,980800,0.0,0
2008-02-28,25.34,25.62,25.23,25.42,834100,0.0,0
2008-02-29,25.19,25.19,23.74,23.95,2548000,0.0,0
2008-03-03,24.01,24.22,23.15,24.15,2651400,0.0,0
2008-03-04,23.86,23.87,22.94,23.62,2630900,0.0,0
2008-03-05,24.3,24.62,23.71,24.15,2387300,0.0,0
2008-03-06,24.07,24.11,23.23,23.53,1809000,0.0,0
2008-03-07,23.21,23.53,22.5,23.09,2112800,0.0,0
2008-03-10,22.99,23.45,22.12,22.31,2869000,0.0,0
2008-03-11,22.53,22.87,20.68,22.03,6797900,0.0,0
2008-03-12,22.03,23.28,21.54,21.76,4230300,0.0,0
2008-03-13,21.34,22.93,21.19,22.59,3503300,0.0,0
2008-03-14,22.8,23.92,22.15,23.61,4714000,0.0,0
2008-03-17,23.02,23.85,22.5,23.29,2959800,0.0,0
2008-03-18,23.64,23.91,22.95,23.73,1794000,0.0,0
2008-03-19,23.89,24.1,23.16,23.29,1918000,0.0,0
2008-03-20,23.36,24.39,23.25,24.2,1792900,0.0,0
2008-03-24,24.29,25.27,24.15,25.03,2063300,0.0,0
2008-03-25,24.99,25.25,24.55,25.02,2489700,0.0,0
2008-03-26,24.87,25.0,23.74,24.21,1831800,0.0,0
2008-03-27,24.22,24.65,23.26,23.33,1993400,0.0,0
2008-03-28,23.13,23.29,22.67,22.74,2029800,0.0,0
2008-03-31,23.15,23.52,22.8,23.26,2357600,0.0,0
2008-04-01,23.59,24.48,23.49,24.27,2270300,0.0,0
2008-04-02,23.69,24.35,23.31,23.58,2041100,0.0,0
2008-04-03,23.46,23.75,22.7,22.93,2415300,0.0,0
2008-04-04,22.89,23.21,22.46,22.79,1478000,0.0,0
