Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,23.2,23.72,23.0,23.31,1122000,0.0,0
2008-01-03,23.45,23.73,22.43,22.54,799000,0.0,0
2008-01-04,22.13,22.54,21.21,21.3,1053600,0.0,0
2008-01-07,21.44,21.64,20.79,21.23,1360800,0.0,0
2008-01-08,21.33,21.45,20.33,20.49,1875400,0.0,0
2008-01-09,20.49,21.24,20.04,21.09,1286800,0.0,0
2008-01-10,20.89,21.5,20.37,21.15,1613300,0.0,0
2008-01-11,20.99,21.44,20.42,20.99,749800,0.0,0
2008-01-14,21.17,21.66,20.76,21.53,644500,0.0,0
2008-01-15,21.15,21.31,20.69,20.69,561100,0.0,0
2008-01-16,20.67,21.45,20.49,21.09,652800,0.0,0
2008-01-17,21.08,21.24,20.52,20.59,690300,0.0,0
2008-01-18,20.78,20.78,19.7,19.95,1599100,0.0,0
2008-01-22,19.93,21.3,19.57,20.84,1098300,0.0,0
2008-01-23,20.27,22.68,20.25,22.27,2578900,0.0,0
2008-01-24,22.88,23.2,22.28,22.37,1875700,0.0,0
2008-01-25,22.65,22.85,21.86,22.3,832300,0.0,0
2008-01-28,22.45,23.12,21.88,23.12,536200,0.0,0
2008-01-29,23.36,23.71,22.78,22.79,750000,0.0,0
2008-01-30,22.73,23.35,22.2,22.33,670100,0.0,0
2008-01-31,21.45,22.23,20.75,21.65,7091100,0.0,0
2008-02-01,21.48,22.34,21.43,22.1,6412600,0.0,0
2008-02-04,22.08,22.64,21.91,22.4,1733200,0.0,0
2008-02-05,21.91,22.53,21.74,21.76,1072500,0.0,0
2008-02-06,21.96,22.21,21.32,21.44,706900,0.0,0
2008-02-07,21.36,21.96,21.08,21.85,895600,0.0,0
2008-02-08,21.73,22.08,20.96,21.14,546400,0.0,0
2008-02-11,21.1,21.1,20.44,20.81,916800,0.0,0
2008-02-12,20.74,21.19,20.58,21.07,707800,0.0,0
2008-02-13,21.36,21.41,20.66,21.35,617500,0.0,0
2008-02-14,21.36,21.65,21.12,21.33,1497600,0.0,0
2008-02-15,21.21,21.59,20.91,21.37,486300,0.0,0
2008-02-19,21.61,21.82,21.33,21.41,601500,0.0,0
2008-02-20,21.22,21.93,21.09,21.93,677300,0.0,0
2008-02-21,22.12,22.56,21.63,21.76,700600,0.0,0
2008-02-22,21.84,22.04,21.32,21.79,675700,0.0,0
2008-02-25,21.76,22.67,21.32,22.67,742400,0.0,0
2008-02-26,22.4,23.14,22.4,22.7,854800,0.0,0
2008-02-27,22.57,22.9,21.63,21.88,1480600,0.0,0
2008-02-28,21.82,22.5,21.77,22.39,1495300,0.0,0
2008-02-29,22.07,22.28,21.53,21.73,799200,0.0,0
2008-03-03,21.91,22.33,21.56,22.17,753600,0.0,0
2008-03-04,22.07,22.07,20.5,20.89,1670500,0.0,0
2008-03-05,21.21,21.35,20.63,20.86,977800,0.0,0
2008-03-06,20.79,21.34,19.83,20.15,1234900,0.0,0
2008-03-07,19.98,20.5,19.69,20.28,982300,0.0,0
2008-03-10,20.19,20.32,19.41,19.41,1462600,0.0,0
2008-03-11,19.98,21.02,19.54,21.01,1174900,0.0,0
2008-03-12,20.88,21.28,20.49,20.64,1270500,0.0,0
2008-03-13,20.55,20.75,19.79,20.61,885500,0.31,0
2008-03-14,20.84,20.99,19.42,19.91,1040300,0.0,0
2008-03-17,19.36,19.99,19.11,19.82,703700,0.0,0
2008-03-18,20.28,20.94,19.94,20.94,1224200,0.0,0
2008-03-19,21.13,21.76,20.85,21.02,1193700,0.0,0
2008-03-20,21.24,21.88,20.86,21.79,1549200,0.0,0
2008-03-24,21.75,23.0,21.75,22.76,1131700,0.0,0
2008-03-25,22.73,22.91,22.01,22.87,1175200,0.0,0
2008-03-26,22.65,22.93,21.89,22.16,1384000,0.0,0
2008-03-27,22.3,22.6,21.88,22.05,549400,0.0,0
2008-03-28,22.1,22.3,21.52,21.57,436400,0.0,0
2008-03-31,21.57,22.09,21.43,21.69,822400,0.0,0
2008-04-01,21.94,22.68,21.65,22.66,734900,0.0,0
2008-04-02,22.59,22.76,22.01,22.75,629700,0.0,0
2008-04-03,22.36,23.15,22.34,23.03,1015900,0.0,0
2008-04-04,22.97,23.36,22.55,22.98,885100,0.0,0
2008-04-07,23.04,23.22,22.54,22.7,530300,0.0,0
2008-04-08,22.7,23.03,22.42,22.54,521900,0.0,0
2008-04-09,22.66,22.82,22.09,22.14,779100,0.0,0
2008-04-10,22.18,22.71,22.04,22.59,529600,0.0,0
2008-04-11,22.36,22.9,22.14,22.31,601800,0.0,0
2008-04-14,22.26,22.6,22.15,22.3,566100,0.0,0
2008-04-15,22.5,22.6,22.05,22.46,405900,0.0,0
2008-04-16,22.71,23.78,22.59,23.7,1089100,0.0,0
2008-04-17,23.58,23.78,23.1,23.75,460400,0.0,0
2008-04-18,24.24,24.72,23.83,24.2,1404200,0.0,0
2008-04-21,24.04,24.5,23.98,24.23,466700,0.0,0
2008-04-22,24.07,24.31,23.78,23.95,801500,0.0,0
2008-04-23,24.09,24.78,23.84,24.78,728500,0.0,0
2008-04-24,24.8,25.5,24.79,25.2,1414700,0.0,0
2008-04-25,25.21,25.41,24.99,25.18,964500,0.0,0
