Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-04-17,3.2,3.32,3.0,3.0,320000,0,0
2018-04-18,3.16,3.3,3.1,3.28,177000,0,0
2018-04-19,3.15,3.21,3.08,3.2,87000,0,0
2018-04-20,3.2,3.29,3.11,3.28,31000,0,0
2018-04-23,3.28,3.28,3.28,3.28,0,0,0
2018-04-24,3.13,3.3,3.1,3.29,102000,0,0
2018-04-25,3.12,3.23,3.11,3.23,17000,0,0
2018-04-26,3.1,3.14,3.0,3.14,247000,0,0
2018-04-27,3.13,3.27,2.94,3.03,964000,0,0
2018-04-30,3.03,3.05,2.97,3.03,202000,0,0
2018-05-01,3.03,3.03,3.03,3.03,0,0,0
2018-05-02,3.02,3.2,3.0,3.19,380000,0,0
2018-05-03,3.2,3.29,2.98,3.15,872000,0,0
2018-05-04,3.01,3.19,2.98,3.05,423000,0,0
2018-05-07,3.0,3.09,2.98,3.05,95000,0,0
2018-05-08,3.0,3.04,2.99,3.0,42000,0,0
2018-05-09,3.01,3.01,2.9,2.99,217000,0,0
2018-05-10,2.91,2.97,2.9,2.97,78000,0,0
2018-05-11,2.97,2.97,2.9,2.97,68000,0,0
2018-05-14,2.97,2.97,2.97,2.97,0,0,0
2018-05-15,2.88,2.96,2.83,2.92,172000,0,0
2018-05-16,2.91,2.91,2.8,2.81,256000,0,0
2018-05-17,2.87,2.87,2.83,2.86,47000,0,0
2018-05-18,2.86,2.86,2.86,2.86,0,0,0
2018-05-21,2.86,2.86,2.86,2.86,0,0,0
2018-05-22,2.86,2.86,2.86,2.86,0,0,0
2018-05-23,2.86,2.86,2.86,2.86,0,0,0
2018-05-24,2.86,2.86,2.86,2.86,0,0,0
2018-05-25,2.86,2.86,2.86,2.86,0,0,0
2018-05-29,2.86,2.86,2.86,2.86,0,0,0
2018-05-30,2.86,2.86,2.86,2.86,0,0,0
2018-05-31,2.86,2.86,2.86,2.86,0,0,0
2018-06-01,2.86,2.86,2.86,2.86,0,0,0
2018-06-04,2.86,2.86,2.86,2.86,0,0,0
2018-06-05,2.86,2.86,2.86,2.86,0,0,0
2018-06-06,2.86,2.86,2.86,2.86,0,0,0
2018-06-07,2.86,2.86,2.86,2.86,0,0,0
2018-06-08,2.86,2.86,2.86,2.86,0,0,0
2018-06-11,2.86,2.86,2.86,2.86,0,0,0
2018-06-12,2.86,2.86,2.86,2.86,0,0,0
2018-06-13,2.86,2.86,2.86,2.86,0,0,0
2018-06-14,2.86,2.86,2.86,2.86,0,0,0
2018-06-15,2.86,2.86,2.86,2.86,0,0,0
2018-06-18,2.86,2.86,2.86,2.86,0,0,0
2018-06-19,2.86,2.86,2.86,2.86,0,0,0
2018-06-20,2.86,2.86,2.86,2.86,0,0,0
2018-06-21,2.86,2.86,2.86,2.86,0,0,0
2018-06-22,2.86,2.86,2.86,2.86,0,0,0
2018-06-25,2.86,2.86,2.86,2.86,0,0,0
2018-06-26,2.86,2.86,2.86,2.86,0,0,0
2018-06-27,2.86,2.86,2.86,2.86,0,0,0
2018-06-28,2.86,2.86,2.86,2.86,0,0,0
2018-06-29,2.86,2.86,2.86,2.86,0,0,0
2018-07-02,2.86,2.86,2.86,2.86,0,0,0
2018-07-03,2.86,2.86,2.86,2.86,0,0,0
2018-07-05,2.86,2.86,2.86,2.86,0,0,0
2018-07-06,2.86,2.86,2.86,2.86,0,0,0
2018-07-09,2.86,2.86,2.86,2.86,0,0,0
2018-07-10,2.86,2.86,2.86,2.86,0,0,0
2018-07-11,2.86,2.86,2.86,2.86,0,0,0
2018-07-12,2.86,2.86,2.86,2.86,0,0,0
2018-07-13,2.86,2.86,2.86,2.86,0,0,0
2018-07-16,2.86,2.86,2.86,2.86,0,0,0
2018-07-17,2.86,2.86,2.86,2.86,0,0,0
2018-07-18,2.86,2.86,2.86,2.86,0,0,0
2018-07-19,2.86,2.86,2.86,2.86,0,0,0
2018-07-20,2.86,2.86,2.86,2.86,0,0,0
2018-07-23,2.86,2.86,2.86,2.86,0,0,0
2018-07-24,2.86,2.86,2.86,2.86,0,0,0
2018-07-25,2.86,2.86,2.86,2.86,0,0,0
2018-07-26,2.86,2.86,2.86,2.86,0,0,0
2018-07-27,2.86,2.86,2.86,2.86,0,0,0
2018-07-30,2.86,2.86,2.86,2.86,0,0,0
2018-07-31,2.86,2.86,2.86,2.86,0,0,0
2018-08-01,2.86,2.86,2.86,2.86,0,0,0
2018-08-02,2.86,2.86,2.86,2.86,0,0,0
2018-08-03,2.86,2.86,2.86,2.86,0,0,0
2018-08-06,2.86,2.86,2.86,2.86,0,0,0
2018-08-07,2.86,2.86,2.86,2.86,0,0,0
2018-08-08,2.86,2.86,2.86,2.86,0,0,0
2018-08-09,2.86,2.86,2.86,2.86,0,0,0
2018-08-10,2.86,2.86,2.86,2.86,0,0,0
2018-08-13,2.86,2.86,2.86,2.86,0,0,0
2018-08-14,2.86,2.86,2.86,2.86,0,0,0
2018-08-15,2.86,2.86,2.86,2.86,0,0,0
2018-08-16,2.86,2.86,2.86,2.86,0,0,0
2018-08-17,2.86,2.86,2.86,2.86,0,0,0
2018-08-20,2.86,2.86,2.86,2.86,0,0,0
2018-08-21,2.86,2.86,2.86,2.86,0,0,0
2018-08-22,2.86,2.86,2.86,2.86,0,0,0
2018-08-23,2.86,2.86,2.86,2.86,0,0,0
2018-08-24,2.86,2.86,2.86,2.86,0,0,0
2018-08-27,2.86,2.86,2.86,2.86,0,0,0
2018-08-28,2.86,2.86,2.86,2.86,0,0,0
2018-08-29,2.86,2.86,2.86,2.86,0,0,0
2018-08-30,2.86,2.86,2.86,2.86,0,0,0
2018-08-31,2.86,2.86,2.86,2.86,0,0,0
2018-09-04,2.86,2.86,2.86,2.86,0,0,0
2018-09-05,2.86,2.86,2.86,2.86,0,0,0
