Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-09-04,44.0,44.0,44.0,44.0,600,0,0
2018-09-05,52.7,52.7,52.7,52.7,2917,0,0
2018-09-06,50.0,50.0,50.0,50.0,1022,0,0
2018-09-07,52.0,52.0,52.0,52.0,157,0,0
2018-09-10,52.0,52.0,52.0,52.0,0,0,0
2018-09-11,52.0,52.0,52.0,52.0,0,0,0
2018-09-12,65.0,65.0,65.0,65.0,485,0,0
2018-09-13,74.0,74.0,74.0,74.0,750,0,0
2018-09-14,74.0,74.0,74.0,74.0,100,0,0
2018-09-17,80.0,80.0,80.0,80.0,719,0,0
2018-09-18,80.0,80.0,80.0,80.0,0,0,0
2018-09-19,80.0,80.0,80.0,80.0,0,0,0
2018-09-20,75.0,75.0,75.0,75.0,335,0,0
2018-09-21,72.01,72.01,72.01,72.01,70,0,0
2018-09-25,65.0,65.0,65.0,65.0,70144,0,0
2018-09-26,65.0,65.0,65.0,65.0,504,0,0
2018-09-27,65.0,65.0,65.0,65.0,295,0,0
2018-09-28,75.0,75.0,75.0,75.0,3255,0,0
2018-10-01,85.0,85.0,85.0,85.0,1922,0,0
2018-10-03,82.0,82.0,82.0,82.0,307,0,0
2018-10-04,82.0,82.0,82.0,82.0,100,0,0
2018-10-05,82.0,82.0,82.0,82.0,28,0,0
2018-10-08,79.99,79.99,79.99,79.99,1,0,0
2018-10-10,72.0,72.0,72.0,72.0,0,0,0
2018-10-11,70.0,70.0,70.0,70.0,80,0,0
2018-10-12,70.0,70.0,70.0,70.0,0,0,0
2018-10-15,76.0,76.0,76.0,76.0,283604,0,0
2018-10-16,74.0,74.0,74.0,74.0,4,0,0
