Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,40.13,40.33,39.13,39.37,2407100,0.0,0.0
2008-01-03,39.43,39.87,39.37,39.49,1654000,0.0,0.0
2008-01-04,39.23,39.83,39.15,39.47,2108900,0.0,0.0
2008-01-07,39.77,40.57,39.57,40.49,2323600,0.0,0.0
2008-01-08,40.61,41.07,40.27,40.37,2831600,0.0,0.0
2008-01-09,40.41,40.93,40.31,40.81,2284000,0.0,0.0
2008-01-10,40.59,41.03,40.43,40.75,2212800,0.0,0.0
2008-01-11,40.45,40.73,40.07,40.23,2010800,0.0,0.0
2008-01-14,40.47,40.57,40.07,40.37,1838000,0.0,0.0
2008-01-15,39.97,40.61,39.63,39.69,2844700,0.0,0.0
2008-01-16,39.55,40.17,39.35,39.77,3019100,0.0,0.0
2008-01-17,39.81,39.87,38.49,38.61,3344700,0.0,0.0
2008-01-18,38.81,39.35,37.98,38.2,3640900,0.0,0.0
2008-01-22,36.28,37.78,36.1,36.9,4398200,0.0,0.0
2008-01-23,36.4,37.88,36.04,37.86,5087700,0.0,0.0
2008-01-24,37.86,37.88,36.48,36.68,3382700,0.0,0.0
2008-01-25,37.08,37.08,35.64,35.78,3894900,0.0,0.0
2008-01-28,35.9,36.58,35.7,36.54,2304500,0.0,0.0
2008-01-29,36.78,36.88,36.4,36.58,2318500,0.0,0.0
2008-01-30,36.5,37.42,36.28,36.68,2757700,0.0,0.0
2008-01-31,36.82,37.44,36.18,37.18,3893900,0.0,0.0
2008-02-01,37.14,37.66,36.7,37.66,2128200,0.0,0.0
2008-02-04,37.74,38.71,37.64,38.35,2580800,0.0,0.0
2008-02-05,37.78,38.18,36.84,36.92,3164500,0.0,0.0
2008-02-06,37.32,37.98,37.22,37.56,3268400,0.0,0.0
2008-02-07,37.42,37.62,36.34,36.66,4989700,0.0,0.0
2008-02-08,36.68,36.92,36.34,36.66,2416400,0.0,0.0
2008-02-11,36.58,36.98,36.46,36.88,3276300,0.0,0.0
2008-02-12,37.04,37.52,36.92,37.28,2797600,0.0,0.0
2008-02-13,37.28,37.38,36.56,36.86,2526400,0.22,0.0
2008-02-14,36.94,37.3,36.18,36.34,2244300,0.0,0.0
2008-02-15,36.44,36.5,35.98,36.18,2284500,0.0,0.0
2008-02-19,36.5,36.6,36.18,36.36,1964100,0.0,0.0
2008-02-20,36.12,36.72,35.98,36.58,2585200,0.0,0.0
2008-02-21,36.64,36.7,35.78,35.84,2547200,0.0,0.0
2008-02-22,35.86,36.5,35.66,36.46,2310000,0.0,0.0
2008-02-25,36.42,36.92,36.42,36.82,2718500,0.0,0.0
2008-02-26,36.58,36.86,36.22,36.84,3589900,0.0,0.0
2008-02-27,36.68,37.06,36.46,36.52,2290400,0.0,0.0
2008-02-28,36.56,36.58,35.84,35.88,4213800,0.0,0.0
2008-02-29,35.8,35.8,34.96,35.1,4667300,0.0,0.0
2008-03-03,35.12,35.6,34.98,35.4,2604100,0.0,0.0
2008-03-04,35.16,35.6,34.96,35.42,3500300,0.0,0.0
2008-03-05,35.6,35.6,34.74,35.26,2785400,0.0,0.0
2008-03-06,35.16,35.26,34.52,34.54,2737100,0.0,0.0
2008-03-07,34.62,34.62,34.04,34.3,2963200,0.0,0.0
2008-03-10,34.4,34.6,34.02,34.26,2326300,0.0,0.0
2008-03-11,34.96,35.6,34.66,35.6,3344100,0.0,0.0
2008-03-12,35.6,36.02,35.06,35.08,2818300,0.0,0.0
2008-03-13,35.0,35.74,34.7,35.52,3566200,0.0,0.0
2008-03-14,35.84,35.88,34.58,35.02,4358000,0.0,0.0
2008-03-17,35.0,36.2,34.72,35.9,4354200,0.0,0.0
2008-03-18,36.04,36.38,35.62,36.3,3591100,0.0,0.0
2008-03-19,36.36,36.88,35.5,35.52,3558000,0.0,0.0
2008-03-20,35.56,36.6,35.32,36.5,3795800,0.0,0.0
2008-03-24,36.58,36.66,35.78,36.04,2155200,0.0,0.0
2008-03-25,36.02,36.4,35.62,35.62,3451800,0.0,0.0
2008-03-26,35.5,36.12,35.34,35.9,2165500,0.0,0.0
2008-03-27,35.9,36.3,35.56,35.62,2433000,0.0,0.0
2008-03-28,35.94,36.02,35.38,35.44,1942500,0.0,0.0
2008-03-31,35.5,35.84,35.26,35.72,2268300,0.0,0.0
2008-04-01,35.98,36.46,35.74,36.28,2195900,0.0,0.0
2008-04-02,36.32,36.86,36.08,36.62,2521500,0.0,0.0
2008-04-03,36.42,36.86,36.34,36.4,1795900,0.0,0.0
2008-04-04,36.52,36.8,36.18,36.26,2083100,0.0,0.0
2008-04-07,36.42,36.64,36.02,36.56,1960000,0.0,0.0
2008-04-08,36.46,37.02,36.42,36.84,2357100,0.0,0.0
2008-04-09,36.92,37.0,36.6,36.76,1559100,0.0,0.0
2008-04-10,36.8,37.0,36.54,36.72,1914400,0.0,0.0
2008-04-11,36.7,36.76,36.32,36.38,1822100,0.0,0.0
2008-04-14,36.44,36.56,35.98,36.1,3173500,0.0,0.0
