Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,5.2981,5.3222,5.2901,5.3142,40900,0.0,0
2008-01-03,5.2901,5.3463,5.282,5.3061,13400,0.0,0
2008-01-04,5.2097,5.2177,5.1051,5.1132,15500,0.0,0
2008-01-07,5.0891,5.1695,4.9604,5.1614,51000,0.0,0
2008-01-08,5.2177,5.2499,5.1614,5.2499,31800,0.0,0
2008-01-09,5.1534,5.4106,4.9443,5.4026,85000,0.0,0
2008-01-10,5.3544,5.4991,5.3544,5.4669,70300,0.0,0
2008-01-11,5.4428,5.5152,5.2981,5.3302,81600,0.0,0
2008-01-14,5.3544,5.4589,5.3544,5.4348,30200,0.0,0
2008-01-15,5.4187,5.4428,5.274,5.3865,31400,0.0,0
2008-01-16,5.3785,5.5071,5.3704,5.5071,40900,0.0,0
2008-01-17,5.5393,5.5795,5.3946,5.475,120100,0.0,0
2008-01-18,5.5554,5.5554,5.2981,5.3544,28700,0.0,0
2008-01-22,5.2659,5.3544,5.2177,5.3383,44100,0.0,0
2008-01-23,5.1855,5.4991,5.1855,5.483,102700,0.0,0
2008-01-24,5.3865,5.4991,5.2901,5.4187,36900,0.0,0
2008-01-25,5.4669,5.5071,5.4187,5.475,53900,0.0,0
2008-01-28,5.4106,5.6277,5.3946,5.6277,59400,0.0,0
2008-01-29,5.7403,6.1744,5.684,5.692,125700,0.0,0
2008-01-30,5.7322,5.7322,5.6036,5.6036,73600,0.0,0
2008-01-31,5.6197,5.6518,5.5634,5.5956,24600,0.0,0
2008-02-01,5.6036,5.6518,5.5554,5.6358,74000,0.0,0
2008-02-04,5.6358,5.6518,5.6036,5.6197,76600,0.0,0
2008-02-05,5.6036,5.6036,5.4589,5.4669,45300,0.0,0
2008-02-06,5.4629,5.5032,5.4387,5.479,25000,0.015,0
2008-02-07,5.4065,5.5757,5.4065,5.5435,29900,0.0,0
2008-02-08,5.5515,5.6321,5.5515,5.616,23100,0.0,0
2008-02-11,5.5596,5.6643,5.5596,5.6079,57700,0.0,0
2008-02-12,5.5676,5.5999,5.5193,5.5757,34200,0.0,0
2008-02-13,5.5757,5.6321,5.5676,5.5999,24200,0.0,0
2008-02-14,5.5515,5.5999,5.5274,5.5999,9400,0.0,0
2008-02-15,5.5757,5.5838,5.5354,5.5676,23800,0.0,0
2008-02-19,5.4871,5.5596,5.4307,5.4548,28900,0.0,0
2008-02-20,5.4226,5.5999,5.4226,5.5999,24500,0.0,0
2008-02-21,5.616,5.6643,5.471,5.6643,105900,0.0,0
2008-02-22,5.6402,5.6402,5.5676,5.624,66400,0.0,0
2008-02-25,5.6321,5.6724,5.5596,5.6724,66500,0.0,0
2008-02-26,5.5999,5.6321,5.5838,5.6321,24500,0.0,0
2008-02-27,5.5999,5.6321,5.5596,5.6321,78300,0.0,0
2008-02-28,5.6321,5.6321,5.5515,5.5918,33400,0.0,0
2008-02-29,5.5596,5.5918,5.5596,5.5676,9300,0.0,0
2008-03-03,5.5112,5.5193,5.4307,5.5112,15900,0.0,0
2008-03-04,5.4871,5.5274,5.4307,5.4951,28900,0.0,0
2008-03-05,5.479,5.5999,5.479,5.5918,16000,0.0,0
2008-03-06,5.5354,5.5515,5.4548,5.5435,17200,0.0,0
2008-03-07,5.5193,5.5193,5.4629,5.5032,7500,0.0,0
2008-03-10,5.471,5.471,5.3581,5.3823,29400,0.0,0
2008-03-11,5.4468,5.4951,5.2534,5.4548,32200,0.0,0
2008-03-12,5.4145,5.5193,5.4145,5.471,8600,0.0,0
2008-03-13,5.4387,5.5032,5.3904,5.4951,14600,0.0,0
2008-03-14,5.4629,5.4871,5.2776,5.3501,29100,0.0,0
2008-03-17,5.342,5.342,5.197,5.2615,23000,0.0,0
2008-03-18,5.342,5.3501,5.2373,5.2373,20600,0.0,0
2008-03-19,5.2212,5.2453,5.0278,5.0278,34700,0.0,0
2008-03-20,5.0036,5.0359,4.4638,4.633,171600,0.0,0
2008-03-24,4.5927,4.7136,4.5927,4.7055,30400,0.0,0
2008-03-25,4.6088,4.9472,4.5685,4.915,54200,0.0,0
2008-03-26,4.8908,4.9231,4.8102,4.8908,7000,0.0,0
2008-03-27,4.8908,4.9553,4.8264,4.8505,18100,0.0,0
2008-03-28,4.8344,4.9553,4.8183,4.9553,15800,0.0,0
2008-03-31,4.9392,4.9875,4.9311,4.9633,12700,0.0,0
2008-04-01,4.9472,4.9956,4.8344,4.8828,13900,0.0,0
2008-04-02,4.8344,4.915,4.8183,4.8425,7100,0.0,0
2008-04-03,4.77,4.8425,4.5766,4.6249,36300,0.0,0
2008-04-04,4.641,4.8425,4.641,4.8425,33500,0.0,0
2008-04-07,4.8505,5.0278,4.8425,4.8828,52200,0.0,0
2008-04-08,4.8344,4.9714,4.8344,4.9633,18400,0.0,0
2008-04-09,4.9231,4.9875,4.8344,4.9392,12400,0.0,0
2008-04-10,4.8989,4.9795,4.8747,4.9795,7600,0.0,0
2008-04-11,4.9311,5.0036,4.9231,4.9633,10200,0.0,0
2008-04-14,4.9553,4.9553,4.8666,4.9472,37200,0.0,0
2008-04-15,4.9231,4.9795,4.915,4.9633,8500,0.0,0
2008-04-16,5.0117,5.0923,4.9553,5.06,28600,0.0,0
2008-04-17,5.0117,5.2534,4.9956,5.1406,21600,0.0,0
2008-04-18,5.2212,5.3179,5.1889,5.2776,15700,0.0,0
2008-04-21,5.2856,5.334,5.2856,5.3179,26200,0.0,0
2008-04-22,5.3098,5.3662,5.3098,5.3581,18500,0.0,0
2008-04-23,5.3179,5.3179,5.1567,5.1567,21200,0.0,0
2008-04-24,5.1728,5.2695,4.7538,5.2373,31700,0.0,0
2008-04-25,5.2373,5.2776,5.1648,5.2373,33400,0.0,0
2008-04-28,5.2534,5.2615,5.2131,5.2212,27800,0.0,0
2008-04-29,5.2051,5.2292,5.052,5.0681,28100,0.0,0
2008-04-30,4.9795,5.0761,4.915,4.9311,31700,0.0,0
2008-05-01,4.9311,4.9875,4.8586,4.8908,27800,0.0,0
2008-05-02,4.9069,4.9633,4.8666,4.9472,40000,0.0,0
2008-05-05,4.915,4.9311,4.8505,4.8828,57800,0.0,0
2008-05-06,4.915,4.915,4.7941,4.8183,30800,0.0,0
2008-05-07,4.8143,4.8789,4.8062,4.8385,17200,0.015,0
2008-05-08,4.887,4.887,4.7416,4.8062,25500,0.0,0
2008-05-09,4.7496,4.7739,4.6931,4.7577,15000,0.0,0
2008-05-12,4.7577,4.8385,4.7496,4.7496,19400,0.0,0
2008-05-13,4.7254,4.782,4.7254,4.782,22600,0.0,0
2008-05-14,4.8223,4.9193,4.7577,4.9031,34900,0.0,0
2008-05-15,4.9112,5.1212,4.8547,5.097,23700,0.0,0
2008-05-16,5.0808,5.1293,5.0647,5.1293,5700,0.0,0
2008-05-19,5.1131,5.1454,5.1131,5.1293,23600,0.0,0
2008-05-20,5.1293,5.1293,5.1051,5.1051,3500,0.0,0
2008-05-21,5.0889,5.1131,4.9677,4.992,11500,0.0,0
2008-05-22,4.9758,5.0001,4.8304,4.8627,12900,0.0,0
2008-05-23,4.887,4.9193,4.8627,4.8627,7600,0.0,0
2008-05-27,4.9274,4.9758,4.8466,4.8466,10000,0.0,0
2008-05-28,4.895,4.9193,4.8627,4.8789,8900,0.0,0
2008-05-29,4.8708,5.1778,4.7658,5.1293,54900,0.0,0
2008-05-30,5.1616,5.2505,5.0162,5.0243,53700,0.0,0
2008-06-02,5.0808,5.0808,4.887,4.887,30800,0.0,0
2008-06-03,4.9516,4.9516,4.8466,4.9354,34900,0.0,0
2008-06-04,4.9677,5.1131,4.8627,4.9274,32000,0.0,0
2008-06-05,5.0081,5.0081,4.887,5.0081,17400,0.0,0
2008-06-06,4.9435,4.9758,4.887,4.887,19000,0.0,0
2008-06-09,4.9193,4.9597,4.895,4.9193,13700,0.0,0
2008-06-10,4.9516,5.0001,4.9274,4.992,5000,0.0,0
2008-06-11,4.9435,5.0081,4.9112,4.9839,10900,0.0,0
2008-06-12,5.0081,5.0889,4.9839,5.0808,17100,0.0,0
2008-06-13,5.097,5.1454,4.9274,5.0081,23800,0.0,0
2008-06-16,5.0485,5.0485,4.9677,5.0081,8300,0.0,0
2008-06-17,5.0808,5.1131,5.0081,5.0889,19900,0.0,0
2008-06-18,5.1535,5.1535,5.0081,5.0081,12300,0.0,0
2008-06-19,4.9274,4.9274,4.7739,4.8062,32800,0.0,0
2008-06-20,4.8385,4.8466,4.4912,4.6446,34500,0.0,0
2008-06-23,4.7658,4.79,4.5719,4.6446,36000,0.0,0
2008-06-24,4.685,4.685,4.4831,4.5881,14300,0.0,0
2008-06-25,4.6446,4.6446,4.5558,4.5558,19200,0.0,0
2008-06-26,4.58,4.6123,4.2892,4.3215,23000,0.0,0
2008-06-27,4.2569,4.5073,3.853,3.9742,1238400,0.0,0
2008-06-30,3.9742,4.1842,3.8046,4.1115,168100,0.0,0
2008-07-01,4.1519,4.1519,3.8046,3.8853,77300,0.0,0
2008-07-02,3.7965,3.8288,3.6753,3.7157,74600,0.0,0
2008-07-03,3.748,3.748,3.6996,3.7076,21400,0.0,0
2008-07-07,3.7319,3.7319,3.4976,3.4976,52800,0.0,0
2008-07-08,3.5461,3.5461,3.4249,3.4653,49900,0.0,0
2008-07-09,3.4734,3.5057,3.3037,3.3037,43800,0.0,0
2008-07-10,3.3037,3.3845,3.2391,3.3845,30400,0.0,0
2008-07-11,3.2311,3.4168,3.2311,3.3441,73100,0.0,0
2008-07-14,3.4734,3.4734,3.3361,3.3926,22200,0.0,0
2008-07-15,3.2957,3.5218,3.1987,3.3845,46300,0.0,0
2008-07-16,3.4168,3.5542,3.2714,3.4815,75900,0.0,0
2008-07-17,3.5057,3.5057,3.4249,3.4895,39900,0.0,0
2008-07-18,3.5057,3.5461,3.4572,3.4734,26000,0.0,0
2008-07-21,3.4653,3.4653,3.4249,3.4653,30200,0.0,0
2008-07-22,3.4734,3.5299,3.433,3.4572,52900,0.0,0
2008-07-23,3.5138,3.5622,3.3764,3.4088,39200,0.0,0
2008-07-24,3.7157,3.8288,3.3764,3.5218,39100,0.0,0
2008-07-25,3.5784,3.6996,3.5299,3.5865,165100,0.0,0
