Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,26.55,26.69,25.54,25.82,292700,0,0
2008-01-03,25.92,26.58,25.76,26.21,375100,0,0
2008-01-04,25.9,26.22,25.4,25.79,618800,0,0
2008-01-07,25.95,26.44,25.3,25.74,610000,0,0
2008-01-08,25.78,26.04,24.15,24.2,608300,0,0
2008-01-09,23.89,24.55,23.32,24.48,634700,0,0
2008-01-10,24.17,25.4,23.81,24.99,455300,0,0
2008-01-11,24.88,25.27,24.16,24.43,438600,0,0
2008-01-14,24.51,25.18,24.22,25.09,243200,0,0
2008-01-15,24.6,24.71,23.64,24.24,339900,0,0
2008-01-16,24.02,24.69,23.59,24.09,369700,0,0
2008-01-17,24.2,24.38,23.04,23.2,474600,0,0
2008-01-18,23.06,23.8,22.58,23.32,670700,0,0
2008-01-22,23.52,24.43,22.53,24.05,610900,0,0
2008-01-23,23.6,23.89,22.14,23.77,657300,0,0
2008-01-24,23.75,24.25,23.36,23.77,469500,0,0
2008-01-25,23.85,23.94,23.03,23.27,497300,0,0
2008-01-28,23.13,23.42,22.68,23.4,416900,0,0
2008-01-29,23.43,23.53,22.82,23.4,534300,0,0
2008-01-30,23.3,24.22,22.99,23.25,317000,0,0
2008-01-31,22.8,24.03,22.53,23.57,369200,0,0
2008-02-01,23.56,24.35,23.27,23.94,467200,0,0
2008-02-04,23.94,24.1,23.7,23.78,397600,0,0
2008-02-05,23.3,23.78,22.99,23.0,425900,0,0
2008-02-06,23.2,23.75,22.88,23.0,487100,0,0
2008-02-07,22.91,23.47,22.37,22.88,444000,0,0
2008-02-08,22.86,23.5,22.81,23.06,491200,0,0
2008-02-11,22.98,23.61,22.61,23.31,395400,0,0
2008-02-12,16.8,17.85,15.0,15.3,5774600,0,0
2008-02-13,15.36,15.77,15.05,15.25,1954000,0,0
2008-02-14,15.27,15.45,14.8,14.99,1838900,0,0
2008-02-15,14.99,15.06,14.4,14.56,779300,0,0
2008-02-19,14.68,15.54,14.68,15.09,733700,0,0
2008-02-20,15.15,15.2,14.61,15.18,500200,0,0
2008-02-21,15.24,15.33,14.64,14.7,558100,0,0
2008-02-22,14.75,14.83,14.15,14.57,473200,0,0
2008-02-25,14.59,14.67,14.13,14.25,615100,0,0
2008-02-26,14.29,14.94,14.11,14.25,958500,0,0
2008-02-27,13.7,13.7,11.88,11.98,2761800,0,0
2008-02-28,11.92,12.28,11.55,11.56,1765500,0,0
2008-02-29,11.29,11.67,11.29,11.44,1030000,0,0
2008-03-03,11.5,11.5,11.12,11.16,1050700,0,0
2008-03-04,11.91,11.91,11.35,11.71,1130100,0,0
2008-03-05,11.78,12.39,11.6,12.34,1226300,0,0
2008-03-06,12.3,12.4,11.79,11.79,979700,0,0
2008-03-07,11.66,12.4,11.66,12.18,920800,0,0
2008-03-10,12.18,12.39,11.83,11.87,682500,0,0
2008-03-11,12.15,12.35,11.58,12.02,815900,0,0
2008-03-12,12.1,12.26,11.67,11.69,1018600,0,0
2008-03-13,11.63,11.83,11.26,11.69,879400,0,0
2008-03-14,11.8,11.99,11.58,11.64,969300,0,0
2008-03-17,11.71,11.86,11.36,11.76,810600,0,0
2008-03-18,11.9,12.43,11.67,12.43,742700,0,0
2008-03-19,12.5,12.77,12.07,12.13,724300,0,0
2008-03-20,12.23,12.24,11.62,11.97,1236700,0,0
2008-03-24,11.97,12.65,11.97,12.39,397800,0,0
2008-03-25,12.42,12.58,12.06,12.5,350000,0,0
2008-03-26,12.46,12.46,11.94,12.13,227000,0,0
2008-03-27,12.11,12.45,12.0,12.08,222600,0,0
2008-03-28,12.07,12.1,11.85,11.87,324900,0,0
2008-03-31,11.91,12.12,11.7,12.01,396800,0,0
2008-04-01,12.33,12.76,12.13,12.76,509200,0,0
2008-04-02,12.75,13.12,12.69,12.77,453100,0,0
2008-04-03,12.82,13.16,12.6,13.14,546500,0,0
2008-04-04,13.22,13.77,13.01,13.51,648700,0,0
2008-04-07,13.57,13.99,13.44,13.81,557500,0,0
2008-04-08,13.82,14.1,13.61,13.93,251000,0,0
2008-04-09,14.0,14.24,13.82,13.91,363600,0,0
2008-04-10,13.94,14.1,13.8,13.99,240200,0,0
2008-04-11,13.82,14.18,13.65,13.71,296700,0,0
2008-04-14,13.68,13.78,13.26,13.57,248400,0,0
2008-04-15,13.49,13.76,13.38,13.7,190700,0,0
2008-04-16,13.86,14.26,13.76,14.25,360900,0,0
2008-04-17,14.18,14.19,13.74,14.02,358800,0,0
2008-04-18,14.24,14.58,14.2,14.35,311200,0,0
2008-04-21,14.27,14.33,14.0,14.3,280400,0,0
2008-04-22,14.35,14.35,13.25,13.59,767700,0,0
2008-04-23,13.65,13.68,13.03,13.38,279000,0,0
2008-04-24,13.33,13.74,13.08,13.66,253400,0,0
2008-04-25,13.66,13.72,13.25,13.61,170200,0,0
2008-04-28,13.47,14.53,13.47,14.45,470200,0,0
2008-04-29,14.58,14.74,14.03,14.13,288700,0,0
2008-04-30,14.24,14.72,14.12,14.38,366700,0,0
2008-05-01,14.33,14.85,14.33,14.5,257000,0,0
2008-05-02,14.49,14.57,14.01,14.19,292800,0,0
2008-05-05,14.25,14.55,14.04,14.25,260200,0,0
2008-05-06,14.23,14.4,13.79,14.26,183600,0,0
2008-05-07,14.32,14.72,14.26,14.3,312100,0,0
2008-05-08,14.41,14.41,13.87,14.0,306900,0,0
2008-05-09,13.93,14.64,13.89,14.5,266600,0,0
2008-05-12,14.61,15.27,14.46,15.18,358500,0,0
2008-05-13,15.35,15.84,14.99,15.72,384500,0,0
2008-05-14,15.83,16.03,15.47,15.6,287800,0,0
2008-05-15,15.58,15.65,15.16,15.49,313000,0,0
2008-05-16,15.56,15.95,15.25,15.92,360800,0,0
2008-05-19,15.97,16.29,15.5,15.86,388900,0,0
2008-05-20,15.9,16.04,15.55,15.89,274900,0,0
2008-05-21,17.29,17.6,16.11,16.15,1401900,0,0
2008-05-22,16.0,16.83,16.0,16.6,436000,0,0
2008-05-23,16.41,16.58,16.03,16.48,348000,0,0
2008-05-27,16.58,17.21,16.44,17.12,371400,0,0
2008-05-28,17.23,17.3,16.78,16.93,418500,0,0
2008-05-29,16.82,17.44,16.82,17.21,330400,0,0
2008-05-30,17.26,17.36,16.99,17.15,288300,0,0
2008-06-02,17.05,17.2,16.41,16.83,338800,0,0
2008-06-03,16.85,17.2,16.54,16.92,348500,0,0
2008-06-04,16.89,17.41,16.84,16.93,277300,0,0
2008-06-05,17.06,17.8,17.06,17.68,353500,0,0
2008-06-06,17.46,17.65,17.25,17.25,351200,0,0
2008-06-09,17.41,17.41,16.58,16.88,286400,0,0
2008-06-10,16.72,16.93,16.55,16.74,485400,0,0
2008-06-11,16.8,17.03,16.35,16.42,347600,0,0
2008-06-12,16.58,17.14,16.53,16.64,415600,0,0
2008-06-13,16.83,17.02,16.72,16.93,268400,0,0
2008-06-16,16.9,17.03,16.67,16.92,239100,0,0
2008-06-17,16.83,17.0,16.52,16.57,337300,0,0
2008-06-18,16.5,16.88,16.46,16.84,443600,0,0
2008-06-19,16.8,17.22,16.8,17.2,316600,0,0
2008-06-20,17.1,17.25,16.63,16.92,577700,0,0
2008-06-23,17.06,17.3,16.92,16.99,319200,0,0
2008-06-24,16.88,17.25,16.8,16.8,503800,0,0
2008-06-25,16.79,17.19,16.6,16.88,382300,0,0
2008-06-26,16.7,16.73,15.97,16.19,398900,0,0
2008-06-27,16.13,16.23,15.1,15.57,741000,0,0
2008-06-30,15.07,15.56,14.49,14.52,527300,0,0
2008-07-01,14.33,14.62,13.94,14.33,506100,0,0
2008-07-02,14.28,14.5,13.37,13.39,385600,0,0
2008-07-03,13.37,13.48,12.97,13.15,372700,0,0
2008-07-07,13.13,13.66,12.73,12.97,292800,0,0
2008-07-08,12.99,13.52,12.85,13.49,455000,0,0
2008-07-09,13.49,13.61,12.62,12.67,307600,0,0
2008-07-10,12.7,13.65,12.7,13.34,436100,0,0
2008-07-11,13.18,13.92,13.01,13.71,383500,0,0
2008-07-14,13.85,13.97,12.97,13.22,212200,0,0
2008-07-15,13.01,15.33,13.01,14.69,737500,0,0
2008-07-16,14.63,15.1,14.29,15.1,425400,0,0
2008-07-17,15.1,15.15,14.65,15.1,369600,0,0
2008-07-18,14.24,15.54,14.24,15.41,389300,0,0
2008-07-21,15.35,15.89,15.35,15.67,303900,0,0
2008-07-22,15.43,16.88,15.43,16.55,501300,0,0
2008-07-23,16.45,16.8,15.96,16.08,311600,0,0
2008-07-24,16.14,16.29,15.57,15.61,226000,0,0
2008-07-25,15.8,16.25,15.58,16.0,182500,0,0
2008-07-28,15.92,15.92,15.04,15.16,265000,0,0
2008-07-29,15.26,16.11,15.12,16.02,404300,0,0
2008-07-30,16.05,16.18,15.69,16.14,345100,0,0
2008-07-31,16.01,16.27,15.84,15.87,198000,0,0
2008-08-01,15.78,16.25,15.29,15.64,152000,0,0
2008-08-04,15.6,15.83,15.06,15.07,284500,0,0
2008-08-05,15.01,15.48,15.01,15.4,290900,0,0
2008-08-06,15.34,15.83,15.06,15.78,242400,0,0
2008-08-07,15.68,16.23,15.51,16.08,298700,0,0
2008-08-08,16.09,17.05,15.92,17.0,412800,0,0
2008-08-11,16.85,17.99,16.68,17.56,290300,0,0
2008-08-12,17.48,17.67,17.21,17.38,356600,0,0
2008-08-13,17.37,17.52,16.86,17.43,366500,0,0
2008-08-14,17.4,18.06,17.39,17.81,203900,0,0
2008-08-15,18.08,18.29,17.51,18.12,372900,0,0
2008-08-18,18.19,18.29,17.6,17.83,334800,0,0
2008-08-19,17.78,17.88,17.07,17.18,176300,0,0
2008-08-20,17.48,17.63,17.17,17.43,176900,0,0
2008-08-21,17.25,17.5,16.97,17.34,104600,0,0
2008-08-22,17.4,17.79,17.32,17.75,268100,0,0
2008-08-25,17.69,17.88,17.0,17.11,257600,0,0
2008-08-26,17.0,17.13,16.43,16.71,412900,0,0
2008-08-27,16.51,16.99,15.02,15.92,1354800,0,0
2008-08-28,15.89,16.36,15.89,16.32,403200,0,0
2008-08-29,16.3,16.32,15.79,16.03,398100,0,0
2008-09-02,16.22,16.5,15.6,15.91,272600,0,0
2008-09-03,15.92,16.5,15.78,15.92,519700,0,0
2008-09-04,15.92,15.94,15.13,15.17,389000,0,0
2008-09-05,15.03,15.09,14.21,14.74,402200,0,0
2008-09-08,15.04,15.39,14.56,14.66,439500,0,0
2008-09-09,14.69,15.11,14.06,14.1,422700,0,0
2008-09-10,14.31,15.3,14.29,14.95,689200,0,0
2008-09-11,14.77,14.77,14.2,14.52,748800,0,0
2008-09-12,14.54,14.58,14.29,14.5,358300,0,0
2008-09-15,13.89,14.38,13.73,13.73,371800,0,0
2008-09-16,13.47,13.64,13.25,13.44,781700,0,0
2008-09-17,13.26,13.3,12.81,12.9,1163300,0,0
2008-09-18,13.06,13.16,12.15,12.6,1094800,0,0
2008-09-19,12.6,13.78,12.6,13.36,1158200,0,0
