Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-04,11.89,12.23,11.78,11.78,4066573,0,0
2018-03-05,12.66,12.97,12.62,12.89,3049194,0,0
2018-03-13,13.27,13.38,13.12,13.28,6152294,0,0
2018-03-14,13.33,13.39,13.08,13.15,6057488,0,0
2018-03-15,13.2,13.47,13.2,13.4,2828480,0,0
2018-03-16,13.46,13.46,13.19,13.25,5126775,0,0
2018-03-19,13.22,13.22,12.85,12.94,2235067,0,0
2018-03-20,12.98,13.06,12.8,12.88,2469782,0,0
2018-03-21,12.87,13.18,12.85,13.11,1923838,0,0
2018-03-22,13.02,13.35,12.95,13.22,2508854,0,0
2018-03-23,13.26,13.36,13.05,13.09,1382353,0,0
2018-03-26,13.16,13.55,13.09,13.47,1581337,0,0
2018-03-27,13.53,13.76,13.38,13.54,1988027,0,0
2018-03-28,13.66,13.92,13.53,13.72,1433660,0,0
2018-03-29,13.74,13.78,13.46,13.52,2980861,0,0
2018-04-02,13.55,13.59,13.02,13.23,2674327,0,0
2018-04-03,13.29,13.56,13.09,13.49,2901733,0,0
2018-04-04,13.41,13.46,13.26,13.37,1866479,0,0
2018-04-05,13.42,13.66,13.05,13.14,8887741,0,0
2018-04-06,13.12,13.18,12.76,12.81,22175203,0,0
