Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,34.4,34.72,34.38,34.68,502000,0.0,0
2008-01-03,35.19,35.28,34.96,35.09,373200,0.0,0
2008-01-04,35.28,35.28,34.64,34.67,542900,0.0,0
2008-01-07,35.2,35.33,34.98,35.3,644600,0.0,0
2008-01-08,35.28,35.38,34.63,34.63,480800,0.0,0
2008-01-09,34.82,35.1,34.68,34.98,1426700,0.0,0
2008-01-10,34.7,35.16,34.66,35.11,644800,0.0,0
2008-01-11,34.7,34.86,34.47,34.54,480800,0.0,0
2008-01-14,35.17,35.18,34.76,34.96,409700,0.0,0
2008-01-15,34.59,34.7,33.94,34.02,537500,0.0,0
2008-01-16,33.64,33.78,32.53,32.53,1579400,0.0,0
2008-01-17,32.8,32.97,31.75,31.85,829900,0.0,0
2008-01-18,32.22,32.45,31.54,31.92,700600,0.0,0
2008-01-22,29.35,30.45,29.26,30.25,1439000,0.0,0
2008-01-23,28.41,29.61,28.06,29.51,1556600,0.0,0
2008-01-24,30.15,30.44,29.7,30.36,648800,0.0,0
2008-01-25,30.87,31.03,29.7,29.87,950500,0.0,0
2008-01-28,30.07,30.56,29.82,30.52,447200,0.0,0
2008-01-29,30.43,30.55,30.18,30.42,3058500,0.0,0
2008-01-30,29.82,30.57,29.72,29.93,1204200,0.0,0
2008-01-31,29.7,30.53,29.61,30.4,1998000,0.0,0
2008-02-01,30.3,30.56,30.2,30.4,1532300,0.0,0
2008-02-04,30.83,30.92,30.65,30.82,697400,0.0,0
2008-02-05,30.0,30.05,29.23,29.24,903200,0.0,0
2008-02-06,29.79,29.83,29.19,29.27,837500,0.0,0
2008-02-07,28.72,29.16,28.65,29.03,833100,0.0,0
2008-02-08,28.97,29.18,28.83,29.11,781100,0.0,0
2008-02-11,29.23,29.33,28.86,29.24,614300,0.0,0
2008-02-12,30.18,30.41,29.94,29.99,1100000,0.0,0
2008-02-13,30.08,30.42,30.03,30.36,659100,0.0,0
2008-02-14,30.68,31.06,30.58,30.64,860100,0.0,0
2008-02-15,30.58,31.22,30.51,31.17,1247200,0.0,0
2008-02-19,32.1,32.23,31.84,31.99,753700,0.0,0
2008-02-20,31.37,32.01,31.31,31.87,792300,0.0,0
2008-02-21,31.84,31.86,31.34,31.4,579700,0.0,0
2008-02-22,31.95,32.0,31.35,31.92,720200,0.0,0
2008-02-25,32.11,32.43,31.94,32.37,767200,0.0,0
2008-02-26,32.08,32.74,31.9,32.59,1107700,0.0,0
2008-02-27,32.54,33.15,32.54,32.95,935000,0.0,0
2008-02-28,32.92,33.29,32.89,33.22,990200,0.0,0
2008-02-29,32.78,32.79,32.33,32.39,625800,0.0,0
2008-03-03,32.59,32.81,31.97,32.33,1013600,0.0,0
2008-03-04,32.14,32.4,31.91,32.34,1381400,0.0,0
2008-03-05,32.86,33.66,32.7,33.66,1665300,0.0,0
2008-03-06,33.39,33.42,32.85,32.9,566300,0.0,0
2008-03-07,32.66,32.91,32.17,32.3,1058800,0.0,0
2008-03-10,32.44,32.62,32.07,32.19,664600,0.0,0
2008-03-11,33.03,33.25,32.74,33.25,752300,0.0,0
2008-03-12,32.93,33.14,32.61,32.7,600500,0.0,0
2008-03-13,32.17,32.66,32.02,32.56,738400,0.0,0
2008-03-14,32.61,32.7,31.99,32.31,755700,0.0,0
2008-03-17,31.9,32.37,31.51,31.98,688000,0.0,0
2008-03-18,32.44,32.74,32.29,32.62,707200,0.0,0
2008-03-19,32.26,32.32,31.18,31.18,721200,0.0,0
2008-03-20,30.55,30.75,30.27,30.54,1022700,0.0,0
2008-03-24,30.92,31.05,30.6,30.73,606500,0.0,0
2008-03-25,30.96,31.31,30.74,31.25,710900,0.0,0
2008-03-26,31.23,31.82,31.2,31.74,570000,0.0,0
2008-03-27,32.22,32.24,31.64,31.75,707100,0.0,0
2008-03-28,31.92,32.08,31.67,31.76,608600,0.0,0
2008-03-31,32.11,32.29,31.77,32.0,594600,0.0,0
2008-04-01,31.58,32.26,31.55,32.22,564800,0.0,0
2008-04-02,32.16,32.98,32.15,32.92,685900,0.0,0
2008-04-03,32.68,33.06,32.68,32.82,539000,0.0,0
2008-04-04,33.04,33.41,32.95,33.3,1011400,0.0,0
2008-04-07,33.51,33.84,33.35,33.44,529500,0.0,0
2008-04-08,33.72,34.1,33.71,34.08,995200,0.0,0
2008-04-09,34.46,34.67,34.32,34.6,935700,0.0,0
2008-04-10,34.63,34.71,34.29,34.71,800200,0.0,0
2008-04-11,34.29,34.37,34.09,34.22,767100,0.0,0
2008-04-14,34.11,34.22,33.96,34.13,504700,0.0,0
2008-04-15,34.55,34.63,33.94,34.43,619900,0.0,0
2008-04-16,34.87,35.57,34.83,35.49,868200,0.0,0
2008-04-17,34.93,35.27,34.93,35.19,723100,0.0,0
2008-04-18,35.2,35.44,35.03,35.37,749600,0.0,0
2008-04-21,36.13,36.23,35.82,36.18,433500,0.0,0
2008-04-22,36.37,36.49,36.12,36.26,425300,0.0,0
2008-04-23,36.04,36.45,35.75,36.16,625700,0.0,0
2008-04-24,35.9,35.97,35.49,35.68,492800,0.0,0
2008-04-25,36.05,36.19,35.83,36.15,343200,0.0,0
2008-04-28,36.27,36.33,35.79,35.85,357300,0.0,0
2008-04-29,35.91,36.34,35.91,36.18,886900,0.0,0
2008-04-30,36.21,36.49,36.02,36.19,719000,0.0,0
2008-05-01,36.19,36.29,35.14,35.69,505600,0.0,0
2008-05-02,36.28,36.62,36.23,36.62,680300,0.0,0
2008-05-05,36.63,36.84,36.56,36.76,308700,0.0,0
2008-05-06,36.91,37.32,36.87,37.31,429000,0.0,0
2008-05-07,37.23,37.23,36.78,36.9,544400,0.0,0
2008-05-08,37.06,37.31,36.85,37.31,461700,0.0,0
2008-05-09,36.96,37.32,36.74,37.18,387700,0.0,0
2008-05-12,37.04,37.35,36.89,37.25,460300,0.0,0
2008-05-13,36.74,37.12,36.67,37.05,760200,0.0,0
2008-05-14,37.54,37.83,37.45,37.52,446300,0.0,0
2008-05-15,37.8,37.91,37.44,37.86,446700,0.0,0
2008-05-16,38.61,39.11,38.42,39.11,504200,0.0,0
2008-05-19,39.45,39.61,39.21,39.4,536400,2.062,0
2008-05-20,39.57,39.71,39.32,39.68,597200,0.0,0
2008-05-21,40.56,41.03,40.38,40.54,692700,0.0,0
2008-05-22,40.85,40.91,40.36,40.54,845600,0.0,0
