Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,5.01,5.23,4.98,5.09,63000,0,0
2008-01-03,5.14,5.22,4.97,5.0,83800,0,0
2008-01-04,5.0,5.34,4.93,4.99,161300,0,0
2008-01-07,5.6,7.31,5.6,6.93,1679800,0,0
2008-01-08,6.8,7.32,6.8,7.18,697900,0,0
2008-01-09,7.01,7.62,7.01,7.3,412800,0,0
2008-01-10,7.24,8.17,7.24,8.0,597500,0,0
2008-01-11,8.3,8.3,7.3,7.69,238800,0,0
2008-01-14,7.7,8.05,7.7,8.0,234600,0,0
2008-01-15,7.91,8.15,7.67,7.97,159800,0,0
2008-01-16,7.75,7.99,7.36,7.42,163900,0,0
2008-01-17,7.4,7.82,7.12,7.75,108200,0,0
2008-01-18,7.8,7.8,7.25,7.34,138600,0,0
2008-01-22,7.11,7.11,6.5,6.83,249300,0,0
2008-01-23,6.51,7.0,6.2,6.97,149000,0,0
2008-01-24,7.18,7.53,7.07,7.42,108600,0,0
2008-01-25,7.49,7.73,7.0,7.13,125900,0,0
2008-01-28,7.1,7.66,7.1,7.27,138700,0,0
2008-01-29,7.33,8.12,7.29,7.92,176200,0,0
2008-01-30,8.0,8.05,7.77,7.88,99700,0,0
2008-01-31,7.92,8.0,7.42,7.46,124900,0,0
2008-02-01,7.47,7.64,7.08,7.35,98300,0,0
2008-02-04,7.38,7.72,7.18,7.61,88500,0,0
2008-02-05,7.51,7.61,7.35,7.41,56600,0,0
2008-02-06,7.47,7.68,7.44,7.5,55200,0,0
2008-02-07,7.51,7.61,7.24,7.42,66800,0,0
2008-02-08,7.39,7.55,7.29,7.39,52600,0,0
2008-02-11,7.34,7.38,7.14,7.33,78000,0,0
2008-02-12,7.3,7.79,7.29,7.63,57700,0,0
2008-02-13,7.74,7.84,7.69,7.82,26100,0,0
2008-02-14,7.81,7.86,7.48,7.77,55300,0,0
2008-02-15,7.75,7.75,7.43,7.64,69100,0,0
2008-02-19,7.74,7.78,7.51,7.77,63600,0,0
2008-02-20,7.68,7.68,7.36,7.46,30600,0,0
2008-02-21,7.43,7.46,7.07,7.12,70100,0,0
2008-02-22,7.21,7.26,6.87,6.93,79200,0,0
2008-02-25,6.93,7.21,6.93,7.07,34600,0,0
2008-02-26,7.04,7.14,6.97,6.99,25800,0,0
2008-02-27,6.95,7.34,6.95,7.0,66500,0,0
2008-02-28,7.05,7.05,6.8,6.95,47900,0,0
2008-02-29,7.0,7.72,7.0,7.47,171100,0,0
2008-03-03,7.47,7.85,7.47,7.57,112800,0,0
2008-03-04,7.5,7.72,7.42,7.61,69400,0,0
2008-03-05,7.55,7.55,7.12,7.15,171500,0,0
2008-03-06,7.11,7.2,6.74,6.91,148700,0,0
2008-03-07,7.25,7.3,6.75,6.89,249200,0,0
2008-03-10,6.89,7.24,6.7,7.0,126800,0,0
2008-03-11,7.16,7.2,6.61,7.05,117800,0,0
2008-03-12,7.05,7.44,7.05,7.11,314800,0,0
2008-03-13,7.0,7.09,6.7,6.9,151500,0,0
2008-03-14,6.9,7.14,6.89,7.04,116600,0,0
2008-03-17,7.0,7.29,6.9,7.07,263300,0,0
2008-03-18,7.27,7.35,6.95,7.3,142200,0,0
2008-03-19,7.38,7.68,7.36,7.44,129500,0,0
2008-03-20,7.54,7.64,7.44,7.51,218300,0,0
2008-03-24,7.59,7.83,7.59,7.79,171100,0,0
2008-03-25,7.8,7.92,7.71,7.76,125200,0,0
2008-03-26,7.85,7.98,7.81,7.85,179900,0,0
2008-03-27,7.9,8.66,7.8,8.53,420700,0,0
2008-03-28,8.65,9.0,8.4,8.95,264800,0,0
2008-03-31,9.1,9.17,8.66,8.92,347300,0,0
2008-04-01,8.92,9.5,8.87,9.45,346700,0,0
2008-04-02,9.45,9.55,9.29,9.5,125500,0,0
2008-04-03,9.4,9.58,9.36,9.46,168700,0,0
2008-04-04,9.45,9.5,9.2,9.22,221900,0,0
2008-04-07,9.32,9.4,9.18,9.3,106300,0,0
2008-04-08,9.2,9.71,9.2,9.47,518800,0,0
2008-04-09,9.45,9.72,9.4,9.63,305100,0,0
2008-04-10,9.58,9.75,9.55,9.59,122800,0,0
2008-04-11,9.51,9.56,9.45,9.47,85200,0,0
2008-04-14,9.36,9.37,8.76,8.77,207500,0,0
2008-04-15,8.82,8.98,8.78,8.87,251900,0,0
2008-04-16,8.9,9.0,8.85,8.9,185600,0,0
2008-04-17,8.92,8.98,8.85,8.88,104900,0,0
2008-04-18,9.01,9.03,8.93,8.99,61600,0,0
2008-04-21,9.05,9.05,8.88,8.88,74700,0,0
2008-04-22,8.88,8.96,8.76,8.79,238000,0,0
2008-04-23,8.83,9.04,8.76,8.8,156900,0,0
2008-04-24,8.91,9.08,8.78,9.03,209900,0,0
2008-04-25,9.03,9.16,8.82,9.11,161600,0,0
2008-04-28,9.05,9.69,9.02,9.58,189200,0,0
2008-04-29,9.58,9.67,9.15,9.25,135500,0,0
2008-04-30,9.25,9.5,9.11,9.41,123700,0,0
2008-05-01,9.44,9.74,9.44,9.74,106300,0,0
2008-05-02,9.7,9.84,9.69,9.83,100500,0,0
2008-05-05,9.73,10.05,9.7,9.99,203600,0,0
2008-05-06,9.95,10.02,9.9,10.02,86400,0,0
2008-05-07,9.88,9.88,8.5,9.43,233600,0,0
2008-05-08,9.38,9.38,8.64,8.74,215500,0,0
2008-05-09,8.69,8.69,8.33,8.44,169900,0,0
2008-05-12,8.5,8.53,8.22,8.5,104900,0,0
2008-05-13,8.5,8.88,8.31,8.79,136100,0,0
2008-05-14,8.81,9.22,8.69,9.02,140000,0,0
2008-05-15,9.07,9.1,8.56,8.86,227800,0,0
2008-05-16,8.85,9.11,8.72,9.02,131200,0,0
2008-05-19,8.92,8.92,8.7,8.89,275400,0,0
2008-05-20,8.89,8.89,8.64,8.76,91200,0,0
2008-05-21,8.75,8.89,8.62,8.85,101700,0,0
2008-05-22,8.73,9.45,8.7,9.15,214500,0,0
2008-05-23,9.12,9.57,8.95,9.44,642900,0,0
2008-05-27,9.5,9.99,9.34,9.99,163300,0,0
2008-05-28,9.99,10.63,9.71,10.55,324800,0,0
2008-05-29,10.46,10.71,10.28,10.35,371100,0,0
2008-05-30,10.28,10.75,10.28,10.75,105500,0,0
2008-06-02,10.75,10.75,9.94,10.56,260900,0,0
