Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,22.0,22.22,21.91,21.95,16000,0,0
2008-01-03,22.0,22.08,21.75,21.99,15400,0,0
2008-01-04,21.83,22.16,21.65,22.1,23500,0,0
2008-01-07,22.09,22.2,21.69,22.16,69100,0,0
2008-01-08,22.14,22.14,21.62,21.75,202800,0,0
2008-01-09,22.03,22.03,21.69,21.75,173900,0,0
2008-01-10,21.65,21.79,21.51,21.61,34100,0,0
2008-01-11,21.55,21.67,21.25,21.49,18600,0,0
2008-01-14,21.61,22.05,21.57,21.9,243500,0,0
2008-01-15,21.7,22.0,21.54,21.82,30600,0,0
2008-01-16,21.89,22.01,21.69,21.7,118600,0,0
2008-01-17,21.7,21.96,21.63,21.9,119000,0,0
2008-01-18,22.05,22.06,21.6,21.86,39100,0,0
2008-01-22,20.99,21.25,20.5,20.75,25000,0,0
2008-01-23,20.6,20.85,20.25,20.3,25400,0,0
2008-01-24,20.39,21.21,20.33,20.95,243700,0,0
2008-01-25,21.88,21.88,20.84,21.11,45100,0,0
2008-01-28,20.96,21.09,20.6,20.76,136000,0,0
2008-01-29,21.0,21.24,20.84,20.97,106600,0,0
2008-01-30,20.95,21.25,20.2,21.0,45800,0,0
2008-01-31,20.89,21.0,20.2,20.58,77400,0,0
2008-02-01,20.6,21.55,20.58,21.09,347400,0,0
2008-02-04,20.75,21.19,20.67,21.11,105000,0,0
2008-02-05,20.67,21.0,20.5,20.59,195700,0,0
2008-02-06,20.45,20.9,20.14,20.15,112000,0,0
2008-02-07,20.11,20.42,19.74,19.8,180300,0,0
2008-02-08,19.55,19.9,19.1,19.35,92100,0,0
2008-02-11,19.11,19.8,19.11,19.58,18900,0,0
2008-02-12,19.65,20.22,19.09,19.61,278200,0,0
2008-02-13,19.6,20.0,19.6,19.9,62400,0,0
2008-02-14,19.71,20.07,19.45,19.49,192100,0,0
2008-02-15,19.49,19.5,18.45,18.74,256800,0,0
2008-02-19,19.0,19.78,18.63,18.92,147500,0,0
2008-02-20,18.87,19.07,18.67,18.95,181700,0,0
2008-02-21,19.0,19.04,18.85,18.9,69400,0,0
2008-02-22,18.8,18.93,18.68,18.78,78200,0,0
2008-02-25,18.78,19.16,18.78,18.91,82600,0,0
2008-02-26,18.93,20.15,18.93,19.5,418900,0,0
2008-02-27,19.5,20.53,19.5,20.05,37500,0,0
2008-02-28,20.7,20.76,20.08,20.17,67700,0,0
2008-02-29,20.16,20.46,19.88,19.95,11900,0,0
2008-03-03,20.05,20.05,19.0,19.32,165900,0,0
2008-03-04,19.27,19.68,19.17,19.35,79000,0,0
2008-03-05,19.5,19.63,19.39,19.52,154400,0,0
2008-03-06,19.59,19.67,18.97,19.25,77400,0,0
2008-03-07,19.31,19.32,18.93,19.05,68900,0,0
2008-03-10,19.13,19.17,18.54,18.66,31100,0,0
2008-03-11,18.75,19.26,18.24,18.49,136100,0,0
2008-03-12,18.03,18.62,17.86,18.22,53300,0,0
2008-03-13,18.07,18.8,17.46,18.55,229500,0,0
2008-03-14,18.55,18.66,18.05,18.27,318600,0,0
2008-03-17,17.5,18.67,16.93,18.6,94000,0,0
2008-03-18,18.75,19.09,18.4,18.76,196300,0,0
2008-03-19,18.74,20.0,18.44,18.59,166500,0,0
2008-03-20,18.25,18.59,18.13,18.5,20400,0,0
2008-03-24,18.4,18.63,18.39,18.63,29700,0,0
2008-03-25,18.45,18.75,18.38,18.38,141500,0,0
2008-03-26,18.11,18.62,18.11,18.33,269000,0,0
2008-03-27,18.5,19.5,18.26,18.99,303600,0,0
2008-03-28,19.2,19.63,19.01,19.3,100400,0,0
2008-03-31,19.57,19.95,19.06,19.62,31400,0,0
2008-04-01,19.5,20.19,19.47,20.08,42700,0,0
2008-04-02,19.92,20.09,19.73,19.9,34000,0,0
2008-04-03,20.1,20.87,19.75,20.87,50300,0,0
2008-04-04,20.79,20.83,20.0,20.28,42800,0,0
2008-04-07,20.29,20.36,20.08,20.27,31800,0,0
2008-04-08,20.03,20.28,19.76,20.13,24800,0,0
2008-04-09,20.1,20.3,20.0,20.16,12600,0,0
2008-04-10,20.0,20.6,19.9,20.6,45000,0,0
2008-04-11,20.8,20.8,19.8,20.05,38600,0,0
2008-04-14,20.15,20.24,19.72,20.24,26300,0,0
2008-04-15,20.05,20.07,19.42,19.42,23100,0,0
2008-04-16,19.46,20.09,19.32,20.08,11300,0,0
2008-04-17,20.09,20.2,19.58,20.2,59300,0,0
2008-04-18,20.34,20.34,19.93,20.13,28400,0,0
2008-04-21,19.91,20.49,19.75,20.03,15200,0,0
2008-04-22,19.97,19.97,19.11,19.23,20000,0,0
2008-04-23,19.35,19.35,18.51,18.66,46300,0,0
2008-04-24,18.66,19.03,18.44,18.94,19600,0,0
2008-04-25,18.85,19.02,18.2,18.75,57600,0,0
2008-04-28,18.6,18.85,18.51,18.81,37700,0,0
2008-04-29,18.75,18.77,18.49,18.58,49300,0,0
2008-04-30,18.7,18.9,18.65,18.79,35800,0,0
2008-05-01,18.91,18.96,18.59,18.69,38500,0,0
2008-05-02,18.96,18.96,16.98,18.46,139300,0,0
2008-05-05,18.4,18.4,18.04,18.3,20800,0,0
2008-05-06,18.33,18.44,17.6,18.38,267600,0,0
