Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-12-16,22.05,22.05,22.05,22.05,0,0,0
2014-07-14,25.05,25.05,25.05,25.05,0,0,0
2014-07-15,25.07,25.07,25.07,25.07,0,0,0
2014-07-16,25.26,25.26,25.26,25.26,0,0,0
2014-07-17,24.25,24.25,24.25,24.25,0,0,0
2014-07-18,23.49,23.49,23.49,23.49,0,0,0
2014-07-21,24.12,24.12,24.12,24.12,0,0,0
2014-07-22,24.35,24.35,24.35,24.35,0,0,0
2014-07-23,24.45,24.45,24.45,24.45,0,0,0
2014-07-24,24.29,24.29,24.29,24.29,0,0,0
2014-07-25,24.35,24.35,24.35,24.35,0,0,0
2014-07-28,24.28,24.28,24.28,24.28,13,0,0
2014-07-29,24.3,24.3,24.3,24.3,13,0,0
2014-07-30,24.25,24.25,24.25,24.25,13,0,0
2014-07-31,24.32,24.32,24.32,24.32,13,0,0
2014-08-01,24.15,24.15,24.15,24.15,13,0,0
2014-08-04,23.65,23.65,23.65,23.65,13,0,0
2014-08-05,23.45,23.45,23.45,23.45,13,0,0
2014-08-06,23.4,23.4,23.4,23.4,13,0,0
2014-08-07,22.79,22.79,22.79,22.79,13,0,0
2014-08-08,22.26,22.26,22.26,22.26,13,0,0
2014-08-11,21.85,21.85,21.85,21.85,0,0,0
2014-08-12,21.96,21.96,21.96,21.96,0,0,0
2014-08-13,22.17,22.17,22.17,22.17,0,0,0
2014-08-14,22.33,22.33,22.33,22.33,0,0,0
2014-08-15,22.39,22.39,22.39,22.39,0,0,0
2014-08-18,23.6,23.6,23.6,23.6,0,0,0
2014-08-19,23.7,23.7,23.7,23.7,0,0,0
2014-08-20,23.65,23.65,23.65,23.65,0,0,0
2014-08-21,23.55,23.55,23.55,23.55,0,0,0
2014-08-22,23.62,23.62,23.62,23.62,0,0,0
2014-08-25,23.53,23.53,23.53,23.53,0,0,0
2014-08-26,23.67,23.67,23.67,23.67,0,0,0
2014-08-27,23.78,23.78,23.78,23.78,0,0,0
2014-08-28,23.81,23.81,23.81,23.81,0,0,0
2014-08-29,23.92,23.92,23.92,23.92,0,0,0
2014-09-02,22.8,22.8,22.8,22.8,0,0,0
2014-09-03,22.85,22.85,22.85,22.85,0,0,0
2014-09-04,22.85,22.85,22.85,22.85,0,0,0
2014-09-05,22.59,22.59,22.59,22.59,0,0,0
2014-09-08,22.69,22.69,22.69,22.69,0,0,0
2014-09-09,22.5,22.5,22.5,22.5,0,0,0
