Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,9.64,9.64,9.37,9.41,172079,0,0
2008-01-03,2.18,2.18,2.18,2.18,0,0,0
2008-01-04,2.16,2.16,2.16,2.16,0,0,0
2008-01-07,2.16,2.16,2.16,2.16,0,0,0
2008-01-08,2.16,2.16,2.16,2.16,0,0,0
2008-01-09,2.12,2.12,2.12,2.12,0,0,0
2008-01-10,1.96,1.96,1.96,1.96,0,0,0
2008-01-11,1.96,1.96,1.96,1.96,0,0,0
2008-01-14,1.9,1.9,1.9,1.9,0,0,0
2008-01-15,9.57,9.81,9.52,9.76,394398,0,0
2008-01-16,1.9,1.9,1.9,1.9,0,0,0
2008-01-17,1.85,1.85,1.85,1.85,0,0,0
2008-01-18,1.85,1.85,1.85,1.85,0,0,0
2008-01-22,1.8,1.8,1.8,1.8,0,0,0
2008-01-23,1.84,1.84,1.84,1.84,0,0,0
2008-01-24,9.51,9.56,9.31,9.31,167266,0,0
2008-01-25,1.8,1.8,1.8,1.8,0,0,0
2008-01-28,1.8,1.8,1.8,1.8,0,0,0
2008-01-29,1.84,1.84,1.84,1.84,0,0,0
2008-01-30,1.75,1.75,1.75,1.75,0,0,0
2008-01-31,1.7,1.7,1.7,1.7,0,0,0
2008-02-01,1.6,1.6,1.6,1.6,0,0,0
2008-02-04,1.69,1.69,1.69,1.69,0,0,0
2008-02-05,9.51,9.51,9.14,9.22,444337,0,0
2008-02-06,1.6,1.6,1.6,1.6,0,0,0
2008-02-07,1.65,1.65,1.65,1.65,0,0,0
2008-02-08,1.65,1.65,1.65,1.65,0,0,0
2008-02-11,9.42,9.42,9.27,9.32,295724,0,0
2008-02-12,9.41,9.41,9.27,9.32,197350,0,0
2008-02-13,1.6,1.6,1.6,1.6,0,0,0
2008-02-14,1.62,1.62,1.62,1.62,0,0,0
2008-02-15,1.62,1.62,1.62,1.62,0,0,0
2008-02-19,1.68,1.68,1.68,1.68,0,0,0
2008-02-20,1.6,1.6,1.6,1.6,0,0,0
2008-02-21,1.6,1.6,1.6,1.6,0,0,0
2008-02-22,1.53,1.53,1.53,1.53,0,0,0
2008-02-25,9.11,9.19,9.04,9.09,169372,0,0
2008-02-26,1.57,1.57,1.57,1.57,0,0,0
2008-02-27,1.57,1.57,1.57,1.57,0,0,0
2008-02-28,1.57,1.57,1.57,1.57,0,0,0
2008-02-29,1.45,1.45,1.45,1.45,0,0,0
2008-03-03,9.71,10.64,9.59,10.39,1334216,0,0
2008-03-04,1.69,1.69,1.69,1.69,0,0,0
2008-03-05,1.6,1.6,1.6,1.6,0,0,0
2008-03-06,1.56,1.56,1.56,1.56,0,0,0
2008-03-07,1.45,1.45,1.45,1.45,0,0,0
2008-03-10,1.41,1.41,1.41,1.41,0,0,0
2008-03-11,1.52,1.52,1.52,1.52,0,0,0
2008-03-12,1.44,1.44,1.44,1.44,0,0,0
2008-03-13,1.44,1.44,1.44,1.44,0,0,0
2008-03-14,11.24,11.24,11.24,11.24,0,0,0
2008-03-17,1.46,1.46,1.46,1.46,0,0,0
2008-03-18,1.46,1.46,1.46,1.46,0,0,0
2008-03-19,11.24,11.24,10.9,10.99,696439,0,0
2008-03-20,1.45,1.45,1.45,1.45,0,0,0
2008-03-24,1.45,1.45,1.45,1.45,0,0,0
2008-03-25,1.4,1.4,1.4,1.4,0,0,0
2008-03-26,1.41,1.41,1.41,1.41,0,0,0
2008-03-27,1.41,1.41,1.41,1.41,0,0,0
2008-03-28,1.57,1.57,1.57,1.57,0,0,0
2008-03-31,1.57,1.57,1.57,1.57,0,0,0
2008-04-01,1.55,1.55,1.55,1.55,0,0,0
2008-04-02,1.58,1.58,1.58,1.58,0,0,0
2008-04-03,12.56,12.75,12.28,12.32,752997,0,0
2008-04-04,12.32,12.32,12.32,12.32,0,0,0
2008-04-07,12.3,12.37,12.03,12.07,390187,0,0
2008-04-08,1.42,1.42,1.42,1.42,0,0,0
2008-04-09,12.2,12.83,12.2,12.5,945834,0,0
2008-04-10,1.42,1.42,1.42,1.42,0,0,0
2008-04-11,13.61,13.61,13.61,13.61,0,0,0
2008-04-14,13.61,13.61,13.61,13.61,0,0,0
2008-04-15,1.5,1.5,1.5,1.5,0,0,0
2008-04-16,15.96,15.96,15.09,15.57,1557136,0,0
2008-04-17,1.5,1.5,1.5,1.5,0,0,0
2008-04-18,1.5,1.5,1.5,1.5,0,0,0
2008-04-21,17.29,18.58,17.29,18.02,1802620,0,0
