Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-05-25,0.8,0.84,0.75,0.8,37172,0,0
2012-05-29,0.67,0.67,0.57,0.67,5910,0,0
2012-05-30,0.67,0.67,0.67,0.67,3870,0,0
2012-05-31,0.67,0.79,0.67,0.76,3800,0,0
2012-06-04,0.73,0.73,0.73,0.73,3632,0,0
2012-06-05,0.66,0.66,0.6,0.6,8000,0,0
2012-06-12,0.72,0.72,0.72,0.72,1,0,0
2012-06-13,0.62,0.62,0.62,0.62,824,0,0
2012-06-14,0.71,0.71,0.71,0.71,200,0,0
2012-06-15,0.7,0.7,0.7,0.7,150,0,0
2012-06-18,0.7,0.7,0.7,0.7,300,0,0
2012-06-19,0.7,0.81,0.7,0.81,19446,0,0
2012-06-21,0.78,0.78,0.78,0.78,500,0,0
2012-06-25,0.73,0.73,0.73,0.73,1000,0,0
2012-06-29,0.59,0.64,0.59,0.64,4750,0,0
2012-07-05,0.54,0.54,0.54,0.54,2800,0,0
2012-07-06,0.55,0.64,0.55,0.64,9100,0,0
2012-07-09,0.66,0.72,0.66,0.72,5900,0,0
2012-07-10,0.72,0.72,0.72,0.72,0,0,0
2012-07-11,0.72,0.72,0.72,0.72,0,0,0
2012-07-12,0.63,0.63,0.63,0.63,2000,0,0
2012-07-13,0.63,0.63,0.63,0.63,0,0,0
2012-07-16,0.63,0.63,0.63,0.63,0,0,0
2012-07-17,0.63,0.63,0.63,0.63,0,0,0
2012-07-18,0.63,0.63,0.63,0.63,0,0,0
2012-07-19,0.63,0.63,0.63,0.63,0,0,0
2012-07-20,0.63,0.63,0.63,0.63,0,0,0
2012-07-23,0.6,0.6,0.6,0.6,800,0,0
2012-07-24,0.6,0.6,0.6,0.6,0,0,0
2012-07-25,0.6,0.6,0.6,0.6,0,0,0
2012-07-26,0.6,0.6,0.6,0.6,0,0,0
2012-07-27,0.6,0.6,0.6,0.6,0,0,0
2012-07-30,0.6,0.6,0.6,0.6,0,0,0
