Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-11-29,9034.78,9034.78,9034.78,9034.78,32,0,0
2012-11-30,8658.33,8658.33,8658.33,8658.33,43,0,0
2012-12-03,8281.89,8281.89,8281.89,8281.89,96,0,0
2012-12-04,7905.44,7905.44,7905.44,7905.44,457,0,0
2012-12-05,7528.99,7528.99,7528.99,7528.99,276,0,0
2012-12-06,7152.54,7152.54,7152.54,7152.54,128,0,0
2012-12-07,6870.2,6870.2,6870.2,6870.2,319,0,0
2012-12-10,6587.86,6587.86,6587.86,6587.86,234,0,0
2012-12-11,6305.53,6305.53,6305.53,6305.53,3783,0,0
2012-12-12,6023.19,6023.19,6023.19,6023.19,10094,0,0
2012-12-13,5740.85,5740.85,5740.85,5740.85,36095,0,0
2012-12-14,5458.52,6023.19,5458.52,6023.19,70745,0,0
2012-12-17,6023.19,6117.3,5740.85,5740.85,19232,0,0
2012-12-18,5740.85,5929.08,5740.85,5929.08,3560,0,0
2012-12-19,5740.85,5929.08,5646.74,5929.08,42885,0,0
2012-12-20,5646.74,5740.85,5646.74,5646.74,15003,0,0
2012-12-21,5646.74,5646.74,5458.52,5646.74,4675,0,0
2012-12-24,5646.74,5646.74,5458.52,5458.52,6970,0,0
2012-12-26,5552.63,5646.74,5552.63,5552.63,7980,0,0
2012-12-27,5552.63,5646.74,5458.52,5646.74,22654,0,0
2012-12-28,5646.74,5740.85,5458.52,5552.63,19604,0,0
2013-01-02,5552.63,5740.85,5552.63,5740.85,9584,0,0
2013-01-03,5929.08,5929.08,5740.85,5740.85,11933,0,0
2013-01-04,5646.74,5834.96,5646.74,5740.85,12113,0,0
2013-01-07,5740.85,5740.85,5646.74,5646.74,2019,0,0
2013-01-08,5646.74,5646.74,5458.52,5458.52,15630,0,0
2013-01-09,5458.52,5646.74,5458.52,5552.63,15439,0,0
2013-01-10,5552.63,5552.63,5552.63,5552.63,1169,0,0
2013-01-11,5552.63,5552.63,5552.63,5552.63,3113,0,0
2013-01-14,5552.63,5646.74,5552.63,5646.74,3166,0,0
2013-01-15,5552.63,5740.85,5552.63,5740.85,2242,0,0
2013-01-16,5646.74,5834.96,5646.74,5834.96,5993,0,0
2013-01-17,5458.52,5552.63,5458.52,5552.63,6928,0,0
2013-01-18,5552.63,5552.63,5458.52,5458.52,6471,0,0
2013-01-22,5458.52,5458.52,5458.52,5458.52,3411,0,0
2013-01-23,5458.52,5552.63,5458.52,5552.63,2773,0,0
2013-01-24,5646.74,5740.85,5646.74,5740.85,10201,0,0
2013-01-25,5834.96,5929.08,5834.96,5834.96,12761,0,0
2013-01-28,5929.08,6023.19,5834.96,6023.19,691,0,0
2013-01-29,6023.19,6023.19,5740.85,5929.08,8734,0,0
2013-01-30,6117.3,6117.3,5740.85,5740.85,1318,0,0
2013-01-31,5740.85,5740.85,5740.85,5740.85,1084,0,0
2013-02-01,5740.85,5834.96,5646.74,5834.96,12602,0,0
2013-02-04,5740.85,5740.85,5740.85,5740.85,3347,0,0
2013-02-05,5834.96,5834.96,5834.96,5834.96,3081,0,0
2013-02-06,5834.96,5834.96,5834.96,5834.96,3485,0,0
2013-02-07,6023.19,6117.3,6023.19,6117.3,4537,0,0
2013-02-08,6211.41,6493.75,6211.41,6493.75,1264,0,0
2013-02-12,6493.75,6493.75,6493.75,6493.75,0,0,0
2013-02-13,6493.75,6493.75,6493.75,6493.75,0,0,0
2013-02-14,6493.75,6493.75,6493.75,6493.75,0,0,0
2013-02-19,6681.98,6681.98,6587.86,6587.86,1806,0,0
2013-02-20,6681.98,6681.98,6681.98,6681.98,4356,0,0
2013-02-21,6587.86,6681.98,6399.64,6399.64,22399,0,0
2013-02-22,6399.64,6399.64,6399.64,6399.64,2274,0,0
2013-02-25,6399.64,6399.64,6305.53,6305.53,4250,0,0
2013-02-26,6305.53,6305.53,6117.3,6305.53,3283,0,0
2013-02-27,6399.64,6399.64,6399.64,6399.64,0,0,0
2013-02-28,6117.3,6305.53,6117.3,6305.53,7470,0,0
2013-03-01,6023.19,6399.64,6023.19,6399.64,1084,0,0
2013-03-04,6305.53,6399.64,6305.53,6399.64,1084,0,0
2013-03-05,6399.64,6399.64,6399.64,6399.64,0,0,0
2013-03-06,6117.3,6399.64,6117.3,6399.64,43,0,0
2013-03-07,6117.3,6399.64,6117.3,6399.64,638,0,0
2013-03-08,6211.41,6399.64,6117.3,6399.64,11444,0,0
2013-03-11,6399.64,6399.64,6399.64,6399.64,0,0,0
2013-03-12,6305.53,6399.64,6211.41,6399.64,3825,0,0
2013-03-13,6305.53,6399.64,6305.53,6399.64,2231,0,0
2013-03-14,6399.64,6399.64,6399.64,6399.64,531,0,0
2013-03-15,6305.53,6399.64,6305.53,6399.64,2667,0,0
2013-03-18,6211.41,6399.64,6211.41,6399.64,4261,0,0
2013-03-19,6211.41,6399.64,6211.41,6399.64,2136,0,0
2013-03-20,6399.64,6399.64,6399.64,6399.64,0,0,0
2013-03-21,6117.3,6399.64,6117.3,6305.53,13335,0,0
2013-03-22,6399.64,6399.64,6399.64,6399.64,372,0,0
2013-03-25,6211.41,6399.64,6117.3,6399.64,3198,0,0
2013-03-26,6117.3,6493.75,6023.19,6305.53,3836,0,0
2013-03-27,6305.53,6305.53,6305.53,6305.53,308,0,0
2013-03-28,6305.53,6305.53,6117.3,6305.53,659,0,0
2013-04-01,6023.19,6211.41,5929.08,6211.41,2667,0,0
2013-04-02,6117.3,6493.75,6117.3,6493.75,8681,0,0
2013-04-03,6399.64,6493.75,6399.64,6493.75,1626,0,0
2013-04-04,6117.3,6117.3,6117.3,6117.3,659,0,0
2013-04-05,6305.53,6493.75,6117.3,6493.75,2019,0,0
2013-04-08,6493.75,6493.75,6211.41,6493.75,3496,0,0
2013-04-09,6493.75,6493.75,6305.53,6493.75,2136,0,0
2013-04-10,6493.75,6493.75,6211.41,6211.41,5855,0,0
2013-04-11,6211.41,6587.86,6211.41,6587.86,1551,0,0
2013-04-12,6964.31,6964.31,6399.64,6399.64,213,0,0
2013-04-15,6399.64,6399.64,6399.64,6399.64,213,0,0
2013-04-16,6399.64,6399.64,6399.64,6399.64,914,0,0
2013-04-17,6399.64,6493.75,6211.41,6493.75,2221,0,0
2013-04-18,6399.64,6493.75,6211.41,6493.75,978,0,0
2013-04-19,6493.75,6493.75,6493.75,6493.75,0,0,0
2013-04-22,6493.75,6587.86,6211.41,6587.86,329,0,0
2013-04-23,6587.86,6681.98,6587.86,6681.98,319,0,0
2013-04-24,6399.64,6681.98,6399.64,6681.98,659,0,0
2013-04-25,6399.64,6587.86,6399.64,6399.64,4038,0,0
2013-04-26,6211.41,6493.75,6211.41,6493.75,1041,0,0
2013-04-29,6493.75,6493.75,6493.75,6493.75,0,0,0
2013-04-30,6493.75,6493.75,6493.75,6493.75,0,0,0
2013-05-01,6493.75,6493.75,6493.75,6493.75,0,0,0
2013-05-02,6493.75,6493.75,6493.75,6493.75,0,0,0
2013-05-03,6399.64,6399.64,6399.64,6399.64,1073,0,0
2013-05-06,6211.41,6399.64,6211.41,6305.53,2242,0,0
2013-05-07,6305.53,6305.53,6305.53,6305.53,226,0,0
2013-05-08,6399.64,6399.64,6399.64,6399.64,213,0,0
2013-05-09,6399.64,6587.86,6399.64,6587.86,138,0,0
2013-05-10,6587.86,6681.98,6587.86,6681.98,531,0,0
2013-05-13,6681.98,6776.09,6681.98,6776.09,542,0,0
2013-05-14,6399.64,6870.2,6399.64,6870.2,117,0,0
2013-05-15,6870.2,6870.2,6870.2,6870.2,0,0,0
2013-05-16,6870.2,6964.31,6870.2,6964.31,32,0,0
2013-05-17,6493.75,7152.54,6493.75,7152.54,1179,0,0
2013-05-20,7152.54,7152.54,7152.54,7152.54,0,0,0
2013-05-21,7058.42,7246.65,6681.98,7246.65,871,0,0
2013-05-22,6776.09,6776.09,6776.09,6776.09,1105,0,0
2013-05-23,6681.98,7246.65,6681.98,7246.65,64,0,0
2013-05-24,6776.09,7246.65,6776.09,7246.65,616,0,0
2013-05-28,6870.2,6870.2,6870.2,6870.2,11,0,0
2013-05-29,6587.86,7340.76,6587.86,6776.09,4070,0,0
2013-05-30,6681.98,6776.09,6493.75,6776.09,25204,0,0
2013-05-31,6681.98,6776.09,6587.86,6587.86,27000,0,0
2013-06-03,6587.86,6964.31,6587.86,6964.31,65964,0,0
2013-06-04,7434.87,7434.87,7434.87,7434.87,37561,0,0
2013-06-05,7905.44,7905.44,7528.99,7905.44,27828,0,0
2013-06-06,7434.87,7717.21,7434.87,7434.87,33577,0,0
2013-06-07,7340.76,7623.1,6964.31,7434.87,17118,0,0
2013-06-10,7434.87,7434.87,7058.42,7434.87,31112,0,0
2013-06-11,7340.76,7340.76,7152.54,7340.76,48963,0,0
2013-06-12,7434.87,7434.87,7152.54,7152.54,23079,0,0
2013-06-13,6305.53,6493.75,6211.41,6211.41,8362,0,0
2013-06-14,6211.41,6305.53,6023.19,6117.3,25746,0,0
2013-06-17,6023.19,6211.41,5929.08,5929.08,13133,0,0
2013-06-18,5929.08,6023.19,5929.08,6023.19,4803,0,0
2013-06-19,6023.19,6211.41,6023.19,6211.41,1031,0,0
2013-06-20,6211.41,6211.41,6023.19,6211.41,4803,0,0
2013-06-21,6023.19,6023.19,6023.19,6023.19,4346,0,0
2013-06-24,6023.19,6117.3,5929.08,6117.3,10689,0,0
2013-06-25,5929.08,6023.19,5740.85,5740.85,19774,0,0
2013-06-26,6023.19,6023.19,6023.19,6023.19,11,0,0
2013-06-27,5929.08,6305.53,5929.08,6305.53,2125,0,0
2013-06-28,6023.19,6023.19,6023.19,6023.19,1658,0,0
2013-07-01,6023.19,6023.19,5929.08,6023.19,1806,0,0
2013-07-02,5929.08,6117.3,5929.08,6023.19,4505,0,0
2013-07-03,6117.3,6117.3,6117.3,6117.3,319,0,0
2013-07-05,6023.19,6023.19,6023.19,6023.19,3081,0,0
2013-07-08,6023.19,6023.19,5929.08,6023.19,1264,0,0
2013-07-09,6023.19,6117.3,5929.08,5929.08,5663,0,0
2013-07-10,5929.08,6023.19,5834.96,6023.19,5026,0,0
2013-07-11,5929.08,6023.19,5929.08,6023.19,3581,0,0
2013-07-12,6023.19,6023.19,6023.19,6023.19,797,0,0
2013-07-15,5929.08,6117.3,5834.96,6117.3,7672,0,0
2013-07-16,5929.08,6117.3,5929.08,6117.3,5770,0,0
2013-07-17,6023.19,6117.3,6023.19,6117.3,1349,0,0
2013-07-18,6023.19,6117.3,5834.96,6117.3,5897,0,0
2013-07-19,5929.08,6117.3,5740.85,6117.3,7342,0,0
2013-07-22,5740.85,5834.96,5740.85,5740.85,32674,0,0
2013-07-23,5646.74,5646.74,5364.4,5364.4,26649,0,0
2013-07-24,5364.4,5364.4,5176.18,5176.18,21751,0,0
2013-07-25,4987.95,4987.95,4987.95,4987.95,2242,0,0
2013-07-26,4893.84,5082.07,4893.84,5082.07,2136,0,0
2013-07-29,4893.84,5082.07,4893.84,5082.07,797,0,0
2013-07-30,5082.07,5082.07,5082.07,5082.07,2125,0,0
2013-07-31,4987.95,5082.07,4893.84,5082.07,5323,0,0
2013-08-01,5082.07,5082.07,4987.95,4987.95,1148,0,0
2013-08-02,4987.95,4987.95,4987.95,4987.95,0,0,0
2013-08-05,4987.95,4987.95,4893.84,4987.95,6407,0,0
2013-08-06,4987.95,4987.95,4987.95,4987.95,0,0,0
2013-08-07,5270.29,5270.29,5270.29,5270.29,11,0,0
2013-08-08,4987.95,5082.07,4987.95,5082.07,9042,0,0
2013-08-09,5082.07,5082.07,5082.07,5082.07,0,0,0
2013-08-12,5082.07,5082.07,5082.07,5082.07,0,0,0
2013-08-13,4799.73,4987.95,4799.73,4987.95,21071,0,0
2013-08-14,4799.73,5270.29,4705.62,5270.29,4739,0,0
2013-08-15,5552.63,5552.63,5458.52,5458.52,21,0,0
2013-08-16,5458.52,5458.52,5458.52,5458.52,0,0,0
2013-08-19,5458.52,5458.52,5458.52,5458.52,0,0,0
2013-08-20,5176.18,5176.18,5176.18,5176.18,21,0,0
2013-08-21,4987.95,4987.95,4987.95,4987.95,5323,0,0
2013-08-22,4987.95,4987.95,4987.95,4987.95,0,0,0
2013-08-23,4799.73,4987.95,4705.62,4987.95,2178,0,0
2013-08-26,4987.95,4987.95,4987.95,4987.95,0,0,0
2013-08-27,4987.95,4987.95,4987.95,4987.95,0,0,0
2013-08-28,4987.95,4987.95,4987.95,4987.95,0,0,0
2013-08-29,4987.95,4987.95,4987.95,4987.95,0,0,0
2013-08-30,4705.62,4987.95,4705.62,4987.95,1286,0,0
2013-09-03,4705.62,4705.62,4705.62,4705.62,595,0,0
2013-09-04,4705.62,4705.62,4705.62,4705.62,0,0,0
2013-09-05,4705.62,4705.62,4705.62,4705.62,0,0,0
2013-09-06,4705.62,4705.62,4705.62,4705.62,0,0,0
2013-09-09,4893.84,4893.84,4893.84,4893.84,11,0,0
2013-09-10,4893.84,4893.84,4611.5,4611.5,64,0,0
2013-09-11,4329.17,4705.62,4329.17,4705.62,43,0,0
2013-09-12,4799.73,4799.73,4799.73,4799.73,21,0,0
2013-09-13,4517.39,4517.39,4517.39,4517.39,21,0,0
2013-09-16,4517.39,4517.39,4517.39,4517.39,0,0,0
2013-09-17,4611.5,4611.5,4611.5,4611.5,11,0,0
2013-09-18,4799.73,4799.73,4799.73,4799.73,11,0,0
2013-09-19,4799.73,4799.73,4799.73,4799.73,0,0,0
2013-09-20,4799.73,4799.73,4799.73,4799.73,0,0,0
2013-09-23,4517.39,4705.62,4517.39,4705.62,3060,0,0
2013-09-24,4423.28,4611.5,4423.28,4611.5,3368,0,0
2013-09-25,4329.17,4329.17,4329.17,4329.17,64,0,0
2013-09-26,4140.94,4611.5,4140.94,4611.5,861,0,0
2013-09-27,4799.73,4799.73,4799.73,4799.73,11,0,0
2013-09-30,4893.84,4893.84,4893.84,4893.84,11,0,0
2013-10-01,4611.5,4705.62,4611.5,4705.62,3209,0,0
2013-10-02,4611.5,4705.62,4611.5,4705.62,542,0,0
2013-10-03,4423.28,4611.5,4423.28,4611.5,903,0,0
2013-10-04,4893.84,4893.84,4893.84,4893.84,11,0,0
2013-10-07,4893.84,4893.84,4893.84,4893.84,106,0,0
2013-10-08,4611.5,4611.5,4611.5,4611.5,32,0,0
2013-10-09,4611.5,4611.5,4611.5,4611.5,0,0,0
2013-10-10,4329.17,4705.62,4329.17,4705.62,21,0,0
2013-10-11,4423.28,4611.5,4423.28,4611.5,2678,0,0
2013-10-14,4799.73,4799.73,4799.73,4799.73,11,0,0
2013-10-15,4893.84,4893.84,4893.84,4893.84,11,0,0
2013-10-16,4705.62,4705.62,4611.5,4611.5,3549,0,0
2013-10-17,4329.17,4517.39,4329.17,4517.39,21,0,0
2013-10-18,4329.17,4705.62,4329.17,4705.62,478,0,0
2013-10-21,4423.28,4423.28,4423.28,4423.28,27318,0,0
2013-10-22,4140.94,4423.28,4140.94,4423.28,25958,0,0
2013-10-23,4140.94,4140.94,4140.94,4140.94,10764,0,0
2013-10-24,4329.17,4329.17,4329.17,4329.17,21,0,0
2013-10-25,4235.06,4235.06,4235.06,4235.06,255,0,0
2013-10-28,3952.72,4046.83,3952.72,4046.83,4994,0,0
2013-10-29,3952.72,3952.72,3764.49,3952.72,16608,0,0
2013-10-30,3952.72,3952.72,3952.72,3952.72,276,0,0
2013-10-31,3952.72,3952.72,3764.49,3952.72,2497,0,0
2013-11-01,3952.72,3952.72,3764.49,3764.49,17245,0,0
2013-11-04,3858.61,3858.61,3858.61,3858.61,32,0,0
2013-11-05,3952.72,3952.72,3952.72,3952.72,85,0,0
2013-11-06,4046.83,4046.83,3858.61,4046.83,3379,0,0
2013-11-07,3952.72,4046.83,3952.72,4046.83,11263,0,0
2013-11-08,3952.72,4046.83,3952.72,4046.83,383,0,0
2013-11-11,4046.83,4140.94,4046.83,4140.94,1658,0,0
2013-11-12,3952.72,4140.94,3952.72,4140.94,9542,0,0
2013-11-13,4140.94,4140.94,3952.72,3952.72,7491,0,0
2013-11-14,3952.72,4046.83,3952.72,4046.83,7257,0,0
2013-11-15,3952.72,3952.72,3952.72,3952.72,2338,0,0
2013-11-18,3952.72,4046.83,3952.72,4046.83,8787,0,0
2013-11-19,4140.94,4140.94,4140.94,4140.94,3825,0,0
2013-11-20,4235.06,4423.28,4235.06,4423.28,28137,0,0
2013-11-21,4517.39,4611.5,4423.28,4611.5,12846,0,0
2013-11-22,4329.17,4705.62,4329.17,4705.62,45446,0,0
2013-11-25,4705.62,4987.95,4705.62,4987.95,54669,0,0
2013-11-26,5176.18,5270.29,5176.18,5270.29,27032,0,0
2013-11-27,5552.63,5552.63,5270.29,5270.29,7502,0,0
2013-11-29,4987.95,5270.29,4987.95,5270.29,2954,0,0
2013-12-02,5552.63,5552.63,5082.07,5082.07,21,0,0
2013-12-03,4799.73,5176.18,4799.73,5176.18,7916,0,0
2013-12-04,4893.84,4893.84,4893.84,4893.84,4261,0,0
2013-12-05,4611.5,5082.07,4611.5,5082.07,638,0,0
2013-12-06,4799.73,4799.73,4799.73,4799.73,319,0,0
2013-12-09,4517.39,5082.07,4517.39,4987.95,1456,0,0
2013-12-10,4893.84,4893.84,4893.84,4893.84,1233,0,0
2013-12-11,4611.5,5082.07,4611.5,5082.07,2136,0,0
2013-12-12,5082.07,5082.07,5082.07,5082.07,0,0,0
2013-12-13,5082.07,5082.07,5082.07,5082.07,0,0,0
2013-12-16,4799.73,4799.73,4799.73,4799.73,1328,0,0
2013-12-17,5082.07,5082.07,5082.07,5082.07,11,0,0
2013-12-18,5082.07,5082.07,5082.07,5082.07,0,0,0
2013-12-19,5082.07,5082.07,5082.07,5082.07,0,0,0
2013-12-20,4799.73,5082.07,4799.73,4799.73,5547,0,0
2013-12-23,5082.07,5082.07,4799.73,4799.73,21,0,0
2013-12-24,4987.95,4987.95,4987.95,4987.95,11,0,0
2013-12-26,4705.62,5082.07,4705.62,5082.07,11709,0,0
2013-12-27,4799.73,4799.73,4799.73,4799.73,531,0,0
2013-12-30,5082.07,5082.07,4705.62,4799.73,2784,0,0
2013-12-31,5082.07,5082.07,4705.62,4799.73,733,0,0
2014-01-02,5082.07,5082.07,5082.07,5082.07,11,0,0
2014-01-03,4799.73,4799.73,4799.73,4799.73,606,0,0
2014-01-06,5082.07,5082.07,5082.07,5082.07,11,0,0
2014-01-07,4799.73,4799.73,4799.73,4799.73,21,0,0
2014-01-08,4987.95,4987.95,4517.39,4517.39,2136,0,0
2014-01-09,4799.73,4799.73,4799.73,4799.73,11,0,0
2014-01-10,5082.07,5082.07,4987.95,4987.95,117,0,0
2014-01-13,4705.62,5082.07,4705.62,5082.07,6758,0,0
2014-01-14,4799.73,4799.73,4799.73,4799.73,53,0,0
2014-01-15,5082.07,5082.07,5082.07,5082.07,11,0,0
2014-01-16,4799.73,4799.73,4799.73,4799.73,11,0,0
2014-01-17,4799.73,4799.73,4799.73,4799.73,0,0,0
2014-01-21,4423.28,4517.39,4423.28,4517.39,1774,0,0
2014-01-22,4799.73,4799.73,4799.73,4799.73,53,0,0
2014-01-23,4799.73,4987.95,4799.73,4893.84,3283,0,0
2014-01-24,4987.95,4987.95,4799.73,4799.73,2136,0,0
2014-01-27,4893.84,4987.95,4799.73,4799.73,1774,0,0
2014-01-28,4799.73,4799.73,4799.73,4799.73,0,0,0
2014-01-29,4799.73,4799.73,4799.73,4799.73,0,0,0
2014-01-30,4799.73,4799.73,4799.73,4799.73,0,0,0
2014-01-31,4799.73,4799.73,4799.73,4799.73,0,0,0
2014-02-03,4799.73,4799.73,4799.73,4799.73,0,0,0
