Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,39.14,39.36,37.93,38.11,3025000,0.0,0
2008-01-03,38.28,39.12,38.24,38.56,2897500,0.0,0
2008-01-04,38.31,38.31,37.13,37.2,3365100,0.0,0
2008-01-07,37.35,37.59,36.64,37.13,4899900,0.0,0
2008-01-08,37.36,37.57,36.68,36.75,4508400,0.0,0
2008-01-09,36.75,37.3,35.77,36.67,5201700,0.0,0
2008-01-10,36.33,36.88,35.86,36.57,5098500,0.0,0
2008-01-11,36.17,36.4,35.28,35.5,5239900,0.0,0
2008-01-14,35.86,36.08,35.52,35.63,4815100,0.0,0
2008-01-15,35.25,35.52,34.42,34.49,5498500,0.0,0
2008-01-16,34.29,34.64,33.8,33.9,6010500,0.0,0
2008-01-17,33.99,34.54,33.0,33.07,6355800,0.0,0
2008-01-18,33.27,34.58,33.11,33.98,6413100,0.0,0
2008-01-22,31.08,35.07,30.99,34.67,9200900,0.0,0
2008-01-23,33.72,35.02,32.52,34.9,7688100,0.0,0
2008-01-24,35.1,35.7,34.73,35.39,5329600,0.0,0
2008-01-25,35.61,36.23,35.38,35.59,4613300,0.0,0
2008-01-28,35.71,35.86,34.99,35.65,3285300,0.0,0
2008-01-29,35.89,36.01,35.42,35.76,2976100,0.0,0
2008-01-30,35.57,36.0,35.19,35.33,4464500,0.0,0
2008-01-31,34.75,35.34,34.21,35.07,6656900,0.0,0
2008-02-01,35.06,36.12,34.8,36.07,4173300,0.0,0
2008-02-04,36.26,36.8,36.09,36.6,4103800,0.0,0
2008-02-05,36.88,36.88,35.01,35.01,4670600,0.0,0
2008-02-06,35.19,35.34,34.44,34.47,4853100,0.0,0
2008-02-07,34.34,34.9,33.91,34.68,4287500,0.0,0
2008-02-08,34.56,35.27,34.44,35.12,4145400,0.0,0
2008-02-11,35.03,35.64,34.63,35.48,3663400,0.0,0
2008-02-12,35.63,36.14,35.3,35.57,4112700,0.0,0
2008-02-13,36.09,36.86,35.88,36.84,4286200,0.3,0
2008-02-14,36.88,37.0,36.41,36.45,5474500,0.0,0
2008-02-15,36.43,36.47,35.78,36.31,3810700,0.0,0
2008-02-19,36.79,36.89,36.32,36.49,3691200,0.0,0
2008-02-20,36.25,36.65,35.86,36.59,3832900,0.0,0
2008-02-21,36.65,36.83,35.82,35.93,3217900,0.0,0
2008-02-22,36.15,36.25,35.24,36.0,4183600,0.0,0
2008-02-25,36.09,36.35,35.71,36.25,5249000,0.0,0
2008-02-26,36.13,37.28,35.93,37.11,5178400,0.0,0
2008-02-27,36.97,37.52,36.66,37.05,4417800,0.0,0
2008-02-28,36.72,37.11,36.61,36.75,4139200,0.0,0
2008-02-29,36.59,36.64,35.27,35.41,4522100,0.0,0
2008-03-03,35.43,36.14,35.27,36.14,3744000,0.0,0
2008-03-04,35.87,35.88,35.01,35.49,5767600,0.0,0
2008-03-05,35.66,36.18,35.34,35.77,4353800,0.0,0
2008-03-06,35.51,35.74,35.11,35.22,4255700,0.0,0
2008-03-07,35.01,35.13,34.13,34.36,3641300,0.0,0
2008-03-10,34.33,34.52,33.48,33.55,4010600,0.0,0
2008-03-11,34.38,34.89,33.97,34.89,4659700,0.0,0
2008-03-12,35.14,35.42,34.78,34.85,3188600,0.0,0
2008-03-13,34.3,34.86,33.84,34.64,4773000,0.0,0
2008-03-14,34.87,34.87,33.02,33.79,6746700,0.0,0
2008-03-17,33.4,34.09,32.86,33.81,5470700,0.0,0
2008-03-18,34.44,34.75,33.93,34.56,6384900,0.0,0
2008-03-19,34.93,34.94,33.68,33.71,5159500,0.0,0
2008-03-20,33.74,34.46,33.74,34.09,6174800,0.0,0
