Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,12.85,12.95,12.78,12.91,1175600,0.0,0.0
2008-01-03,12.89,12.95,12.79,12.84,610400,0.0,0.0
2008-01-04,12.75,12.81,12.56,12.64,526000,0.0,0.0
2008-01-07,12.58,12.73,12.48,12.57,683000,0.0,0.0
2008-01-08,12.66,12.66,12.38,12.44,601400,0.0,0.0
2008-01-09,12.7,12.74,12.38,12.74,740400,0.0,0.0
2008-01-10,12.6,12.79,12.44,12.65,597000,0.0,0.0
2008-01-11,12.48,12.56,12.42,12.42,482200,0.0,0.0
2008-01-14,12.49,12.5,12.4,12.48,476600,0.0,0.0
2008-01-15,12.43,12.46,12.2,12.23,408000,0.0,0.0
2008-01-16,12.14,12.24,12.04,12.16,459400,0.0,0.0
2008-01-17,12.19,12.3,11.94,12.02,585800,0.0,0.0
2008-01-18,11.93,12.2,11.73,11.83,470800,0.0,0.0
2008-01-22,11.36,11.92,11.33,11.88,751400,0.0,0.0
2008-01-23,11.66,11.87,11.48,11.85,892600,0.0,0.0
2008-01-24,11.84,12.09,11.76,11.93,473200,0.0,0.0
2008-01-25,12.15,12.15,11.87,12.02,725800,0.0,0.0
2008-01-28,11.89,12.15,11.89,12.14,366000,0.0,0.0
2008-01-29,12.31,12.52,12.23,12.43,509000,0.0,0.0
2008-01-30,12.47,12.71,12.12,12.42,965200,0.0,0.0
2008-01-31,12.19,12.72,12.14,12.67,1418000,0.0,0.0
2008-02-01,12.78,12.85,12.69,12.84,697000,0.0,0.0
2008-02-04,12.94,12.94,12.65,12.93,367600,0.0,0.0
2008-02-05,12.88,12.88,12.65,12.66,688000,0.0,0.0
2008-02-06,12.8,12.83,12.54,12.63,448000,0.0,0.0
2008-02-07,12.54,12.6,12.3,12.5,844200,0.0,0.0
2008-02-08,12.59,12.68,12.44,12.54,591000,0.0,0.0
2008-02-11,12.49,12.87,12.44,12.85,576200,0.0,0.0
2008-02-12,12.93,13.02,12.88,12.95,460000,0.0,0.0
2008-02-13,13.16,13.16,12.97,13.04,376000,0.165,0.0
2008-02-14,13.0,13.07,12.92,12.94,401000,0.0,0.0
2008-02-15,12.95,13.01,12.76,12.85,301400,0.0,0.0
2008-02-19,12.81,12.87,12.73,12.77,701200,0.0,0.0
2008-02-20,12.82,13.13,12.76,13.11,832000,0.0,0.0
2008-02-21,13.21,13.21,12.81,12.93,511800,0.0,0.0
2008-02-22,12.96,13.0,12.76,13.0,607000,0.0,0.0
2008-02-25,13.0,13.29,12.98,13.04,914400,0.0,0.0
2008-02-26,13.12,13.42,13.05,13.25,793000,0.0,0.0
2008-02-27,13.3,13.56,13.23,13.4,644800,0.0,0.0
2008-02-28,13.34,13.81,13.34,13.76,725800,0.0,0.0
2008-02-29,13.85,13.85,13.12,13.22,699400,0.0,0.0
2008-03-03,13.31,13.31,13.1,13.28,748000,0.0,0.0
2008-03-04,13.15,13.25,13.04,13.22,929000,0.0,0.0
2008-03-05,13.29,13.64,13.29,13.64,910400,0.0,0.0
2008-03-06,13.7,13.7,13.55,13.6,747000,0.0,0.0
2008-03-07,13.41,13.7,13.36,13.46,512200,0.0,0.0
2008-03-10,13.42,13.47,13.14,13.21,659400,0.0,0.0
2008-03-11,13.49,13.64,13.43,13.62,680800,0.0,0.0
2008-03-12,13.67,13.77,13.38,13.42,523800,0.0,0.0
2008-03-13,13.41,13.5,13.34,13.46,1055800,0.0,0.0
2008-03-14,13.47,13.47,13.03,13.3,825600,0.0,0.0
2008-03-17,12.98,13.18,12.7,12.87,588600,0.0,0.0
2008-03-18,13.08,13.08,12.77,13.0,693400,0.0,0.0
2008-03-19,13.06,13.11,12.34,12.37,725400,0.0,0.0
2008-03-20,12.23,12.86,12.17,12.64,683600,0.0,0.0
2008-03-24,12.56,12.78,12.56,12.68,476600,0.0,0.0
2008-03-25,12.77,13.11,12.77,13.04,698800,0.0,0.0
2008-03-26,13.01,13.08,12.95,13.02,848600,0.0,0.0
2008-03-27,13.14,13.41,13.08,13.28,1069600,0.0,0.0
2008-03-28,13.34,13.56,13.34,13.38,783800,0.0,0.0
2008-03-31,13.22,13.43,12.96,13.21,679200,0.0,0.0
2008-04-01,13.2,13.23,12.95,13.13,349800,0.0,0.0
2008-04-02,13.29,13.41,13.19,13.34,658600,0.0,0.0
2008-04-03,13.36,13.64,13.36,13.47,534400,0.0,0.0
2008-04-04,13.4,13.57,13.36,13.49,1033400,0.0,0.0
2008-04-07,13.53,13.67,13.45,13.46,1055800,0.0,0.0
2008-04-08,13.27,13.52,13.27,13.43,688200,0.0,0.0
2008-04-09,13.43,13.43,13.23,13.31,590200,0.0,0.0
2008-04-10,13.33,13.34,13.14,13.34,619600,0.0,0.0
2008-04-11,13.19,13.26,13.08,13.11,262600,0.0,0.0
2008-04-14,13.07,13.37,13.07,13.27,313600,0.0,0.0
2008-04-15,13.32,13.42,13.26,13.33,380200,0.0,0.0
2008-04-16,13.56,13.64,13.46,13.6,379400,0.0,0.0
2008-04-17,13.5,13.56,13.37,13.44,291200,0.0,0.0
2008-04-18,13.67,13.67,13.45,13.6,274600,0.0,0.0
2008-04-21,13.6,13.67,13.5,13.57,368000,0.0,0.0
2008-04-22,13.45,13.68,13.42,13.59,244000,0.0,0.0
2008-04-23,13.42,13.53,13.37,13.46,261600,0.0,0.0
2008-04-24,13.41,13.5,13.31,13.41,263600,0.0,0.0
2008-04-25,13.5,13.53,13.24,13.32,444400,0.0,0.0
2008-04-28,13.37,13.51,13.37,13.46,325800,0.0,0.0
2008-04-29,13.55,13.55,13.19,13.21,271400,0.0,0.0
2008-04-30,13.13,13.36,13.07,13.21,415600,0.0,0.0
2008-05-01,13.16,13.17,12.91,13.03,293800,0.0,0.0
2008-05-02,13.11,13.25,13.05,13.15,301200,0.0,0.0
2008-05-05,13.21,13.3,13.09,13.12,353600,0.0,0.0
2008-05-06,13.14,13.42,13.07,13.38,287800,0.0,0.0
2008-05-07,13.47,13.81,13.43,13.7,420600,0.0,0.0
2008-05-08,13.59,13.73,13.53,13.65,360600,0.0,0.0
2008-05-09,13.77,14.12,13.76,14.02,579800,0.0,0.0
2008-05-12,14.08,14.16,13.88,14.14,267200,0.0,0.0
2008-05-13,14.15,14.15,13.95,14.03,297600,0.1645,0.0
2008-05-14,14.14,14.27,14.11,14.2,261400,0.0,0.0
2008-05-15,14.24,14.35,14.12,14.3,331600,0.0,0.0
2008-05-16,14.45,14.48,14.27,14.38,233400,0.0,0.0
2008-05-19,14.29,14.47,14.29,14.39,188400,0.0,0.0
2008-05-20,14.42,14.83,14.41,14.76,469600,0.0,0.0
2008-05-21,14.83,14.94,14.69,14.76,285000,0.0,0.0
2008-05-22,14.83,14.87,14.7,14.76,284200,0.0,0.0
2008-05-23,14.69,14.87,14.61,14.77,351200,0.0,0.0
2008-05-27,14.68,14.68,14.19,14.33,1053400,0.0,0.0
2008-05-28,14.27,14.65,14.27,14.51,445400,0.0,0.0
2008-05-29,14.66,14.85,14.62,14.66,403400,0.0,0.0
2008-05-30,14.62,14.7,14.32,14.42,858800,0.0,0.0
2008-06-02,14.29,14.51,14.2,14.51,519200,0.0,0.0
2008-06-03,14.6,15.12,14.49,14.58,1694600,0.0,0.0
2008-06-04,14.65,14.7,14.42,14.56,747200,0.0,0.0
2008-06-05,14.56,14.56,14.32,14.47,627400,0.0,0.0
2008-06-06,14.53,14.66,14.48,14.49,399400,0.0,0.0
2008-06-09,14.44,14.64,14.36,14.42,597600,0.0,0.0
2008-06-10,14.29,14.36,13.98,14.08,880000,0.0,0.0
2008-06-11,14.1,14.28,14.1,14.18,444800,0.0,0.0
2008-06-12,14.16,14.18,13.93,13.95,581800,0.0,0.0
2008-06-13,13.87,14.06,13.87,13.99,443400,0.0,0.0
2008-06-16,14.11,14.19,14.04,14.12,643600,0.0,0.0
2008-06-17,14.13,14.47,14.12,14.43,398200,0.0,0.0
2008-06-18,14.36,14.67,14.34,14.65,501000,0.0,0.0
2008-06-19,14.66,14.68,14.32,14.37,709600,0.0,0.0
2008-06-20,14.4,14.46,14.19,14.24,418000,0.0,0.0
2008-06-23,14.43,14.54,14.28,14.39,794600,0.0,0.0
2008-06-24,14.25,14.3,14.02,14.09,468200,0.0,0.0
2008-06-25,14.22,14.3,14.0,14.23,441600,0.0,0.0
2008-06-26,14.26,14.29,13.93,14.09,406600,0.0,0.0
2008-06-27,14.61,14.61,13.82,13.89,633800,0.0,0.0
2008-06-30,14.06,14.19,13.87,13.96,856800,0.0,0.0
2008-07-01,13.81,14.22,13.78,14.09,299800,0.0,0.0
2008-07-02,14.24,14.37,13.85,13.9,825600,0.0,0.0
2008-07-03,13.87,13.98,13.44,13.77,511600,0.0,0.0
2008-07-07,13.65,13.65,13.21,13.3,926800,0.0,0.0
2008-07-08,13.25,13.25,13.03,13.22,699400,0.0,0.0
2008-07-09,13.32,13.44,13.16,13.18,588200,0.0,0.0
2008-07-10,13.27,13.43,13.15,13.33,464400,0.0,0.0
2008-07-11,13.24,13.59,13.22,13.54,680000,0.0,0.0
2008-07-14,13.58,14.19,13.58,14.04,879400,0.0,0.0
2008-07-15,13.97,14.0,13.63,13.7,721200,0.0,0.0
2008-07-16,13.63,13.86,13.5,13.75,654000,0.0,0.0
2008-07-17,13.82,13.97,13.27,13.49,718800,0.0,0.0
2008-07-18,13.63,13.83,13.48,13.52,616800,0.0,0.0
2008-07-21,13.68,13.87,13.68,13.74,808400,0.0,0.0
2008-07-22,13.71,14.06,13.71,14.05,682800,0.0,0.0
2008-07-23,13.92,13.99,13.68,13.81,611200,0.0,0.0
2008-07-24,13.82,14.08,13.58,13.66,665600,0.0,0.0
2008-07-25,13.76,13.82,13.54,13.71,546600,0.0,0.0
2008-07-28,13.74,13.9,13.54,13.59,420400,0.0,0.0
2008-07-29,13.51,13.71,13.34,13.65,660200,0.0,0.0
2008-07-30,13.75,13.94,13.51,13.87,833800,0.0,0.0
2008-07-31,13.78,14.49,13.69,14.19,1273000,0.0,0.0
2008-08-01,14.27,14.29,13.79,13.88,1187000,0.0,0.0
2008-08-04,13.9,13.96,13.66,13.78,496400,0.0,0.0
2008-08-05,13.67,13.82,13.48,13.67,952200,0.0,0.0
2008-08-06,13.59,13.78,13.54,13.57,843400,0.0,0.0
2008-08-07,13.58,13.84,13.58,13.7,648200,0.0,0.0
