Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,77.83,79.3,77.83,78.51,662300,0.0,0.0
2008-01-03,78.5,78.91,77.69,77.8,386600,0.0,0.0
2008-01-04,76.92,77.53,74.73,75.5,742800,0.0,0.0
2008-01-07,75.85,76.06,74.38,74.99,481500,0.0,0.0
2008-01-08,75.09,75.12,72.39,72.44,801800,0.0,0.0
2008-01-09,72.61,74.47,71.83,73.4,682700,0.0,0.0
2008-01-10,73.02,74.45,71.69,74.09,771400,0.0,0.0
2008-01-11,73.62,75.26,72.42,72.68,663100,0.0,0.0
2008-01-14,72.93,73.84,72.58,73.17,460600,0.0,0.0
2008-01-15,72.52,75.5,72.52,73.42,604800,0.0,0.0
2008-01-16,73.38,73.38,69.67,70.2,1044900,0.0,0.0
2008-01-17,71.04,72.23,69.37,69.74,984600,0.0,0.0
2008-01-18,70.0,71.05,69.27,69.58,673200,0.0,0.0
2008-01-22,66.91,68.09,66.52,66.87,1169100,0.0,0.0
2008-01-23,65.19,67.57,63.7,67.26,1614600,0.0,0.0
2008-01-24,67.54,67.85,66.39,67.07,765400,0.0,0.0
2008-01-25,67.25,67.7,66.52,67.03,702200,0.0,0.0
2008-01-28,66.57,67.71,65.83,67.71,844700,0.0,0.0
2008-01-29,66.52,67.01,63.7,65.65,1657600,0.0,0.0
2008-01-30,66.0,67.14,65.53,65.57,1126600,0.0,0.0
2008-01-31,64.73,66.02,64.28,65.55,1038900,0.0,0.0
2008-02-01,65.54,66.65,65.54,66.62,945200,0.0,0.0
2008-02-04,66.31,66.45,65.46,66.12,663500,0.0,0.0
2008-02-05,65.07,65.85,64.01,64.01,1067700,0.0,0.0
2008-02-06,64.17,64.59,63.08,63.3,848100,0.0,0.0
2008-02-07,63.05,63.54,61.39,61.88,1405100,0.0,0.0
2008-02-08,61.86,63.01,61.69,62.1,750500,0.0,0.0
2008-02-11,62.03,62.22,61.26,61.55,819600,0.0,0.0
2008-02-12,61.93,63.23,61.33,63.02,864300,0.0,0.0
2008-02-13,63.35,64.24,63.26,64.24,1322100,0.0,0.0
2008-02-14,64.2,66.16,64.2,65.18,1437200,0.0,0.0
2008-02-15,64.79,66.55,64.79,65.85,1127400,0.0,0.0
2008-02-19,66.52,66.73,64.2,64.77,1778300,0.0,0.0
2008-02-20,64.3,65.32,63.26,65.24,2029700,0.0,0.0
2008-02-21,68.26,68.68,66.52,68.33,2307700,0.0,0.0
2008-02-22,68.62,69.04,66.54,68.21,1225000,0.0,0.0
2008-02-25,67.95,68.09,66.19,67.5,1313100,0.0,0.0
2008-02-26,67.12,68.07,66.52,67.94,912100,0.0,0.0
2008-02-27,67.51,67.83,66.76,67.3,659500,0.0,0.0
2008-02-28,67.08,67.11,65.79,66.07,939000,0.0,0.0
2008-02-29,65.5,65.81,64.73,65.0,811800,0.0,0.0
2008-03-03,65.13,65.49,64.29,64.85,942200,0.0,0.0
2008-03-04,64.31,66.0,64.26,65.51,1067800,0.0,0.0
2008-03-05,65.79,65.79,63.97,64.37,1116800,0.0,0.0
2008-03-06,64.02,64.42,63.22,63.35,625800,0.0,0.0
2008-03-07,62.91,63.5,61.92,62.43,763200,0.0,0.0
2008-03-10,62.4,63.04,60.84,61.09,835400,0.0,0.0
2008-03-11,62.29,62.77,61.02,61.98,771000,0.0,0.0
2008-03-12,62.21,62.42,60.58,60.96,914700,0.0,0.0
2008-03-13,60.27,62.25,60.27,61.31,1004300,0.0,0.0
2008-03-14,61.62,62.18,60.62,60.97,1128100,0.0,0.0
