Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,21.17,21.44,20.64,20.98,184000,0.0,0
2008-01-03,21.07,21.34,20.32,20.32,203700,0.0,0
2008-01-04,20.09,20.09,19.34,19.36,363700,0.0,0
2008-01-07,19.41,20.29,19.29,20.12,430400,0.0,0
2008-01-08,20.24,21.02,19.74,19.83,621300,0.0,0
2008-01-09,19.73,20.28,19.23,20.18,454400,0.0,0
2008-01-10,19.91,21.26,19.59,20.82,479300,0.0,0
2008-01-11,20.64,21.15,20.5,20.83,503900,0.0,0
2008-01-14,21.01,21.3,20.58,21.16,395200,0.0,0
2008-01-15,20.79,21.19,20.62,20.84,573100,0.0,0
2008-01-16,20.83,21.84,20.83,21.49,246900,0.0,0
2008-01-17,21.55,21.78,20.73,20.76,397200,0.0,0
2008-01-18,20.57,20.93,19.75,20.14,444200,0.0,0
2008-01-22,19.37,20.58,19.25,20.17,612100,0.0,0
2008-01-23,19.74,21.57,19.54,21.5,616300,0.0,0
2008-01-24,21.65,22.04,21.06,21.96,504200,0.0,0
2008-01-25,22.16,22.36,21.04,21.29,264700,0.0,0
2008-01-28,21.29,22.23,20.84,22.23,213100,0.0,0
2008-01-29,22.46,22.59,21.87,22.15,258400,0.0,0
2008-01-30,21.96,22.53,21.36,21.47,242600,0.0,0
2008-01-31,21.06,22.69,20.95,22.37,397300,0.0,0
2008-02-01,22.54,23.17,22.23,23.17,308100,0.0,0
2008-02-04,23.07,23.56,22.59,23.23,398700,0.0,0
2008-02-05,22.73,23.07,21.88,21.88,308700,0.0,0
2008-02-06,21.98,22.13,21.02,21.06,360800,0.0,0
2008-02-07,20.9,21.28,20.65,21.03,456000,0.0,0
2008-02-08,21.05,21.15,20.23,20.43,315200,0.0,0
2008-02-11,20.39,20.51,19.84,19.92,237000,0.0,0
2008-02-12,19.87,20.96,19.87,20.83,282600,0.0,0
2008-02-13,21.14,21.31,20.65,21.17,202700,0.0,0
2008-02-14,21.26,21.26,20.27,20.54,257000,0.0,0
2008-02-15,20.41,20.94,20.29,20.88,165500,0.0,0
2008-02-19,21.06,21.23,20.41,20.59,232600,0.0,0
2008-02-20,20.49,21.46,20.39,21.37,272400,0.0,0
2008-02-21,21.48,21.59,20.46,20.6,391200,0.0,0
2008-02-22,20.6,21.21,20.27,21.21,372200,0.0,0
2008-02-25,21.11,21.79,20.65,21.79,241900,0.0,0
2008-02-26,22.05,22.36,21.65,22.11,441900,0.0,0
2008-02-27,22.08,22.42,21.79,22.22,619900,0.0,0
2008-02-28,22.12,22.12,21.11,21.34,428600,0.0,0
2008-02-29,21.22,21.51,20.83,21.22,376800,0.0,0
2008-03-03,21.2,21.65,20.86,21.58,325700,0.0,0
2008-03-04,21.43,21.62,20.96,21.39,246400,0.0,0
2008-03-05,21.48,21.81,21.03,21.3,407400,0.0,0
2008-03-06,21.25,21.45,20.84,20.88,429800,0.0,0
2008-03-07,20.69,21.58,20.69,21.31,322400,0.0,0
2008-03-10,21.42,21.6,21.03,21.19,328800,0.0,0
2008-03-11,22.18,22.6,21.69,22.6,466500,0.0,0
2008-03-12,22.36,23.16,22.36,22.46,532000,0.0,0
2008-03-13,22.11,23.0,21.8,22.67,496900,0.0,0
2008-03-14,22.67,22.8,21.88,22.22,382900,0.0,0
2008-03-17,21.56,22.8,21.33,22.21,369900,0.0,0
2008-03-18,22.82,23.63,22.6,23.63,834300,0.0,0
2008-03-19,23.78,24.58,23.65,24.07,826300,0.0,0
2008-03-20,24.29,24.64,23.85,24.6,827700,0.0,0
2008-03-24,24.75,25.33,24.64,25.14,385000,0.0,0
2008-03-25,25.17,25.25,24.07,24.48,474500,0.0,0
2008-03-26,24.39,24.45,23.63,23.93,464300,0.0,0
2008-03-27,23.24,23.24,22.09,22.16,1961400,0.84,0
2008-03-28,22.16,22.75,22.16,22.55,1948900,0.0,0
2008-03-31,22.54,23.17,22.25,22.69,502900,0.0,0
2008-04-01,22.88,23.52,22.68,23.52,391700,0.0,0
2008-04-02,23.45,24.32,23.03,24.07,656000,0.0,0
2008-04-03,23.78,24.0,23.54,24.0,286700,0.0,0
2008-04-04,23.97,24.06,23.4,23.47,234300,0.0,0
2008-04-07,23.55,23.62,23.08,23.58,247100,0.0,0
2008-04-08,23.47,23.81,23.01,23.31,397600,0.0,0
2008-04-09,23.32,23.39,22.56,22.58,188500,0.0,0
2008-04-10,22.63,23.02,22.47,22.84,215400,0.0,0
2008-04-11,22.61,22.82,22.24,22.3,171100,0.0,0
2008-04-14,22.24,22.69,21.99,22.19,201900,0.0,0
2008-04-15,22.26,22.75,22.25,22.75,195900,0.0,0
2008-04-16,22.93,23.91,22.85,23.91,247100,0.0,0
2008-04-17,23.97,23.99,23.6,23.92,230300,0.0,0
2008-04-18,24.23,24.35,23.3,23.44,200500,0.0,0
2008-04-21,23.21,23.48,23.08,23.32,214500,0.0,0
2008-04-22,23.22,23.51,23.04,23.48,305700,0.0,0
2008-04-23,23.66,24.09,23.43,23.62,242600,0.0,0
2008-04-24,23.55,24.42,23.46,24.42,266400,0.0,0
2008-04-25,24.49,24.49,23.75,24.2,168400,0.0,0
2008-04-28,24.38,24.57,24.16,24.49,213100,0.0,0
2008-04-29,24.24,24.54,23.7,23.96,288600,0.0,0
2008-04-30,23.86,24.81,23.71,24.55,361600,0.0,0
2008-05-01,24.58,25.08,24.18,25.06,402100,0.0,0
2008-05-02,24.96,25.37,24.77,24.88,379200,0.0,0
2008-05-05,24.7,25.05,24.52,24.98,482400,0.0,0
2008-05-06,24.93,25.39,24.82,25.18,283700,0.0,0
2008-05-07,25.27,25.28,24.16,24.25,235900,0.0,0
2008-05-08,24.38,24.44,23.98,24.32,259000,0.0,0
2008-05-09,24.18,24.67,24.0,24.33,360700,0.0,0
2008-05-12,24.48,25.2,24.4,25.19,325300,0.0,0
2008-05-13,25.04,25.4,24.69,25.19,435200,0.0,0
2008-05-14,25.17,25.35,25.0,25.21,135400,0.0,0
2008-05-15,25.32,25.62,24.81,25.61,185000,0.0,0
2008-05-16,25.81,25.81,25.02,25.21,431900,0.0,0
2008-05-19,25.33,25.39,24.86,25.32,257900,0.0,0
2008-05-20,25.22,25.42,24.85,25.06,393400,0.0,0
2008-05-21,25.16,25.34,24.52,24.64,244800,0.0,0
2008-05-22,24.65,24.84,24.39,24.68,264200,0.0,0
2008-05-23,24.62,24.96,24.5,24.56,234800,0.0,0
2008-05-27,24.49,25.3,24.26,25.11,195700,0.0,0
2008-05-28,25.16,25.19,24.87,24.93,354600,0.0,0
2008-05-29,24.93,25.52,24.77,25.27,355200,0.0,0
2008-05-30,25.22,25.44,25.02,25.33,430800,0.0,0
2008-06-02,25.37,25.37,24.68,24.96,419400,0.0,0
2008-06-03,25.09,25.13,24.53,24.87,210800,0.0,0
2008-06-04,24.87,25.49,24.55,25.18,173000,0.0,0
2008-06-05,25.15,25.91,25.15,25.91,221600,0.0,0
2008-06-06,25.75,25.77,24.98,24.98,302800,0.0,0
2008-06-09,25.24,25.54,24.75,24.76,339900,0.0,0
2008-06-10,24.54,25.28,24.44,24.93,217000,0.0,0
2008-06-11,24.85,24.96,24.27,24.29,197400,0.0,0
2008-06-12,24.47,24.73,24.09,24.5,332400,0.0,0
2008-06-13,24.54,24.77,24.17,24.63,168300,0.0,0
2008-06-16,24.62,25.11,24.48,25.1,256600,0.0,0
2008-06-17,25.13,25.23,24.81,24.81,366500,0.0,0
2008-06-18,24.86,25.08,24.49,24.53,368300,0.0,0
2008-06-19,24.56,25.32,24.38,25.3,340000,0.0,0
2008-06-20,25.18,25.47,24.82,25.05,548800,0.0,0
2008-06-23,25.31,25.44,24.77,24.77,361500,0.0,0
2008-06-24,24.59,24.94,24.13,24.25,440900,0.0,0
2008-06-25,24.24,24.84,23.98,24.27,367100,0.0,0
2008-06-26,24.19,24.34,23.39,23.43,475800,0.84,0
2008-06-27,23.41,23.49,22.56,22.99,576700,0.0,0
2008-06-30,22.91,23.67,22.79,23.11,353400,0.0,0
2008-07-01,22.96,23.44,22.59,23.44,404800,0.0,0
2008-07-02,23.51,23.61,22.97,22.97,297300,0.0,0
2008-07-03,23.06,23.26,22.62,23.03,207900,0.0,0
2008-07-07,23.01,23.31,22.46,22.57,459300,0.0,0
