Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,20.83,20.94,20.55,20.67,1153300,0.0,0.0
2008-01-03,20.82,20.98,20.63,20.63,531900,0.0,0.0
2008-01-04,20.47,20.73,20.42,20.58,625400,0.0,0.0
2008-01-07,20.61,20.94,20.57,20.88,784200,0.0,0.0
2008-01-08,20.9,21.19,20.65,20.67,915600,0.0,0.0
2008-01-09,20.54,20.66,20.31,20.6,1216000,0.0,0.0
2008-01-10,20.51,20.77,20.41,20.63,1067900,0.0,0.0
2008-01-11,20.41,20.67,20.37,20.47,596500,0.0,0.0
2008-01-14,20.57,20.69,20.45,20.51,659600,0.0,0.0
2008-01-15,20.33,20.51,20.2,20.22,965800,0.0,0.0
2008-01-16,20.1,20.81,20.1,20.47,1349500,0.0,0.0
2008-01-17,20.55,20.61,20.07,20.1,2102500,0.0,0.0
2008-01-18,20.22,20.22,19.66,19.8,1075800,0.0,0.0
2008-01-22,19.05,19.42,18.79,18.94,1970700,0.0,0.0
2008-01-23,18.51,19.43,18.42,19.37,1952100,0.0,0.0
2008-01-24,19.44,19.5,18.94,19.07,1654100,0.0,0.0
2008-01-25,19.21,19.21,18.65,18.7,1017200,0.0,0.0
2008-01-28,18.64,18.97,18.61,18.92,795500,0.0,0.0
2008-01-29,19.15,19.15,18.47,18.57,2122800,0.0,0.0
2008-01-30,18.44,18.68,18.12,18.21,1200900,0.0,0.0
2008-01-31,18.07,18.68,17.97,18.62,1164200,0.0,0.0
2008-02-01,18.72,18.86,18.5,18.75,1210300,0.0,0.0
2008-02-04,18.68,19.37,18.68,19.22,1056100,0.0,0.0
2008-02-05,19.07,19.11,18.61,18.64,862200,0.0,0.0
2008-02-06,18.7,18.82,18.36,18.44,1450400,0.0,0.0
2008-02-07,18.3,18.55,18.22,18.42,1288600,0.0,0.0
2008-02-08,18.31,18.46,18.17,18.25,1129600,0.0,0.0
2008-02-11,18.42,18.7,18.34,18.37,1561700,0.0,0.0
2008-02-12,18.43,18.58,18.3,18.55,1308600,0.0,0.0
