Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,5.6817,5.7182,5.4702,5.5577,467500,0.0,0
2008-01-03,5.5796,5.6452,5.2441,5.2587,418900,0.0,0
2008-01-04,5.2003,5.39,5.1566,5.2514,453100,0.0,0
2008-01-07,5.2806,5.3681,5.266,5.3097,361400,0.0,0
2008-01-08,5.3243,5.441,5.1201,5.2295,373800,0.0,0
2008-01-09,5.142,5.3243,5.0253,5.3024,522500,0.0,0
2008-01-10,5.2587,5.3973,5.2295,5.317,584900,0.0,0
2008-01-11,5.266,5.2951,5.0836,5.0836,232200,0.0,0
2008-01-14,5.1274,5.1566,4.9815,5.0618,403600,0.0,0
2008-01-15,4.9742,5.1128,4.8721,4.9815,341900,0.0,0
2008-01-16,4.9815,5.2295,4.8648,5.0545,432900,0.0,0
2008-01-17,5.0909,5.1347,4.7992,4.894,405700,0.0,0
2008-01-18,4.7992,4.9013,4.5658,4.5877,586500,0.0,0
2008-01-22,4.4345,4.5731,4.3689,4.398,676800,0.0,0
2008-01-23,4.3032,4.5877,4.1938,4.5147,679800,0.0,0
2008-01-24,4.5439,4.8138,4.5293,4.7044,521000,0.0,0
2008-01-25,4.7919,5.1055,4.7627,4.7919,462600,0.0,0
2008-01-28,4.7919,5.0763,4.7919,5.0545,413500,0.0,0
2008-01-29,5.0982,5.1201,4.9888,5.018,290000,0.0,0
2008-01-30,4.9815,5.1566,4.9305,4.9523,325900,0.0,0
2008-01-31,4.8575,5.2076,4.8065,5.1201,432700,0.0,0
2008-02-01,5.1639,5.317,4.9669,5.0982,282900,0.0,0
2008-02-04,5.0909,5.1055,4.9596,4.9596,287600,0.0,0
2008-02-05,4.8356,5.0763,4.8356,4.9596,362600,0.0,0
2008-02-06,5.0034,5.0545,4.8284,4.8502,222100,0.0,0
2008-02-07,4.8429,5.0545,4.8065,4.9669,292300,0.0,0
2008-02-08,4.9523,5.0763,4.9305,4.9523,235000,0.0,0
2008-02-11,4.9523,5.0107,4.8356,4.9086,254800,0.0,0
2008-02-12,4.9232,5.0326,4.9086,4.9378,244300,0.0,0
2008-02-13,4.9888,5.0545,4.9523,4.9523,397300,0.0,0
2008-02-14,4.9523,5.0618,4.8575,4.9013,336800,0.0,0
2008-02-15,4.8575,4.9013,4.7846,4.7992,320300,0.0,0
2008-02-19,4.8502,4.8721,4.719,4.7919,290600,0.0,0
2008-02-20,4.77,4.7846,4.5658,4.6168,435000,0.0,0
2008-02-21,4.6679,4.6679,4.398,4.4053,541000,0.0,0
2008-02-22,4.4345,4.4491,4.2449,4.2886,587300,0.0,0
2008-02-25,4.2886,4.4491,4.2595,4.4418,487700,0.0,0
2008-02-26,4.4053,4.5585,4.4053,4.4199,466200,0.0,0
2008-02-27,4.398,4.522,4.3324,4.4637,285000,0.0,0
2008-02-28,4.4199,4.4418,4.2376,4.3251,414500,0.0,0
2008-02-29,4.4199,4.4491,3.9896,4.2303,1023100,0.0,0
2008-03-03,4.223,4.2668,4.0552,4.2449,748500,0.0,0
2008-03-04,4.1938,4.3032,4.1355,4.2376,480400,0.0,0
2008-03-05,4.2959,4.5293,4.2522,4.3762,618400,0.0,0
2008-03-06,4.3616,4.4126,4.2157,4.2303,631900,0.0,0
2008-03-07,4.1719,4.3907,4.1719,4.3324,343300,0.0,0
2008-03-10,4.3689,4.4053,4.274,4.3105,510900,0.0,0
2008-03-11,4.4345,4.522,4.3689,4.398,542900,0.0,0
2008-03-12,4.4126,4.646,4.4126,4.4783,2185700,0.0,0
2008-03-13,4.4199,4.5658,4.4199,4.5147,674900,0.0,0
2008-03-14,4.5658,4.5658,4.3616,4.471,490700,0.0,0
2008-03-17,4.3397,4.7044,4.3105,4.4491,495600,0.0,0
2008-03-18,4.5439,4.9086,4.5439,4.8721,471400,0.0,0
2008-03-19,4.8211,4.9305,4.5658,4.5731,392300,0.0,0
