Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,0.98,0.98,0.98,0.98,100,0,0
2008-01-03,0.98,0.98,0.98,0.98,0,0,0
2008-01-04,0.98,0.98,0.98,0.98,0,0,0
2008-01-07,0.98,0.98,0.98,0.98,0,0,0
2008-01-08,0.98,0.98,0.95,0.95,12000,0,0
2008-01-09,0.95,0.95,0.95,0.95,0,0,0
2008-01-10,0.95,0.95,0.92,0.92,28000,0,0
2008-01-11,0.92,0.92,0.92,0.92,11251,0,0
2008-01-14,0.92,0.92,0.92,0.92,0,0,0
2008-01-15,0.92,0.92,0.92,0.92,0,0,0
2008-01-16,0.91,0.91,0.91,0.91,3000,0,0
2008-01-17,0.9,0.9,0.9,0.9,7500,0,0
2008-01-18,0.9,0.9,0.9,0.9,0,0,0
2008-01-22,0.9,0.9,0.85,0.85,110000,0,0
2008-01-23,0.84,0.84,0.84,0.84,15100,0,0
2008-01-24,0.84,0.84,0.84,0.84,0,0,0
2008-01-25,0.84,0.84,0.84,0.84,5000,0,0
2008-01-28,0.9,0.9,0.9,0.9,25000,0,0
2008-01-29,0.85,0.85,0.81,0.81,21000,0,0
2008-01-30,0.81,0.81,0.81,0.81,15000,0,0
2008-01-31,0.85,0.85,0.85,0.85,17000,0,0
2008-02-01,0.89,0.9,0.85,0.85,17000,0,0
2008-02-04,0.85,0.85,0.85,0.85,0,0,0
2008-02-05,0.85,0.85,0.85,0.85,0,0,0
2008-02-06,0.85,0.85,0.82,0.82,20000,0,0
2008-02-07,0.89,0.89,0.82,0.82,18000,0,0
2008-02-08,0.82,0.82,0.82,0.82,3000,0,0
2008-02-11,0.82,0.89,0.82,0.89,15000,0,0
2008-02-12,0.89,0.89,0.89,0.89,0,0,0
2008-02-13,0.83,0.83,0.83,0.83,1000,0,0
2008-02-14,0.83,0.83,0.83,0.83,0,0,0
2008-02-15,0.83,0.83,0.83,0.83,10000,0,0
2008-02-19,0.83,0.83,0.83,0.83,500,0,0
2008-02-20,0.85,0.85,0.82,0.82,20000,0,0
2008-02-21,0.82,0.82,0.81,0.81,5000,0,0
2008-02-22,0.81,0.81,0.81,0.81,0,0,0
2008-02-25,0.9,0.9,0.9,0.9,5000,0,0
2008-02-26,0.83,0.83,0.82,0.82,6000,0,0
2008-02-27,0.82,0.82,0.82,0.82,0,0,0
2008-02-28,0.82,0.82,0.82,0.82,0,0,0
2008-02-29,0.85,0.85,0.85,0.85,3000,0,0
2008-03-03,0.85,0.85,0.85,0.85,0,0,0
2008-03-04,0.85,0.85,0.85,0.85,0,0,0
2008-03-05,0.9,0.9,0.9,0.9,25000,0,0
2008-03-06,0.9,0.9,0.9,0.9,0,0,0
2008-03-07,0.9,0.9,0.9,0.9,0,0,0
2008-03-10,0.9,0.9,0.9,0.9,0,0,0
2008-03-11,0.87,0.88,0.87,0.88,510000,0,0
2008-03-12,0.9,0.9,0.9,0.9,2500,0,0
2008-03-13,0.83,0.83,0.83,0.83,2468,0,0
2008-03-14,0.83,0.83,0.83,0.83,0,0,0
2008-03-17,0.83,0.83,0.83,0.83,0,0,0
2008-03-18,0.87,0.87,0.87,0.87,3000,0,0
2008-03-19,0.87,0.87,0.87,0.87,0,0,0
2008-03-20,0.87,0.87,0.87,0.87,0,0,0
