Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,6.98,6.99,6.72,6.89,28400,0.0,0
2008-01-03,6.89,6.89,6.61,6.87,20600,0.0,0
2008-01-04,6.87,6.87,6.81,6.83,19300,0.0,0
2008-01-07,6.83,6.83,6.75,6.75,18900,0.0,0
2008-01-08,6.74,6.82,6.73,6.76,23600,0.0,0
2008-01-09,6.75,6.79,6.6,6.65,28400,0.0,0
2008-01-10,6.65,6.7,6.58,6.7,37300,0.0,0
2008-01-11,6.6,6.72,6.6,6.72,33400,0.0,0
2008-01-14,6.73,6.82,6.73,6.79,27800,0.0,0
2008-01-15,6.8,6.8,6.7,6.73,47600,0.0,0
2008-01-16,6.69,6.7,6.61,6.64,38100,0.0,0
2008-01-17,6.67,6.69,6.55,6.56,13900,0.0,0
2008-01-18,6.58,6.58,6.48,6.48,23700,0.0,0
2008-01-22,6.27,6.37,6.23,6.36,42900,0.0,0
2008-01-23,6.19,7.07,6.19,6.45,45200,0.0,0
2008-01-24,6.45,6.53,6.45,6.5,17200,0.0,0
2008-01-25,6.51,6.56,6.36,6.37,17200,0.0,0
2008-01-28,6.37,6.43,6.34,6.42,21600,0.0,0
2008-01-29,6.46,6.47,6.43,6.47,16800,0.0,0
2008-01-30,6.47,6.52,6.46,6.51,19700,0.0,0
2008-01-31,6.48,6.54,6.38,6.54,19700,0.0,0
2008-02-01,6.56,6.71,6.56,6.63,20400,0.0,0
2008-02-04,6.62,6.64,6.58,6.6,38600,0.0,0
2008-02-05,6.56,6.56,6.47,6.48,37600,0.0,0
2008-02-06,6.51,6.55,6.49,6.53,20800,0.0,0
2008-02-07,6.48,6.51,6.43,6.51,18300,0.0,0
2008-02-08,6.47,6.57,6.47,6.47,21800,0.0,0
2008-02-11,6.46,6.51,6.44,6.51,20700,0.0,0
2008-02-12,6.46,6.61,6.46,6.57,39300,0.0,0
2008-02-13,6.6,6.66,6.6,6.65,20300,0.0,0
2008-02-14,6.62,6.68,6.38,6.53,61500,0.0,0
2008-02-15,6.51,6.57,6.47,6.56,25800,0.0,0
2008-02-19,6.58,6.61,6.57,6.57,9500,0.0,0
2008-02-20,6.57,6.57,6.53,6.56,16900,0.0,0
2008-02-21,6.6,6.63,6.55,6.56,20900,0.0,0
2008-02-22,6.55,6.64,6.55,6.63,19100,0.0,0
2008-02-25,6.64,6.64,6.61,6.62,16600,0.0,0
2008-02-26,6.64,6.65,6.58,6.62,26700,0.0,0
2008-02-27,6.62,6.7,6.61,6.68,16600,0.0,0
2008-02-28,6.65,6.74,6.65,6.71,17600,0.0,0
2008-02-29,6.69,6.69,6.58,6.58,12200,0.0,0
2008-03-03,6.6,6.61,6.55,6.57,18500,0.0,0
2008-03-04,6.65,6.65,6.45,6.5,20400,0.0,0
2008-03-05,6.51,6.6,6.51,6.55,27800,0.0,0
2008-03-06,6.53,6.55,6.5,6.51,21600,0.0,0
2008-03-07,6.49,6.5,6.39,6.4,27800,0.0,0
2008-03-10,6.37,6.41,6.36,6.38,29300,0.0,0
2008-03-11,6.46,6.47,6.42,6.47,21700,0.0,0
2008-03-12,6.5,6.55,6.48,6.48,15700,0.0,0
2008-03-13,6.45,6.47,6.41,6.46,17700,0.0,0
2008-03-14,6.47,6.49,6.38,6.46,7400,0.0,0
2008-03-17,6.37,6.38,6.3,6.3,12100,0.0,0
2008-03-18,6.32,6.39,6.32,6.39,15800,0.39,0
2008-03-19,6.37,6.42,6.3,6.3,14300,0.0,0
2008-03-20,6.27,6.31,6.21,6.3,13900,0.0,0
2008-03-24,6.33,6.4,6.32,6.38,34400,0.0,0
2008-03-25,6.4,6.47,6.4,6.45,29600,0.0,0
2008-03-26,6.47,6.47,6.4,6.42,16800,0.0,0
2008-03-27,6.43,6.48,6.4,6.43,15000,0.0,0
2008-03-28,6.42,6.45,6.4,6.41,10000,0.0,0
2008-03-31,6.4,6.43,6.39,6.39,23200,0.0,0
2008-04-01,6.42,6.51,6.42,6.51,27100,0.0,0
2008-04-02,6.47,6.58,6.47,6.54,15600,0.0,0
2008-04-03,6.57,6.62,6.54,6.61,19400,0.0,0
2008-04-04,6.58,6.66,6.58,6.62,10700,0.0,0
2008-04-07,6.62,6.72,6.62,6.68,22600,0.0,0
2008-04-08,6.63,6.68,6.63,6.65,10600,0.0,0
2008-04-09,6.66,6.66,6.56,6.58,17200,0.0,0
2008-04-10,6.59,6.63,6.54,6.61,9200,0.0,0
2008-04-11,6.57,6.6,6.51,6.52,21300,0.0,0
2008-04-14,6.48,6.57,6.46,6.53,16700,0.0,0
2008-04-15,6.49,6.57,6.49,6.53,17200,0.0,0
2008-04-16,6.56,6.65,6.56,6.64,30700,0.0,0
2008-04-17,6.55,6.64,6.55,6.62,19600,0.0,0
2008-04-18,6.65,6.69,6.63,6.68,27300,0.0,0
2008-04-21,6.64,6.71,6.64,6.71,19900,0.0,0
2008-04-22,6.7,6.71,6.63,6.68,24500,0.0,0
2008-04-23,6.68,6.72,6.68,6.71,19200,0.0,0
2008-04-24,6.73,6.73,6.67,6.69,31500,0.0,0
2008-04-25,6.7,6.71,6.68,6.7,18200,0.0,0
2008-04-28,6.72,6.74,6.7,6.7,15600,0.0,0
2008-04-29,6.7,6.72,6.69,6.69,18800,0.0,0
2008-04-30,6.69,6.9,6.69,6.76,31300,0.0,0
2008-05-01,6.74,6.78,6.74,6.75,20600,0.0,0
2008-05-02,6.82,6.85,6.82,6.84,25000,0.0,0
2008-05-05,6.81,6.85,6.81,6.85,23200,0.0,0
2008-05-06,6.84,6.89,6.83,6.88,24100,0.0,0
2008-05-07,6.89,6.89,6.85,6.89,11800,0.0,0
2008-05-08,6.89,6.92,6.89,6.9,11800,0.0,0
2008-05-09,6.9,6.9,6.82,6.84,12200,0.0,0
2008-05-12,6.81,6.84,6.8,6.83,8200,0.0,0
2008-05-13,6.81,6.84,6.8,6.81,19000,0.0,0
2008-05-14,6.86,6.92,6.86,6.87,13000,0.0,0
2008-05-15,6.84,6.87,6.8,6.86,15500,0.0,0
2008-05-16,6.86,6.87,6.82,6.86,17300,0.0,0
2008-05-19,6.87,6.92,6.87,6.88,24500,0.0,0
2008-05-20,6.86,6.92,6.83,6.91,23800,0.0,0
2008-05-21,6.95,6.95,6.9,6.94,16500,0.0,0
2008-05-22,6.95,6.95,6.9,6.91,23500,0.0,0
2008-05-23,6.92,6.92,6.82,6.86,27400,0.0,0
2008-05-27,6.89,6.91,6.88,6.91,13600,0.0,0
2008-05-28,6.88,6.97,6.87,6.94,17300,0.0,0
2008-05-29,6.91,6.98,6.91,6.95,19700,0.0,0
