Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,19.7,20.0,19.15,19.18,1966400,0.0,0
2008-01-03,19.2,19.36,19.1,19.28,1290100,0.0,0
2008-01-04,19.21,19.35,18.85,18.96,2180000,0.0,0
2008-01-07,19.05,19.08,18.27,18.36,3180200,0.0,0
2008-01-08,18.42,18.73,18.06,18.1,2333300,0.0,0
2008-01-09,18.0,18.34,17.94,18.26,1430500,0.0,0
2008-01-10,18.2,18.47,17.88,17.96,1990400,0.0,0
2008-01-11,17.78,18.06,17.56,17.7,2281800,0.0,0
2008-01-14,17.85,18.39,17.42,18.31,3199500,0.0,0
2008-01-15,18.02,18.1,17.56,17.59,2296000,0.0,0
2008-01-16,17.64,18.06,17.51,17.81,2544100,0.0,0
2008-01-17,17.84,18.11,17.8,18.04,3140800,0.0,0
2008-01-18,18.14,18.54,17.96,18.29,2852800,0.0,0
2008-01-22,17.62,18.36,17.62,18.13,1498000,0.0,0
2008-01-23,17.76,18.58,17.31,18.55,4196100,0.0,0
2008-01-24,18.72,19.22,18.51,19.17,2248400,0.0,0
2008-01-25,19.22,19.58,18.93,19.11,2169800,0.0,0
2008-01-28,18.86,19.71,18.86,19.67,2036800,0.0,0
2008-01-29,19.73,20.28,19.63,20.05,2410400,0.0,0
2008-01-30,20.06,20.1,19.71,19.79,2138100,0.0,0
2008-01-31,19.43,20.31,19.43,20.18,1705100,0.0,0
2008-02-01,20.13,20.85,20.01,20.68,2316700,0.0,0
2008-02-04,20.7,20.71,20.44,20.69,1905400,0.0,0
2008-02-05,20.37,20.5,19.89,20.13,1324600,0.0,0
2008-02-06,20.23,20.72,19.96,19.97,1856200,0.0,0
2008-02-07,19.95,20.07,19.69,19.95,1519000,0.0,0
2008-02-08,19.91,20.14,19.65,19.78,1522600,0.0,0
2008-02-11,19.77,20.17,19.73,20.03,1120100,0.0,0
2008-02-12,20.02,20.37,19.89,20.25,1257400,0.0,0
2008-02-13,20.46,20.51,20.2,20.31,1600100,0.0,0
2008-02-14,19.33,19.53,18.91,19.31,4963600,0.0,0
2008-02-15,19.27,20.0,19.19,20.0,1540500,0.0,0
2008-02-19,19.9,20.03,19.24,19.33,1883700,0.0,0
