Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,10.9,10.9,10.38,10.5,259500,0.0,0
2008-01-03,10.62,10.67,10.2,10.2,225300,0.0,0
2008-01-04,10.08,10.13,9.69,9.75,175400,0.0,0
2008-01-07,9.77,10.16,9.64,9.95,196400,0.0,0
2008-01-08,9.99,10.23,9.38,9.45,283700,0.0,0
2008-01-09,9.37,9.7,9.22,9.7,202400,0.0,0
2008-01-10,9.59,9.92,9.48,9.77,183000,0.0,0
2008-01-11,9.67,9.8,9.43,9.44,192500,0.0,0
2008-01-14,9.53,9.82,9.48,9.76,107900,0.0,0
2008-01-15,9.64,9.65,9.15,9.51,182100,0.0,0
2008-01-16,9.53,9.68,8.95,9.04,429100,0.0,0
2008-01-17,9.03,9.15,8.56,8.62,241900,0.0,0
2008-01-18,8.65,8.75,8.12,8.33,303400,0.0,0
2008-01-22,7.99,8.76,7.96,8.68,413900,0.0,0
2008-01-23,8.46,9.16,8.11,9.1,356200,0.0,0
2008-01-24,9.14,9.34,8.89,9.21,232600,0.0,0
2008-01-25,9.34,9.48,9.12,9.46,300200,0.0,0
2008-01-28,9.45,9.89,9.19,9.8,330500,0.0,0
2008-01-29,9.84,10.1,9.6,9.84,190700,0.0,0
2008-01-30,9.75,10.46,9.72,9.9,271900,0.0,0
2008-01-31,9.7,10.47,9.59,10.46,306500,0.0,0
2008-02-01,10.48,10.48,9.73,10.05,322200,0.0,0
2008-02-04,10.05,10.43,9.84,10.32,279000,0.0,0
2008-02-05,10.1,10.31,9.72,9.77,253500,0.0,0
2008-02-06,9.86,10.0,9.48,9.59,197300,0.0,0
2008-02-07,9.58,9.96,9.42,9.95,265400,0.0,0
2008-02-08,9.92,9.92,9.11,9.37,247500,0.0,0
2008-02-11,9.42,9.71,9.25,9.45,132600,0.0,0
2008-02-12,9.48,9.64,9.28,9.41,125300,0.0,0
2008-02-13,9.55,9.98,9.55,9.9,168500,0.0,0
2008-02-14,9.94,9.94,9.41,9.47,99100,0.0,0
2008-02-15,9.41,9.47,9.19,9.43,150900,0.0,0
2008-02-19,9.58,9.75,9.48,9.54,101100,0.0,0
2008-02-20,9.47,9.67,9.36,9.55,162200,0.0,0
2008-02-21,9.69,9.96,9.34,9.37,135000,0.0,0
2008-02-22,9.36,9.46,9.09,9.4,131600,0.0,0
2008-02-25,9.38,9.79,9.25,9.7,119700,0.0,0
2008-02-26,9.65,10.28,9.63,10.17,239200,0.0,0
2008-02-27,10.08,10.41,9.5,9.5,464600,0.0,0
2008-02-28,9.96,10.04,9.68,9.89,702700,0.0,0
2008-02-29,9.82,10.59,9.74,10.14,401100,0.0,0
2008-03-03,10.18,10.99,10.05,10.98,617700,0.0,0
2008-03-04,10.87,11.37,10.62,10.63,511500,0.0,0
2008-03-05,10.82,11.04,10.66,10.8,610200,0.0,0
2008-03-06,10.82,11.12,10.65,10.68,205400,0.045,0
2008-03-07,11.02,11.06,10.26,10.82,238900,0.0,0
2008-03-10,10.9,11.09,10.35,10.39,242500,0.0,0
2008-03-11,10.71,10.95,10.24,10.77,420700,0.0,0
2008-03-12,10.83,11.37,10.61,11.22,521100,0.0,0
2008-03-13,11.07,11.33,10.91,11.2,279200,0.0,0
2008-03-14,11.32,11.32,10.65,10.83,154600,0.0,0
2008-03-17,10.51,10.6,10.27,10.27,269900,0.0,0
2008-03-18,10.57,10.65,10.23,10.65,407500,0.0,0
2008-03-19,10.72,11.16,10.35,10.39,257800,0.0,0
2008-03-20,10.86,11.16,10.13,11.06,630300,0.0,0
2008-03-24,11.22,11.29,11.01,11.15,700800,0.0,0
2008-03-25,11.16,11.19,11.01,11.16,375400,0.0,0
