Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,22.79,22.79,22.3,22.32,181000,0.0,0.0
2008-01-03,22.47,22.74,22.47,22.71,333000,0.0,0.0
2008-01-04,22.73,22.86,22.66,22.72,275800,0.0,0.0
2008-01-07,23.07,23.2,22.98,23.15,172200,0.0,0.0
2008-01-08,23.65,23.76,23.28,23.36,244000,0.0,0.0
2008-01-09,24.15,24.31,24.04,24.26,373600,0.0,0.0
2008-01-10,24.22,24.49,24.14,24.34,247600,0.0,0.0
2008-01-11,24.18,24.23,23.91,24.07,178400,0.0,0.0
2008-01-14,23.99,24.13,23.86,23.98,123000,0.0,0.0
2008-01-15,23.84,23.94,23.6,23.8,328400,0.0,0.0
2008-01-16,23.94,24.13,23.52,23.57,795200,0.0,0.0
2008-01-17,23.61,23.74,23.01,23.07,609800,0.0,0.0
2008-01-18,23.64,23.75,23.03,23.22,278600,0.0,0.0
2008-01-22,21.4,22.03,21.22,21.97,666400,0.0,0.0
2008-01-23,21.06,21.5,20.83,21.43,582400,0.0,0.0
2008-01-24,21.07,21.13,20.81,21.03,308000,0.0,0.0
2008-01-25,21.89,21.93,21.19,21.3,302200,0.0,0.0
2008-01-28,21.55,21.66,21.22,21.65,249000,0.0,0.0
2008-01-29,21.59,21.82,21.52,21.68,152200,0.0,0.0
2008-01-30,21.55,22.06,21.51,21.93,546800,0.0,0.0
2008-01-31,21.3,21.98,21.28,21.78,569200,0.0,0.0
2008-02-01,21.73,21.94,21.61,21.86,246800,0.0,0.0
2008-02-04,21.85,21.97,21.65,21.92,293600,0.0,0.0
2008-02-05,21.38,21.41,21.13,21.19,262000,0.0,0.0
2008-02-06,20.98,21.0,20.71,20.79,255800,0.0,0.0
2008-02-07,20.39,20.48,20.21,20.45,334600,0.0,0.0
2008-02-08,20.36,20.77,20.32,20.74,193800,0.0,0.0
2008-02-11,20.89,20.94,20.68,20.91,153000,0.0,0.0
2008-02-12,21.22,21.4,21.07,21.15,135600,0.0,0.0
2008-02-13,21.19,21.56,21.17,21.48,135400,0.0,0.0
2008-02-14,21.02,21.38,20.86,20.96,509400,0.0,0.0
2008-02-15,21.42,21.63,21.36,21.63,201800,0.0,0.0
2008-02-19,21.62,21.81,21.54,21.56,136800,0.0,0.0
2008-02-20,21.9,22.26,21.9,22.25,361000,0.0,0.0
2008-02-21,22.2,22.27,21.81,21.87,482800,0.0,0.0
2008-02-22,22.27,22.3,21.92,22.15,204800,0.0,0.0
2008-02-25,21.93,22.12,21.8,22.12,246000,0.0,0.0
2008-02-26,22.24,22.38,22.08,22.35,173800,0.0,0.0
2008-02-27,22.09,22.57,22.09,22.39,129600,0.0,0.0
2008-02-28,22.31,22.4,22.18,22.34,69000,0.0,0.0
2008-02-29,22.13,22.33,22.0,22.11,147400,0.0,0.0
2008-03-03,22.07,22.17,22.0,22.16,119800,0.0,0.0
2008-03-04,21.79,21.93,21.6,21.76,216600,0.0,0.0
2008-03-05,22.23,22.41,22.14,22.25,177400,0.0,0.0
2008-03-06,22.29,22.3,22.09,22.12,136800,0.0,0.0
2008-03-07,22.24,22.36,22.14,22.19,121000,0.0,0.0
2008-03-10,21.99,21.99,21.54,21.65,114400,0.0,0.0
2008-03-11,21.73,21.79,21.32,21.5,190000,0.0,0.0
2008-03-12,21.44,21.48,21.13,21.21,276200,0.0,0.0
2008-03-13,20.51,21.29,20.41,21.18,274600,0.0,0.0
2008-03-14,20.89,20.98,20.54,20.75,236200,0.0,0.0
2008-03-17,20.82,21.05,20.57,20.79,248000,0.0,0.0
2008-03-18,20.69,20.8,20.15,20.41,201400,0.0,0.0
2008-03-19,19.81,19.89,19.41,19.43,285200,0.0,0.0
2008-03-20,19.89,20.27,19.84,20.24,314200,0.0,0.0
2008-03-24,20.21,20.43,20.19,20.39,99800,0.0,0.0
2008-03-25,20.34,20.51,20.2,20.49,165800,0.0,0.0
2008-03-26,20.64,20.8,20.57,20.78,150400,0.0,0.0
2008-03-27,21.02,21.17,20.86,20.91,194800,0.0,0.0
2008-03-28,21.11,21.15,20.94,20.96,184800,0.0,0.0
2008-03-31,21.16,21.4,20.95,21.26,204200,0.0,0.0
2008-04-01,21.36,21.4,21.22,21.37,143800,0.0,0.0
2008-04-02,21.26,21.62,21.23,21.5,119800,0.0,0.0
2008-04-03,21.44,21.82,21.44,21.78,125400,0.0,0.0
2008-04-04,21.81,21.92,21.7,21.87,86400,0.0,0.0
2008-04-07,21.8,21.95,21.75,21.82,165200,0.0,0.0
2008-04-08,21.71,21.77,21.59,21.68,86400,0.0,0.0
2008-04-09,21.79,21.86,21.67,21.76,91000,0.0,0.0
2008-04-10,21.82,21.92,21.68,21.79,113000,0.0,0.0
2008-04-11,21.65,21.65,21.38,21.44,92000,0.0,0.0
2008-04-14,21.48,21.48,21.23,21.24,149800,0.0,0.0
2008-04-15,21.65,21.66,21.45,21.59,150200,0.0,0.0
2008-04-16,21.63,21.74,21.51,21.74,82600,0.0,0.0
2008-04-17,21.26,21.26,20.89,20.93,137600,0.0,0.0
2008-04-18,21.78,21.91,21.55,21.84,150000,0.0,0.0
2008-04-21,21.95,22.06,21.83,22.01,97200,0.0,0.0
2008-04-22,21.99,22.07,21.83,21.86,81400,0.0,0.0
2008-04-23,21.77,22.03,21.73,21.99,66000,0.0,0.0
2008-04-24,21.77,21.92,21.61,21.87,119800,0.0,0.0
2008-04-25,22.19,22.33,22.17,22.3,103400,0.0,0.0
2008-04-28,22.1,22.24,22.04,22.08,81400,0.0,0.0
2008-04-29,22.02,22.44,21.98,22.27,103200,0.0,0.0
2008-04-30,22.38,22.54,22.32,22.36,152400,0.0,0.0
2008-05-01,22.48,22.59,22.22,22.57,94400,0.0,0.0
2008-05-02,22.15,22.17,21.9,21.96,144800,0.0,0.0
2008-05-05,22.17,22.17,21.98,22.08,96600,0.0,0.0
2008-05-06,22.42,22.62,22.37,22.52,124200,0.0,0.0
2008-05-07,22.15,22.2,22.01,22.04,145800,0.0,0.0
2008-05-08,22.27,22.49,22.24,22.36,276800,0.0,0.0
2008-05-09,22.52,22.74,22.5,22.57,157600,0.0,0.0
2008-05-12,22.88,23.24,22.83,23.24,157000,0.0,0.0
2008-05-13,23.37,23.41,23.23,23.26,128800,0.0,0.0
2008-05-14,23.11,23.12,22.86,22.88,215600,0.0,0.0
2008-05-15,22.93,22.96,22.77,22.88,147400,0.0,0.0
2008-05-16,23.28,23.36,23.18,23.35,150600,0.416,0.0
2008-05-19,23.46,23.53,23.18,23.34,139400,0.0,0.0
2008-05-20,23.29,23.31,23.08,23.26,145400,0.0,0.0
2008-05-21,23.39,23.45,23.1,23.14,86800,0.0,0.0
2008-05-22,23.5,23.92,23.49,23.79,120400,0.0,0.0
2008-05-23,23.83,23.83,23.49,23.55,105400,0.0,0.0
2008-05-27,23.9,24.13,23.9,24.03,122000,0.0,0.0
2008-05-28,23.91,24.01,23.77,23.95,140000,0.0,0.0
2008-05-29,23.55,23.83,23.46,23.72,142400,0.0,0.0
2008-05-30,23.78,24.0,23.76,23.92,184800,0.0,0.0
2008-06-02,23.61,23.78,23.52,23.72,74000,0.0,0.0
2008-06-03,23.6,23.76,23.52,23.65,151800,0.0,0.0
2008-06-04,23.54,23.81,23.52,23.73,158000,0.0,0.0
2008-06-05,23.97,24.14,23.94,24.14,80200,0.0,0.0
2008-06-06,23.9,23.95,23.76,23.8,122400,0.0,0.0
2008-06-09,24.1,24.14,23.86,23.96,121000,0.0,0.0
2008-06-10,23.59,23.76,23.58,23.61,80600,0.0,0.0
2008-06-11,24.15,24.15,23.77,23.9,250400,0.0,0.0
2008-06-12,23.87,23.9,23.64,23.64,105200,0.0,0.0
2008-06-13,23.64,23.91,23.61,23.82,117600,0.0,0.0
2008-06-16,23.69,23.88,23.61,23.77,96200,0.0,0.0
2008-06-17,23.67,23.68,23.43,23.43,247200,0.0,0.0
2008-06-18,23.22,23.27,23.07,23.16,108200,0.0,0.0
2008-06-19,23.3,23.36,23.21,23.27,102600,0.0,0.0
2008-06-20,23.32,23.35,23.11,23.18,128800,0.0,0.0
2008-06-23,23.21,23.38,23.13,23.31,143600,0.0,0.0
2008-06-24,23.24,23.51,23.1,23.4,124200,0.0,0.0
2008-06-25,23.5,23.7,23.41,23.62,126800,0.0,0.0
2008-06-26,23.97,23.97,23.4,23.46,199400,0.0,0.0
2008-06-27,23.57,23.75,23.5,23.61,141000,0.0,0.0
2008-06-30,23.55,23.69,23.53,23.56,75000,0.0,0.0
2008-07-01,23.7,24.07,23.61,24.03,333000,0.0,0.0
