Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,12.88,13.17,12.45,13.12,266200,0.0,0
2008-01-03,13.06,13.06,12.77,12.97,107600,0.0,0
2008-01-04,13.08,13.08,12.27,12.5,27600,0.0,0
2008-01-07,12.59,12.59,11.69,11.77,230300,0.0,0
2008-01-08,11.77,11.77,11.48,11.48,77500,0.0,0
2008-01-09,11.43,11.54,11.3,11.48,83300,0.0,0
2008-01-10,11.26,11.78,11.17,11.54,71600,0.0,0
2008-01-11,11.56,11.58,11.14,11.19,308600,0.0,0
2008-01-14,11.42,11.42,10.37,10.84,454600,0.0,0
2008-01-15,10.71,11.06,10.41,10.47,170900,0.0,0
2008-01-16,10.36,10.41,9.86,9.98,176700,0.0,0
2008-01-17,9.86,11.52,9.22,10.82,1094800,0.0,0
2008-01-18,10.82,10.82,10.16,10.71,236300,0.0,0
2008-01-22,10.29,10.89,10.05,10.76,71100,0.0,0
2008-01-23,10.57,10.73,10.36,10.36,138600,0.0,0
2008-01-24,10.57,10.57,9.86,10.29,121100,0.0,0
2008-01-25,10.36,10.46,9.91,9.98,256400,0.0,0
2008-01-28,9.89,10.41,9.5,10.11,229300,0.0,0
2008-01-29,10.21,10.66,10.21,10.49,313300,0.0,0
2008-01-30,10.47,10.77,10.15,10.44,238400,0.0,0
2008-01-31,10.28,10.81,10.16,10.41,267400,0.0,0
2008-02-01,10.62,11.17,10.62,10.75,591900,0.0,0
2008-02-04,10.62,10.75,10.62,10.67,90000,0.0,0
2008-02-05,10.8,11.17,10.69,11.05,282700,0.0,0
2008-02-06,11.01,11.33,10.79,11.33,365000,0.0,0
2008-02-07,11.18,11.41,11.11,11.25,182800,0.0,0
2008-02-08,11.3,11.42,11.13,11.42,129700,0.0,0
2008-02-11,11.53,11.53,11.1,11.17,652800,0.0,0
2008-02-12,11.13,11.53,11.11,11.41,251800,0.0,0
2008-02-13,11.36,11.56,11.22,11.24,517600,0.0,0
2008-02-14,11.18,11.99,11.13,11.99,267000,0.0,0
2008-02-15,11.9,11.9,11.47,11.56,49300,0.0,0
2008-02-19,11.78,11.98,11.67,11.91,196400,0.0,0
2008-02-20,11.78,12.1,11.56,11.95,167500,0.0,0
2008-02-21,11.97,12.19,11.92,12.19,187600,0.0,0
2008-02-22,12.25,12.46,11.98,12.29,239500,0.0,0
2008-02-25,12.05,12.5,12.05,12.5,257300,0.0,0
2008-02-26,12.55,13.36,12.38,13.31,567000,0.0,0
2008-02-27,13.35,13.84,13.27,13.74,376900,0.0,0
2008-02-28,13.63,13.63,13.06,13.39,178800,0.0,0
2008-02-29,13.34,13.34,12.8,13.06,66800,0.0,0
2008-03-03,12.97,13.15,12.11,12.22,313700,0.0,0
2008-03-04,11.99,12.09,11.2,11.69,154600,0.0,0
2008-03-05,11.68,12.0,11.57,11.77,231000,0.0,0
2008-03-06,11.84,11.84,11.44,11.77,107300,0.0,0
2008-03-07,11.83,11.83,11.15,11.15,129200,0.0,0
2008-03-10,11.08,11.42,10.82,10.84,243500,0.0,0
2008-03-11,10.96,11.56,10.96,11.42,170700,0.0,0
2008-03-12,11.45,12.18,11.1,11.91,114200,0.0,0
2008-03-13,11.9,12.13,11.42,11.86,100700,0.0,0
2008-03-14,11.77,11.94,10.96,10.96,240800,0.0,0
2008-03-17,10.96,10.96,10.62,10.74,243800,0.0,0
2008-03-18,10.82,10.96,10.37,10.76,176600,0.0,0
2008-03-19,10.83,10.94,9.85,9.85,312800,0.0,0
2008-03-20,9.85,11.8,9.85,11.34,375100,0.0,0
2008-03-24,11.34,12.09,11.13,11.9,458600,0.0,0
2008-03-25,11.82,11.93,11.43,11.54,342200,0.0,0
2008-03-26,11.57,11.72,10.92,11.04,320400,0.0,0
2008-03-27,11.12,11.21,10.56,10.61,297100,0.0,0
2008-03-28,10.62,10.73,10.09,10.7,489500,0.0,0
2008-03-31,10.78,11.1,10.33,10.49,619800,0.0,0
2008-04-01,10.62,10.91,10.51,10.79,861900,0.0,0
2008-04-02,10.89,11.04,10.66,11.03,185600,0.0,0
2008-04-03,10.96,10.98,10.71,10.94,386900,0.0,0
2008-04-04,11.05,11.13,10.96,11.06,230600,0.0,0
2008-04-07,11.05,11.18,10.91,10.93,751100,0.0,0
2008-04-08,10.78,11.04,10.61,10.85,297900,0.0,0
2008-04-09,10.65,10.9,10.53,10.65,132900,0.0,0
2008-04-10,10.63,10.83,10.49,10.54,285400,0.0,0
2008-04-11,11.29,11.29,10.23,10.31,402400,0.0,0
2008-04-14,10.39,10.39,10.11,10.32,303900,0.0,0
2008-04-15,10.32,10.44,10.24,10.3,404200,0.0,0
2008-04-16,10.35,10.65,10.28,10.42,286700,0.0,0
2008-04-17,10.44,10.47,10.13,10.47,299400,0.0,0
2008-04-18,10.64,11.0,10.59,10.9,424700,0.0,0
2008-04-21,10.88,11.15,10.64,11.06,225800,0.0,0
2008-04-22,11.04,11.04,10.68,10.88,223100,0.0,0
2008-04-23,10.94,11.41,10.94,11.36,299500,0.0,0
2008-04-24,11.37,11.58,11.37,11.56,98300,0.0,0
2008-04-25,11.56,11.61,11.14,11.17,107800,0.0,0
2008-04-28,11.25,11.55,11.25,11.45,258400,0.0,0
2008-04-29,11.45,11.76,11.42,11.57,261700,0.0,0
2008-04-30,11.51,12.25,11.49,12.25,336000,0.0,0
2008-05-01,12.32,13.41,11.99,13.15,549200,0.0,0
2008-05-02,13.69,13.69,11.92,12.57,403100,0.0,0
2008-05-05,12.66,12.75,12.08,12.39,219200,0.0,0
2008-05-06,12.26,12.27,11.36,11.61,357800,0.0,0
2008-05-07,11.54,11.73,11.39,11.61,654200,0.0,0
2008-05-08,11.53,11.72,11.34,11.5,510000,0.0,0
2008-05-09,11.32,11.43,11.2,11.39,80100,0.0,0
2008-05-12,11.39,11.42,11.05,11.22,115500,0.0,0
2008-05-13,11.14,11.3,11.04,11.17,896600,0.0,0
2008-05-14,11.1,11.43,11.08,11.43,85300,0.0,0
2008-05-15,11.27,11.99,11.16,11.84,357000,0.0,0
2008-05-16,11.77,12.07,11.77,11.95,233600,0.0,0
2008-05-19,11.8,11.95,11.54,11.59,90200,0.0,0
2008-05-20,11.64,11.64,11.43,11.52,54600,0.0,0
2008-05-21,11.52,11.9,11.43,11.9,150700,0.0,0
2008-05-22,12.05,12.46,11.96,12.3,323900,0.0,0
2008-05-23,12.1,12.58,12.1,12.46,240800,0.0,0
2008-05-27,12.32,12.89,12.12,12.89,703400,0.0,0
2008-05-28,12.85,12.97,12.61,12.88,356400,0.0,0
2008-05-29,12.75,12.89,12.59,12.85,852000,0.0,0
2008-05-30,12.84,13.23,12.42,12.42,1004100,0.0,0
2008-06-02,12.36,12.81,12.34,12.67,260500,0.0,0
2008-06-03,12.6,13.0,12.6,13.0,200800,0.0,0
2008-06-04,12.82,13.69,12.75,13.65,312900,0.0,0
2008-06-05,13.35,13.62,13.27,13.27,455900,0.0,0
2008-06-06,13.15,13.61,13.12,13.57,191900,0.0,0
2008-06-09,13.45,13.62,13.34,13.59,577000,0.0,0
