Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,29.26,29.26,28.2,28.28,2643700,0.0,0
2008-01-03,28.42,28.42,27.26,27.39,2614900,0.0,0
2008-01-04,27.27,27.27,26.16,26.28,2718000,0.0,0
2008-01-07,26.46,26.76,26.22,26.5,2203200,0.0,0
2008-01-08,26.66,26.77,25.38,25.39,3008600,0.0,0
2008-01-09,25.38,25.44,23.99,24.35,7825300,0.0,0
2008-01-10,24.06,25.42,24.05,25.17,3540500,0.0,0
2008-01-11,25.0,25.2,24.62,25.17,2670100,0.0,0
2008-01-14,25.42,25.77,24.92,25.45,2315500,0.0,0
2008-01-15,25.48,25.48,24.84,25.19,2419900,0.0,0
2008-01-16,25.22,26.82,25.1,26.49,3611700,0.0,0
2008-01-17,26.61,26.61,25.62,25.99,3637800,0.0,0
2008-01-18,26.22,26.5,25.07,25.53,2856100,0.0,0
2008-01-22,24.53,25.89,24.29,25.71,3253600,0.0,0
2008-01-23,25.25,26.91,24.77,26.84,3421200,0.0,0
2008-01-24,27.05,27.2,26.34,26.93,2615900,0.0,0
2008-01-25,27.15,27.48,26.18,26.61,2646900,0.0,0
2008-01-28,26.6,28.14,26.41,28.12,2418000,0.0,0
2008-01-29,28.32,28.32,27.28,28.02,2061400,0.0,0
2008-01-30,27.9,28.63,27.84,28.14,2400100,0.0,0
2008-01-31,28.08,28.08,26.61,27.71,3531600,0.0,0
2008-02-01,27.44,28.32,27.39,28.11,3340600,0.0,0
2008-02-04,25.93,27.76,25.93,26.58,3026500,0.0,0
2008-02-05,26.81,26.81,25.51,26.01,3952900,0.0,0
2008-02-06,26.13,26.13,25.09,25.2,3118100,0.0,0
2008-02-07,25.01,25.55,24.99,25.38,3908000,0.0,0
2008-02-08,25.28,25.43,24.98,25.15,2774400,0.0,0
2008-02-11,25.17,25.19,24.36,24.65,2690000,0.0,0
2008-02-12,24.81,24.85,24.37,24.51,3098600,0.0,0
2008-02-13,24.68,24.85,24.2,24.76,3292700,0.0,0
2008-02-14,24.9,24.92,24.1,24.17,2908100,0.0,0
2008-02-15,24.02,24.2,23.54,23.93,3227800,0.0,0
2008-02-19,24.25,24.72,24.02,24.26,3058800,0.0,0
2008-02-20,24.07,24.07,23.46,23.96,3697600,0.0,0
2008-02-21,24.05,24.08,23.72,23.75,3028400,0.0,0
2008-02-22,23.81,23.87,23.45,23.81,2431800,0.0,0
2008-02-25,23.85,24.08,23.56,24.03,3478300,0.0,0
2008-02-26,23.87,24.59,23.84,24.23,3747500,0.0,0
2008-02-27,24.05,24.25,23.63,23.82,3536400,0.0,0
2008-02-28,23.53,23.57,22.66,22.68,5282700,0.0,0
2008-02-29,22.69,23.0,22.52,22.62,3510400,0.0,0
2008-03-03,22.67,22.74,22.35,22.49,3580000,0.0,0
2008-03-04,22.43,22.57,21.83,22.07,3946500,0.0,0
2008-03-05,22.02,22.52,21.83,22.33,2659100,0.4,0
2008-03-06,22.19,22.25,21.79,21.82,3142500,0.0,0
2008-03-07,21.71,21.92,21.41,21.68,3367500,0.0,0
2008-03-10,21.74,22.14,21.34,21.48,1959000,0.0,0
