Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-12-20,21.43,21.43,21.38,21.38,0,0,0.0
2012-12-21,21.34,21.43,21.34,21.41,0,0,0.0
2012-12-24,21.41,21.41,21.41,21.41,0,0,0.0
2012-12-26,21.41,21.41,21.41,21.41,0,0,0.0
2012-12-27,20.91,20.91,20.58,20.58,0,0,0.0
2012-12-28,20.56,20.56,20.56,20.56,0,0,0.0
2012-12-31,20.56,20.56,20.56,20.56,0,0,0.0
2013-01-02,21.04,22.16,20.93,21.78,100,0,0.0
2013-01-03,21.69,22.18,21.69,22.18,0,0,0.0
2013-01-04,22.09,22.38,21.98,22.38,40,0,0.0
2013-01-07,22.44,22.53,22.16,22.53,0,0,0.0
2013-01-08,22.37,22.62,22.37,22.62,0,0,0.0
2013-01-09,22.79,23.46,22.79,23.46,30,0,0.0
2013-01-10,23.1,23.1,22.85,22.86,0,0,0.0
2013-01-11,22.86,22.86,22.78,22.78,0,0,0.0
2013-01-14,22.62,22.66,22.59,22.59,0,0,0.0
2013-01-15,22.59,22.82,22.58,22.82,20,0,0.0
2013-01-16,22.77,22.8,22.77,22.8,0,0,0.0
2013-01-17,22.78,22.84,22.78,22.84,0,0,0.0
2013-01-18,22.73,24.5,22.73,24.5,0,0,0.0
2013-01-22,24.37,24.37,24.31,24.31,0,0,0.0
2013-01-23,24.2,24.24,24.02,24.24,0,0,0.0
2013-01-24,24.03,24.14,23.9,23.9,0,0,0.0
2013-01-25,23.95,24.0,23.94,23.94,0,0,0.0
2013-01-28,23.94,24.02,23.94,24.02,0,0,0.0
2013-01-29,24.05,24.05,24.05,24.05,0,0,0.0
2013-01-30,23.86,23.94,23.84,23.84,0,0,0.0
2013-01-31,23.71,23.86,23.71,23.86,0,0,0.0
2013-02-01,23.72,24.04,23.72,23.9,0,0,0.0
2013-02-04,23.91,24.06,23.91,24.06,0,0,0.0
2013-02-05,23.96,24.24,23.96,24.02,0,0,0.0
2013-02-06,23.88,24.16,23.88,24.16,0,0,0.0
2013-02-07,24.16,24.53,24.16,24.53,0,0,0.0
2013-02-08,24.64,24.64,24.53,24.56,0,0,0.0
2013-02-11,24.51,24.51,24.2,24.2,0,0,0.0
2013-02-12,24.23,24.31,24.21,24.31,0,0,0.0
2013-02-13,24.0,24.34,23.87,24.34,0,0,0.0
2013-02-14,24.49,25.15,24.42,24.94,1,0,0.0
2013-02-15,24.7,25.2,24.7,25.2,0,0,0.0
2013-02-19,25.3,25.3,24.98,24.98,0,0,0.0
2013-02-20,25.03,25.26,24.99,24.99,0,0,0.0
2013-02-21,24.84,25.07,24.84,25.07,0,0,0.0
2013-02-22,25.03,25.33,25.03,25.33,0,0,0.0
2013-02-25,25.25,25.55,25.25,25.55,0,0,0.0
2013-02-26,25.45,25.53,25.45,25.53,0,0,0.0
2013-02-27,26.02,26.08,26.02,26.08,0,0,0.0
2013-02-28,25.99,26.69,25.99,26.69,0,0,0.0
2013-03-01,26.28,26.53,26.22,26.26,50,0,0.0
2013-03-04,26.38,26.65,26.35,26.56,100,0,0.0
2013-03-05,26.54,26.97,26.54,26.97,0,0,0.0
2013-03-06,27.03,27.26,27.03,27.26,0,0,0.0
2013-03-07,27.23,27.23,26.97,26.98,0,0,0.0
2013-03-08,27.06,27.54,27.06,27.43,0,0,0.0
2013-03-11,27.4,27.4,27.2,27.2,0,0,0.0
2013-03-12,27.25,27.36,27.11,27.36,0,0,0.0
2013-03-13,27.29,27.47,27.29,27.47,0,0,0.0
2013-03-14,27.55,27.55,27.39,27.39,0,0,0.0
2013-03-15,27.4,27.4,27.22,27.26,0,0,0.0
2013-03-18,27.65,27.65,27.18,27.26,0,0,0.0
2013-03-19,27.42,27.52,27.42,27.52,0,0,0.0
2013-03-20,27.93,27.93,27.8,27.9,0,0,0.0
2013-03-21,28.01,28.06,28.01,28.03,0,0,0.0
2013-03-22,28.63,28.63,27.92,27.92,144,0,0.0
2013-03-25,27.96,28.27,27.96,28.27,0,0,0.0
2013-03-26,28.32,28.36,28.19,28.19,0,0,0.0
2013-03-27,28.35,28.52,28.35,28.52,0,0,0.0
2013-03-28,28.54,28.98,28.47,28.98,0,0,0.0
2013-04-01,28.98,28.98,28.98,28.98,0,0,0.0
2013-04-02,29.01,29.35,29.01,29.12,0,0,0.0
2013-04-03,28.98,28.98,28.5,28.5,0,0,0.0
2013-04-04,28.72,28.82,28.69,28.69,0,0,0.0
2013-04-05,28.95,29.35,28.34,28.4,40,0,0.0
2013-04-08,28.67,28.69,28.41,28.56,75,0,0.0
2013-04-09,28.73,28.73,28.33,28.4,0,0,0.0
2013-04-10,28.2,29.07,28.2,29.07,0,0,0.0
2013-04-11,29.07,29.07,28.89,28.89,0,0,0.0
2013-04-12,28.68,28.81,28.68,28.81,0,0,0.0
2013-04-15,29.15,29.15,28.66,28.67,0,0,0.0
2013-04-16,28.37,28.72,28.37,28.72,0,0,0.0
2013-04-17,28.99,28.99,28.5,28.5,0,0,0.0
2013-04-18,28.59,28.59,28.33,28.42,0,0,0.0
2013-04-19,28.52,28.7,28.37,28.7,0,0,0.0
2013-04-22,28.78,29.09,28.68,29.09,0,0,0.0
2013-04-23,29.22,29.26,29.22,29.26,0,0,0.0
2013-04-24,29.34,29.34,29.27,29.27,0,0,0.0
2013-04-25,28.96,28.96,28.89,28.93,0,0,0.0
2013-04-26,28.77,28.77,28.4,28.4,0,0,0.0
2013-04-29,28.52,28.52,28.24,28.24,0,0,0.0
2013-04-30,28.24,28.5,28.22,28.5,0,0,0.0
2013-05-01,28.5,28.5,28.5,28.5,0,0,0.0
2013-05-02,28.14,28.84,28.14,28.84,0,0,0.0
2013-05-03,28.83,28.83,28.64,28.81,0,0,0.0
2013-05-06,28.76,29.1,28.76,29.1,0,0,0.0
2013-05-07,29.25,29.25,29.18,29.23,0,0,0.0
2013-05-08,29.24,29.24,28.98,28.98,0,0,0.0
2013-05-09,29.25,29.45,29.25,29.4,0,0,0.0
2013-05-10,29.59,29.87,29.59,29.86,0,0,0.0
2013-05-13,29.82,29.82,29.55,29.7,0,0,0.0
2013-05-14,29.46,29.76,29.46,29.76,0,0,0.0
2013-05-15,29.92,29.99,29.77,29.77,264,0,0.0
2013-05-16,29.0,29.35,29.0,29.1,0,0,0.0
2013-05-17,29.11,29.49,29.11,29.49,0,0,0.0
2013-05-20,29.41,29.69,29.37,29.37,40,0,0.0
2013-05-21,29.33,29.51,29.33,29.47,0,0,0.0
2013-05-22,29.38,29.38,29.06,29.06,0,0,0.0
2013-05-23,28.89,28.89,28.03,28.25,0,0,0.0
2013-05-24,28.1,28.23,27.75,28.23,0,0,0.0
2013-05-28,28.53,28.53,28.32,28.32,0,0,0.0
2013-05-29,28.33,28.33,27.53,27.53,0,0,0.0
2013-05-30,27.41,27.41,27.07,27.07,0,0,0.0
2013-05-31,26.94,27.03,26.82,26.98,55,0,0.0
2013-06-03,26.68,26.84,26.21,26.21,0,0,0.0
2013-06-04,26.63,26.63,26.38,26.38,40,0,0.0
2013-06-05,26.36,26.36,26.1,26.1,0,0,0.0
2013-06-06,25.92,26.18,25.92,26.18,0,0,0.0
2013-06-07,26.5,26.5,26.21,26.42,0,0,0.0
2013-06-10,26.27,26.27,25.97,25.97,0,0,0.0
2013-06-11,26.02,26.02,25.8,25.87,0,0,0.0
2013-06-12,25.8,25.85,25.41,25.41,0,0,0.0
2013-06-13,25.42,26.09,25.42,26.09,0,0,0.0
2013-06-14,26.24,26.4,26.12,26.14,175,0,0.0
2013-06-17,26.15,26.15,26.0,26.0,0,0,0.0
2013-06-18,26.06,26.06,25.71,25.93,0,0,0.0
2013-06-19,26.08,26.28,26.03,26.28,0,0,0.0
2013-06-20,26.3,26.3,25.86,25.86,0,0,0.0
2013-06-21,25.67,25.74,25.67,25.74,0,0,0.0
2013-06-24,25.81,25.81,25.16,25.29,0,0,0.0
2013-06-25,25.29,25.59,25.29,25.59,30,0,0.0
2013-06-26,25.73,26.08,25.73,26.0,0,0,0.0
2013-06-27,25.89,26.0,25.89,25.99,0,0,0.0
2013-06-28,25.93,26.16,25.78,26.16,0,0,0.0
2013-07-01,25.99,26.26,25.99,26.24,0,0,0.0
2013-07-02,26.28,26.53,26.28,26.37,0,0,0.0
2013-07-03,26.54,26.54,26.3,26.48,0,0,0.0
2013-07-05,26.59,26.68,26.59,26.68,0,0,0.0
2013-07-08,27.06,27.06,26.71,26.71,0,0,0.0
2013-07-09,26.71,27.04,26.71,27.04,0,0,0.0
2013-07-10,27.36,27.36,26.83,26.83,0,0,0.0
2013-07-11,26.8,27.05,26.51,26.51,110,0,0.0
2013-07-12,26.48,26.76,26.48,26.76,0,0,0.0
2013-07-15,26.8,26.8,26.56,26.56,0,0,0.0
2013-07-16,26.63,26.63,26.17,26.17,0,0,0.0
2013-07-17,26.33,26.52,26.33,26.48,0,0,0.0
2013-07-18,26.57,26.79,26.57,26.79,0,0,0.0
2013-07-19,26.74,26.89,26.74,26.89,0,0,0.0
2013-07-22,27.0,27.0,26.89,26.91,0,0,0.0
2013-07-23,26.99,26.99,26.75,26.75,0,0,0.0
2013-07-24,26.81,26.81,26.68,26.81,0,0,0.0
2013-07-25,26.82,26.82,26.56,26.68,0,0,0.0
2013-07-26,26.64,26.64,26.55,26.58,0,0,0.0
2013-07-29,26.61,26.78,26.61,26.78,0,0,0.0
2013-07-30,26.59,26.62,26.35,26.35,0,0,0.0
2013-07-31,26.46,26.46,26.07,26.07,0,0,0.0
2013-08-01,26.09,26.24,26.09,26.18,0,0,0.0
2013-08-02,26.25,26.25,25.89,25.89,0,0,0.0
2013-08-05,25.91,25.91,25.76,25.76,0,0,0.0
2013-08-06,26.06,26.06,25.67,25.76,0,0,0.0
2013-08-07,25.9,26.12,25.65,26.12,0,0,0.0
2013-08-08,26.27,26.35,26.27,26.3,0,0,0.0
2013-08-09,26.44,26.5,26.37,26.5,150,0,0.0
2013-08-12,26.68,26.68,26.37,26.52,0,0,0.0
2013-08-13,26.67,26.67,25.85,25.85,0,0,0.0
2013-08-14,25.94,25.95,25.71,25.71,0,0,0.0
2013-08-15,25.72,25.72,24.47,24.47,0,0,0.0
2013-08-16,24.57,24.59,24.21,24.59,0,0,0.0
2013-08-19,24.5,24.5,24.18,24.18,0,0,0.0
2013-08-20,24.07,24.56,23.97,24.56,0,0,0.0
2013-08-21,24.44,24.78,24.44,24.78,0,0,0.0
2013-08-22,24.71,24.71,23.69,23.69,0,0,0.0
2013-08-23,23.64,23.64,23.53,23.54,0,0,0.0
2013-08-26,23.6,23.73,23.3,23.73,0,0,0.0
2013-08-27,23.87,23.87,23.54,23.56,0,0,0.0
2013-08-28,23.57,23.95,23.57,23.74,0,0,0.0
2013-08-29,23.7,23.86,23.7,23.86,0,0,0.0
2013-08-30,23.97,24.0,23.59,23.59,40,0,0.0
2013-09-03,23.62,23.62,22.89,22.89,0,0,0.0
2013-09-04,23.15,23.15,22.89,22.94,0,0,0.0
2013-09-05,22.99,23.62,22.99,23.62,0,0,0.0
2013-09-06,23.64,23.64,23.24,23.6,0,0,0.0
2013-09-09,23.55,23.55,23.45,23.49,0,0,0.0
2013-09-10,23.75,24.8,23.75,23.95,80,0,0.0
2013-09-11,24.1,24.1,23.92,23.93,0,0,0.0
2013-09-12,23.92,24.36,23.92,24.36,0,0,0.0
2013-09-13,24.47,24.47,23.97,23.97,0,0,0.0
2013-09-16,23.88,24.23,23.79,23.79,101,0,0.0
2013-09-17,23.91,23.91,23.57,23.57,0,0,0.0
2013-09-18,23.66,23.71,23.57,23.57,0,0,0.0
2013-09-19,23.88,23.88,23.61,23.61,0,0,0.0
2013-09-20,24.06,24.21,23.98,23.98,0,0,0.0
2013-09-23,24.24,24.55,24.24,24.55,0,0,0.0
2013-09-24,24.91,25.07,24.91,25.07,0,0,0.0
2013-09-25,24.93,24.93,24.51,24.53,0,0,0.0
