Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-04-06,3.9,3.9,3.73,3.73,27066,0,0
2010-04-07,3.84,3.88,3.7,3.77,32754,0,0
2010-04-08,3.8,3.8,3.65,3.65,17899,0,0
2010-04-09,3.66,3.87,3.66,3.83,44796,0,0
2010-04-12,3.8,3.87,3.76,3.82,9792,0,0
2010-04-13,3.85,3.95,3.85,3.93,30373,0,0
2010-04-14,4.05,4.07,3.99,4.05,47850,0,0
2010-04-15,4.08,4.15,3.94,3.94,38421,0,0
2010-04-16,3.95,3.98,3.84,3.9,14414,0,0
2010-04-19,3.82,3.84,3.66,3.73,42480,0,0
2010-04-20,3.83,3.97,3.78,3.86,33744,0,0
2010-04-21,3.94,4.33,3.94,4.33,188215,0,0
2010-04-22,4.5,4.87,4.48,4.63,199618,0,0
2010-04-23,4.61,4.61,4.2,4.53,71512,0,0
2010-04-26,4.53,4.6,4.34,4.36,45602,0,0
2010-04-27,4.4,4.72,4.26,4.45,79795,0,0
2010-04-28,4.36,4.6,4.28,4.38,69817,0,0
2010-04-29,4.5,4.53,4.32,4.37,37929,0,0
2010-04-30,4.47,4.47,4.25,4.25,19450,0,0
2010-05-04,4.3,4.3,4.02,4.1,40431,0,0
2010-05-05,3.99,4.18,3.83,3.91,44380,0,0
2010-05-06,3.9,4.14,3.86,3.96,26950,0,0
2010-05-07,3.84,3.89,3.76,3.8,29499,0,0
2010-05-10,3.83,4.09,3.83,4.09,22947,0,0
2010-05-11,4.07,4.07,3.95,3.98,3991,0,0
2010-05-12,4.0,4.0,3.91,3.95,7715,0,0
2010-05-13,3.93,4.0,3.91,3.98,11357,0,0
2010-05-14,3.93,3.98,3.82,3.87,5999,0,0
2010-05-17,3.76,3.8,3.7,3.78,28895,0,0
2010-05-18,3.8,4.02,3.7,3.94,20754,0,0
2010-05-19,3.9,3.9,3.71,3.84,19899,0,0
2010-05-20,3.71,3.76,3.52,3.52,31295,0,0
2010-05-21,3.51,3.7,3.31,3.7,38992,0,0
2010-05-24,3.65,3.84,3.65,3.84,368,0,0
2010-05-25,3.78,3.78,3.7,3.77,8900,0,0
2010-05-26,3.76,3.83,3.75,3.75,4725,0,0
2010-05-27,3.84,3.84,3.7,3.7,7385,0,0
2010-05-28,3.79,3.84,3.71,3.77,1903,0,0
2010-06-01,3.74,3.74,3.7,3.7,1323,0,0
2010-06-02,3.71,3.79,3.62,3.71,6118,0,0
2010-06-04,3.71,3.76,3.65,3.65,5057,0,0
2010-06-07,3.65,3.75,3.65,3.75,4169,0,0
2010-06-08,3.7,3.75,3.69,3.71,3554,0,0
2010-06-09,3.7,3.7,3.61,3.7,2200,0,0
2010-06-10,3.78,3.78,3.6,3.76,1775,0,0
2010-06-11,3.6,3.69,3.53,3.65,9704,0,0
2010-06-14,3.65,3.65,3.6,3.6,2413,0,0
2010-06-15,3.64,3.64,3.53,3.55,6234,0,0
2010-06-16,3.54,3.67,3.54,3.63,2909,0,0
2010-06-17,3.55,3.66,3.55,3.66,244,0,0
2010-06-18,3.55,3.67,3.53,3.56,5150,0,0
2010-06-21,3.68,3.68,3.58,3.58,1306,0,0
2010-06-22,3.55,3.62,3.5,3.62,3687,0,0
2010-06-23,3.39,3.6,3.39,3.57,5512,0,0
2010-06-25,3.44,3.56,3.4,3.56,6861,0,0
2010-06-28,3.3,3.59,3.3,3.59,601,0,0
2010-06-29,3.59,3.59,3.59,3.59,0,0,0
