Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,10.62,10.92,10.58,10.7,282600,0.0,0
2008-01-03,10.73,10.77,10.36,10.41,289000,0.0,0
2008-01-04,10.29,10.41,10.0,10.08,307500,0.0,0
2008-01-07,10.14,10.14,9.81,9.89,291800,0.0,0
2008-01-08,9.9,10.0,9.51,9.56,534200,0.0,0
2008-01-09,9.52,9.57,9.31,9.47,317300,0.0,0
2008-01-10,9.41,9.88,9.4,9.79,470800,0.0,0
2008-01-11,9.76,9.86,9.52,9.52,146900,0.0,0
2008-01-14,9.59,9.64,8.88,9.21,484600,0.0,0
2008-01-15,9.0,9.27,8.92,9.21,294600,0.0,0
2008-01-16,9.21,9.52,9.21,9.51,1501900,0.0,0
2008-01-17,9.57,9.59,9.25,9.37,771600,0.0,0
2008-01-18,9.37,9.37,8.57,8.66,467700,0.0,0
2008-01-22,8.18,8.72,7.75,8.7,542700,0.0,0
2008-01-23,8.6,8.76,8.29,8.75,428200,0.0,0
2008-01-24,8.86,9.06,8.65,8.68,473500,0.0,0
2008-01-25,8.76,9.06,8.7,8.84,223800,0.0,0
2008-01-28,8.94,9.07,8.71,8.78,360300,0.0,0
2008-01-29,8.82,8.92,8.75,8.85,431700,0.0,0
2008-01-30,8.93,9.04,8.8,8.84,581400,0.0,0
2008-01-31,8.74,9.37,8.72,9.37,357500,0.0,0
2008-02-01,9.35,9.64,9.2,9.57,386400,0.0,0
2008-02-04,9.67,9.96,9.59,9.78,416100,0.0,0
2008-02-05,9.62,9.78,9.31,9.33,255300,0.0,0
2008-02-06,9.41,9.77,9.37,9.44,398600,0.0,0
2008-02-07,9.02,9.05,7.91,8.26,1351700,0.0,0
2008-02-08,8.31,8.6,8.12,8.15,1314200,0.0,0
2008-02-11,8.16,8.18,7.95,8.13,636300,0.0,0
2008-02-12,8.17,8.19,7.96,8.06,343000,0.0,0
2008-02-13,8.13,8.35,8.06,8.29,591000,0.0,0
2008-02-14,8.35,8.41,7.86,7.92,572400,0.0,0
2008-02-15,7.88,7.95,7.76,7.84,256800,0.0,0
2008-02-19,7.92,7.97,7.74,7.78,149200,0.0,0
2008-02-20,7.78,8.03,7.74,7.84,193500,0.0,0
2008-02-21,7.91,8.12,7.74,7.77,390400,0.0,0
2008-02-22,7.78,7.86,7.66,7.74,189900,0.0,0
2008-02-25,7.74,7.84,7.62,7.81,237700,0.0,0
2008-02-26,7.79,7.98,7.76,7.8,240600,0.0,0
2008-02-27,7.79,7.98,7.75,7.84,352400,0.0,0
2008-02-28,7.84,7.87,7.62,7.79,211100,0.0,0
2008-02-29,7.75,7.84,7.56,7.61,387300,0.0,0
2008-03-03,7.62,7.7,7.49,7.5,349200,0.0,0
2008-03-04,7.51,7.54,7.17,7.31,285000,0.0,0
2008-03-05,7.37,7.44,7.23,7.3,287000,0.0,0
2008-03-06,7.31,7.35,6.79,6.82,337000,0.0,0
2008-03-07,6.86,6.94,6.75,6.78,258900,0.0,0
2008-03-10,6.82,6.93,6.35,6.43,375200,0.0,0
2008-03-11,6.58,6.84,6.45,6.84,237900,0.0,0
2008-03-12,6.79,6.84,6.53,6.56,306500,0.0,0
2008-03-13,6.5,6.9,6.5,6.87,214600,0.0,0
2008-03-14,6.9,6.91,6.41,6.69,358900,0.0,0
2008-03-17,6.59,6.96,6.49,6.76,333800,0.0,0
2008-03-18,6.95,7.13,6.86,7.07,699700,0.0,0
2008-03-19,7.1,7.23,6.71,6.71,506000,0.0,0
2008-03-20,6.84,7.22,6.76,7.04,739500,0.0,0
2008-03-24,7.06,7.8,7.05,7.62,601700,0.0,0
2008-03-25,7.53,8.05,7.53,7.96,349700,0.0,0
2008-03-26,7.91,8.04,7.72,8.02,291600,0.0,0
2008-03-27,8.05,8.12,7.82,7.82,187300,0.0,0
2008-03-28,7.86,7.93,7.61,7.62,224200,0.0,0
2008-03-31,7.65,7.67,7.38,7.39,417200,0.0,0
2008-04-01,7.49,7.91,7.39,7.74,232900,0.0,0
2008-04-02,7.76,8.11,7.74,7.95,278800,0.0,0
2008-04-03,7.97,8.2,7.83,7.99,258100,0.0,0
2008-04-04,8.14,8.19,7.84,7.98,914900,0.0,0
2008-04-07,8.04,8.23,8.04,8.15,201000,0.0,0
2008-04-08,8.08,8.1,7.91,8.0,114500,0.0,0
2008-04-09,8.04,8.17,7.82,7.82,135500,0.0,0
2008-04-10,7.84,7.99,7.82,7.85,97500,0.0,0
2008-04-11,7.74,7.8,7.58,7.74,280300,0.0,0
2008-04-14,7.69,7.81,7.62,7.74,109300,0.0,0
2008-04-15,7.8,7.82,7.71,7.74,232200,0.0,0
2008-04-16,7.84,8.0,7.73,7.86,317500,0.0,0
2008-04-17,7.82,8.11,7.78,8.09,245500,0.0,0
2008-04-18,8.21,8.39,8.13,8.31,183900,0.0,0
2008-04-21,8.29,8.5,8.0,8.0,165500,0.0,0
2008-04-22,7.95,7.95,7.72,7.77,217700,0.0,0
2008-04-23,7.82,7.89,7.74,7.77,56000,0.0,0
2008-04-24,7.8,8.13,7.74,8.02,113700,0.0,0
2008-04-25,8.05,8.11,7.88,7.97,107500,0.0,0
2008-04-28,7.94,8.21,7.82,8.06,105100,0.0,0
2008-04-29,8.07,8.15,7.92,8.03,92900,0.0,0
2008-04-30,8.07,8.19,7.85,8.04,129200,0.0,0
2008-05-01,8.02,8.44,8.01,8.4,152500,0.0,0
2008-05-02,8.6,8.6,8.22,8.41,168200,0.0,0
2008-05-05,8.44,8.44,8.01,8.06,154300,0.0,0
2008-05-06,8.04,8.16,7.99,8.05,162700,0.0,0
2008-05-07,8.04,8.21,7.71,7.73,211700,0.0,0
2008-05-08,7.83,7.83,7.57,7.65,141100,0.0,0
2008-05-09,7.56,7.73,7.2,7.56,237200,0.0,0
2008-05-12,7.61,7.84,7.53,7.8,192100,0.0,0
2008-05-13,7.82,8.78,7.69,7.98,1495300,0.0,0
2008-05-14,8.0,8.23,7.56,7.89,524800,0.0,0
2008-05-15,7.89,8.03,7.74,7.95,92300,0.0,0
2008-05-16,7.98,8.04,7.78,7.8,146200,0.0,0
2008-05-19,7.8,8.11,7.8,7.92,131800,0.0,0
2008-05-20,7.89,7.99,7.86,7.95,152400,0.0,0
2008-05-21,8.0,8.11,7.89,7.93,132300,0.0,0
2008-05-22,7.89,7.93,7.61,7.62,308600,0.0,0
2008-05-23,7.63,7.85,7.51,7.72,194400,0.0,0
2008-05-27,7.73,8.0,7.71,7.91,136400,0.0,0
2008-05-28,7.92,7.93,7.7,7.83,142100,0.0,0
2008-05-29,7.88,8.0,7.82,7.89,175900,0.0,0
2008-05-30,7.88,7.91,7.69,7.77,215900,0.0,0
2008-06-02,7.73,7.9,7.73,7.88,224900,0.0,0
2008-06-03,7.91,8.08,7.91,8.02,201300,0.0,0
2008-06-04,7.98,8.11,7.98,8.05,245300,0.0,0
2008-06-05,8.02,8.17,8.01,8.13,130100,0.0,0
2008-06-06,8.06,8.12,7.86,7.87,203800,0.0,0
2008-06-09,7.87,8.1,7.87,7.92,152600,0.0,0
2008-06-10,7.85,8.01,7.85,7.92,106000,0.0,0
2008-06-11,7.88,7.97,7.67,7.67,158100,0.0,0
2008-06-12,7.67,7.82,7.67,7.71,121000,0.0,0
2008-06-13,7.78,7.91,7.74,7.87,92000,0.0,0
2008-06-16,7.88,7.99,7.86,7.94,117400,0.0,0
2008-06-17,7.92,7.95,7.8,7.83,177400,0.0,0
2008-06-18,7.78,7.86,7.7,7.74,541600,0.0,0
2008-06-19,7.76,8.04,7.75,8.04,572800,0.0,0
2008-06-20,8.0,8.13,7.69,7.86,513200,0.0,0
2008-06-23,7.92,7.96,7.7,7.85,571800,0.0,0
2008-06-24,7.8,7.93,7.73,7.73,367800,0.0,0
2008-06-25,7.84,9.8,7.72,7.78,268400,0.0,0
2008-06-26,7.74,7.8,7.7,7.74,139600,0.0,0
2008-06-27,7.74,7.96,7.64,7.83,601800,0.0,0
2008-06-30,7.88,7.88,7.52,7.53,249000,0.0,0
2008-07-01,7.56,7.79,7.49,7.68,507700,0.0,0
2008-07-02,7.66,7.72,7.56,7.62,271900,0.0,0
2008-07-03,7.62,7.66,7.53,7.55,109100,0.0,0
2008-07-07,7.62,7.72,7.48,7.66,205600,0.0,0
2008-07-08,7.71,7.94,7.56,7.93,186000,0.0,0
2008-07-09,7.98,8.05,7.56,7.6,200400,0.0,0
2008-07-10,7.57,7.82,7.57,7.76,201200,0.0,0
2008-07-11,7.68,7.8,7.59,7.78,274100,0.0,0
2008-07-14,7.8,7.8,7.58,7.66,221400,0.0,0
2008-07-15,7.56,7.8,7.52,7.55,263200,0.0,0
2008-07-16,7.59,7.92,7.5,7.89,209600,0.0,0
2008-07-17,7.92,8.16,7.86,7.98,179900,0.0,0
2008-07-18,7.94,8.13,7.61,7.74,403500,0.0,0
2008-07-21,7.74,7.88,7.61,7.73,165600,0.0,0
2008-07-22,7.7,8.25,7.7,8.17,181400,0.0,0
2008-07-23,8.14,8.32,8.04,8.26,255600,0.0,0
2008-07-24,8.26,8.41,7.96,8.17,212300,0.0,0
2008-07-25,8.23,8.59,8.23,8.35,172900,0.0,0
2008-07-28,8.3,8.51,8.25,8.3,102200,0.0,0
2008-07-29,8.35,8.6,8.35,8.53,187800,0.0,0
2008-07-30,8.6,8.71,8.38,8.68,149000,0.0,0
2008-07-31,8.55,8.71,8.48,8.64,119600,0.0,0
2008-08-01,8.56,8.67,8.35,8.52,109800,0.0,0
2008-08-04,8.5,8.53,8.19,8.39,107200,0.0,0
2008-08-05,8.52,8.67,8.44,8.66,120300,0.0,0
2008-08-06,8.62,8.65,8.39,8.63,110300,0.0,0
2008-08-07,8.53,8.88,8.47,8.58,304400,0.0,0
2008-08-08,8.16,8.68,7.31,8.65,518200,0.0,0
2008-08-11,8.6,8.71,8.47,8.71,431100,0.0,0
2008-08-12,8.61,9.0,8.6,9.0,179900,0.0,0
2008-08-13,9.02,9.41,8.97,9.39,292100,0.0,0
2008-08-14,9.37,10.11,9.17,10.03,501500,0.0,0
2008-08-15,10.19,10.31,9.88,10.31,287900,0.0,0
2008-08-18,10.25,10.64,9.95,10.01,345100,0.0,0
2008-08-19,10.09,10.31,10.03,10.15,298400,0.0,0
2008-08-20,10.23,10.92,10.14,10.79,715100,0.0,0
2008-08-21,10.67,10.81,10.55,10.67,614600,0.0,0
2008-08-22,10.79,10.79,10.64,10.71,690000,0.0,0
2008-08-25,10.68,10.8,10.6,10.72,607400,0.0,0
2008-08-26,9.98,10.92,9.9,10.65,1331000,0.0,0
2008-08-27,10.63,10.69,10.28,10.48,913900,0.0,0
2008-08-28,10.48,10.66,10.37,10.62,1007800,0.0,0
2008-08-29,10.59,10.69,10.37,10.53,830400,0.0,0
2008-09-02,10.7,10.87,10.49,10.67,1932400,0.0,0
2008-09-03,9.38,9.65,9.29,9.45,1076200,0.0,0
2008-09-04,9.38,9.49,9.11,9.21,1156000,0.0,0
2008-09-05,9.17,9.18,8.84,9.1,486200,0.0,0
2008-09-08,9.27,9.39,9.02,9.1,942200,0.0,0
2008-09-09,9.1,9.12,8.64,8.67,1601100,0.0,0
2008-09-10,8.72,8.72,7.9,7.95,1351800,0.0,0
2008-09-11,7.88,7.92,7.56,7.88,1358000,0.0,0
2008-09-12,7.82,8.1,7.8,7.86,1241800,0.0,0
2008-09-15,7.92,7.92,7.5,7.52,968100,0.0,0
2008-09-16,7.52,7.75,7.19,7.56,1558000,0.0,0
2008-09-17,7.47,7.52,7.31,7.37,2031600,0.0,0
2008-09-18,7.44,7.62,7.31,7.47,940300,0.0,0
2008-09-19,7.31,7.96,7.26,7.96,1753500,0.0,0
2008-09-22,7.77,7.95,7.6,7.62,351300,0.0,0
2008-09-23,7.65,7.91,7.4,7.86,450000,0.0,0
2008-09-24,7.86,7.96,7.58,7.58,581400,0.0,0
2008-09-25,7.96,8.77,7.65,7.69,451500,0.0,0
2008-09-26,7.56,7.86,7.47,7.86,253400,0.0,0
2008-09-29,7.76,7.76,7.39,7.46,360900,0.0,0
2008-09-30,7.51,7.9,7.47,7.75,375600,0.0,0
2008-10-01,7.77,7.99,7.56,7.73,700800,0.0,0
2008-10-02,7.84,7.86,7.19,7.31,375600,0.0,0
2008-10-03,7.43,7.63,7.03,7.03,262500,0.0,0
2008-10-06,6.94,7.24,6.84,7.24,751100,0.0,0
2008-10-07,7.31,7.31,6.39,6.39,593400,0.0,0
2008-10-08,6.2,6.75,6.12,6.25,408200,0.0,0
2008-10-09,6.34,6.39,5.27,5.48,704400,0.0,0
2008-10-10,5.26,6.09,4.59,5.84,631700,0.0,0
2008-10-13,6.07,6.35,5.87,6.35,245100,0.0,0
2008-10-14,6.59,6.66,6.02,6.15,390500,0.0,0
2008-10-15,6.06,6.06,5.29,5.29,571800,0.0,0
2008-10-16,5.35,5.84,5.16,5.79,492600,0.0,0
2008-10-17,5.58,6.23,5.52,5.97,484700,0.0,0
2008-10-20,6.12,6.37,6.07,6.37,376400,0.0,0
2008-10-21,6.27,6.49,6.15,6.2,507300,0.0,0
2008-10-22,6.07,6.32,6.06,6.21,457800,0.0,0
2008-10-23,6.25,6.39,5.89,6.33,571100,0.0,0
2008-10-24,5.9,6.22,5.89,5.99,260900,0.0,0
2008-10-27,6.01,6.33,5.84,5.86,297900,0.0,0
2008-10-28,5.95,6.5,5.75,6.45,369300,0.0,0
2008-10-29,6.4,6.81,6.36,6.36,350900,0.0,0
2008-10-30,6.36,6.79,6.36,6.74,254100,0.0,0
2008-10-31,6.83,7.33,6.67,7.25,416300,0.0,0
2008-11-03,7.16,7.43,7.03,7.17,220800,0.0,0
2008-11-04,7.22,7.3,6.99,7.17,253200,0.0,0
2008-11-05,6.96,7.13,6.76,6.78,337500,0.0,0
2008-11-06,6.74,6.85,6.61,6.61,177700,0.0,0
2008-11-07,6.64,6.66,6.38,6.52,184400,0.0,0
2008-11-10,6.69,6.69,6.09,6.12,276700,0.0,0
2008-11-11,6.01,6.24,5.93,6.07,215200,0.0,0
2008-11-12,5.95,6.25,5.74,5.74,260800,0.0,0
2008-11-13,5.73,6.32,5.26,6.32,382400,0.0,0
2008-11-14,6.2,6.44,5.71,5.78,286200,0.0,0
2008-11-17,5.57,6.26,5.57,5.85,171800,0.0,0
2008-11-18,5.88,6.5,5.66,6.46,472200,0.0,0
2008-11-19,6.45,6.53,5.76,5.77,220200,0.0,0
2008-11-20,5.78,5.87,5.35,5.39,325100,0.0,0
2008-11-21,5.46,5.63,4.96,5.63,427300,0.0,0
2008-11-24,5.69,6.35,5.59,6.18,379800,0.0,0
2008-11-25,6.22,6.33,6.05,6.33,394900,0.0,0
2008-11-26,6.11,6.82,6.03,6.63,403300,0.0,0
2008-11-28,6.63,6.88,6.62,6.88,121600,0.0,0
2008-12-01,6.79,6.79,6.1,6.12,254900,0.0,0
2008-12-02,6.29,6.68,6.12,6.68,275600,0.0,0
2008-12-03,6.5,7.26,6.39,7.26,436600,0.0,0
2008-12-04,7.15,7.52,7.04,7.18,336800,0.0,0
2008-12-05,7.06,7.47,6.84,7.42,295100,0.0,0
2008-12-08,7.6,7.84,7.43,7.69,401900,0.0,0
2008-12-09,7.64,8.04,7.48,7.57,267300,0.0,0
2008-12-10,7.69,7.84,7.6,7.68,290100,0.0,0
2008-12-11,7.57,7.68,7.03,7.22,341000,0.0,0
2008-12-12,7.05,7.32,6.94,7.19,482500,0.0,0
2008-12-15,7.21,7.52,7.09,7.36,513700,0.0,0
2008-12-16,7.43,7.46,7.25,7.43,542100,0.0,0
2008-12-17,7.38,7.61,7.21,7.54,490700,0.0,0
2008-12-18,7.58,7.67,7.29,7.58,287500,0.0,0
2008-12-19,7.49,7.78,7.26,7.38,909300,0.0,0
2008-12-22,7.38,7.68,7.31,7.59,457900,0.0,0
2008-12-23,7.66,7.84,7.33,7.67,298900,0.0,0
2008-12-24,7.63,7.63,7.33,7.35,258500,0.0,0
2008-12-26,7.39,7.55,7.31,7.42,161300,0.0,0
2008-12-29,7.43,7.47,7.13,7.29,575500,0.0,0
2008-12-30,7.38,7.75,7.25,7.74,344100,0.0,0
2008-12-31,7.74,8.04,7.62,8.02,335500,0.0,0
2009-01-02,8.03,8.15,7.97,8.02,318100,0.0,0
2009-01-05,7.99,8.25,7.87,8.23,344900,0.0,0
2009-01-06,8.28,8.63,8.26,8.47,292400,0.0,0
2009-01-07,8.41,8.41,7.99,8.11,170200,0.0,0
