Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,10.44,11.18,10.41,11.06,14473700,0.0,0.0
2008-01-03,11.34,11.76,11.28,11.66,13205200,0.0,0.0
2008-01-04,11.82,11.95,11.58,11.64,7931600,0.0,0.0
2008-01-07,11.56,11.66,11.14,11.3,6063300,0.0,0.0
2008-01-08,11.99,12.31,11.93,12.0,14881900,0.0,0.0
2008-01-09,12.23,12.35,12.12,12.22,17994400,0.0,0.0
2008-01-10,12.12,12.83,12.12,12.65,7452200,0.0,0.0
2008-01-11,12.72,12.79,12.38,12.5,8443400,0.0,0.0
2008-01-14,12.79,12.99,12.55,12.61,7436400,0.0,0.0
2008-01-15,12.48,12.56,11.79,11.94,13852800,0.0,0.0
2008-01-16,11.97,12.17,11.44,11.9,11073500,0.0,0.0
2008-01-17,12.09,12.34,11.59,11.71,8250700,0.0,0.0
2008-01-18,11.73,11.85,11.2,11.77,7611900,0.0,0.0
2008-01-22,10.64,11.67,10.59,11.58,11082400,0.0,0.0
2008-01-23,10.57,11.64,10.54,11.33,11397800,0.0,0.0
2008-01-24,11.64,12.1,11.64,11.99,9842700,0.0,0.0
2008-01-25,10.79,11.16,10.55,10.88,16072000,0.0,0.0
2008-01-28,10.58,10.82,10.39,10.81,10333500,0.0,0.0
2008-01-29,10.77,10.88,10.61,10.79,8290700,0.0,0.0
2008-01-30,10.9,11.18,10.7,10.86,7797000,0.0,0.0
2008-01-31,10.54,10.82,10.47,10.77,9970300,0.0,0.0
2008-02-01,10.59,10.67,9.81,10.11,23968300,0.0,0.0
2008-02-04,9.95,10.0,9.67,9.94,9361100,0.0,0.0
2008-02-05,9.75,9.86,9.67,9.72,20292500,0.0,0.0
2008-02-06,10.06,10.11,9.9,9.92,16795400,0.0,0.0
2008-02-07,9.89,9.95,9.56,9.67,10161600,0.0,0.0
2008-02-08,9.74,9.97,9.69,9.8,7633900,0.0,0.0
2008-02-11,9.7,9.8,9.42,9.55,7582600,0.0,0.0
2008-02-12,9.75,9.84,9.52,9.55,7950000,0.0,0.0
2008-02-13,9.75,9.78,9.5,9.64,5813100,0.0,0.0
2008-02-14,9.69,9.73,9.5,9.52,5306600,0.0,0.0
2008-02-15,9.6,9.64,9.41,9.5,5440500,0.0,0.0
2008-02-19,9.97,10.13,9.8,10.08,10426500,0.0,0.0
2008-02-20,10.01,10.47,9.92,10.39,12609100,0.0,0.0
2008-02-21,10.87,11.19,10.67,10.68,16373800,0.0,0.0
2008-02-22,10.87,10.95,10.46,10.69,9077000,0.0,0.0
2008-02-25,10.37,10.38,10.03,10.25,7774200,0.0,0.0
2008-02-26,10.1,10.11,9.82,9.93,14549600,0.0,0.0
2008-02-27,10.21,10.53,10.1,10.29,13810200,0.0,0.0
2008-02-28,10.15,10.37,10.14,10.31,7374400,0.0,0.0
2008-02-29,10.18,10.32,10.02,10.19,11297800,0.0,0.0
2008-03-03,10.74,10.75,10.54,10.67,11067900,0.0,0.0
2008-03-04,10.86,10.91,10.47,10.58,10827100,0.0,0.0
2008-03-05,10.8,10.86,10.67,10.84,7988100,0.0,0.0
2008-03-06,11.14,11.42,11.08,11.31,13169100,0.0,0.0
2008-03-07,11.43,11.57,11.23,11.39,10007900,0.0,0.0
2008-03-10,11.28,11.28,10.74,10.76,6551900,0.0,0.0
2008-03-11,11.11,11.3,10.91,11.3,7297300,0.0,0.0
2008-03-12,11.17,11.47,11.14,11.28,6282000,0.0,0.0
2008-03-13,11.52,11.99,11.49,11.8,12586600,0.0,0.0
2008-03-14,11.86,12.1,11.7,11.79,10224300,0.0,0.0
2008-03-17,11.45,11.99,11.35,11.57,12452400,0.0,0.0
2008-03-18,11.78,11.78,11.07,11.11,9403700,0.0,0.0
2008-03-19,11.28,11.29,10.63,10.67,11180500,0.0,0.0
2008-03-20,10.31,10.69,10.17,10.69,13088800,0.0,0.0
2008-03-24,10.7,10.77,10.14,10.26,8598700,0.0,0.0
2008-03-25,10.38,10.45,10.21,10.39,11900100,0.0,0.0
2008-03-26,10.44,10.69,10.37,10.69,5947100,0.0,0.0
2008-03-27,10.71,10.75,10.36,10.4,5920600,0.0,0.0
2008-03-28,10.24,10.47,10.12,10.35,3953300,0.0,0.0
2008-03-31,10.01,10.23,9.83,9.93,7489600,0.0,0.0
2008-04-01,9.72,9.83,9.53,9.73,8614200,0.0,0.0
2008-04-02,9.84,10.05,9.78,10.03,5751500,0.0,0.0
2008-04-03,9.75,9.9,9.72,9.84,6724800,0.0,0.0
2008-04-04,9.8,9.89,9.73,9.85,3681000,0.0,0.0
2008-04-07,9.8,10.0,9.8,9.96,11759400,0.0,0.0
2008-04-08,9.83,10.01,9.78,9.88,6062300,0.0,0.0
2008-04-09,9.95,10.44,9.95,10.34,13054100,0.0,0.0
2008-04-10,10.48,10.54,10.27,10.42,5180100,0.0,0.0
2008-04-11,10.5,10.54,10.28,10.29,3871100,0.0,0.0
2008-04-14,10.44,10.64,10.38,10.44,4469700,0.0,0.0
2008-04-15,10.52,10.57,10.22,10.34,3738100,0.0,0.0
2008-04-16,10.59,10.88,10.51,10.85,7961700,0.0,0.0
2008-04-17,10.71,10.88,10.69,10.75,4794000,0.0,0.0
2008-04-18,10.59,10.72,10.26,10.29,9889300,0.0,0.0
2008-04-21,10.41,10.41,10.17,10.34,5740600,0.0,0.0
2008-04-22,10.34,10.47,10.21,10.24,5251200,0.0,0.0
2008-04-23,10.04,10.16,9.95,10.1,6015100,0.0,0.0
2008-04-24,9.93,10.03,9.83,9.85,6768300,0.0,0.0
2008-04-25,9.94,9.98,9.8,9.96,10690100,0.0,0.0
2008-04-28,10.02,10.16,9.93,9.93,4419600,0.0,0.0
2008-04-29,9.75,9.83,9.53,9.57,6601300,0.0,0.0
2008-04-30,9.52,9.78,9.48,9.7,7781100,0.0,0.0
2008-05-01,9.57,9.61,9.21,9.41,9645200,0.0,0.0
2008-05-02,9.37,9.52,9.24,9.42,7057000,0.0,0.0
2008-05-05,9.49,9.54,9.42,9.45,4596800,0.0,0.0
2008-05-06,9.57,9.84,9.55,9.76,5664200,0.0,0.0
2008-05-07,9.74,9.83,9.6,9.62,3974400,0.0,0.0
2008-05-08,9.73,9.98,9.68,9.98,5392700,0.0,0.0
2008-05-09,9.92,10.01,9.75,9.89,4280200,0.0,0.0
2008-05-12,9.65,10.1,9.65,9.97,8131100,0.0,0.0
2008-05-13,9.79,10.02,9.32,9.9,6235300,0.0,0.0
2008-05-14,9.78,9.88,9.65,9.71,9190300,0.0,0.0
2008-05-15,9.85,9.98,9.76,9.98,6399500,0.0,0.0
2008-05-16,10.09,10.26,9.96,10.19,6952600,0.0,0.0
2008-05-19,10.3,10.31,10.13,10.18,4909400,0.0,0.0
2008-05-20,10.04,10.23,9.98,10.18,5336500,0.0,0.0
2008-05-21,10.14,10.24,10.04,10.07,8854200,0.0,0.0
2008-05-22,10.17,10.31,10.11,10.18,7622400,0.0,0.0
2008-05-23,10.19,10.26,10.03,10.06,5171900,0.0,0.0
2008-05-27,9.6,9.74,9.57,9.59,9671900,0.0,0.0
2008-05-28,9.57,9.73,9.45,9.69,5430200,0.07407,0.0
2008-05-29,9.48,9.54,9.26,9.33,6503300,0.0,0.0
2008-05-30,9.4,9.4,9.22,9.35,5560600,0.0,0.0
2008-06-02,9.27,9.36,9.22,9.31,3775400,0.0,0.0
2008-06-03,9.23,9.27,9.04,9.04,5263900,0.0,0.0
2008-06-04,9.01,9.04,8.8,8.86,7258300,0.0,0.0
2008-06-05,8.75,9.11,8.73,9.08,6984800,0.0,0.0
2008-06-06,8.93,9.18,8.92,9.08,7411400,0.0,0.0
2008-06-09,9.08,9.16,8.97,9.05,3621300,0.0,0.0
2008-06-10,8.75,8.82,8.6,8.63,6348600,0.0,0.0
2008-06-11,8.47,8.58,8.35,8.46,8306200,0.0,0.0
2008-06-12,8.14,8.29,7.93,8.0,11973600,0.0,0.0
2008-06-13,7.84,8.09,7.82,8.05,6890000,0.0,0.0
2008-06-16,8.22,8.34,7.94,8.14,4565600,0.0,0.0
2008-06-17,8.1,8.11,7.97,8.07,7452400,0.0,0.0
2008-06-18,7.91,8.0,7.79,7.97,6478400,0.0,0.0
2008-06-19,8.05,8.08,7.84,7.87,5321700,0.0,0.0
2008-06-20,7.88,8.09,7.87,8.06,7520700,0.0,0.0
2008-06-23,7.79,8.05,7.71,8.02,6579500,0.0,0.0
2008-06-24,7.98,8.28,7.95,8.15,9097800,0.0,0.0
2008-06-25,8.33,8.4,8.09,8.39,9600700,0.0,0.0
2008-06-26,8.54,8.71,8.42,8.62,8643200,0.0,0.0
2008-06-27,9.07,9.13,8.86,9.07,10623900,0.0,0.0
2008-06-30,9.14,9.25,8.96,9.14,6403300,0.0,0.0
2008-07-01,9.11,9.34,9.0,9.13,7955100,0.0,0.0
2008-07-02,9.32,9.32,8.96,8.96,5183200,0.0,0.0
2008-07-03,9.01,9.08,8.75,8.91,5638600,0.0,0.0
2008-07-07,8.65,8.75,8.57,8.64,5265300,0.0,0.0
2008-07-08,8.6,8.68,8.49,8.59,4098900,0.0,0.0
2008-07-09,8.7,8.88,8.5,8.54,3409800,0.0,0.0
2008-07-10,8.62,8.76,8.53,8.69,5671300,0.0,0.0
2008-07-11,8.81,9.11,8.75,9.01,8939400,0.0,0.0
2008-07-14,9.07,9.26,9.01,9.1,5166400,0.0,0.0
2008-07-15,9.58,9.75,9.33,9.48,10305700,0.0,0.0
2008-07-16,9.78,9.79,9.4,9.51,8312500,0.0,0.0
2008-07-17,9.64,9.71,9.33,9.4,6141100,0.0,0.0
2008-07-18,9.47,9.54,9.28,9.33,8239300,0.0,0.0
2008-07-21,9.13,9.4,9.09,9.32,7232200,0.0,0.0
2008-07-22,9.22,9.42,9.09,9.12,5837200,0.0,0.0
2008-07-23,8.78,8.79,8.57,8.65,13757700,0.0,0.0
2008-07-24,8.72,8.75,8.53,8.62,6413100,0.0,0.0
2008-07-25,8.6,8.73,8.47,8.7,3882100,0.0,0.0
2008-07-28,8.83,9.01,8.62,8.72,5484500,0.0,0.0
2008-07-29,8.76,8.83,8.54,8.62,4443100,0.0,0.0
2008-07-30,8.24,8.64,8.21,8.62,7725200,0.0,0.0
2008-07-31,8.74,8.93,8.51,8.54,5885100,0.0,0.0
2008-08-01,7.97,7.97,7.21,7.41,18458800,0.0,0.0
2008-08-04,7.37,7.4,6.82,7.07,14640700,0.0,0.0
2008-08-05,7.1,7.34,7.02,7.12,16574400,0.0,0.0
2008-08-06,7.22,7.37,7.19,7.29,6153600,0.0,0.0
2008-08-07,7.37,7.43,7.21,7.29,7375200,0.0,0.0
2008-08-08,6.74,6.75,6.57,6.58,10294100,0.0,0.0
2008-08-11,6.52,6.59,6.2,6.25,14828700,0.0,0.0
2008-08-12,6.34,6.56,6.27,6.54,11658200,0.0,0.0
2008-08-13,6.46,6.93,6.43,6.92,12709500,0.0,0.0
2008-08-14,6.96,6.96,6.56,6.58,9994200,0.0,0.0
2008-08-15,6.42,6.48,6.26,6.26,7052400,0.0,0.0
2008-08-18,6.57,6.59,6.28,6.35,7267600,0.0,0.0
2008-08-19,6.25,6.69,6.2,6.64,8215800,0.0,0.0
2008-08-20,6.6,6.62,6.29,6.38,10555600,0.14212,0.0
2008-08-21,6.5,6.87,6.38,6.85,14107700,0.0,0.0
2008-08-22,6.57,6.64,6.49,6.49,6765100,0.0,0.0
2008-08-25,6.58,6.63,6.4,6.44,4420100,0.0,0.0
2008-08-26,6.36,6.82,6.35,6.7,8116300,0.0,0.0
2008-08-27,6.85,6.91,6.78,6.89,5690200,0.0,0.0
2008-08-28,7.15,7.15,6.88,6.95,6712700,0.0,0.0
2008-08-29,6.85,6.88,6.67,6.7,3920900,0.0,0.0
2008-09-02,6.25,6.38,6.18,6.26,6838200,0.0,0.0
2008-09-03,6.42,6.48,6.09,6.23,8909600,0.0,0.0
2008-09-04,6.3,6.36,5.98,6.14,8105800,0.0,0.0
2008-09-05,6.29,6.4,5.94,6.07,7196900,0.0,0.0
2008-09-08,6.29,6.32,5.81,5.84,5854400,0.0,0.0
2008-09-09,5.6,5.63,5.27,5.27,12040800,0.0,0.0
2008-09-10,5.3,5.57,5.18,5.54,14448100,0.0,0.0
2008-09-11,5.34,5.58,5.22,5.29,7579200,0.0,0.0
2008-09-12,5.54,6.06,5.41,6.01,9220300,0.0,0.0
2008-09-15,5.74,5.9,5.5,5.53,8401600,0.0,0.0
2008-09-16,5.66,5.68,5.27,5.67,13322200,0.0,0.0
2008-09-17,5.55,6.54,5.49,6.15,20864900,0.0,0.0
