Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-04,27.25,29.5,27.22,28.5,19366,0,0
2018-03-14,28.3,28.35,27.21,27.21,14708,0,0
2018-03-15,27.51,27.95,26.1,26.29,14206,0,0
2018-03-16,26.03,28.18,26.03,26.35,16835,0,0
2018-03-19,26.65,26.76,25.47,25.47,9506,0,0
2018-03-20,25.65,26.98,25.5,25.53,17772,0,0
2018-03-21,25.7,28.54,25.45,27.55,15963,0,0
2018-03-22,26.79,27.0,26.39,26.98,7284,0,0
2018-03-23,27.05,29.5,26.51,29.5,17833,0,0
2018-03-26,28.7,29.0,27.31,28.99,7154,0,0
2018-03-27,28.97,29.0,28.15,28.99,5913,0,0
2018-03-28,29.0,29.75,27.33,29.0,60773,0,0
2018-03-29,30.0,30.0,27.77,29.0,99780,0,0
2018-04-02,29.01,29.3,28.5,29.0,8772,0,0
2018-04-03,29.0,29.01,27.8,27.8,10340,0,0
2018-04-04,26.96,28.98,26.96,28.98,8073,0,0
2018-04-05,28.8,28.8,27.0,28.3,39567,0,0
2018-04-06,27.9,28.46,27.1,28.39,17797,0,0
2018-04-09,28.8,28.8,27.7,28.79,10571,0,0
2018-04-10,28.75,29.0,28.24,28.69,20967,0,0
2018-04-11,28.7,28.92,28.29,28.8,50047,0,0
2018-04-12,28.88,29.13,28.23,29.0,48297,0,0
2018-04-13,28.64,29.0,28.12,29.0,163761,0,0
2018-04-16,29.45,29.45,28.33,29.1,45328,0,0
2018-04-17,29.34,29.34,28.36,29.0,41683,0,0
2018-04-18,29.0,29.2,28.8,29.19,60208,0,0
2018-04-19,29.18,31.67,28.98,31.49,40868,0,0
2018-04-20,31.49,32.05,31.05,31.49,23813,0,0
2018-04-23,31.29,32.0,30.88,31.5,39147,0,0
2018-04-24,31.4,34.62,31.11,33.84,43291,0,0
2018-04-25,33.75,35.4,33.5,34.5,47850,0,0
2018-04-26,36.08,36.08,33.04,34.7,53162,0,0
2018-04-27,34.48,34.5,33.72,34.5,58837,0,0
2018-04-30,34.47,34.47,33.33,34.0,22800,0,0
2018-05-01,34.5,34.5,33.0,34.29,12683,0,0
2018-05-02,34.1,34.4,33.33,34.01,16574,0,0
2018-05-03,34.5,36.11,34.2,34.53,45278,0,0
2018-05-04,34.53,34.94,34.5,34.75,79593,0,0
2018-05-07,34.8,34.8,34.11,34.11,41693,0,0
2018-05-08,34.35,35.0,34.13,34.6,33454,0,0
2018-05-09,34.75,34.75,34.14,34.34,88122,0,0
2018-05-10,34.6,34.75,34.21,34.69,20512,0,0
2018-05-11,35.9,36.28,33.5,34.25,43325,0,0
2018-05-14,34.25,34.45,33.45,33.45,15205,0,0
2018-05-15,33.47,34.37,33.17,34.29,32177,0,0
2018-05-16,34.22,34.58,34.0,34.08,18494,0,0
2018-05-17,34.13,34.9,33.89,34.02,45394,0,0
2018-05-18,34.25,34.25,33.11,33.68,19705,0,0
