Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,8.76,8.94,8.76,8.85,6000,0.0,0
2008-01-03,8.86,9.03,8.86,8.94,7800,0.0,0
2008-01-04,8.78,8.89,8.68,8.72,19200,0.0,0
2008-01-07,8.76,8.84,8.69,8.79,16900,0.0,0
2008-01-08,8.79,8.9,8.68,8.75,19900,0.0,0
2008-01-09,8.75,8.79,8.71,8.76,18200,0.0,0
2008-01-10,8.79,8.83,8.46,8.72,15000,0.0,0
2008-01-11,8.71,8.85,8.64,8.78,14200,0.0,0
2008-01-14,8.84,8.84,8.73,8.8,5400,0.0,0
2008-01-15,8.82,9.01,8.56,8.81,27400,0.0,0
2008-01-16,8.76,8.92,8.73,8.82,17200,0.0,0
2008-01-17,8.78,9.02,8.74,8.79,32000,0.0,0
2008-01-18,8.72,8.81,8.71,8.76,30400,0.0,0
2008-01-22,8.39,8.62,8.03,8.55,42600,0.0,0
2008-01-23,8.5,8.99,8.27,8.66,31200,0.0,0
2008-01-24,8.58,9.13,8.58,8.65,29200,0.0,0
2008-01-25,8.81,9.13,8.67,8.73,29300,0.0,0
2008-01-28,8.76,8.93,8.62,8.89,17000,0.0,0
2008-01-29,8.92,9.11,8.86,8.98,33900,0.0,0
2008-01-30,8.53,9.23,8.53,9.09,45900,0.0,0
2008-01-31,9.08,9.52,8.92,9.24,21300,0.0,0
2008-02-01,9.36,9.62,9.21,9.4,43200,0.4875,0
2008-02-04,9.48,9.54,9.37,9.47,12800,0.0,0
2008-02-05,9.5,9.5,9.04,9.38,25800,0.0,0
2008-02-06,9.37,9.99,9.32,9.33,33700,0.0,0
2008-02-07,9.42,9.59,9.32,9.49,11700,0.0,0
2008-02-08,9.6,9.63,9.51,9.57,11900,0.0,0
2008-02-11,9.63,9.64,9.5,9.5,9800,0.0,0
2008-02-12,9.52,9.64,9.36,9.43,42500,0.0,0
2008-02-13,9.44,9.56,9.33,9.5,13100,0.0,0
2008-02-14,9.53,9.53,9.41,9.43,11200,0.0,0
2008-02-15,9.47,9.49,9.41,9.43,12900,0.0,0
2008-02-19,9.34,9.5,9.11,9.19,28300,0.0,0
2008-02-20,9.24,9.6,9.24,9.59,24800,0.0,0
2008-02-21,9.64,9.69,9.3,9.42,31400,0.0,0
2008-02-22,9.51,9.7,9.46,9.67,10900,0.0,0
2008-02-25,9.6,9.72,9.5,9.61,11200,0.0,0
2008-02-26,9.64,9.68,9.55,9.62,3200,0.0,0
2008-02-27,9.63,9.69,9.55,9.56,15200,0.0,0
2008-02-28,9.56,9.56,9.29,9.55,12300,0.0,0
2008-02-29,9.47,9.58,9.37,9.37,8200,0.0,0
2008-03-03,9.26,9.5,8.94,9.22,36300,0.0,0
2008-03-04,9.28,9.28,8.81,9.24,22200,0.0,0
2008-03-05,9.33,9.43,9.25,9.31,9500,0.0,0
2008-03-06,9.3,9.3,8.95,9.02,14100,0.0,0
2008-03-07,9.04,9.08,8.9,8.98,14700,0.0,0
2008-03-10,8.92,9.05,8.67,8.76,22600,0.0,0
2008-03-11,8.74,9.21,8.74,9.09,8200,0.0,0
2008-03-12,9.39,9.39,9.02,9.02,23800,0.0,0
2008-03-13,8.88,8.88,7.11,7.72,129900,0.0,0
2008-03-14,8.18,8.18,7.4,7.54,49200,0.0,0
2008-03-17,7.37,7.46,7.03,7.11,37300,0.0,0
2008-03-18,7.26,7.3,7.03,7.24,26500,0.0,0
2008-03-19,7.26,7.26,6.83,6.83,31400,0.0,0
2008-03-20,6.79,6.99,6.7,6.73,43700,0.0,0
2008-03-24,6.72,7.08,6.57,6.61,75700,0.0,0
2008-03-25,6.3,6.61,6.3,6.42,49500,0.0,0
2008-03-26,6.36,6.38,5.96,6.22,65100,0.0,0
2008-03-27,6.26,6.42,6.17,6.21,39900,0.0,0
2008-03-28,6.24,6.26,6.06,6.17,31700,0.0,0
2008-03-31,6.19,6.22,6.02,6.17,29400,0.0,0
2008-04-01,6.25,6.34,6.12,6.24,20200,0.0,0
2008-04-02,6.3,6.52,6.26,6.52,37500,0.0,0
2008-04-03,6.63,6.99,6.48,6.8,46900,0.0,0
2008-04-04,6.86,7.18,6.86,7.15,52400,0.0,0
2008-04-07,7.15,7.38,7.03,7.23,34800,0.0,0
2008-04-08,7.4,7.58,7.17,7.25,25600,0.0,0
2008-04-09,7.34,7.34,7.09,7.25,21200,0.0,0
2008-04-10,7.21,7.25,7.14,7.22,11800,0.0,0
2008-04-11,7.22,7.24,7.08,7.19,23500,0.0,0
2008-04-14,7.17,7.18,6.86,7.18,27400,0.0,0
2008-04-15,7.13,7.18,7.05,7.13,7700,0.0,0
2008-04-16,7.15,7.37,7.13,7.3,18600,0.0,0
2008-04-17,7.29,7.41,7.25,7.29,7900,0.0,0
2008-04-18,7.54,7.6,7.22,7.41,27500,0.0,0
2008-04-21,7.5,7.57,7.42,7.42,9200,0.0,0
2008-04-22,7.36,7.5,7.36,7.41,8700,0.0,0
2008-04-23,7.47,7.47,7.27,7.36,18800,0.0,0
