Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,3.83,3.88,3.83,3.84,57300,0.0,0.0
2008-01-03,3.83,3.93,3.83,3.89,57800,0.0,0.0
2008-01-04,3.87,3.89,3.84,3.87,70800,0.0,0.0
2008-01-07,3.87,3.9,3.84,3.85,80300,0.0,0.0
2008-01-08,3.88,3.91,3.8,3.81,48000,0.0,0.0
2008-01-09,3.81,3.86,3.79,3.79,61000,0.0,0.0
2008-01-10,3.79,3.86,3.78,3.86,44000,0.0,0.0
2008-01-11,3.83,3.83,3.8,3.82,25900,0.0,0.0
2008-01-14,3.85,3.85,3.79,3.84,78000,0.0,0.0
2008-01-15,3.83,3.84,3.75,3.78,50900,0.0,0.0
2008-01-16,3.75,3.77,3.72,3.73,52200,0.0,0.0
2008-01-17,3.76,3.76,3.62,3.63,55700,0.0,0.0
2008-01-18,3.66,3.7,3.57,3.57,62900,0.0,0.0
2008-01-22,3.5,3.56,3.39,3.51,94000,0.0,0.0
2008-01-23,3.45,3.52,3.41,3.52,76600,0.0,0.0
2008-01-24,3.48,3.56,3.47,3.54,42600,0.0,0.0
2008-01-25,3.59,3.63,3.55,3.57,85900,0.0,0.0
2008-01-28,3.58,3.65,3.55,3.63,31800,0.0,0.0
2008-01-29,3.64,3.66,3.63,3.65,42100,0.0,0.0
2008-01-30,3.63,3.73,3.63,3.71,94400,0.0,0.0
2008-01-31,3.68,3.79,3.68,3.78,57100,0.0,0.0
2008-02-01,3.75,3.81,3.74,3.8,59400,0.0,0.0
2008-02-04,3.78,3.78,3.75,3.76,14000,0.0,0.0
2008-02-05,3.72,3.75,3.68,3.68,64000,0.0,0.0
2008-02-06,3.73,3.73,3.61,3.61,33900,0.0,0.0
2008-02-07,3.6,3.65,3.6,3.63,36800,0.0,0.0
2008-02-08,3.59,3.63,3.58,3.6,47100,0.0,0.0
2008-02-11,3.6,3.62,3.57,3.62,17400,0.0,0.0
2008-02-12,3.61,3.66,3.61,3.62,36800,0.0,0.0
2008-02-13,3.66,3.71,3.66,3.7,59800,0.0,0.0
2008-02-14,3.67,3.69,3.59,3.59,60600,0.0,0.0
2008-02-15,3.58,3.6,3.55,3.58,62400,0.0,0.0
