Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,10.65,10.74,10.58,10.6,13200,0,0
2008-01-03,10.66,10.69,9.88,9.97,40800,0,0
2008-01-04,10.03,10.08,9.87,9.9,32500,0,0
2008-01-07,9.95,10.52,9.95,10.5,38600,0,0
2008-01-08,10.5,10.55,10.43,10.5,12600,0,0
2008-01-09,10.4,10.4,9.85,10.3,31600,0,0
2008-01-10,10.31,10.7,10.26,10.53,80800,0,0
2008-01-11,10.5,10.76,10.07,10.5,110600,0,0
2008-01-14,10.47,10.68,10.35,10.68,29700,0,0
2008-01-15,11.08,11.08,10.53,10.67,59400,0,0
2008-01-16,10.65,10.7,10.58,10.6,35800,0,0
2008-01-17,10.6,10.6,10.23,10.26,32600,0,0
2008-01-18,10.24,10.29,10.06,10.22,67300,0,0
2008-01-22,10.12,10.19,9.83,9.96,35500,0,0
2008-01-23,9.8,10.44,9.8,10.42,28400,0,0
2008-01-24,10.41,10.71,10.41,10.71,23800,0,0
2008-01-25,10.95,10.95,10.25,10.43,75100,0,0
2008-01-28,10.5,10.95,10.4,10.89,27300,0,0
2008-01-29,10.85,10.85,10.75,10.77,44300,0,0
2008-01-30,10.7,10.7,10.47,10.53,30000,0,0
2008-01-31,10.45,10.65,10.36,10.65,25900,0,0
2008-02-01,10.63,10.7,10.61,10.69,14200,0,0
2008-02-04,10.64,11.06,10.62,10.72,25600,0,0
2008-02-05,10.71,10.71,10.51,10.56,19400,0,0
2008-02-06,10.59,10.66,10.47,10.56,25000,0,0
2008-02-07,10.52,10.62,10.15,10.24,105200,0,0
2008-02-08,10.25,10.37,10.2,10.2,12800,0,0
2008-02-11,10.17,10.18,10.08,10.11,17400,0,0
2008-02-12,10.11,10.14,9.63,9.86,31600,0,0
2008-02-13,9.95,10.12,9.82,9.87,23600,0,0
2008-02-14,9.88,9.88,9.62,9.66,22400,0,0
2008-02-15,9.7,9.7,9.19,9.26,34300,0,0
2008-02-19,9.3,9.3,9.06,9.13,16300,0,0
2008-02-20,9.05,9.25,9.05,9.25,16800,0,0
2008-02-21,9.3,9.7,9.3,9.4,34000,0,0
2008-02-22,9.51,9.55,9.3,9.55,32200,0,0
2008-02-25,9.55,9.6,9.41,9.41,28100,0,0
2008-02-26,9.43,9.81,9.36,9.67,28400,0,0
2008-02-27,9.7,9.8,9.27,9.34,27900,0,0
2008-02-28,9.4,9.41,9.25,9.31,18000,0,0
2008-02-29,9.31,9.36,9.23,9.35,14100,0,0
2008-03-03,9.39,9.62,9.39,9.53,39300,0,0
2008-03-04,9.51,9.55,9.43,9.5,60100,0,0
2008-03-05,9.53,9.57,9.42,9.44,13500,0,0
2008-03-06,9.45,9.45,9.16,9.16,34200,0,0
2008-03-07,9.0,9.27,8.95,9.25,43500,0,0
2008-03-10,9.19,9.34,8.91,8.92,24000,0,0
2008-03-11,9.25,9.49,9.06,9.06,72900,0,0
2008-03-12,9.06,9.33,9.06,9.16,41700,0,0
2008-03-13,9.1,9.25,8.99,9.22,60300,0,0
2008-03-14,9.2,9.28,9.06,9.13,30900,0,0
2008-03-17,8.95,9.13,8.7,8.96,29000,0,0
2008-03-18,8.97,9.16,8.95,9.16,26100,0,0
2008-03-19,9.15,9.17,9.05,9.09,25500,0,0
2008-03-20,9.09,9.22,9.08,9.18,22000,0,0
2008-03-24,9.17,9.22,9.11,9.17,28200,0,0
2008-03-25,9.1,9.32,9.06,9.32,29600,0,0
2008-03-26,9.31,9.49,9.3,9.47,22700,0,0
2008-03-27,9.45,9.49,9.36,9.39,25300,0,0
2008-03-28,9.38,9.53,9.38,9.5,16000,0,0
2008-03-31,9.5,9.52,9.45,9.5,55300,0,0
2008-04-01,9.51,9.51,9.2,9.24,33800,0,0
2008-04-02,9.2,9.28,9.19,9.19,11100,0,0
2008-04-03,9.2,9.21,9.0,9.05,25700,0,0
2008-04-04,9.07,9.09,9.0,9.03,14000,0,0
2008-04-07,9.03,9.04,8.65,8.76,28000,0,0
2008-04-08,8.75,8.88,8.7,8.88,11600,0,0
2008-04-09,8.88,8.9,8.6,8.66,47200,0,0
2008-04-10,8.49,8.49,8.01,8.3,84100,0,0
2008-04-11,8.1,8.24,8.02,8.24,15300,0,0
2008-04-14,8.15,8.15,7.8,8.09,49300,0,0
2008-04-15,8.04,8.2,8.04,8.2,19200,0,0
2008-04-16,8.2,8.44,8.2,8.39,26200,0,0
2008-04-17,8.39,8.39,8.05,8.18,22700,0,0
2008-04-18,8.22,8.46,8.16,8.43,19300,0,0
2008-04-21,8.5,8.83,8.5,8.8,13300,0,0
2008-04-22,8.9,9.03,8.83,8.98,36900,0,0
2008-04-23,8.98,8.98,8.75,8.78,20400,0,0
2008-04-24,8.78,8.83,8.75,8.81,11200,0,0
2008-04-25,8.81,8.85,8.81,8.85,2000,0,0
2008-04-28,8.85,8.85,8.8,8.82,3900,0,0
2008-04-29,8.88,8.88,8.56,8.56,60600,0,0
2008-04-30,8.65,8.65,8.5,8.5,9600,0,0
2008-05-01,8.51,8.53,8.33,8.47,31500,0,0
2008-05-02,8.44,8.51,8.26,8.4,46300,0,0
2008-05-05,8.48,8.48,8.36,8.42,40100,0,0
2008-05-06,8.49,8.68,8.41,8.68,130300,0,0
2008-05-07,8.68,8.79,8.52,8.79,63800,0,0
2008-05-08,9.77,9.82,9.35,9.55,231500,0,0
2008-05-09,9.45,9.56,9.38,9.42,62800,0,0
2008-05-12,9.42,9.55,9.42,9.55,65900,0,0
2008-05-13,9.5,9.67,9.5,9.67,50900,0,0
2008-05-14,9.69,9.72,9.66,9.68,23400,0,0
2008-05-15,9.68,9.7,9.56,9.58,39300,0,0
2008-05-16,9.5,9.65,9.5,9.65,31200,0,0
2008-05-19,9.61,9.66,9.57,9.65,29000,0,0
