Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,27.2,27.2,27.2,27.2,25,0,0.0
2008-01-03,28.0,28.0,27.2,27.2,66,0,0.0
2008-01-04,27.2,27.2,27.2,27.2,12,0,0.0
2008-01-07,27.2,27.2,27.2,27.2,0,0,0.0
2008-01-08,27.2,27.2,27.2,27.2,0,0,0.0
2008-01-09,27.2,27.2,27.2,27.2,0,0,0.0
2008-01-10,27.2,27.2,27.2,27.2,0,0,0.0
2008-01-14,32.0,32.0,30.4,30.4,62,0,0.0
2008-01-15,30.4,30.4,24.0,24.0,375,0,0.0
2008-01-16,24.0,24.0,24.0,24.0,0,0,0.0
2008-01-17,24.0,24.0,22.4,22.4,250,0,0.0
2008-01-18,22.4,22.4,22.4,22.4,19,0,0.0
2008-01-22,24.0,24.0,24.0,24.0,62,0,0.0
2008-01-23,27.2,27.2,27.2,27.2,494,0,0.0
2008-01-24,27.2,27.2,27.2,27.2,0,0,0.0
2008-01-25,27.2,27.2,27.2,27.2,0,0,0.0
2008-01-28,27.2,27.2,27.2,27.2,0,0,0.0
2008-01-29,27.2,27.2,27.2,27.2,0,0,0.0
2008-01-30,27.2,27.2,27.2,27.2,0,0,0.0
2008-01-31,27.2,27.2,27.2,27.2,0,0,0.0
2008-02-01,24.8,24.8,24.8,24.8,156,0,0.0
2008-02-04,27.2,27.2,27.2,27.2,34,0,0.0
2008-02-05,27.2,27.2,27.2,27.2,0,0,0.0
2008-02-07,23.2,23.2,23.2,23.2,0,0,0.0
2008-02-08,24.8,24.8,24.8,24.8,94,0,0.0
2008-02-11,24.8,24.8,24.8,24.8,6,0,0.0
2008-02-12,24.8,24.8,24.0,24.0,56,0,0.0
2008-02-13,19.2,19.2,19.2,19.2,131,0,0.0
2008-02-14,19.2,19.2,19.2,19.2,0,0,0.0
2008-02-15,23.2,24.8,23.2,24.8,219,0,0.0
2008-02-19,28.0,28.0,23.2,23.2,31,0,0.0
2008-02-20,23.2,23.2,23.2,23.2,12,0,0.0
2008-02-21,23.2,23.2,23.2,23.2,0,0,0.0
2008-02-22,26.4,26.4,26.4,26.4,125,0,0.0
2008-02-25,26.4,26.4,26.4,26.4,0,0,0.0
2008-02-26,24.0,24.0,24.0,24.0,12,0,0.0
2008-02-27,24.0,24.0,24.0,24.0,0,0,0.0
2008-02-28,30.4,30.4,30.4,30.4,6,0,0.0
2008-02-29,30.4,30.4,30.4,30.4,0,0,0.0
2008-03-03,30.4,30.4,30.4,30.4,0,0,0.0
2008-03-04,22.4,25.6,22.4,25.6,312,0,0.0
2008-03-05,25.6,25.6,25.6,25.6,0,0,0.0
2008-03-06,25.6,25.6,25.6,25.6,0,0,0.0
2008-03-07,17.6,21.6,17.6,21.6,2231,0,0.0
2008-03-10,21.6,21.6,21.6,21.6,0,0,0.0
2008-03-11,19.2,19.2,16.0,16.0,312,0,0.0
2008-03-12,16.0,16.0,16.0,16.0,0,0,0.0
2008-03-13,17.6,17.6,17.6,17.6,625,0,0.0
2008-03-14,18.4,19.2,17.6,17.6,156,0,0.0
2008-03-17,17.6,17.6,17.6,17.6,0,0,0.0
2008-03-18,17.6,17.6,17.6,17.6,0,0,0.0
2008-03-19,16.8,16.8,16.8,16.8,188,0,0.0
2008-03-20,16.0,16.0,16.0,16.0,62,0,0.0
2008-03-24,16.0,16.0,14.4,16.0,125,0,0.0
2008-03-25,16.0,16.0,16.0,16.0,0,0,0.0
2008-03-26,14.4,14.4,13.6,14.4,919,0,0.0
2008-03-27,14.4,14.4,14.4,14.4,0,0,0.0
2008-03-28,14.4,14.4,13.6,13.6,138,0,0.0
2008-03-31,16.8,17.6,16.8,17.6,312,0,0.0
2008-04-01,13.6,13.6,13.6,13.6,0,0,0.0
2008-04-02,12.8,12.8,12.8,12.8,12,0,0.0
2008-04-03,12.8,12.8,12.8,12.8,0,0,0.0
2008-04-04,12.8,12.8,12.8,12.8,16,0,0.0
2008-04-07,12.8,12.8,12.8,12.8,0,0,0.0
2008-04-08,14.4,14.4,14.4,14.4,12,0,0.0
2008-04-09,16.0,16.0,16.0,16.0,50,0,0.0
2008-04-10,13.6,17.6,13.6,13.6,234,0,0.0
2008-04-11,13.6,13.6,13.6,13.6,0,0,0.0
2008-04-14,13.6,13.6,13.6,13.6,0,0,0.0
2008-04-15,13.6,13.6,13.6,13.6,94,0,0.0
2008-04-16,13.6,13.6,13.6,13.6,0,0,0.0
2008-04-17,13.6,13.6,13.6,13.6,0,0,0.0
2008-04-18,17.6,17.6,17.6,17.6,156,0,0.0
2008-04-21,17.6,17.6,17.6,17.6,0,0,0.0
2008-04-22,16.8,16.8,16.8,16.8,125,0,0.0
2008-04-23,16.8,16.8,16.8,16.8,0,0,0.0
2008-04-24,16.8,16.8,16.8,16.8,0,0,0.0
2008-04-25,16.8,16.8,16.8,16.8,0,0,0.0
2008-04-28,16.0,16.0,16.0,16.0,3,0,0.0
2008-04-29,16.0,16.0,16.0,16.0,59,0,0.0
2008-04-30,14.4,16.0,14.4,16.0,231,0,0.0
2008-05-01,12.8,12.8,12.8,12.8,12,0,0.0
2008-05-02,12.8,12.8,12.8,12.8,0,0,0.0
2008-05-05,12.8,12.8,12.8,12.8,0,0,0.0
2008-05-06,12.8,12.8,12.8,12.8,0,0,0.0
2008-05-07,12.8,12.8,12.8,12.8,0,0,0.0
2008-05-08,16.0,17.6,16.0,16.0,1092,0,0.0
2008-05-09,17.6,17.6,17.6,17.6,375,0,0.0
2008-05-12,17.6,17.6,17.6,17.6,750,0,0.0
2008-05-13,17.6,17.6,17.6,17.6,0,0,0.0
2008-05-14,22.4,22.4,19.2,20.8,2256,0,0.0
2008-05-15,20.8,22.4,19.2,21.6,1375,0,0.0
2008-05-19,21.6,21.6,21.6,21.6,0,0,0.0
2008-05-20,20.8,20.8,20.0,20.8,603,0,0.0
2008-05-21,19.2,20.8,19.2,20.8,142,0,0.0
2008-05-22,19.2,19.2,19.2,19.2,31,0,0.0
2008-05-23,19.2,19.2,16.0,16.0,1406,0,0.0
2008-05-27,20.8,20.8,20.0,20.0,603,0,0.0
2008-05-28,20.0,20.8,20.0,20.8,281,0,0.0
2008-05-29,20.0,20.8,20.0,20.8,188,0,0.0
2008-05-30,20.8,20.8,20.8,20.8,0,0,0.0
2008-06-02,19.2,19.2,19.2,19.2,94,0,0.0
2008-06-03,20.0,20.0,20.0,20.0,625,0,0.0
2008-06-04,20.0,20.0,20.0,20.0,62,0,0.0
2008-06-05,19.2,19.2,17.6,17.6,438,0,0.0
2008-06-06,17.6,17.6,17.6,17.6,62,0,0.0
2008-06-09,17.6,17.6,17.6,17.6,0,0,0.0
2008-06-10,17.6,17.6,17.6,17.6,138,0,0.0
2008-06-11,16.0,16.0,16.0,16.0,488,0,0.0
2008-06-12,17.6,17.6,17.6,17.6,78,0,0.0
2008-06-13,17.6,17.6,17.6,17.6,312,0,0.0
2008-06-16,17.6,17.6,17.6,17.6,0,0,0.0
2008-06-17,17.6,17.6,17.6,17.6,0,0,0.0
2008-06-18,16.0,16.0,16.0,16.0,50,0,0.0
2008-06-19,16.0,16.0,16.0,16.0,0,0,0.0
2008-06-20,16.0,16.0,16.0,16.0,0,0,0.0
2008-06-23,16.0,16.0,16.0,16.0,0,0,0.0
2008-06-24,16.0,16.0,16.0,16.0,0,0,0.0
2008-06-25,16.0,16.0,16.0,16.0,0,0,0.0
2008-06-26,16.0,16.0,16.0,16.0,0,0,0.0
2008-06-30,19.2,19.2,17.6,17.6,125,0,0.0
2008-07-01,17.6,17.6,17.6,17.6,0,0,0.0
2008-07-02,17.6,17.6,17.6,17.6,48,0,0.0
2008-07-03,16.8,16.8,16.8,16.8,62,0,0.0
2008-07-07,14.4,14.4,14.4,14.4,78,0,0.0
2008-07-08,14.4,14.4,14.4,14.4,0,0,0.0
2008-07-09,14.4,14.4,14.4,14.4,0,0,0.0
2008-07-10,16.0,16.0,16.0,16.0,47,0,0.0
2008-07-11,16.0,16.0,16.0,16.0,0,0,0.0
2008-07-14,16.0,16.0,16.0,16.0,0,0,0.0
2008-07-15,16.0,16.0,16.0,16.0,0,0,0.0
2008-07-16,16.0,16.0,16.0,16.0,0,0,0.0
2008-07-17,16.0,16.0,16.0,16.0,0,0,0.0
2008-07-18,16.0,16.0,16.0,16.0,0,0,0.0
2008-07-21,16.0,16.0,16.0,16.0,0,0,0.0
2008-07-22,14.4,14.4,14.4,14.4,12,0,0.0
2008-07-23,14.4,14.4,14.4,14.4,0,0,0.0
2008-07-24,14.4,14.4,14.4,14.4,0,0,0.0
2008-07-25,14.4,14.4,14.4,14.4,0,0,0.0
2008-07-29,14.4,14.4,12.8,12.8,50,0,0.0
2008-07-30,14.4,14.4,14.4,14.4,125,0,0.0
2008-07-31,12.8,12.8,12.8,12.8,94,0,0.0
2008-08-01,12.8,12.8,12.8,12.8,0,0,0.0
2008-08-04,12.8,12.8,12.8,12.8,0,0,0.0
2008-08-05,12.8,12.8,12.8,12.8,0,0,0.0
2008-08-06,12.8,12.8,12.8,12.8,0,0,0.0
2008-08-07,12.8,12.8,12.8,12.8,62,0,0.0
2008-08-08,12.8,12.8,12.8,12.8,0,0,0.0
2008-08-11,15.2,15.2,15.2,15.2,6,0,0.0
2008-08-12,12.8,12.8,12.8,12.8,31,0,0.0
2008-08-13,14.4,14.4,14.4,14.4,62,0,0.0
2008-08-14,14.4,14.4,14.4,14.4,0,0,0.0
2008-08-15,14.4,14.4,14.4,14.4,0,0,0.0
2008-08-18,14.4,14.4,14.4,14.4,0,0,0.0
2008-08-19,12.8,12.8,12.8,12.8,625,0,0.0
2008-08-20,12.8,12.8,12.8,12.8,0,0,0.0
2008-08-21,12.0,12.0,12.0,12.0,6,0,0.0
2008-08-22,12.0,12.0,12.0,12.0,0,0,0.0
2008-08-25,12.0,12.0,12.0,12.0,0,0,0.0
2008-08-26,12.0,12.0,12.0,12.0,0,0,0.0
2008-08-27,12.0,12.0,12.0,12.0,0,0,0.0
2008-08-28,12.0,12.0,12.0,12.0,0,0,0.0
2008-08-29,12.8,12.8,12.0,12.0,338,0,0.0
2008-09-02,11.2,11.2,11.2,11.2,22,0,0.0
2008-09-03,11.2,12.0,11.2,12.0,169,0,0.0
2008-09-04,12.0,12.0,12.0,12.0,0,0,0.0
2008-09-05,10.4,10.4,10.4,10.4,88,0,0.0
2008-09-08,9.6,9.6,8.8,8.8,206,0,0.0
2008-09-09,8.8,8.8,8.8,8.8,156,0,0.0
2008-09-10,8.8,8.8,8.8,8.8,0,0,0.0
2008-09-11,8.8,8.8,8.8,8.8,0,0,0.0
2008-09-12,8.0,8.8,8.0,8.8,500,0,0.0
2008-09-15,8.8,8.8,8.8,8.8,0,0,0.0
2008-09-16,7.2,7.2,7.2,7.2,56,0,0.0
2008-09-17,7.2,7.2,7.2,7.2,169,0,0.0
2008-09-18,7.2,7.2,7.2,7.2,0,0,0.0
2008-09-19,7.2,7.2,7.2,7.2,0,0,0.0
2008-09-22,8.0,8.8,8.0,8.8,1009,0,0.0
2008-09-23,8.8,8.8,8.8,8.8,0,0,0.0
2008-09-24,9.6,9.6,7.2,7.2,84,0,0.0
2008-09-25,7.2,7.2,7.2,7.2,0,0,0.0
2008-09-26,8.0,8.0,8.0,8.0,312,0,0.0
2008-09-29,8.0,8.0,8.0,8.0,0,0,0.0
2008-09-30,7.2,7.2,7.2,7.2,625,0,0.0
2008-10-01,7.2,7.2,7.2,7.2,0,0,0.0
2008-10-02,7.2,7.2,7.2,7.2,0,0,0.0
2008-10-03,7.2,7.2,7.2,7.2,0,0,0.0
2008-10-06,6.4,6.4,6.4,6.4,375,0,0.0
2008-10-07,6.4,6.4,6.4,6.4,0,0,0.0
2008-10-08,6.4,6.4,6.4,6.4,0,0,0.0
2008-10-09,6.4,6.4,6.4,6.4,0,0,0.0
2008-10-10,6.4,6.4,6.4,6.4,0,0,0.0
2008-10-13,6.4,6.4,6.4,6.4,0,0,0.0
2008-10-14,6.4,6.4,6.4,6.4,0,0,0.0
2008-10-15,6.4,6.4,6.4,6.4,0,0,0.0
2008-10-16,3.2,3.2,3.2,3.2,312,0,0.0
2008-10-17,4.0,4.0,3.2,3.2,50,0,0.0
2008-10-20,5.6,6.4,5.6,6.4,344,0,0.0
2008-10-21,6.4,6.4,6.4,6.4,0,0,0.0
2008-10-22,6.4,6.4,6.4,6.4,0,0,0.0
2008-10-23,6.4,6.4,6.4,6.4,31,0,0.0
2008-10-24,6.4,6.4,6.4,6.4,0,0,0.0
2008-10-27,6.4,6.4,6.4,6.4,62,0,0.0
2008-10-28,4.8,4.8,4.8,4.8,369,0,0.0
2008-10-29,4.8,4.8,4.8,4.8,25,0,0.0
2008-10-30,5.6,5.6,5.6,5.6,250,0,0.0
