Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,40.89,40.89,40.89,40.89,0,0,0.0
2008-01-03,40.29,40.29,40.29,40.29,0,0,0.0
2008-01-04,41.15,41.15,41.15,41.15,0,0,0.0
2008-01-07,40.4,40.4,40.4,40.4,0,0,0.0
2008-01-08,38.95,38.95,38.95,38.95,0,0,0.0
2008-01-09,37.93,37.93,37.93,37.93,0,0,0.0
2008-01-10,37.54,37.54,37.54,37.54,0,0,0.0
2008-01-11,35.24,35.24,35.24,35.24,0,0,0.0
2008-01-14,35.67,35.67,35.67,35.67,0,0,0.0
2008-01-15,36.62,36.62,36.62,36.62,0,0,0.0
2008-01-16,33.83,33.83,33.83,33.83,0,0,0.0
2008-01-17,35.12,35.12,35.12,35.12,0,0,0.0
2008-01-18,34.45,34.45,34.45,34.45,0,0,0.0
2008-01-22,35.15,36.21,35.15,35.15,0,0,0.0
2008-01-23,35.49,35.49,35.17,35.17,3,0,0.0
2008-01-24,35.19,35.19,35.19,35.19,6,0,0.0
2008-01-25,35.25,35.25,35.25,35.25,0,0,0.0
2008-01-28,34.65,34.65,34.65,34.65,0,0,0.0
2008-01-29,34.98,34.98,34.98,34.98,0,0,0.0
2008-01-30,35.49,35.49,35.49,35.49,0,0,0.0
2008-01-31,36.29,36.29,36.29,36.29,0,0,0.0
2008-02-01,36.29,36.29,36.29,36.29,0,0,0.0
2008-02-04,36.58,36.58,36.58,36.58,0,0,0.0
2008-02-05,37.04,37.04,37.04,37.04,0,0,0.0
2008-02-06,34.34,34.34,34.34,34.34,0,0,0.0
2008-02-07,34.58,34.58,34.58,34.58,0,0,0.0
2008-02-08,35.38,35.38,35.38,35.38,0,0,0.0
2008-02-11,34.21,34.21,34.21,34.21,0,0,0.0
2008-02-12,34.52,34.52,34.52,34.52,0,0,0.0
2008-02-13,35.41,35.41,35.41,35.41,0,0,0.0
2008-02-14,37.96,37.96,37.96,37.96,0,0,0.0
2008-02-15,36.81,36.81,36.81,36.81,0,0,0.0
2008-02-19,38.49,38.49,38.49,38.49,0,0,0.0
2008-02-20,39.16,39.16,39.16,39.16,0,0,0.0
2008-02-21,40.13,40.13,40.13,40.13,0,0,0.0
2008-02-22,40.49,40.49,40.49,40.49,0,0,0.0
2008-02-25,40.76,40.76,40.76,40.76,0,0,0.0
2008-02-26,39.6,39.6,39.6,39.6,0,0,0.0
2008-02-27,39.4,39.4,39.4,39.4,0,0,0.0
2008-02-28,38.79,38.79,38.79,38.79,0,0,0.0
2008-02-29,38.05,38.05,38.05,38.05,0,0,0.0
2008-03-03,36.89,36.89,36.89,36.89,0,0,0.0
2008-03-04,36.64,36.64,36.64,36.64,0,0,0.0
2008-03-05,36.79,36.79,36.79,36.79,0,0,0.0
2008-03-06,37.13,37.13,37.13,37.13,0,0,0.0
2008-03-07,36.63,36.63,36.63,36.63,0,0,0.0
2008-03-10,35.46,35.46,35.46,35.46,0,0,0.0
2008-03-11,35.24,35.24,35.24,35.24,0,0,0.0
2008-03-12,35.49,35.49,35.49,35.49,0,0,0.0
2008-03-13,35.03,35.03,35.03,35.03,0,0,0.0
2008-03-14,35.35,35.35,35.35,35.35,0,0,0.0
2008-03-17,34.52,34.52,34.52,34.52,0,0,0.0
2008-03-18,34.48,34.48,34.48,34.48,0,0,0.0
2008-03-19,34.78,34.78,34.78,34.78,0,0,0.0
2008-03-20,34.21,34.21,34.21,34.21,0,0,0.0
2008-03-25,35.76,35.76,35.76,35.76,0,0,0.0
2008-03-26,36.78,36.78,36.78,36.78,0,0,0.0
2008-03-27,37.14,37.14,37.14,37.14,0,0,0.0
2008-03-28,37.11,37.11,37.11,37.11,0,0,0.0
2008-03-31,37.04,37.04,37.04,37.04,0,0,0.0
2008-04-01,38.92,38.92,38.92,38.92,0,0,0.0
2008-04-02,38.75,38.75,38.75,38.75,0,0,0.0
2008-04-03,38.43,38.43,38.43,38.43,0,0,0.0
2008-04-04,38.38,38.38,38.38,38.38,0,0,0.0
2008-04-07,38.11,38.11,38.11,38.11,0,0,0.0
2008-04-08,38.73,38.73,38.73,38.73,0,0,0.0
2008-04-09,37.8,37.8,37.8,37.8,0,0,0.0
2008-04-10,37.77,37.77,37.77,37.77,0,0,0.0
2008-04-11,37.17,37.17,37.17,37.17,0,0,0.0
2008-04-14,37.05,37.05,37.05,37.05,165,0,0.0
2008-04-15,36.76,36.76,36.76,36.76,0,0,0.0
2008-04-16,36.13,36.13,36.13,36.13,330,0,0.0
2008-04-17,35.77,35.77,35.77,35.77,0,0,0.0
