Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,13.46,13.56,13.17,13.38,121100,0.0,0
2008-01-03,13.49,13.72,13.41,13.48,173500,0.0,0
2008-01-04,13.28,13.5,12.95,13.0,123900,0.0,0
2008-01-07,13.04,13.71,13.04,13.58,122900,0.0,0
2008-01-08,13.57,13.8,13.06,13.37,187800,0.0,0
2008-01-09,13.37,13.6,13.02,13.6,125400,0.0,0
2008-01-10,13.47,13.76,13.25,13.7,122700,0.0,0
2008-01-11,13.64,13.75,13.26,13.26,84800,0.0,0
2008-01-14,13.41,13.51,13.21,13.45,51200,0.0,0
2008-01-15,13.24,13.46,13.09,13.41,77700,0.0,0
2008-01-16,13.4,13.99,13.13,13.82,136900,0.0,0
2008-01-17,13.84,13.84,13.46,13.53,77100,0.0,0
2008-01-18,13.62,14.0,13.09,13.56,147100,0.0,0
2008-01-22,13.11,14.07,12.96,13.43,188700,0.0,0
2008-01-23,13.09,13.87,13.04,13.78,277600,0.0,0
2008-01-24,13.81,13.9,13.47,13.7,217300,0.0,0
2008-01-25,13.87,13.91,13.41,13.56,84100,0.0,0
2008-01-28,13.51,13.85,13.39,13.85,121900,0.0,0
2008-01-29,13.9,13.92,13.51,13.71,83300,0.0,0
2008-01-30,13.58,14.04,13.48,13.59,130800,0.0,0
2008-01-31,13.39,13.85,13.26,13.26,137500,0.0,0
2008-02-01,13.34,13.94,13.21,13.84,156300,0.0,0
2008-02-04,13.76,13.86,13.55,13.66,71700,0.0,0
2008-02-05,13.49,13.75,13.4,13.44,76700,0.0,0
2008-02-06,13.51,14.02,13.36,13.36,133900,0.0,0
2008-02-07,13.36,13.91,13.36,13.9,174900,0.0,0
2008-02-08,13.87,13.91,13.49,13.67,92100,0.0,0
2008-02-11,13.67,13.69,13.37,13.54,165200,0.0,0
2008-02-12,13.58,13.86,13.53,13.76,109100,0.0,0
2008-02-13,13.89,13.98,13.74,13.9,81700,0.0,0
2008-02-14,13.91,13.92,13.45,13.61,109900,0.0,0
2008-02-15,13.53,13.9,13.39,13.9,123300,0.0,0
2008-02-19,14.03,14.06,13.52,13.66,61800,0.0,0
