Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,30.26,30.92,30.09,30.3,594100,0.0,0
2008-01-03,30.25,30.52,29.95,30.01,765300,0.0,0
2008-01-04,29.67,29.92,28.73,28.89,515700,0.0,0
2008-01-07,29.07,29.44,28.19,28.97,703500,0.0,0
2008-01-08,29.12,29.53,27.98,28.07,682700,0.0,0
2008-01-09,27.99,28.76,27.56,28.64,1005000,0.0,0
2008-01-10,28.26,30.18,28.25,29.8,988400,0.0,0
2008-01-11,29.51,30.33,28.96,29.91,717700,0.0,0
2008-01-14,30.21,30.22,29.57,29.85,408700,0.0,0
2008-01-15,29.58,29.62,28.24,28.48,1081800,0.0,0
2008-01-16,28.31,29.56,28.13,29.13,706900,0.0,0
2008-01-17,29.19,29.54,27.56,27.63,867500,0.0,0
2008-01-18,27.45,28.74,27.36,28.03,670000,0.0,0
2008-01-22,28.26,29.43,25.26,28.38,1009500,0.0,0
2008-01-23,27.76,29.43,27.32,29.29,900700,0.0,0
2008-01-24,29.4,30.65,29.29,30.06,673100,0.0,0
2008-01-25,30.52,31.06,28.78,28.98,624100,0.0,0
2008-01-28,28.78,29.9,28.01,29.57,848700,0.0,0
2008-01-29,29.79,30.22,29.37,30.18,481800,0.0,0
2008-01-30,29.95,31.27,29.85,30.15,618800,0.0,0
2008-01-31,29.74,32.36,29.23,31.9,947400,0.0,0
2008-02-01,32.05,33.38,31.97,33.0,1045000,0.0,0
2008-02-04,32.63,32.92,31.95,31.95,415500,0.0,0
2008-02-05,31.15,31.89,30.29,30.37,578000,0.0,0
2008-02-06,30.59,31.39,29.72,30.4,694000,0.0,0
2008-02-07,30.28,30.8,29.91,30.25,700500,0.0,0
2008-02-08,30.27,31.45,30.07,31.07,494400,0.0,0
2008-02-11,29.95,30.16,28.9,29.67,654400,0.0,0
2008-02-12,30.01,30.37,29.12,29.22,706400,0.0,0
2008-02-13,29.69,30.35,29.01,29.91,895100,0.0,0
2008-02-14,31.0,31.0,29.23,29.37,1666300,0.0,0
2008-02-15,29.21,29.38,26.45,27.03,1456500,0.0,0
2008-02-19,27.37,28.05,26.53,27.6,1033400,0.0,0
2008-02-20,27.32,28.14,27.07,28.09,692100,0.0,0
2008-02-21,28.38,29.17,28.27,28.5,816500,0.0,0
2008-02-22,28.86,28.86,27.46,28.25,482000,0.0,0
2008-02-25,28.54,28.66,27.6,28.5,472500,0.0,0
2008-02-26,28.33,29.1,28.21,28.51,663700,0.0,0
2008-02-27,28.35,28.76,27.47,27.56,959400,0.0,0
2008-02-28,27.19,27.64,26.69,26.8,1133900,0.0,0
2008-02-29,26.49,26.64,25.14,25.3,1722900,0.0,0
2008-03-03,25.35,25.45,23.95,24.09,1634400,0.0,0
2008-03-04,24.14,24.72,23.56,24.39,1352800,0.0,0
2008-03-05,24.51,25.2,24.51,24.76,953800,0.0,0
2008-03-06,24.67,24.75,22.32,22.66,1870700,0.0,0
2008-03-07,22.66,24.02,22.46,23.43,1585700,0.0,0
2008-03-10,23.23,25.06,23.23,23.54,1574400,0.0,0
2008-03-11,24.35,25.35,23.96,25.32,1408300,0.0,0
2008-03-12,25.26,25.72,24.73,25.13,926100,0.0,0
2008-03-13,24.84,26.54,24.38,26.49,1027700,0.0,0
2008-03-14,26.75,26.75,24.75,25.75,979900,0.0,0
2008-03-17,24.98,25.6,24.33,25.26,915600,0.0,0
2008-03-18,25.63,27.23,25.15,27.06,974100,0.0,0
2008-03-19,27.26,27.63,25.92,25.92,742000,0.0,0
2008-03-20,25.99,27.17,25.35,26.78,1244000,0.0,0
2008-03-24,26.91,28.51,26.73,28.21,1120800,0.0,0
2008-03-25,28.21,28.41,27.16,27.81,628500,0.0,0
2008-03-26,27.67,27.92,27.26,27.64,466300,0.0,0
2008-03-27,27.85,28.06,26.94,27.3,432500,0.13,0
2008-03-28,27.2,28.1,26.97,27.22,408700,0.0,0
2008-03-31,27.4,27.87,27.05,27.52,524400,0.0,0
2008-04-01,27.95,29.35,27.79,29.26,490000,0.0,0
2008-04-02,29.28,29.39,28.31,28.65,534900,0.0,0
2008-04-03,28.59,29.44,28.56,29.27,524300,0.0,0
2008-04-04,29.34,29.5,28.5,29.09,362300,0.0,0
2008-04-07,29.67,29.67,28.81,29.03,510500,0.0,0
2008-04-08,28.72,28.75,27.59,28.55,671500,0.0,0
2008-04-09,28.85,28.97,27.68,27.78,352600,0.0,0
2008-04-10,27.72,28.6,27.4,28.42,390600,0.0,0
2008-04-11,28.0,28.08,27.07,27.45,458700,0.0,0
2008-04-14,27.33,27.33,26.55,27.02,361800,0.0,0
2008-04-15,27.21,28.08,26.89,27.77,411000,0.0,0
2008-04-16,28.04,29.11,27.87,28.78,551500,0.0,0
2008-04-17,28.62,28.9,28.03,28.4,334000,0.0,0
2008-04-18,28.76,29.57,28.52,29.56,1037700,0.0,0
2008-04-21,29.62,30.23,29.13,29.46,609400,0.0,0
2008-04-22,29.14,29.33,28.45,28.84,338000,0.0,0
2008-04-23,28.84,29.07,28.21,28.36,299200,0.0,0
2008-04-24,28.33,28.93,27.79,28.66,519000,0.0,0
2008-04-25,28.86,29.04,28.26,28.99,434900,0.0,0
2008-04-28,28.95,29.54,28.63,29.23,224300,0.0,0
2008-04-29,29.25,29.28,28.65,29.14,288500,0.0,0
