Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,12.77,13.05,12.26,12.26,1000,0.0,0
2008-01-03,12.77,12.93,12.57,12.77,1200,0.0,0
2008-01-04,12.77,12.77,12.77,12.77,0,0.0,0
2008-01-07,12.77,12.77,12.77,12.77,0,0.0,0
2008-01-08,12.77,12.77,12.77,12.77,0,0.0,0
2008-01-09,12.77,12.77,12.77,12.77,0,0.0,0
2008-01-10,12.64,12.64,12.64,12.64,700,0.0,0
2008-01-11,12.64,12.64,12.64,12.64,0,0.0,0
2008-01-14,12.71,12.71,12.63,12.63,1400,0.0,0
2008-01-15,12.78,13.36,12.77,12.81,3000,0.0,0
2008-01-16,12.65,12.81,12.59,12.81,4500,0.0,0
2008-01-17,12.74,12.74,12.74,12.74,300,0.0,0
2008-01-18,12.81,12.81,12.81,12.81,100,0.0,0
2008-01-22,12.65,12.65,12.59,12.59,200,0.0,0
2008-01-23,12.62,12.62,12.62,12.62,400,0.0,0
2008-01-24,12.62,12.62,12.62,12.62,0,0.0,0
2008-01-25,12.78,12.78,12.78,12.78,100,0.0,0
2008-01-28,12.78,12.78,12.77,12.77,500,0.0,0
2008-01-29,12.78,13.25,12.78,13.06,3200,0.0,0
2008-01-30,13.2,13.2,13.2,13.2,100,0.0,0
2008-01-31,12.93,12.93,12.88,12.9,2700,0.0,0
2008-02-01,12.9,12.9,12.9,12.9,0,0.0,0
2008-02-04,12.9,12.9,12.9,12.9,0,0.0,0
2008-02-05,13.05,13.67,12.99,13.18,10700,0.0,0
2008-02-06,13.18,13.18,12.88,12.9,7000,0.0,0
2008-02-07,13.05,13.05,12.89,12.93,2400,0.0,0
2008-02-08,12.96,12.96,12.92,12.92,4200,0.0,0
2008-02-11,13.07,14.0,13.07,13.24,5000,0.0,0
2008-02-12,13.24,13.24,13.24,13.24,0,0.0,0
2008-02-13,13.24,13.24,13.24,13.24,0,0.0,0
2008-02-14,13.09,13.09,13.08,13.08,600,0.0,0
2008-02-15,13.21,13.21,13.21,13.21,100,0.0,0
2008-02-19,13.13,13.15,13.05,13.15,10100,0.0,0
2008-02-20,13.05,13.05,12.99,13.05,3100,0.0,0
2008-02-21,13.05,13.16,12.99,13.16,3400,0.0,0
2008-02-22,13.05,13.05,13.04,13.04,3100,0.0,0
2008-02-25,13.03,13.03,13.03,13.03,100,0.0,0
2008-02-26,13.0,13.04,12.97,12.97,1100,0.0,0
2008-02-27,13.04,13.04,12.96,12.96,700,0.0,0
2008-02-28,12.96,12.96,12.96,12.96,0,0.0,0
2008-02-29,12.96,13.01,12.95,12.99,1200,0.0,0
2008-03-03,12.99,12.99,12.99,12.99,0,0.0,0
2008-03-04,12.96,12.96,12.95,12.95,400,0.0,0
2008-03-05,12.95,12.95,12.93,12.93,600,0.0,0
2008-03-06,12.93,12.93,12.93,12.93,100,0.0,0
2008-03-07,12.93,12.93,12.93,12.93,100,0.0,0
2008-03-10,12.93,12.93,12.9,12.9,1500,0.0,0
2008-03-11,13.05,13.05,12.87,12.87,1200,0.0,0
2008-03-12,12.87,13.46,12.87,13.45,3500,0.0,0
2008-03-13,13.3,13.3,13.07,13.13,1100,0.0,0
