Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,31.2,31.49,30.62,30.92,598200,0,0.0
2008-01-03,30.99,31.09,30.43,30.5,306600,0,0.0
2008-01-04,30.17,30.52,30.03,30.33,374000,0,0.0
2008-01-07,30.52,30.61,30.02,30.02,452200,0,0.0
2008-01-08,30.01,30.79,28.83,28.88,648800,0,0.0
2008-01-09,28.75,29.25,28.17,28.22,730800,0,0.0
2008-01-10,27.95,28.3,27.71,27.82,1125200,0,0.0
2008-01-11,27.65,27.96,27.31,27.62,620000,0,0.0
2008-01-14,27.86,28.27,27.73,28.24,455000,0,0.0
2008-01-15,27.92,28.3,27.79,28.15,475200,0,0.0
2008-01-16,28.13,28.59,28.13,28.48,428000,0,0.0
2008-01-17,28.65,28.75,27.9,28.24,351400,0,0.0
2008-01-18,28.41,28.41,27.45,27.67,542600,0,0.0
2008-01-22,26.66,28.34,26.66,28.17,667200,0,0.0
2008-01-23,27.48,28.05,27.25,27.99,474400,0,0.0
2008-01-24,28.15,28.51,27.5,27.5,326400,0,0.0
2008-01-25,27.83,27.83,27.11,27.34,264000,0,0.0
2008-01-28,27.26,27.5,27.11,27.4,305600,0,0.0
2008-01-29,27.55,27.56,27.08,27.35,220400,0,0.0
2008-01-30,27.35,28.09,27.25,27.62,421000,0,0.0
2008-01-31,27.62,30.03,27.62,29.92,880600,0,0.0
2008-02-01,29.74,30.11,29.09,29.18,504400,0,0.0
2008-02-04,29.1,29.66,29.02,29.18,306000,0,0.0
2008-02-05,28.74,29.01,28.48,28.59,289600,0,0.0
2008-02-06,28.82,28.83,27.98,28.08,270000,0,0.0
2008-02-07,27.86,28.72,27.74,28.57,240000,0,0.0
2008-02-08,28.53,28.95,28.34,28.59,266200,0,0.0
2008-02-11,28.56,28.83,28.08,28.6,214600,0,0.0
2008-02-12,28.76,29.33,28.35,29.29,327200,0,0.0
2008-02-13,29.58,29.81,28.59,28.6,588600,0,0.0
2008-02-14,28.72,28.94,28.35,28.36,585000,0,0.0
2008-02-15,28.35,28.35,27.72,28.18,307400,0,0.0
2008-02-19,28.55,28.91,28.38,28.89,314200,0,0.0
2008-02-20,28.75,29.04,28.52,29.02,230000,0,0.0
2008-02-21,29.25,29.74,29.08,29.42,494600,0,0.0
2008-02-22,29.4,29.46,28.61,28.73,380200,0,0.0
2008-02-25,28.79,29.57,28.59,29.5,369000,0,0.0
2008-02-26,29.5,29.69,29.25,29.56,234600,0,0.0
2008-02-27,29.33,29.92,29.21,29.81,271000,0,0.0
2008-02-28,29.62,29.93,29.12,29.61,235600,0,0.0
2008-02-29,29.14,29.6,28.83,29.05,257400,0,0.0
2008-03-03,29.11,29.82,29.05,29.77,335200,0,0.0
2008-03-04,29.48,29.5,29.02,29.31,427000,0,0.0
2008-03-05,29.47,29.5,28.95,29.26,167400,0,0.0
2008-03-06,29.17,29.23,28.67,28.91,239400,0,0.0
2008-03-07,28.65,28.98,28.03,28.78,257600,0,0.0
2008-03-10,28.83,29.14,28.49,28.7,383400,0,0.0
2008-03-11,29.15,29.42,28.88,29.22,332600,0,0.0
2008-03-12,29.31,29.45,28.88,28.89,557000,0,0.0
2008-03-13,28.5,29.58,28.5,29.34,436000,0,0.0
2008-03-14,29.2,29.44,28.67,29.02,403600,0,0.0
2008-03-17,28.35,29.12,28.25,28.96,241600,0,0.0
2008-03-18,29.57,29.74,28.91,29.74,526600,0,0.0
2008-03-19,29.85,30.37,28.91,28.91,392400,0,0.0
2008-03-20,29.38,30.1,28.82,30.0,920400,0,0.0
2008-03-24,30.12,30.14,29.45,29.56,517000,0,0.0
2008-03-25,29.68,29.84,29.39,29.71,972600,0,0.0
2008-03-26,29.52,29.78,28.84,29.62,1434600,0,0.0
2008-03-27,29.74,30.0,29.53,29.76,688200,0,0.0
2008-03-28,29.75,30.0,29.24,29.35,371200,0,0.0
2008-03-31,29.45,29.98,29.45,29.79,279400,0,0.0
2008-04-01,30.11,30.33,29.58,30.33,404800,0,0.0
2008-04-02,30.2,30.52,29.99,30.32,467800,0,0.0
2008-04-03,30.11,30.38,29.75,30.01,233600,0,0.0
2008-04-04,30.19,30.65,29.98,30.25,867000,0,0.0
2008-04-07,30.25,30.52,29.89,30.05,367200,0,0.0
2008-04-08,29.92,30.31,29.85,30.31,179800,0,0.0
2008-04-09,30.41,30.56,29.96,30.02,248400,0,0.0
2008-04-10,29.95,30.41,29.86,30.41,213400,0,0.0
2008-04-11,30.13,30.17,28.83,28.92,480400,0,0.0
2008-04-14,28.83,29.08,28.23,28.25,465400,0,0.0
2008-04-15,28.42,28.63,28.09,28.17,409600,0,0.0
2008-04-16,28.32,28.89,28.12,28.77,362600,0,0.0
2008-04-17,28.59,28.69,28.01,28.31,564800,0,0.0
2008-04-18,28.6,29.09,28.08,28.27,495000,0,0.0
2008-04-21,27.99,28.33,27.78,28.16,314800,0,0.0
2008-04-22,28.06,28.15,27.61,27.85,415200,0,0.0
2008-04-23,27.98,28.24,27.84,28.03,174600,0,0.0
2008-04-24,28.16,28.39,27.55,28.12,315800,0,0.0
2008-04-25,28.29,28.7,28.0,28.53,339400,0,0.0
2008-04-28,28.55,28.92,28.45,28.66,228800,0,0.0
2008-04-29,28.68,29.05,28.52,28.77,271000,0,0.0
2008-04-30,28.98,29.38,28.48,28.61,467200,0,0.0
2008-05-01,28.72,28.72,25.86,26.73,1935800,0,0.0
2008-05-02,26.8,27.17,26.7,26.77,771800,0,0.0
2008-05-05,26.7,27.0,26.5,26.91,647200,0,0.0
2008-05-06,26.96,27.58,26.74,27.54,762000,0,0.0
2008-05-07,27.51,28.02,27.44,27.49,770200,0,0.0
2008-05-08,27.45,27.8,27.43,27.5,526600,0,0.0
