Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,31.77,32.54,31.76,32.3,10321900.0,0.0,0
2008-01-03,32.47,33.12,32.39,32.66,10216200.0,0.0,0
2008-01-04,32.56,32.56,31.57,31.73,11450000.0,0.0,0
2008-01-07,31.89,31.93,30.47,31.18,15327600.0,0.0,0
2008-01-08,31.32,31.78,30.39,30.52,11488400.0,0.0,0
2008-01-09,30.5,31.15,29.99,30.67,18241500.0,0.0,0
2008-01-10,30.51,30.54,29.81,30.21,15601100.0,0.0,0
2008-01-11,30.06,30.34,29.79,29.99,13297600.0,0.0,0
2008-01-14,30.17,30.6,29.94,30.46,9409400.0,0.0,0
2008-01-15,30.06,30.24,29.3,29.52,14231200.0,0.0,0
2008-01-16,29.15,29.64,28.32,28.83,18656900.0,0.0,0
2008-01-17,29.22,29.24,27.5,27.8,19850900.0,0.0,0
2008-01-18,27.02,27.47,25.92,27.05,28351600.0,0.0,0
2008-01-22,25.28,26.92,25.05,26.67,25041700.0,0.0,0
2008-01-23,25.94,26.52,25.05,26.43,33748900.0,0.0,0
2008-01-24,26.39,27.41,26.21,27.03,18879400.0,0.0,0
2008-01-25,28.16,28.81,27.37,27.63,24917200.0,0.0,0
2008-01-28,28.26,28.43,27.17,28.01,13579400.0,0.0,0
2008-01-29,28.29,28.58,27.83,28.16,12152900.0,0.0,0
2008-01-30,27.93,28.41,27.49,27.6,13669600.0,0.0,0
2008-01-31,27.14,27.81,27.01,27.69,17271600.0,0.0,0
2008-02-01,27.84,28.37,27.45,28.16,13607800.0,0.0,0
2008-02-04,28.58,29.11,28.29,28.98,15364500.0,0.0,0
2008-02-05,28.52,28.88,28.19,28.46,15041100.0,0.0,0
2008-02-06,28.6,28.79,27.81,27.94,12892400.0,0.0,0
2008-02-07,27.58,28.45,27.49,28.04,10105600.0,0.0,0
2008-02-08,27.83,28.34,27.66,28.17,10486000.0,0.0,0
2008-02-11,28.2,28.97,28.06,28.88,12337000.0,0.0,0
2008-02-12,29.04,29.62,28.7,28.86,14405700.0,0.0,0
2008-02-13,29.13,29.86,28.9,29.78,14312800.0,0.0,0
2008-02-14,30.03,30.35,29.8,29.92,13154700.0,0.0,0
2008-02-15,29.76,30.16,29.33,29.92,9658800.0,0.0,0
2008-02-19,30.36,30.82,30.23,30.33,14140100.0,0.0,0
2008-02-20,30.2,30.83,29.99,30.66,10898300.0,0.0,0
2008-02-21,30.63,30.64,29.88,30.11,12011300.0,0.0,0
2008-02-22,30.17,30.33,29.5,30.19,12086400.0,0.0,0
2008-02-25,30.19,31.26,30.19,30.97,16831000.0,0.0,0
2008-02-26,30.77,31.53,30.52,31.36,15367200.0,0.0,0
2008-02-27,31.12,31.58,31.02,31.35,11165000.0,0.0,0
2008-02-28,31.43,32.94,31.43,32.69,21034700.0,0.09,0
2008-02-29,32.43,32.48,31.73,32.05,14095900.0,0.0,0
2008-03-03,32.07,32.63,31.78,32.27,12488200.0,0.0,0
2008-03-04,31.91,32.33,31.44,31.98,14097200.0,0.0,0
2008-03-05,32.3,33.01,32.14,32.86,16640200.0,0.0,0
2008-03-06,32.63,32.91,32.2,32.34,16175600.0,0.0,0
2008-03-07,32.05,32.39,31.48,31.79,11241500.0,0.0,0
2008-03-10,31.76,31.99,30.81,30.95,16741000.0,0.0,0
2008-03-11,31.58,32.17,31.34,32.11,13186900.0,0.0,0
2008-03-12,32.09,32.36,31.53,31.73,10272800.0,0.0,0
2008-03-13,31.42,32.53,30.94,32.28,16303700.0,0.0,0
2008-03-14,32.49,32.55,31.31,32.14,12549900.0,0.0,0
2008-03-17,30.96,31.53,30.37,30.63,21940000.0,0.0,0
2008-03-18,31.16,31.49,30.98,31.49,21803300.0,0.0,0
2008-03-19,31.28,31.48,29.98,30.03,18469500.0,0.0,0
2008-03-20,29.72,30.5,29.42,30.32,18789400.0,0.0,0
2008-03-24,30.39,31.24,30.36,30.66,12744900.0,0.0,0
2008-03-25,30.76,31.78,30.76,31.34,14178300.0,0.0,0
2008-03-26,31.22,32.73,31.22,32.61,20627900.0,0.0,0
2008-03-27,32.91,33.32,32.69,32.72,19255600.0,0.0,0
2008-03-28,32.81,33.21,32.35,32.81,12487300.0,0.0,0
2008-03-31,32.85,33.46,32.39,32.91,14757800.0,0.0,0
2008-04-01,32.97,33.17,32.27,32.99,15515600.0,0.0,0
