Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,8.61,8.61,8.61,8.61,0,0,0
2008-01-03,8.74,8.74,8.74,8.74,0,0,0
2008-01-04,8.35,8.35,8.35,8.35,0,0,0
2008-01-07,8.23,8.23,8.23,8.23,0,0,0
2008-01-08,8.07,8.07,8.07,8.07,0,0,0
2008-01-09,8.2,8.2,8.2,8.2,0,0,0
2008-01-10,8.12,8.12,8.12,8.12,0,0,0
2008-01-11,7.85,7.85,7.85,7.85,0,0,0
2008-01-14,7.86,7.86,7.86,7.86,0,0,0
2008-01-15,7.63,7.63,7.63,7.63,0,0,0
2008-01-16,7.64,7.64,7.64,7.64,0,0,0
2008-01-17,7.73,7.73,7.73,7.73,0,0,0
2008-01-18,7.94,7.94,7.94,7.94,0,0,0
2008-01-22,7.61,7.61,7.61,7.61,0,0,0
2008-01-23,7.34,7.34,7.34,7.34,0,0,0
2008-01-24,8.05,8.05,8.05,8.05,0,0,0
2008-01-25,8.37,8.37,8.37,8.37,0,0,0
2008-01-28,8.19,8.19,8.19,8.19,0,0,0
2008-01-29,8.64,8.64,8.64,8.64,0,0,0
2008-01-30,8.71,8.71,8.71,8.71,0,0,0
2008-01-31,8.78,8.78,8.78,8.78,0,0,0
2008-02-01,8.65,8.65,8.65,8.65,0,0,0
2008-02-04,9.1,9.1,9.1,9.1,0,0,0
2008-02-05,9.12,9.12,9.12,9.12,0,0,0
2008-02-06,9.05,9.05,9.05,9.05,0,0,0
2008-02-07,8.86,8.86,8.86,8.86,0,0,0
2008-02-08,9.15,9.15,9.15,9.15,0,0,0
2008-02-11,9.18,9.18,9.18,9.18,0,0,0
2008-02-12,8.92,8.92,8.92,8.92,0,0,0
2008-02-13,8.89,8.89,8.89,8.89,0,0,0
2008-02-14,9.23,9.23,9.23,9.23,0,0,0
2008-02-15,9.2,9.2,9.2,9.2,0,0,0
2008-02-19,9.15,9.15,9.15,9.15,0,0,0
2008-02-20,9.09,9.09,9.09,9.09,0,0,0
2008-02-21,9.31,9.31,9.31,9.31,0,0,0
2008-02-22,9.11,9.11,9.11,9.11,0,0,0
2008-02-25,9.5,9.5,9.5,9.5,0,0,0
2008-02-26,9.42,9.42,9.42,9.42,0,0,0
2008-02-27,9.3,9.3,9.3,9.3,0,0,0
2008-02-28,9.48,9.48,9.48,9.48,0,0,0
2008-02-29,9.27,9.27,9.27,9.27,0,0,0
2008-03-03,9.01,9.01,9.01,9.01,0,0,0
2008-03-04,8.74,8.74,8.74,8.74,0,0,0
2008-03-05,8.7,8.7,8.7,8.7,0,0,0
2008-03-06,8.68,8.68,8.68,8.68,0,0,0
2008-03-07,8.58,8.58,8.58,8.58,0,0,0
2008-03-10,8.28,8.28,8.28,8.28,0,0,0
