Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-07-17,2.59,2.59,2.59,2.59,60,0,0
2009-11-17,1.0,1.0,1.0,1.0,0,0,0
2009-11-18,0.92,0.92,0.92,0.92,0,0,0
2009-11-19,0.99,0.99,0.99,0.99,0,0,0
2009-11-24,1.01,1.01,1.01,1.01,0,0,0
2009-11-25,1.01,1.01,1.01,1.01,0,0,0
2009-11-30,1.04,1.04,1.04,1.04,0,0,0
2009-12-01,0.98,0.98,0.98,0.98,0,0,0
2009-12-03,0.99,0.99,0.99,0.99,0,0,0
2009-12-04,1.0,1.0,1.0,1.0,6000,0,0
2009-12-07,0.92,0.92,0.92,0.92,1000,0,0
2009-12-15,0.89,0.89,0.89,0.89,0,0,0
2009-12-21,1.0,1.0,1.0,1.0,5000,0,0
2009-12-22,1.0,1.0,1.0,1.0,5000,0,0
2009-12-23,1.0,1.0,1.0,1.0,0,0,0
2009-12-24,1.0,1.0,1.0,1.0,0,0,0
2009-12-28,0.94,0.94,0.94,0.94,0,0,0
2009-12-29,0.98,0.98,0.98,0.98,0,0,0
2009-12-31,0.98,0.98,0.98,0.98,0,0,0
2010-01-04,0.99,0.99,0.99,0.99,0,0,0
2010-01-05,0.99,0.99,0.99,0.99,0,0,0
2010-01-06,1.06,1.06,1.06,1.06,0,0,0
2010-01-07,1.01,1.01,1.01,1.01,0,0,0
2010-01-11,1.08,1.08,1.08,1.08,0,0,0
2010-01-15,1.1,1.1,1.1,1.1,0,0,0
2010-01-20,1.1,1.1,1.1,1.1,0,0,0
2010-01-21,1.1,1.1,1.1,1.1,0,0,0
2010-01-27,1.05,1.05,1.05,1.05,0,0,0
2010-01-28,0.98,0.98,0.98,0.98,0,0,0
2010-01-29,0.99,0.99,0.99,0.99,0,0,0
2010-02-02,0.98,0.98,0.98,0.98,0,0,0
2010-02-03,0.96,0.96,0.96,0.96,0,0,0
2010-02-04,0.98,0.98,0.98,0.98,0,0,0
2010-02-05,1.05,1.05,1.05,1.05,0,0,0
2010-02-10,0.99,0.99,0.99,0.99,0,0,0
2010-02-11,0.97,0.97,0.97,0.97,0,0,0
2010-02-12,0.95,0.95,0.95,0.95,0,0,0
2010-02-16,1.06,1.06,1.06,1.06,0,0,0
2010-02-17,1.03,1.03,1.03,1.03,0,0,0
2010-02-22,1.07,1.07,1.07,1.07,0,0,0
2010-02-24,1.12,1.12,1.12,1.12,3000,0,0
2010-02-25,1.12,1.12,1.12,1.12,3000,0,0
2010-02-26,1.12,1.12,1.12,1.12,0,0,0
2010-03-03,1.1,1.1,1.1,1.1,0,0,0
2010-03-04,1.13,1.13,1.13,1.13,0,0,0
2010-03-05,1.24,1.24,1.24,1.24,1000,0,0
2010-03-09,1.3,1.3,1.3,1.3,1850,0,0
2010-03-10,1.3,1.3,1.3,1.3,1850,0,0
2010-03-16,1.23,1.23,1.23,1.23,0,0,0
2010-03-18,1.29,1.29,1.29,1.29,0,0,0
2010-03-22,1.44,1.44,1.44,1.44,0,0,0
2010-03-24,1.65,1.65,1.65,1.65,100,0,0
2010-03-25,1.65,1.65,1.65,1.65,180,0,0
2010-03-26,1.65,1.65,1.65,1.65,180,0,0
2010-03-29,1.42,1.42,1.42,1.42,5,0,0
2010-03-31,1.42,1.42,1.42,1.42,0,0,0
2010-04-07,1.51,1.51,1.51,1.51,0,0,0
2010-04-08,1.46,1.46,1.46,1.46,350,0,0
2010-04-09,1.46,1.46,1.46,1.46,350,0,0
2010-04-13,1.46,1.46,1.46,1.46,0,0,0
2010-04-15,1.56,1.56,1.56,1.56,0,0,0
2010-04-16,1.52,1.52,1.52,1.52,0,0,0
2010-04-19,1.52,1.52,1.52,1.52,0,0,0
2010-04-20,1.52,1.52,1.52,1.52,0,0,0
2010-04-23,1.55,1.55,1.55,1.55,0,0,0
2010-04-27,1.46,1.46,1.46,1.46,0,0,0
2010-04-29,1.49,1.49,1.49,1.49,0,0,0
2010-05-04,1.52,1.52,1.52,1.52,0,0,0
2010-05-07,1.56,1.56,1.56,1.56,0,0,0
2010-05-10,1.55,1.55,1.55,1.55,0,0,0
2010-05-12,1.63,1.63,1.63,1.63,1000,0,0
2010-05-14,1.56,1.56,1.56,1.56,200,0,0
2010-05-17,1.6,1.6,1.6,1.6,300,0,0
2010-05-18,1.6,1.6,1.6,1.6,300,0,0
2010-05-19,1.6,1.6,1.6,1.6,0,0,0
2010-05-24,1.43,1.43,1.43,1.43,0,0,0
2010-05-27,1.41,1.41,1.41,1.41,0,0,0
2010-06-01,1.55,1.55,1.55,1.55,0,0,0
2010-06-02,1.47,1.47,1.47,1.47,0,0,0
2010-06-03,1.47,1.47,1.47,1.47,0,0,0
2010-06-07,1.6,1.6,1.6,1.6,0,0,0
2010-06-08,1.67,1.67,1.67,1.67,1500,0,0
2010-06-09,1.67,1.67,1.67,1.67,1500,0,0
2010-06-10,1.73,1.73,1.73,1.73,1700,0,0
2010-06-11,1.73,1.73,1.73,1.73,1700,0,0
2010-06-14,1.73,1.73,1.73,1.73,0,0,0
2010-06-15,1.79,1.79,1.79,1.79,0,0,0
2010-06-18,1.94,1.94,1.94,1.94,0,0,0
2010-06-22,1.77,1.77,1.77,1.77,0,0,0
2010-06-24,1.83,1.83,1.83,1.83,0,0,0
2010-06-25,1.81,1.81,1.81,1.81,0,0,0
2010-07-29,1.42,1.42,1.42,1.42,200,0,0
2010-09-20,1.68,1.68,1.68,1.68,800,0,0
2010-10-01,1.75,1.75,1.75,1.75,509,0,0
2010-10-11,1.7,1.7,1.7,1.7,1000,0,0
2010-11-09,2.0,2.0,2.0,2.0,2000,0,0
2010-11-17,2.03,2.03,2.03,2.03,0,0,0
2010-11-24,2.0,2.0,2.0,2.0,100,0,0
2010-11-30,2.13,2.13,2.13,2.13,870,0,0
2011-01-11,2.11,2.11,2.11,2.11,200,0,0
2011-11-17,2.11,2.11,2.11,2.11,0,0,0
