Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,66.98,67.65,65.28,65.37,1975000,0.0,0
2008-01-03,65.72,65.89,64.86,65.17,1809600,0.0,0
2008-01-04,64.68,64.77,63.58,63.85,2034000,0.0,0
2008-01-07,64.37,64.87,63.43,64.63,2118000,0.0,0
2008-01-08,64.83,65.01,62.62,62.7,2883100,0.0,0
2008-01-09,62.55,64.43,62.54,64.43,2471000,0.0,0
2008-01-10,63.7,65.57,63.15,64.99,2922300,0.0,0
2008-01-11,63.98,65.84,63.75,64.4,1801200,0.0,0
2008-01-14,65.28,65.51,64.38,65.28,1221300,0.0,0
2008-01-15,64.44,64.77,62.93,63.12,2513400,0.0,0
2008-01-16,62.96,65.32,62.92,64.7,3252200,0.0,0
2008-01-17,64.63,65.0,61.4,61.66,3848300,0.0,0
2008-01-18,61.96,62.12,55.64,59.16,6339200,0.0,0
2008-01-22,53.23,59.49,53.23,57.81,6176400,0.0,0
2008-01-23,56.0,62.32,54.05,60.99,6491500,0.0,0
2008-01-24,62.6,62.62,60.29,61.5,3858600,0.0,0
2008-01-25,62.84,62.95,57.54,57.83,4668200,0.0,0
2008-01-28,57.85,60.27,57.74,60.16,3914100,0.0,0
2008-01-29,60.39,61.31,60.05,61.13,2391900,0.0,0
2008-01-30,60.99,62.9,60.23,60.46,2784800,0.0,0
2008-01-31,58.97,63.12,58.82,61.96,4095700,0.0,0
2008-02-01,62.34,63.3,61.99,62.73,2634500,0.0,0
2008-02-04,62.02,62.99,62.01,62.1,2597600,0.0,0
2008-02-05,61.13,61.13,59.53,59.65,2779000,0.0,0
2008-02-06,60.17,60.69,58.74,59.25,1893100,0.0,0
2008-02-07,59.38,59.8,57.92,58.74,2398600,0.0,0
2008-02-08,58.13,58.92,56.88,57.26,2136600,0.0,0
2008-02-11,56.88,56.88,54.05,54.64,4302700,0.0,0
2008-02-12,55.05,56.51,54.65,55.73,3494700,0.0,0
2008-02-13,55.94,56.72,54.69,55.26,2784800,0.0,0
2008-02-14,55.17,55.31,53.9,54.34,2720100,0.0,0
2008-02-15,54.24,56.12,53.67,55.79,3462300,0.0,0
2008-02-19,56.32,57.23,55.15,56.4,3419900,0.0,0
2008-02-20,55.79,56.21,54.71,55.81,3157500,0.0,0
2008-02-21,55.78,56.94,55.66,56.34,2299800,0.0,0
2008-02-22,56.46,57.48,55.48,57.25,3247500,0.0,0
2008-02-25,56.96,57.5,55.74,57.27,2163300,0.0,0
2008-02-26,57.25,58.08,56.68,57.64,2534500,0.0,0
2008-02-27,57.02,58.64,56.83,58.47,2756200,0.0,0
2008-02-28,58.34,58.34,56.28,56.3,1934500,0.53,0
2008-02-29,55.79,55.79,54.05,54.18,3139200,0.0,0
2008-03-03,54.2,54.2,52.25,53.45,3560700,0.0,0
2008-03-04,52.86,54.2,52.42,53.98,2635300,0.0,0
2008-03-05,54.1,54.94,52.56,53.18,2355000,0.0,0
2008-03-06,52.95,53.49,51.56,51.61,2980600,0.0,0
2008-03-07,51.31,53.26,51.16,51.94,2676800,0.0,0
