Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,6.99,7.01,6.75,6.86,5400,0.0,0
2008-01-03,6.87,7.1,6.83,7.1,16200,0.0,0
2008-01-04,6.99,7.03,6.71,7.0,15400,0.0,0
2008-01-07,7.0,7.16,6.86,7.06,3500,0.0,0
2008-01-08,6.97,7.06,6.97,7.06,1500,0.0,0
2008-01-09,7.07,7.07,7.06,7.06,7000,0.0,0
2008-01-10,7.1,7.12,6.84,7.12,13200,0.0,0
2008-01-11,7.12,7.15,6.85,7.15,7800,0.0,0
2008-01-14,7.18,7.22,7.09,7.13,8800,0.0,0
2008-01-15,7.21,7.22,7.14,7.17,9300,0.0,0
2008-01-16,7.13,7.44,7.13,7.39,9800,0.0,0
2008-01-17,7.39,7.39,7.36,7.37,3700,0.0,0
2008-01-18,7.36,7.68,7.36,7.52,1300,0.0,0
2008-01-22,7.38,7.58,7.38,7.48,600,0.0,0
2008-01-23,7.58,7.58,7.46,7.48,10300,0.0,0
2008-01-24,7.45,7.61,7.45,7.58,5700,0.0,0
2008-01-25,7.62,8.25,7.62,7.75,20300,0.0,0
2008-01-28,7.65,8.1,7.53,7.81,9500,0.0,0
2008-01-29,7.98,7.98,7.79,7.89,7300,0.0,0
2008-01-30,8.0,8.06,7.79,7.89,5700,0.0,0
2008-01-31,8.0,8.0,7.71,7.78,3400,0.0,0
2008-02-01,7.88,8.15,7.75,8.03,16000,0.0,0
2008-02-04,8.05,8.12,7.84,8.02,3100,0.0,0
2008-02-05,8.08,8.21,7.89,7.98,7500,0.0,0
2008-02-06,8.09,8.19,7.96,7.96,5700,0.0,0
2008-02-07,7.91,8.2,7.91,8.08,3600,0.0,0
2008-02-08,7.97,8.08,7.84,7.94,4800,0.0,0
2008-02-11,8.02,8.08,7.62,8.0,7700,0.0,0
2008-02-12,7.93,7.96,7.75,7.89,1500,0.0,0
2008-02-13,7.98,8.15,7.8,8.05,2600,0.0,0
2008-02-14,7.96,8.2,7.96,8.01,10900,0.0,0
2008-02-15,7.89,8.14,7.89,8.14,4000,0.0,0
2008-02-19,8.04,8.08,7.84,8.03,2200,0.0,0
2008-02-20,8.03,8.12,8.02,8.02,1600,0.0,0
2008-02-21,8.12,8.12,7.87,7.87,5900,0.0,0
2008-02-22,7.87,8.12,7.87,8.08,2800,0.0,0
2008-02-25,8.23,8.52,8.09,8.2,6500,0.875,0
2008-02-26,8.1,8.38,7.91,7.94,5500,0.0,0
2008-02-27,8.04,8.33,8.04,8.22,1600,0.0,0
2008-02-28,8.18,8.27,7.93,7.93,3000,0.0,0
2008-02-29,8.0,8.0,7.93,7.93,600,0.0,0
2008-03-03,7.95,7.95,7.95,7.95,500,0.0,0
2008-03-04,7.92,8.0,7.68,7.68,1500,0.0,0
2008-03-05,7.79,7.91,7.73,7.82,7000,0.0,0
2008-03-06,7.93,7.98,7.55,7.66,7800,0.0,0
2008-03-07,7.73,7.95,7.73,7.86,4000,0.0,0
2008-03-10,7.96,7.96,7.8,7.8,900,0.0,0
2008-03-11,7.8,8.0,7.79,7.91,3000,0.0,0
2008-03-12,7.83,8.03,7.82,7.83,4000,0.0,0
2008-03-13,7.83,8.1,7.83,7.91,4000,0.0,0
2008-03-14,8.02,8.02,8.02,8.02,200,0.0,0
2008-03-17,8.0,8.0,8.0,8.0,1800,0.0,0
2008-03-18,8.0,8.0,7.87,7.88,4000,0.0,0
2008-03-19,7.84,7.88,7.82,7.82,2100,0.0,0
2008-03-20,7.82,7.91,7.82,7.91,900,0.0,0
2008-03-24,8.02,93.51,8.02,8.25,2200,0.0,0
2008-03-25,8.18,8.28,7.91,7.92,3700,0.0,0
2008-03-26,7.92,7.92,7.92,7.92,0,0.0,0
2008-03-27,7.82,7.83,7.73,7.83,600,0.0,0
2008-03-28,7.73,7.73,7.52,7.52,2300,0.0,0
2008-03-31,7.47,7.55,7.29,7.55,2500,0.0,0
2008-04-01,7.66,7.8,7.55,7.56,7200,0.0,0
2008-04-02,7.57,7.82,7.57,7.74,4500,0.0,0
2008-04-03,7.64,8.06,7.61,7.92,4200,0.0,0
2008-04-04,7.91,7.91,7.61,7.61,5000,0.0,0
2008-04-07,7.57,7.57,7.02,7.41,9700,0.0,0
2008-04-08,7.45,7.45,7.21,7.21,2900,0.0,0
2008-04-09,7.25,7.33,7.23,7.33,600,0.0,0
2008-04-10,7.34,7.51,7.34,7.48,3700,0.0,0
2008-04-11,7.28,8.15,7.28,7.52,2300,0.0,0
2008-04-14,7.62,7.62,7.55,7.55,400,0.0,0
2008-04-15,7.5,7.5,7.27,7.32,2700,0.0,0
2008-04-16,7.38,7.38,6.63,7.25,3000,0.0,0
2008-04-17,7.26,7.35,7.14,7.21,2700,0.0,0
2008-04-18,7.21,7.21,7.02,7.18,3500,0.0,0
2008-04-21,7.23,7.23,7.21,7.23,900,0.0,0
2008-04-22,7.16,7.22,7.16,7.22,1100,0.0,0
2008-04-23,7.12,7.14,6.94,7.12,3200,0.0,0
