Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,13.63,13.75,13.44,13.56,318700,0.0,0
2008-01-03,13.61,13.66,13.19,13.2,335700,0.0,0
2008-01-04,13.05,13.19,12.79,12.89,294400,0.0,0
2008-01-07,12.96,13.05,12.73,12.79,594300,0.0,0
2008-01-08,12.85,13.06,12.38,12.39,562400,0.0,0
2008-01-09,12.33,12.67,12.18,12.61,440300,0.0,0
2008-01-10,12.51,12.92,12.51,12.79,489200,0.0,0
2008-01-11,12.66,13.06,12.56,12.89,517100,0.0,0
2008-01-14,12.94,13.02,12.69,12.78,329300,0.0,0
2008-01-15,12.73,12.79,12.46,12.51,358300,0.0,0
2008-01-16,12.48,12.87,12.48,12.58,406700,0.0,0
2008-01-17,12.61,12.65,12.27,12.27,272200,0.0,0
2008-01-18,12.17,12.5,11.88,12.05,498600,0.0,0
2008-01-22,11.61,12.73,11.61,12.29,480400,0.0,0
2008-01-23,12.08,12.81,11.93,12.79,653800,0.0,0
2008-01-24,12.88,13.0,12.53,12.65,390100,0.0,0
2008-01-25,12.8,12.84,12.36,12.41,287200,0.0,0
2008-01-28,12.34,12.91,12.3,12.87,273600,0.0,0
2008-01-29,12.93,13.2,12.71,13.03,233500,0.0,0
2008-01-30,13.01,13.38,12.79,12.79,342300,0.0,0
2008-01-31,12.72,13.32,12.62,13.19,487300,0.0,0
2008-02-01,13.18,13.61,13.17,13.57,324800,0.0,0
2008-02-04,13.57,13.58,13.33,13.35,318400,0.0,0
2008-02-05,13.09,13.51,13.07,13.14,301000,0.0,0
2008-02-06,13.12,13.5,12.94,13.09,233500,0.0,0
2008-02-07,13.06,13.66,12.98,13.24,488000,0.0,0
2008-02-08,13.19,13.48,13.11,13.22,294400,0.0,0
2008-02-11,13.17,13.17,12.86,12.9,278500,0.0,0
2008-02-12,12.92,13.34,12.92,13.08,292800,0.0,0
2008-02-13,13.24,13.48,13.14,13.4,247900,0.0,0
2008-02-14,13.45,13.46,13.0,13.07,333900,0.0,0
2008-02-15,13.01,13.16,12.89,13.1,291800,0.0,0
2008-02-19,13.15,13.34,12.84,12.96,223700,0.0,0
2008-02-20,12.92,13.19,12.82,13.13,195200,0.0,0
2008-02-21,13.23,13.43,12.82,12.84,206900,0.0,0
2008-02-22,12.85,12.91,12.53,12.87,210600,0.0,0
2008-02-25,12.91,13.06,12.61,13.02,264400,0.0,0
2008-02-26,12.94,13.33,12.94,13.13,224500,0.0,0
2008-02-27,13.01,13.23,12.83,12.92,336700,0.0,0
2008-02-28,12.91,13.11,12.77,12.96,291000,0.0,0
2008-02-29,12.8,12.84,12.48,12.5,246900,0.0,0
2008-03-03,12.47,12.5,12.14,12.3,229500,0.0,0
2008-03-04,12.15,12.46,12.12,12.4,238100,0.0,0
2008-03-05,12.46,12.56,11.94,12.09,205300,0.0,0
2008-03-06,12.0,12.0,11.66,11.66,225800,0.0,0
2008-03-07,11.58,12.06,11.56,11.92,297500,0.0,0
2008-03-10,11.97,12.25,11.97,12.09,395600,0.0,0
2008-03-11,12.38,12.79,12.15,12.53,347100,0.0,0
2008-03-12,12.58,12.81,12.38,12.39,244600,0.0,0
2008-03-13,12.24,12.71,12.21,12.61,343300,0.105,0
2008-03-14,12.66,12.68,12.04,12.11,299600,0.0,0
2008-03-17,11.82,12.5,11.74,12.24,291200,0.0,0
2008-03-18,12.48,12.74,12.13,12.57,316200,0.0,0
2008-03-19,12.66,12.97,12.27,12.28,354400,0.0,0
2008-03-20,12.44,12.74,12.28,12.74,862800,0.0,0
2008-03-24,12.74,12.95,12.65,12.7,220900,0.0,0
2008-03-25,12.68,12.79,12.5,12.71,247200,0.0,0
2008-03-26,12.6,12.67,12.31,12.34,342600,0.0,0
2008-03-27,12.39,12.52,12.29,12.31,321000,0.0,0
2008-03-28,12.31,12.75,12.26,12.55,401800,0.0,0
2008-03-31,12.62,12.86,12.47,12.65,407300,0.0,0
2008-04-01,12.79,13.34,12.79,13.34,314200,0.0,0
2008-04-02,13.29,13.49,13.23,13.32,289900,0.0,0
2008-04-03,13.29,13.32,13.09,13.15,227300,0.0,0
2008-04-04,13.23,13.31,13.02,13.24,249200,0.0,0
2008-04-07,13.38,13.39,13.18,13.27,110100,0.0,0
2008-04-08,13.17,13.24,13.09,13.17,239700,0.0,0
2008-04-09,13.23,13.23,12.92,12.93,251200,0.0,0
2008-04-10,12.91,13.05,12.8,12.95,244600,0.0,0
2008-04-11,12.8,13.06,12.79,12.93,217200,0.0,0
2008-04-14,12.95,12.97,12.79,12.79,150200,0.0,0
2008-04-15,12.84,12.92,12.76,12.89,120600,0.0,0
2008-04-16,13.01,13.13,12.78,13.13,236900,0.0,0
2008-04-17,13.02,13.02,12.84,12.95,206400,0.0,0
2008-04-18,13.12,13.16,12.94,12.99,163700,0.0,0
2008-04-21,12.86,13.03,12.6,12.72,194500,0.0,0
2008-04-22,12.68,12.7,12.25,12.32,326300,0.0,0
2008-04-23,12.38,12.38,12.04,12.11,263800,0.0,0
2008-04-24,12.15,12.55,12.05,12.52,349100,0.0,0
