Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,43.8,43.8,42.51,42.64,4365400,0.0,0.0
2008-01-03,42.7,43.05,42.41,42.86,3570900,0.0,0.0
2008-01-04,42.41,42.83,41.38,41.49,6237600,0.0,0.0
2008-01-07,41.66,41.87,40.49,41.35,5873400,0.0,0.0
2008-01-08,41.51,41.64,40.58,40.64,5551800,0.0,0.0
2008-01-09,40.65,41.05,40.03,41.01,6058900,0.0,0.0
2008-01-10,40.62,41.69,40.23,41.16,7400200,0.0,0.0
2008-01-11,41.29,41.62,40.03,40.44,4714700,0.0,0.0
2008-01-14,40.51,41.38,40.51,41.14,3496000,0.0,0.0
2008-01-15,40.64,40.98,40.04,40.25,4608800,0.0,0.0
2008-01-16,40.06,41.59,40.06,40.96,5757100,0.0,0.0
2008-01-17,41.0,41.39,39.4,39.56,6591100,0.0,0.0
2008-01-18,39.91,40.54,39.08,39.37,7112900,0.0,0.0
2008-01-22,37.39,38.76,37.05,38.41,9336000,0.0,0.0
2008-01-23,37.58,40.26,37.36,40.22,9280800,0.0,0.0
2008-01-24,39.84,40.44,39.37,40.01,6517300,0.0,0.0
2008-01-25,41.61,42.49,41.17,41.47,9020800,0.0,0.0
2008-01-28,41.44,42.12,41.44,41.95,6224100,0.0,0.0
2008-01-29,42.12,42.17,41.18,41.6,6041200,0.0,0.0
2008-01-30,41.47,42.19,41.27,41.4,5359600,0.0,0.0
2008-01-31,41.34,42.29,40.58,42.05,6404300,0.0,0.0
2008-02-01,42.02,43.07,42.01,42.86,7352000,0.0,0.0
2008-02-04,42.71,43.25,42.66,43.06,4845300,0.0,0.0
2008-02-05,42.39,43.01,41.82,42.03,6156200,0.0,0.0
2008-02-06,42.39,42.56,41.65,41.77,4396000,0.0,0.0
2008-02-07,41.45,42.04,41.29,41.84,4760700,0.0,0.0
2008-02-08,41.52,41.59,40.88,41.17,3976800,0.0,0.0
2008-02-11,40.74,41.11,40.4,41.03,7242500,0.0,0.0
2008-02-12,41.08,41.62,40.71,40.96,5749200,0.0,0.0
2008-02-13,41.33,41.95,41.23,41.88,3633900,0.0,0.0
2008-02-14,41.89,42.18,40.91,40.94,5330100,0.0,0.0
2008-02-15,40.86,40.93,39.76,39.89,22972000,0.0,0.0
2008-02-19,40.27,40.72,40.07,40.16,6024800,0.0,0.0
2008-02-20,39.89,40.24,39.28,40.12,6400200,0.0,0.0
2008-02-21,40.21,40.46,39.43,39.52,4030300,0.0,0.0
2008-02-22,39.6,40.35,39.38,40.25,5665500,0.0,0.0
2008-02-25,40.4,41.51,40.14,41.44,5536200,0.275,0.0
2008-02-26,41.32,42.37,41.32,42.33,5531800,0.0,0.0
2008-02-27,42.16,42.93,41.97,42.67,5315300,0.0,0.0
2008-02-28,42.28,42.62,42.05,42.35,4657700,0.0,0.0
2008-02-29,41.8,41.91,41.12,41.17,4320900,0.0,0.0
2008-03-03,41.19,41.9,41.08,41.9,4039800,0.0,0.0
2008-03-04,41.59,41.97,41.18,41.87,4802700,0.0,0.0
2008-03-05,42.0,42.69,41.73,42.23,3990100,0.0,0.0
2008-03-06,41.94,42.08,41.07,41.13,3863900,0.0,0.0
2008-03-07,40.81,41.12,40.2,40.47,4556300,0.0,0.0
2008-03-10,40.43,40.58,39.74,39.84,3465800,0.0,0.0
2008-03-11,40.36,40.8,39.81,40.76,4549900,0.0,0.0
2008-03-12,40.76,41.36,40.69,40.77,3140900,0.0,0.0
2008-03-13,40.14,40.93,39.63,40.57,5632700,0.0,0.0
2008-03-14,40.79,41.03,39.66,40.16,5170800,0.0,0.0
2008-03-17,39.29,40.19,39.1,39.51,9098600,0.0,0.0
2008-03-18,40.33,40.63,39.67,40.63,6808500,0.0,0.0
2008-03-19,40.77,41.23,39.43,39.43,5275300,0.0,0.0
2008-03-20,39.48,39.48,38.28,38.85,12340300,0.0,0.0
2008-03-24,38.93,39.61,38.83,39.36,4384200,0.0,0.0
2008-03-25,39.36,40.18,39.11,40.07,5675400,0.0,0.0
2008-03-26,39.88,40.11,39.61,39.81,4399800,0.0,0.0
2008-03-27,39.82,39.92,39.31,39.36,6519700,0.0,0.0
2008-03-28,39.69,40.29,39.48,39.96,4523400,0.0,0.0
2008-03-31,39.87,40.64,39.87,40.37,4604100,0.0,0.0
2008-04-01,40.65,41.5,40.62,41.35,5052800,0.0,0.0
2008-04-02,41.32,41.62,41.07,41.24,4148300,0.0,0.0
2008-04-03,40.91,41.46,40.88,41.24,3867700,0.0,0.0
2008-04-04,40.79,41.86,40.79,41.7,5360400,0.0,0.0
2008-04-07,42.07,42.1,41.49,41.58,3608300,0.0,0.0
2008-04-08,41.32,41.32,40.7,40.92,4096400,0.0,0.0
2008-04-09,41.48,42.17,41.14,41.52,4600500,0.0,0.0
2008-04-10,41.67,42.44,41.14,42.07,5199900,0.0,0.0
2008-04-11,40.93,41.75,40.7,40.78,5693600,0.0,0.0
2008-04-14,40.85,40.93,40.06,40.34,6291500,0.0,0.0
2008-04-15,40.51,40.7,40.07,40.41,4993900,0.0,0.0
2008-04-16,40.67,41.49,40.32,41.42,5115100,0.0,0.0
2008-04-17,41.22,41.49,40.82,41.07,4656300,0.0,0.0
2008-04-18,42.78,43.87,42.22,43.64,10168500,0.0,0.0
2008-04-21,43.36,43.47,42.94,43.21,5123400,0.0,0.0
2008-04-22,42.95,43.28,42.07,42.5,4530800,0.0,0.0
2008-04-23,42.58,42.75,41.74,42.08,4448100,0.0,0.0
2008-04-24,42.08,43.43,41.8,43.15,5681200,0.0,0.0
2008-04-25,43.45,43.61,42.79,43.28,3895200,0.0,0.0
2008-04-28,43.46,43.65,43.06,43.26,4370400,0.0,0.0
2008-04-29,43.12,43.12,42.4,42.83,3444600,0.0,0.0
2008-04-30,42.83,43.46,42.42,42.5,4007200,0.0,0.0
2008-05-01,42.51,43.43,42.38,43.41,4250200,0.0,0.0
2008-05-02,43.74,44.33,43.16,43.38,4520500,0.0,0.0
2008-05-05,43.34,43.46,42.95,43.36,2637000,0.0,0.0
2008-05-06,43.31,43.6,42.89,43.51,2792400,0.0,0.0
2008-05-07,43.58,43.58,42.09,42.21,4237100,0.0,0.0
2008-05-08,42.21,42.62,42.05,42.48,4044300,0.0,0.0
2008-05-09,42.05,42.88,41.77,42.64,3293100,0.0,0.0
2008-05-12,42.67,43.04,42.13,42.92,3156400,0.0,0.0
2008-05-13,43.11,43.58,43.06,43.53,4094200,0.0,0.0
2008-05-14,43.65,44.87,43.63,44.36,5253600,0.0,0.0
2008-05-15,44.79,44.83,44.0,44.67,5181900,0.0,0.0
2008-05-16,45.03,45.03,44.22,44.43,3763000,0.275,0.0
2008-05-19,44.76,45.28,44.25,44.75,3610900,0.0,0.0
2008-05-20,44.62,44.62,43.98,44.15,3091500,0.0,0.0
2008-05-21,44.32,44.63,43.14,43.22,4041300,0.0,0.0
2008-05-22,43.13,43.31,42.54,42.68,3358300,0.0,0.0
2008-05-23,42.56,42.56,42.07,42.24,2828900,0.0,0.0
2008-05-27,42.2,42.81,41.94,42.51,2240800,0.0,0.0
2008-05-28,42.73,43.19,42.41,42.58,3662500,0.0,0.0
2008-05-29,42.82,43.14,42.13,42.65,2532300,0.0,0.0
2008-05-30,42.7,43.15,42.54,42.86,3390000,0.0,0.0
2008-06-02,42.78,42.79,41.49,41.92,3896800,0.0,0.0
2008-06-03,41.95,42.12,40.49,41.08,5789800,0.0,0.0
2008-06-04,40.95,41.18,40.58,40.78,4799200,0.0,0.0
2008-06-05,41.11,41.26,40.31,40.76,4936300,0.0,0.0
2008-06-06,40.44,40.44,38.83,38.83,7606300,0.0,0.0
2008-06-09,39.04,39.9,39.0,39.39,6918800,0.0,0.0
2008-06-10,39.12,39.61,38.83,39.14,5875700,0.0,0.0
2008-06-11,39.14,39.83,38.91,39.01,4174100,0.0,0.0
2008-06-12,39.32,40.78,39.32,39.98,6789800,0.0,0.0
2008-06-13,40.33,40.89,40.18,40.61,5195600,0.0,0.0
2008-06-16,40.41,40.67,40.05,40.39,3922300,0.0,0.0
2008-06-17,40.67,40.67,39.55,39.58,4240600,0.0,0.0
2008-06-18,39.4,39.55,39.03,39.26,4364100,0.0,0.0
2008-06-19,39.16,39.97,39.06,39.79,4157600,0.0,0.0
2008-06-20,39.62,39.69,38.76,38.96,6234100,0.0,0.0
2008-06-23,39.06,39.62,38.99,39.53,4079200,0.0,0.0
2008-06-24,39.47,39.57,38.96,39.11,3575300,0.0,0.0
2008-06-25,39.19,39.19,36.81,37.02,12594400,0.0,0.0
2008-06-26,36.68,36.73,35.13,35.33,11358800,0.0,0.0
2008-06-27,35.3,35.66,34.81,35.39,10933700,0.0,0.0
2008-06-30,35.41,36.5,35.04,36.14,10167600,0.0,0.0
2008-07-01,35.66,36.77,35.43,36.56,9236200,0.0,0.0
2008-07-02,36.93,36.93,35.67,35.67,7613500,0.0,0.0
2008-07-03,35.9,36.7,35.84,36.17,5159000,0.0,0.0
2008-07-07,36.25,37.09,35.87,36.36,7495700,0.0,0.0
2008-07-08,36.04,37.03,36.04,37.0,5886700,0.0,0.0
2008-07-09,36.93,37.16,35.89,35.89,4781000,0.0,0.0
2008-07-10,35.94,36.89,35.58,36.84,7633000,0.0,0.0
2008-07-11,36.33,36.58,35.04,35.45,8473500,0.0,0.0
2008-07-14,35.81,36.61,35.06,35.57,5822600,0.0,0.0
2008-07-15,35.22,35.22,33.55,34.39,7897900,0.0,0.0
2008-07-16,34.37,35.51,34.02,35.51,4910400,0.0,0.0
2008-07-17,36.06,36.95,35.89,36.56,8869000,0.0,0.0
2008-07-18,38.33,38.61,36.08,36.42,9813800,0.0,0.0
2008-07-21,36.8,36.8,35.25,35.83,8840200,0.0,0.0
2008-07-22,35.65,37.61,35.65,37.61,9020400,0.0,0.0
2008-07-23,37.5,37.94,37.09,37.91,6987300,0.0,0.0
2008-07-24,37.99,38.14,36.72,36.94,7240500,0.0,0.0
2008-07-25,37.03,37.19,36.36,36.55,8102300,0.0,0.0
2008-07-28,36.52,36.58,35.68,35.97,6921600,0.0,0.0
2008-07-29,36.07,37.05,35.99,37.04,5061600,0.0,0.0
2008-07-30,37.37,37.71,36.9,37.69,5265200,0.0,0.0
2008-07-31,37.47,37.7,36.48,36.55,6536800,0.0,0.0
2008-08-01,36.76,37.22,36.3,36.66,4951600,0.0,0.0
2008-08-04,36.55,36.72,35.86,36.35,3803500,0.0,0.0
2008-08-05,36.57,37.19,36.52,37.07,4858400,0.0,0.0
2008-08-06,37.01,37.09,36.34,36.84,4381300,0.0,0.0
2008-08-07,36.48,36.49,35.82,35.89,4274300,0.0,0.0
2008-08-08,35.94,36.96,35.61,36.89,4276700,0.0,0.0
