Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,13.76,14.05,13.49,13.68,336400,0.0,0
2008-01-03,13.7,13.9,13.12,13.14,329900,0.0,0
2008-01-04,13.05,13.11,12.78,12.82,451900,0.0,0
2008-01-07,12.91,13.33,12.56,13.07,442200,0.0,0
2008-01-08,13.18,13.49,12.42,12.42,391700,0.0,0
2008-01-09,12.37,12.82,11.98,12.75,516100,0.0,0
2008-01-10,12.58,13.62,12.51,13.28,861700,0.0,0
2008-01-11,13.2,13.35,12.83,13.11,513400,0.0,0
2008-01-14,13.34,13.48,12.92,13.2,591400,0.0,0
2008-01-15,12.97,13.2,12.77,12.91,590800,0.0,0
2008-01-16,12.85,13.47,12.77,13.17,574000,0.0,0
2008-01-17,13.19,13.4,12.88,13.02,454500,0.0,0
2008-01-18,12.95,13.39,12.83,12.99,956200,0.0,0
2008-01-22,12.49,13.83,12.4,13.35,853300,0.0,0
2008-01-23,13.01,14.27,13.01,14.17,855200,0.0,0
2008-01-24,14.37,14.37,13.44,14.05,746400,0.0,0
2008-01-25,14.22,14.4,13.61,13.74,454000,0.0,0
2008-01-28,13.74,14.09,13.5,14.09,492600,0.0,0
2008-01-29,14.2,14.2,13.69,13.98,466700,0.0,0
2008-01-30,13.91,14.04,13.47,13.57,531300,0.0,0
2008-01-31,13.49,14.2,13.41,14.05,724700,0.0,0
2008-02-01,14.13,14.39,14.02,14.35,709200,0.0,0
2008-02-04,14.33,14.48,13.66,14.38,1007100,0.0,0
2008-02-05,14.12,14.3,13.74,13.75,737200,0.0,0
2008-02-06,13.92,14.25,13.49,13.51,557500,0.0,0
2008-02-07,13.49,13.91,13.36,13.9,684700,0.0,0
2008-02-08,13.85,14.12,13.53,13.69,563700,0.0,0
2008-02-11,13.73,13.83,13.19,13.25,431200,0.0,0
2008-02-12,13.35,13.66,13.23,13.56,532700,0.0,0
2008-02-13,13.81,13.81,13.07,13.34,566100,0.385,0
2008-02-14,13.38,13.43,12.94,13.01,431900,0.0,0
2008-02-15,12.9,13.33,12.88,13.33,371500,0.0,0
2008-02-19,13.44,13.54,13.22,13.38,431600,0.0,0
2008-02-20,13.26,13.76,13.17,13.59,617300,0.0,0
2008-02-21,13.63,13.81,13.22,13.24,495100,0.0,0
2008-02-22,13.28,13.56,13.01,13.56,511800,0.0,0
2008-02-25,13.57,13.89,13.38,13.89,662100,0.0,0
2008-02-26,14.16,14.16,13.47,13.59,1335200,0.0,0
2008-02-27,13.44,13.79,13.11,13.37,581800,0.0,0
2008-02-28,13.26,13.26,12.92,13.05,551800,0.0,0
2008-02-29,12.91,13.19,12.83,13.14,627000,0.0,0
2008-03-03,13.12,13.56,12.87,13.44,895800,0.0,0
2008-03-04,13.28,13.43,13.05,13.26,722600,0.0,0
2008-03-05,13.22,13.38,12.78,12.87,547400,0.0,0
2008-03-06,12.83,12.89,12.52,12.52,479000,0.0,0
2008-03-07,12.33,12.95,12.26,12.84,565500,0.0,0
2008-03-10,12.87,12.96,12.73,12.78,359700,0.0,0
2008-03-11,13.16,13.58,12.96,13.58,689800,0.0,0
2008-03-12,13.72,13.97,13.44,13.51,448300,0.0,0
2008-03-13,13.31,13.5,13.09,13.37,564300,0.0,0
2008-03-14,13.46,13.86,12.74,13.47,930700,0.0,0
2008-03-17,13.06,14.02,13.06,13.84,638200,0.0,0
2008-03-18,14.14,14.46,13.97,14.4,993500,0.0,0
2008-03-19,14.47,14.62,13.96,14.0,541700,0.0,0
2008-03-20,14.21,14.51,14.03,14.45,1090700,0.0,0
2008-03-24,14.48,14.89,14.37,14.79,612700,0.0,0
2008-03-25,14.83,14.83,14.37,14.79,462800,0.0,0
2008-03-26,14.69,14.69,14.31,14.48,978700,0.0,0
2008-03-27,14.55,14.9,14.37,14.49,498000,0.0,0
2008-03-28,14.47,14.59,14.25,14.44,594400,0.0,0
