Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,7.94,7.95,7.85,7.89,1075600,0.0,0.0
2008-01-03,7.89,7.93,7.72,7.73,1518000,0.0,0.0
2008-01-04,7.75,7.84,7.7,7.78,1688800,0.0,0.0
2008-01-07,7.8,7.87,7.77,7.83,1505200,0.0,0.0
2008-01-08,7.85,7.87,7.63,7.67,3615600,0.0,0.0
2008-01-09,7.72,7.75,7.65,7.72,1627600,0.0,0.0
2008-01-10,7.69,7.83,7.69,7.83,1308800,0.0,0.0
2008-01-11,7.78,7.94,7.77,7.94,2547600,0.0,0.0
2008-01-14,7.97,7.99,7.72,7.74,1896800,0.0,0.0
2008-01-15,7.72,7.87,7.7,7.75,2268000,0.0,0.0
2008-01-16,7.75,7.79,7.69,7.72,1779600,0.04625,0.0
2008-01-17,7.74,7.75,7.67,7.68,2078400,0.0,0.0
2008-01-18,7.72,7.74,7.63,7.69,3678800,0.0,0.0
2008-01-22,7.51,7.76,7.42,7.61,2264400,0.0,0.0
2008-01-23,7.46,7.52,7.33,7.46,2990800,0.0,0.0
2008-01-24,7.46,7.61,7.43,7.58,2480800,0.0,0.0
2008-01-25,7.62,7.66,7.35,7.35,2010000,0.0,0.0
2008-01-28,7.34,7.59,7.32,7.59,1634800,0.0,0.0
2008-01-29,7.65,7.65,7.49,7.59,1308800,0.0,0.0
2008-01-30,7.53,7.73,7.51,7.58,1219200,0.0,0.0
2008-01-31,7.48,7.69,7.48,7.63,1589600,0.0,0.0
2008-02-01,7.66,7.74,7.6,7.68,1078800,0.0,0.0
2008-02-04,7.68,7.71,7.59,7.68,1160800,0.0,0.0
2008-02-05,7.59,7.68,7.56,7.65,1745600,0.0,0.0
2008-02-06,7.67,7.67,7.56,7.58,1098000,0.0,0.0
2008-02-07,7.55,7.69,7.55,7.68,1076400,0.0,0.0
2008-02-08,7.65,7.7,7.61,7.66,1323600,0.0,0.0
2008-02-11,7.65,7.68,7.57,7.65,1024000,0.0,0.0
2008-02-12,7.71,7.85,7.69,7.78,2065200,0.0,0.0
2008-02-13,7.8,7.82,7.6,7.69,1783200,0.0,0.0
2008-02-14,7.73,7.8,7.57,7.66,2342800,0.0,0.0
2008-02-15,7.39,8.12,7.39,7.96,4617200,0.0,0.0
2008-02-19,8.03,8.27,8.03,8.11,4754000,0.0,0.0
2008-02-20,8.08,8.11,8.03,8.04,2566800,0.0,0.0
2008-02-21,8.08,8.12,8.06,8.1,2672400,0.0,0.0
2008-02-22,8.13,8.15,7.96,8.06,1502000,0.0,0.0
2008-02-25,8.09,8.33,8.08,8.32,3902000,0.0,0.0
2008-02-26,8.33,8.33,8.13,8.15,2460400,0.0,0.0
2008-02-27,8.15,8.37,8.14,8.22,2852800,0.0,0.0
2008-02-28,8.19,8.35,8.19,8.26,2785600,0.0,0.0
2008-02-29,8.22,8.24,8.04,8.05,2066000,0.0,0.0
2008-03-03,8.07,8.13,8.01,8.13,2558000,0.0,0.0
2008-03-04,8.06,8.21,8.02,8.2,2964800,0.0,0.0
2008-03-05,8.35,8.35,8.14,8.19,2389600,0.0,0.0
2008-03-06,8.12,8.14,8.02,8.03,1836000,0.0,0.0
2008-03-07,7.95,8.07,7.94,7.97,1601600,0.0,0.0
2008-03-10,7.96,8.11,7.96,8.02,1912800,0.0,0.0
2008-03-11,8.19,8.19,8.06,8.14,2470000,0.0,0.0
2008-03-12,8.16,8.23,8.08,8.1,1682400,0.0,0.0
2008-03-13,8.14,8.18,8.07,8.12,3234000,0.0,0.0
2008-03-14,8.18,8.22,7.92,7.99,1377600,0.0,0.0
2008-03-17,8.0,8.0,7.82,7.85,1669600,0.0,0.0
2008-03-18,7.89,8.03,7.83,8.0,1260800,0.0,0.0
2008-03-19,8.03,8.19,8.0,8.0,1532400,0.0,0.0
2008-03-20,7.99,8.11,7.95,8.06,1734800,0.0,0.0
2008-03-24,8.05,8.1,7.96,8.02,1234400,0.0,0.0
2008-03-25,8.05,8.18,8.05,8.14,1538800,0.0,0.0
2008-03-26,8.15,8.15,8.06,8.08,1015200,0.0,0.0
2008-03-27,8.11,8.17,8.01,8.12,1804000,0.0,0.0
2008-03-28,8.16,8.22,8.12,8.2,1581200,0.0,0.0
2008-03-31,8.24,8.24,8.11,8.21,2163200,0.0,0.0
2008-04-01,8.25,8.31,8.21,8.31,1094800,0.0,0.0
2008-04-02,8.33,8.37,8.33,8.35,1108800,0.0,0.0
2008-04-03,8.31,8.37,8.26,8.28,1428400,0.0,0.0
2008-04-04,8.28,8.4,8.28,8.37,822000,0.0,0.0
2008-04-07,8.43,8.43,8.31,8.37,1450800,0.0,0.0
2008-04-08,8.33,8.33,8.24,8.29,1602000,0.0,0.0
2008-04-09,8.27,8.3,8.24,8.27,977600,0.0,0.0
2008-04-10,8.28,8.32,8.23,8.25,1349600,0.0,0.0
2008-04-11,8.18,8.23,8.03,8.07,2727600,0.0,0.0
2008-04-14,7.58,7.97,7.58,7.92,2576400,0.0,0.0
2008-04-15,7.89,7.95,7.78,7.86,2337600,0.0,0.0
2008-04-16,7.93,7.99,7.85,7.88,2562800,0.04625,0.0
2008-04-17,7.93,7.93,7.79,7.8,2058000,0.0,0.0
2008-04-18,7.9,7.91,7.82,7.87,2064800,0.0,0.0
2008-04-21,7.8,7.86,7.8,7.82,1466000,0.0,0.0
2008-04-22,7.8,7.82,7.74,7.77,1713600,0.0,0.0
2008-04-23,7.78,7.83,7.77,7.82,1354800,0.0,0.0
2008-04-24,7.83,7.86,7.74,7.81,1956000,0.0,0.0
2008-04-25,7.81,7.85,7.74,7.83,1109200,0.0,0.0
2008-04-28,7.89,7.9,7.79,7.8,1002000,0.0,0.0
2008-04-29,7.82,7.86,7.79,7.82,1452000,0.0,0.0
2008-04-30,7.82,7.92,7.8,7.8,1004800,0.0,0.0
2008-05-01,7.81,7.99,7.78,7.95,1334000,0.0,0.0
2008-05-02,7.98,8.02,7.89,7.91,1445600,0.0,0.0
2008-05-05,7.94,8.02,7.92,8.0,1533600,0.0,0.0
2008-05-06,7.99,8.02,7.94,8.01,1343600,0.0,0.0
2008-05-07,8.03,8.12,8.02,8.03,2608400,0.0,0.0
2008-05-08,8.1,8.17,8.02,8.08,1901600,0.0,0.0
2008-05-09,8.05,8.05,7.95,8.0,1176000,0.0,0.0
2008-05-12,8.03,8.13,8.01,8.13,1434000,0.0,0.0
2008-05-13,8.14,8.16,8.05,8.1,1274000,0.0,0.0
2008-05-14,8.09,8.17,8.08,8.13,1509600,0.0,0.0
2008-05-15,8.13,8.21,8.07,8.2,1673200,0.0,0.0
2008-05-16,8.23,8.31,8.18,8.27,1274400,0.0,0.0
2008-05-19,8.21,8.28,8.17,8.23,1306800,0.0,0.0
2008-05-20,8.23,8.25,8.09,8.15,2082400,0.0,0.0
2008-05-21,8.15,8.2,8.06,8.11,1766400,0.0,0.0
2008-05-22,8.17,8.26,7.69,7.8,6972800,0.0,0.0
2008-05-23,7.8,7.8,7.55,7.62,4026000,0.0,0.0
2008-05-27,7.63,7.7,7.53,7.6,4385600,0.0,0.0
2008-05-28,7.62,7.64,7.5,7.57,3073600,0.0,0.0
2008-05-29,7.57,7.68,7.54,7.58,3436800,0.0,0.0
2008-05-30,7.6,7.61,7.46,7.48,6402400,0.0,0.0
2008-06-02,7.47,7.49,7.39,7.46,3357200,0.0,0.0
2008-06-03,7.48,7.59,7.45,7.48,4614000,0.0,0.0
2008-06-04,7.47,7.51,7.43,7.5,2252400,0.0,0.0
2008-06-05,7.5,7.5,7.42,7.45,4260800,0.0,0.0
2008-06-06,7.41,7.42,7.28,7.3,2626400,0.0,0.0
2008-06-09,7.33,7.36,7.25,7.28,2478000,0.0,0.0
2008-06-10,7.2,7.33,7.2,7.32,2255600,0.0,0.0
2008-06-11,7.31,7.34,7.23,7.25,2540400,0.0,0.0
2008-06-12,7.3,7.31,7.21,7.24,1715200,0.0,0.0
2008-06-13,7.27,7.3,7.17,7.23,2388800,0.0,0.0
2008-06-16,7.28,7.28,7.12,7.2,2786800,0.0,0.0
2008-06-17,7.24,7.28,7.14,7.16,1692000,0.0,0.0
2008-06-18,7.17,7.17,7.06,7.08,2367200,0.0,0.0
2008-06-19,7.1,7.13,7.04,7.07,1622400,0.0,0.0
2008-06-20,7.02,7.08,6.93,7.03,2576800,0.0,0.0
2008-06-23,7.05,7.09,6.98,6.99,1493600,0.0,0.0
2008-06-24,6.95,7.02,6.93,6.94,1874000,0.0,0.0
2008-06-25,6.98,7.01,6.93,6.96,1986800,0.0,0.0
2008-06-26,6.92,7.0,6.87,6.88,1358000,0.0,0.0
2008-06-27,6.87,6.91,6.78,6.79,3656400,0.0,0.0
2008-06-30,6.77,6.91,6.61,6.85,1950400,0.0,0.0
2008-07-01,6.79,6.85,6.73,6.8,1761600,0.0,0.0
