Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,77.88,77.88,77.88,77.88,0,0,0
2008-01-03,78.93,78.93,78.93,78.93,0,0,0
2008-01-04,75.23,75.23,75.23,75.23,0,0,0
2008-01-07,72.9,72.9,72.9,72.9,0,0,0
2008-01-08,70.87,70.87,70.87,70.87,0,0,0
2008-01-09,72.88,72.88,72.88,72.88,0,0,0
2008-01-10,71.33,71.33,71.33,71.33,0,0,0
2008-01-11,69.77,69.77,69.77,69.77,0,0,0
2008-01-14,69.84,69.84,69.84,69.84,0,0,0
2008-01-15,67.25,67.25,67.25,67.25,0,0,0
2008-01-16,65.72,65.72,65.72,65.72,0,0,0
2008-01-17,66.43,66.43,66.43,66.43,0,0,0
2008-01-18,67.71,67.71,67.71,67.71,0,0,0
2008-01-22,62.39,62.39,62.39,62.39,0,0,0
2008-01-23,63.06,63.06,63.06,63.06,0,0,0
2008-01-24,62.33,62.33,62.33,62.33,0,0,0
2008-01-25,65.51,65.51,65.51,65.51,0,0,0
2008-01-28,63.83,63.83,63.83,63.83,0,0,0
2008-01-29,64.42,64.42,64.42,64.42,0,0,0
2008-01-30,65.14,65.14,65.14,65.14,0,0,0
2008-01-31,67.34,67.34,67.34,67.34,0,0,0
2008-02-01,66.82,66.82,66.82,66.82,0,0,0
2008-02-04,69.91,69.91,69.91,69.91,0,0,0
2008-02-05,66.45,66.45,66.45,66.45,0,0,0
2008-02-06,63.13,63.13,63.13,63.13,0,0,0
2008-02-07,60.15,60.15,60.15,60.15,0,0,0
2008-02-08,63.56,63.56,63.56,63.56,0,0,0
2008-02-11,63.71,63.71,63.71,63.71,0,0,0
2008-02-12,62.12,62.12,62.12,62.12,0,0,0
2008-02-13,62.94,62.94,62.94,62.94,0,0,0
2008-02-14,64.18,64.18,64.18,64.18,0,0,0
2008-02-15,63.08,63.08,63.08,63.08,0,0,0
2008-02-19,64.82,64.82,64.82,64.82,0,0,0
2008-02-20,64.12,64.12,64.12,64.12,0,0,0
2008-02-21,67.71,67.71,67.71,67.71,0,0,0
2008-02-22,67.17,67.17,67.17,67.17,0,0,0
2008-02-25,70.1,70.1,70.1,70.1,0,0,0
2008-02-26,71.58,71.58,71.58,71.58,0,0,0
2008-02-27,70.98,70.98,70.98,70.98,0,0,0
2008-02-28,70.05,70.05,70.05,70.05,0,0,0
2008-02-29,69.47,69.47,69.47,69.47,0,0,0
2008-03-03,67.66,67.66,67.66,67.66,0,0,0
2008-03-04,68.43,68.43,68.43,68.43,0,0,0
2008-03-05,69.37,69.37,69.37,69.37,0,0,0
2008-03-06,72.17,72.17,72.17,72.17,0,0,0
2008-03-07,70.79,70.79,70.79,70.79,0,0,0
2008-03-10,72.79,72.79,72.79,72.79,0,0,0
2008-03-11,69.15,69.15,69.15,69.15,0,0,0
2008-03-12,69.63,69.63,69.63,69.63,0,0,0
2008-03-13,69.22,69.22,69.22,69.22,0,0,0
2008-03-14,68.08,68.08,68.08,68.08,0,0,0
2008-03-17,66.72,66.72,66.72,66.72,0,0,0
2008-03-18,69.18,69.18,69.18,69.18,0,0,0
2008-03-19,70.92,70.92,70.92,70.92,0,0,0
2008-03-20,71.47,71.47,71.47,71.47,0,0,0
2008-03-25,74.16,74.16,74.16,74.16,0,0,0
2008-03-26,74.59,74.59,74.59,74.59,0,0,0
2008-03-27,71.63,71.63,71.63,71.63,0,0,0
2008-03-28,71.85,71.85,71.85,71.85,0,0,0
2008-03-31,70.07,70.07,70.07,70.07,0,0,0
2008-04-01,70.15,70.15,70.15,70.15,0,0,0
2008-04-02,73.06,73.06,73.06,73.06,0,0,0
2008-04-03,74.04,74.04,74.04,74.04,0,0,0
2008-04-04,74.32,74.32,74.32,74.32,0,0,0
2008-04-07,77.73,77.73,77.73,77.73,0,0,0
2008-04-08,74.77,74.77,74.77,74.77,0,0,0
2008-04-09,74.62,74.62,74.62,74.62,0,0,0
2008-04-10,73.15,73.15,73.15,73.15,0,0,0
2008-04-11,75.33,75.33,75.33,75.33,0,0,0
