Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-30,0.24,0.24,0.19,0.2,125500,0,0
2015-12-01,0.19,0.19,0.18,0.18,29000,0,0
2015-12-02,0.18,0.18,0.18,0.18,1000,0,0
2015-12-03,0.18,0.19,0.17,0.17,15500,0,0
2015-12-04,0.17,0.17,0.17,0.17,0,0,0
2015-12-07,0.17,0.17,0.17,0.17,0,0,0
2015-12-08,0.16,0.19,0.16,0.19,65000,0,0
2015-12-09,0.18,0.18,0.16,0.17,235000,0,0
2015-12-10,0.17,0.17,0.17,0.17,0,0,0
2015-12-11,0.16,0.16,0.16,0.16,15000,0,0
2015-12-14,0.16,0.17,0.15,0.17,40000,0,0
2015-12-15,0.15,0.15,0.15,0.15,50000,0,0
2015-12-16,0.15,0.15,0.15,0.15,0,0,0
2015-12-17,0.15,0.15,0.15,0.15,0,0,0
2015-12-18,0.15,0.15,0.15,0.15,0,0,0
2015-12-21,0.14,0.14,0.14,0.14,50000,0,0
2015-12-22,0.15,0.16,0.15,0.16,25000,0,0
2015-12-23,0.15,0.16,0.15,0.16,20000,0,0
2015-12-24,0.16,0.16,0.16,0.16,0,0,0
2015-12-28,0.16,0.16,0.16,0.16,0,0,0
2015-12-29,0.16,0.16,0.16,0.16,5000,0,0
2015-12-30,0.16,0.16,0.16,0.16,0,0,0
2015-12-31,0.16,0.16,0.16,0.16,7500,0,0
2016-01-04,0.16,0.16,0.16,0.16,0,0,0
2016-01-05,0.16,0.16,0.16,0.16,0,0,0
2016-01-06,0.16,0.16,0.16,0.16,1000,0,0
2016-01-07,0.16,0.16,0.16,0.16,0,0,0
2016-01-08,0.15,0.15,0.15,0.15,5000,0,0
2016-01-11,0.15,0.15,0.15,0.15,0,0,0
2016-01-12,0.15,0.15,0.15,0.15,0,0,0
2016-01-13,0.15,0.15,0.15,0.15,0,0,0
2016-01-14,0.15,0.15,0.15,0.15,0,0,0
2016-01-15,0.15,0.15,0.15,0.15,0,0,0
2016-01-19,0.15,0.15,0.15,0.15,0,0,0
2016-01-20,0.12,0.12,0.12,0.12,2000,0,0
2016-01-21,0.12,0.16,0.12,0.15,28000,0,0
2016-01-22,0.15,0.15,0.15,0.15,0,0,0
2016-01-25,0.15,0.15,0.15,0.15,0,0,0
2016-01-26,0.15,0.15,0.15,0.15,0,0,0
2016-01-27,0.13,0.13,0.13,0.13,30000,0,0
2016-01-28,0.15,0.15,0.15,0.15,5000,0,0
2016-01-29,0.15,0.15,0.15,0.15,0,0,0
2016-02-01,0.15,0.15,0.15,0.15,0,0,0
2016-02-02,0.14,0.14,0.13,0.13,20000,0,0
2016-02-03,0.15,0.15,0.13,0.13,47500,0,0
2016-02-04,0.15,0.15,0.15,0.15,5000,0,0
2016-02-05,0.15,0.15,0.15,0.15,5000,0,0
2016-02-08,0.14,0.14,0.14,0.14,20000,0,0
2016-02-09,0.15,0.15,0.15,0.15,9000,0,0
2016-02-10,0.15,0.15,0.15,0.15,10000,0,0
2016-02-11,0.15,0.16,0.15,0.16,21000,0,0
2016-02-12,0.15,0.15,0.13,0.13,27000,0,0
2016-02-16,0.12,0.13,0.12,0.13,10500,0,0
2016-02-17,0.13,0.16,0.13,0.15,20000,0,0
2016-02-18,0.15,0.15,0.15,0.15,6000,0,0
2016-02-19,0.15,0.15,0.15,0.15,1000,0,0
2016-02-22,0.15,0.15,0.15,0.15,30000,0,0
2016-02-23,0.15,0.15,0.14,0.14,27000,0,0
2016-02-24,0.14,0.14,0.14,0.14,0,0,0
2016-02-25,0.14,0.15,0.14,0.15,26500,0,0
2016-02-26,0.15,0.15,0.14,0.14,85000,0,0
2016-02-29,0.14,0.14,0.14,0.14,0,0,0
2016-03-01,0.15,0.15,0.15,0.15,5000,0,0
2016-03-02,0.14,0.15,0.14,0.15,23000,0,0
2016-03-03,0.14,0.15,0.13,0.15,40000,0,0
2016-03-04,0.15,0.16,0.15,0.15,141000,0,0
2016-03-07,0.16,0.18,0.16,0.17,48500,0,0
2016-03-08,0.18,0.18,0.17,0.17,22500,0,0
2016-03-09,0.17,0.17,0.17,0.17,0,0,0
2016-03-10,0.17,0.17,0.17,0.17,0,0,0
2016-03-11,0.17,0.19,0.17,0.19,46500,0,0
2016-03-14,0.19,0.19,0.17,0.19,29000,0,0
2016-03-15,0.19,0.19,0.19,0.19,0,0,0
2016-03-16,0.19,0.19,0.16,0.18,79500,0,0
2016-03-17,0.18,0.18,0.18,0.18,10000,0,0
2016-03-18,0.18,0.18,0.18,0.18,6500,0,0
2016-03-21,0.18,0.18,0.18,0.18,2500,0,0
2016-03-22,0.18,0.18,0.16,0.17,10000,0,0
2016-03-23,0.16,0.18,0.16,0.18,58500,0,0
2016-03-24,0.16,0.16,0.16,0.16,1500,0,0
2016-03-28,0.15,0.15,0.15,0.15,78500,0,0
2016-03-29,0.15,0.15,0.15,0.15,0,0,0
2016-03-30,0.15,0.16,0.15,0.15,47000,0,0
2016-03-31,0.15,0.15,0.15,0.15,2500,0,0
2016-04-01,0.15,0.15,0.15,0.15,2500,0,0
2016-04-04,0.15,0.15,0.15,0.15,0,0,0
2016-04-05,0.14,0.15,0.14,0.14,45000,0,0
2016-04-06,0.14,0.15,0.14,0.15,25000,0,0
2016-04-07,0.14,0.15,0.14,0.15,45000,0,0
2016-04-08,0.14,0.15,0.14,0.15,27500,0,0
2016-04-11,0.15,0.15,0.15,0.15,0,0,0
2016-04-12,0.14,0.14,0.13,0.14,52500,0,0
2016-04-13,0.14,0.16,0.14,0.16,70000,0,0
2016-04-14,0.15,0.15,0.14,0.14,72500,0,0
2016-04-15,0.13,0.14,0.13,0.14,105000,0,0
2016-04-18,0.14,0.14,0.14,0.14,25000,0,0
2016-04-19,0.13,0.14,0.12,0.14,336000,0,0
2016-04-20,0.13,0.13,0.13,0.13,5500,0,0
2016-04-21,0.12,0.13,0.12,0.13,20500,0,0
2016-04-22,0.13,0.13,0.13,0.13,20500,0,0
2016-04-25,0.13,0.13,0.13,0.13,23500,0,0
2016-04-26,0.14,0.14,0.12,0.14,223500,0,0
2016-04-27,0.12,0.12,0.12,0.12,91000,0,0
2016-04-28,0.1,0.1,0.1,0.1,28000,0,0
2016-04-29,0.1,0.1,0.09,0.09,135000,0,0
2016-05-02,0.1,0.1,0.08,0.09,77500,0,0
2016-05-03,0.08,0.09,0.08,0.09,15000,0,0
2016-05-04,0.09,0.09,0.09,0.09,0,0,0
2016-05-05,0.09,0.09,0.09,0.09,0,0,0
2016-05-06,0.09,0.09,0.09,0.09,0,0,0
2016-05-09,0.09,0.09,0.09,0.09,0,0,0
2016-05-10,0.09,0.09,0.09,0.09,1000,0,0
2016-05-11,0.09,0.09,0.09,0.09,0,0,0
2016-05-12,0.08,0.08,0.08,0.08,18000,0,0
2016-05-13,0.08,0.08,0.08,0.08,0,0,0
2016-05-16,0.08,0.08,0.08,0.08,0,0,0
2016-05-17,0.06,0.06,0.06,0.06,155000,0,0
2016-05-18,0.06,0.06,0.06,0.06,0,0,0
2016-05-19,0.06,0.06,0.06,0.06,0,0,0
2016-05-20,0.06,0.06,0.06,0.06,0,0,0
2016-05-23,0.06,0.06,0.06,0.06,0,0,0
2016-05-24,0.06,0.06,0.06,0.06,273000,0,0
2016-05-25,0.06,0.06,0.05,0.05,420000,0,0
2016-05-26,0.05,0.06,0.05,0.06,84000,0,0
2016-05-27,0.05,0.05,0.05,0.05,3000,0,0
2016-05-31,0.06,0.06,0.05,0.05,411000,0,0
2016-06-01,0.05,0.05,0.05,0.05,75000,0,0
2016-06-02,0.05,0.05,0.05,0.05,100000,0,0
2016-06-03,0.05,0.05,0.05,0.05,10000,0,0
2016-06-06,0.05,0.05,0.05,0.05,61000,0,0
2016-06-07,0.05,0.05,0.05,0.05,122000,0,0
2016-06-08,0.05,0.06,0.05,0.06,151000,0,0
2016-06-09,0.07,0.07,0.07,0.07,6000,0,0
2016-06-10,0.06,0.06,0.06,0.06,38000,0,0
2016-06-13,0.06,0.06,0.06,0.06,12000,0,0
2016-06-14,0.07,0.07,0.06,0.06,164000,0,0
2016-06-15,0.06,0.06,0.06,0.06,10000,0,0
2016-06-16,0.05,0.06,0.05,0.06,844000,0,0
2016-06-17,0.06,0.06,0.06,0.06,150000,0,0
2016-06-20,0.06,0.07,0.06,0.07,35000,0,0
2016-06-21,0.07,0.08,0.07,0.08,103000,0,0
2016-06-22,0.08,0.08,0.07,0.08,79000,0,0
2016-06-23,0.07,0.08,0.07,0.07,86000,0,0
2016-06-24,0.06,0.08,0.06,0.08,28000,0,0
2016-06-27,0.08,0.08,0.08,0.08,20000,0,0
2016-06-28,0.08,0.08,0.08,0.08,10000,0,0
2016-06-29,0.06,0.07,0.06,0.07,25000,0,0
2016-06-30,0.07,0.07,0.07,0.07,0,0,0
2016-07-01,0.07,0.07,0.07,0.07,0,0,0
2016-07-05,0.07,0.07,0.07,0.07,0,0,0
2016-07-06,0.05,0.06,0.05,0.06,130000,0,0
2016-07-07,0.06,0.06,0.06,0.06,1000,0,0
2016-07-08,0.06,0.06,0.06,0.06,2000,0,0
2016-07-11,0.06,0.06,0.06,0.06,4000,0,0
2016-07-12,0.06,0.06,0.06,0.06,0,0,0
2016-07-13,0.06,0.06,0.05,0.05,13000,0,0
2016-07-14,0.06,0.06,0.06,0.06,55000,0,0
2016-07-15,0.07,0.07,0.07,0.07,20000,0,0
2016-07-18,0.06,0.07,0.06,0.06,59000,0,0
2016-07-19,0.06,0.06,0.06,0.06,30000,0,0
2016-07-20,0.06,0.06,0.06,0.06,34000,0,0
2016-07-21,0.06,0.06,0.06,0.06,6000,0,0
2016-07-22,0.06,0.06,0.06,0.06,9000,0,0
2016-07-25,0.06,0.08,0.06,0.08,49000,0,0
2016-07-26,0.08,0.08,0.08,0.08,5000,0,0
2016-07-27,0.05,0.08,0.05,0.07,21000,0,0
2016-07-28,0.07,0.07,0.06,0.07,140000,0,0
2016-07-29,0.07,0.07,0.07,0.07,0,0,0
2016-08-01,0.07,0.07,0.07,0.07,0,0,0
2016-08-02,0.05,0.07,0.05,0.07,70000,0,0
2016-08-03,0.06,0.07,0.06,0.07,366000,0,0
2016-08-04,0.08,0.08,0.08,0.08,2000,0,0
2016-08-05,0.06,0.06,0.05,0.05,18000,0,0
2016-08-08,0.05,0.05,0.05,0.05,0,0,0
2016-08-09,0.05,0.05,0.05,0.05,0,0,0
2016-08-10,0.05,0.05,0.05,0.05,0,0,0
2016-08-11,0.05,0.05,0.05,0.05,20000,0,0
2016-08-12,0.05,0.08,0.05,0.08,3702000,0,0
2016-08-15,0.07,0.07,0.07,0.07,10000,0,0
2016-08-16,0.07,0.07,0.07,0.07,2000,0,0
2016-08-17,0.07,0.07,0.07,0.07,22000,0,0
2016-08-18,0.07,0.07,0.07,0.07,5000,0,0
2016-08-19,0.07,0.07,0.07,0.07,69000,0,0
2016-08-22,0.07,0.08,0.07,0.08,57000,0,0
2016-08-23,0.07,0.07,0.06,0.06,50000,0,0
2016-08-24,0.08,0.08,0.07,0.07,3000,0,0
2016-08-25,0.06,0.07,0.06,0.07,67000,0,0
2016-08-26,0.06,0.07,0.06,0.07,87000,0,0
2016-08-29,0.07,0.07,0.05,0.05,125000,0,0
2016-08-30,0.07,0.07,0.05,0.06,136000,0,0
2016-08-31,0.07,0.07,0.05,0.06,142000,0,0
2016-09-01,0.07,0.07,0.05,0.06,386000,0,0
2016-09-02,0.07,0.07,0.05,0.06,393000,0,0
2016-09-06,0.06,0.06,0.06,0.06,0,0,0
2016-09-07,0.05,0.06,0.05,0.06,191000,0,0
2016-09-08,0.05,0.06,0.05,0.06,217000,0,0
2016-09-09,0.06,0.06,0.06,0.06,75000,0,0
2016-09-12,0.06,0.07,0.06,0.06,169000,0,0
2016-09-13,0.06,0.07,0.06,0.06,196000,0,0
2016-09-14,0.06,0.07,0.06,0.07,394000,0,0
2016-09-15,0.06,0.07,0.06,0.07,453000,0,0
2016-09-16,0.06,0.07,0.06,0.06,481000,0,0
2016-09-19,0.06,0.06,0.06,0.06,5000,0,0
2016-09-20,0.06,0.06,0.05,0.06,666500,0,0
2016-09-21,0.06,0.06,0.05,0.06,671500,0,0
2016-09-22,0.06,0.06,0.05,0.06,916300,0,0
2016-09-23,0.06,0.06,0.06,0.06,30000,0,0
2016-09-26,0.05,0.06,0.05,0.05,402500,0,0
2016-09-27,0.05,0.06,0.05,0.05,689700,0,0
2016-09-28,0.05,0.06,0.05,0.05,716192,0,0
2016-09-29,0.05,0.05,0.05,0.05,459500,0,0
2016-09-30,0.05,0.06,0.05,0.06,699750,0,0
2016-10-03,0.06,0.06,0.06,0.06,166000,0,0
2016-10-04,0.06,0.06,0.06,0.06,2000,0,0
2016-10-05,0.06,0.06,0.05,0.06,29500,0,0
2016-10-06,0.06,0.07,0.05,0.06,1288000,0,0
2016-10-07,0.06,0.1,0.05,0.08,1745390,0,0
2016-10-10,0.08,0.08,0.08,0.08,0,0,0
2016-10-11,0.08,0.1,0.08,0.09,2360000,0,0
2016-10-12,0.08,0.1,0.08,0.08,2864000,0,0
