Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,29.22,29.22,28.66,28.72,1697100,0.0,0
2008-01-03,28.67,29.03,28.67,28.8,1951600,0.0,0
2008-01-04,28.62,28.95,28.52,28.55,1904500,0.0,0
2008-01-07,28.63,28.74,28.46,28.63,1527400,0.0,0
2008-01-08,28.72,28.81,28.01,28.04,1506900,0.0,0
2008-01-09,27.86,28.06,27.55,28.03,1869600,0.0,0
2008-01-10,27.88,28.3,27.78,28.09,1684100,0.0,0
2008-01-11,28.11,28.11,27.49,27.75,1377700,0.0,0
2008-01-14,28.02,28.02,27.55,27.68,1388000,0.0,0
2008-01-15,27.63,27.66,26.89,26.89,1714300,0.0,0
2008-01-16,26.82,27.7,26.81,27.48,2321500,0.0,0
2008-01-17,27.61,27.98,27.46,27.6,2752500,0.0,0
2008-01-18,27.83,27.86,27.02,27.21,2410000,0.0,0
2008-01-22,27.08,27.22,26.5,26.57,2630300,0.0,0
2008-01-23,26.58,27.04,26.0,26.95,2813000,0.0,0
2008-01-24,25.7,27.59,25.18,26.43,4426600,0.0,0
2008-01-25,26.63,26.68,24.84,25.21,5040300,0.0,0
2008-01-28,25.29,26.52,25.03,26.52,3533100,0.0,0
2008-01-29,26.44,27.34,26.26,27.17,2826900,0.0,0
2008-01-30,27.1,27.33,26.66,26.79,1950800,0.0,0
2008-01-31,26.46,26.98,26.19,26.79,2349000,0.0,0
2008-02-01,26.78,27.21,26.44,26.66,2865900,0.0,0
2008-02-04,26.66,26.86,26.32,26.37,1267300,0.0,0
2008-02-05,26.01,26.18,25.78,26.06,1727900,0.0,0
2008-02-06,26.19,26.35,25.92,25.94,1225700,0.0,0
2008-02-07,25.85,26.18,25.62,25.87,1704500,0.0,0
2008-02-08,25.69,25.77,25.32,25.49,1424900,0.0,0
2008-02-11,25.54,25.81,25.39,25.72,1458700,0.0,0
2008-02-12,26.03,26.72,25.87,26.72,2911300,0.0,0
2008-02-13,26.97,26.99,26.46,26.57,1409600,0.0,0
2008-02-14,26.63,26.63,26.38,26.39,1323000,0.0,0
2008-02-15,26.32,26.77,26.26,26.66,2082800,0.0,0
2008-02-19,26.7,27.59,26.68,27.44,3803100,0.0,0
2008-02-20,27.22,27.58,27.01,27.48,2098000,0.0,0
2008-02-21,27.74,27.74,27.31,27.34,1959500,0.2975,0
2008-02-22,27.4,27.51,27.07,27.51,1256500,0.0,0
2008-02-25,27.47,28.4,27.29,28.31,3526900,0.0,0
2008-02-26,27.88,28.25,27.63,28.07,2380700,0.0,0
2008-02-27,27.96,28.15,27.69,27.84,2321000,0.0,0
2008-02-28,27.71,27.78,27.56,27.65,1233000,0.0,0
2008-02-29,27.41,27.96,27.41,27.69,2267600,0.0,0
2008-03-03,27.66,27.67,27.48,27.66,1588600,0.0,0
2008-03-04,27.48,27.71,27.47,27.58,1391000,0.0,0
2008-03-05,27.63,28.04,27.49,27.78,1803500,0.0,0
2008-03-06,27.6,27.6,26.6,26.6,2221900,0.0,0
2008-03-07,26.44,26.57,26.07,26.17,1705200,0.0,0
2008-03-10,25.95,26.6,25.95,26.35,1306200,0.0,0
2008-03-11,26.45,27.16,26.45,27.16,1804600,0.0,0
2008-03-12,27.22,27.6,27.03,27.55,2135400,0.0,0
2008-03-13,27.39,27.64,27.04,27.48,1881600,0.0,0
2008-03-14,27.63,27.79,26.9,27.22,1987200,0.0,0
2008-03-17,26.7,27.18,26.7,26.8,2360700,0.0,0
2008-03-18,27.07,27.31,26.78,27.18,1596800,0.0,0
2008-03-19,27.25,27.96,27.25,27.56,1826900,0.0,0
2008-03-20,27.6,28.42,27.48,28.36,1815900,0.0,0
2008-03-24,28.57,28.71,28.15,28.67,1383500,0.0,0
2008-03-25,28.61,28.93,28.6,28.85,1470500,0.0,0
2008-03-26,28.59,28.73,28.28,28.46,994300,0.0,0
2008-03-27,28.48,28.69,28.42,28.48,1122000,0.0,0
2008-03-28,28.63,28.87,28.15,28.22,1021300,0.0,0
2008-03-31,28.09,28.26,27.8,28.13,1879900,0.0,0
2008-04-01,28.34,29.3,28.1,29.3,1724400,0.0,0
2008-04-02,29.27,29.47,29.07,29.14,1020800,0.0,0
2008-04-03,28.98,29.19,28.82,29.08,720200,0.0,0
2008-04-04,29.08,29.25,28.99,29.14,932200,0.0,0
2008-04-07,29.3,29.38,29.1,29.22,708500,0.0,0
2008-04-08,29.2,29.24,28.91,29.07,527000,0.0,0
2008-04-09,29.07,29.37,28.72,28.75,1542800,0.0,0
2008-04-10,28.69,28.75,28.52,28.63,717600,0.0,0
2008-04-11,28.34,28.34,26.73,26.8,3122000,0.0,0
2008-04-14,26.7,27.32,26.7,27.01,1682100,0.0,0
2008-04-15,27.11,27.11,26.72,26.9,1644000,0.0,0
2008-04-16,27.07,27.07,26.78,26.87,2373800,0.0,0
2008-04-17,26.74,27.03,26.65,26.65,1429800,0.0,0
2008-04-18,26.88,27.04,26.37,26.53,1891900,0.0,0
2008-04-21,26.52,26.77,26.51,26.7,1652300,0.0,0
2008-04-22,26.64,26.74,26.32,26.44,1194300,0.0,0
2008-04-23,26.33,26.54,26.07,26.3,1703100,0.0,0
2008-04-24,26.39,26.54,25.57,25.95,2093100,0.0,0
2008-04-25,26.03,26.03,25.76,25.94,1391000,0.0,0
2008-04-28,27.05,27.84,26.94,27.14,4149800,0.0,0
2008-04-29,27.14,28.32,27.11,27.9,3721300,0.0,0
2008-04-30,28.05,28.3,27.84,27.91,1738700,0.0,0
2008-05-01,27.93,28.72,27.93,28.61,1858200,0.0,0
2008-05-02,28.82,28.94,28.33,28.5,1361500,0.0,0
2008-05-05,28.45,28.66,28.25,28.54,924000,0.0,0
2008-05-06,28.58,28.69,28.19,28.6,1075100,0.0,0
2008-05-07,28.68,28.73,28.34,28.38,1158000,0.0,0
2008-05-08,28.1,28.3,27.79,28.03,2570000,0.0,0
2008-05-09,27.87,27.89,27.41,27.62,1460900,0.0,0
2008-05-12,27.69,27.81,27.54,27.78,810900,0.0,0
2008-05-13,27.79,27.98,27.64,27.81,723400,0.0,0
2008-05-14,27.85,28.0,27.69,27.82,974800,0.0,0
2008-05-15,27.81,28.01,27.65,27.87,1215400,0.0,0
2008-05-16,27.98,28.07,27.66,27.98,962400,0.0,0
2008-05-19,27.93,28.36,27.82,28.11,980800,0.0,0
2008-05-20,28.06,28.08,27.63,27.79,769400,0.0,0
2008-05-21,28.01,28.01,27.37,27.37,943400,0.2975,0
2008-05-22,27.38,27.77,27.28,27.72,757000,0.0,0
2008-05-23,27.69,27.69,27.23,27.48,1118200,0.0,0
2008-05-27,27.44,30.32,27.43,30.05,8369200,0.0,0
2008-05-28,29.88,30.11,28.94,29.23,3616900,0.0,0
2008-05-29,29.32,30.67,28.98,30.28,4310000,0.0,0
2008-05-30,30.08,30.26,29.41,29.5,3388600,0.0,0
2008-06-02,29.36,29.39,28.91,29.29,2161100,0.0,0
2008-06-03,28.91,29.23,28.75,28.87,2028400,0.0,0
2008-06-04,28.9,29.2,28.77,29.05,1138100,0.0,0
2008-06-05,29.24,29.32,28.73,29.05,1625300,0.0,0
2008-06-06,28.75,28.83,28.2,28.2,1330400,0.0,0
2008-06-09,28.2,28.5,27.91,28.08,1205800,0.0,0
2008-06-10,27.99,28.68,27.99,28.32,1186500,0.0,0
2008-06-11,28.17,28.55,27.86,27.86,1381000,0.0,0
2008-06-12,28.12,28.35,27.82,27.96,952800,0.0,0
2008-06-13,28.17,28.85,27.89,28.85,1728200,0.0,0
2008-06-16,28.71,28.71,26.86,27.0,4411100,0.0,0
2008-06-17,27.47,27.5,26.45,26.46,3603500,0.0,0
2008-06-18,26.42,26.77,25.84,25.94,2962800,0.0,0
2008-06-19,25.77,26.14,25.77,25.89,1796300,0.0,0
2008-06-20,25.79,25.97,25.34,25.4,2661900,0.0,0
2008-06-23,25.39,25.58,25.11,25.17,1675300,0.0,0
2008-06-24,25.06,25.2,24.85,25.07,1221600,0.0,0
2008-06-25,25.21,25.45,25.05,25.24,1389400,0.0,0
2008-06-26,25.01,25.07,24.76,24.76,1327900,0.0,0
2008-06-27,24.85,24.85,24.45,24.45,1702900,0.0,0
2008-06-30,24.54,24.95,24.44,24.67,1311900,0.0,0
2008-07-01,24.69,24.69,24.32,24.58,1274100,0.0,0
2008-07-02,24.67,24.7,24.43,24.6,1252500,0.0,0
2008-07-03,24.7,24.95,24.6,24.74,908700,0.0,0
2008-07-07,24.79,25.34,24.74,25.14,1760100,0.0,0
2008-07-08,25.12,25.43,24.97,25.41,1320000,0.0,0
2008-07-09,25.35,25.62,25.21,25.3,985200,0.0,0
2008-07-10,25.34,25.37,25.05,25.34,984600,0.0,0
2008-07-11,25.07,25.43,24.97,25.22,1107300,0.0,0
2008-07-14,25.29,25.75,25.21,25.56,1204800,0.0,0
2008-07-15,25.37,25.55,24.92,25.17,1631800,0.0,0
2008-07-16,25.12,25.74,25.12,25.61,1605500,0.0,0
2008-07-17,25.69,26.34,25.37,26.22,2087300,0.0,0
2008-07-18,26.43,26.43,25.83,26.34,1456400,0.0,0
2008-07-21,26.45,26.45,25.67,25.91,1075800,0.0,0
2008-07-22,25.91,26.34,25.76,26.31,887000,0.0,0
2008-07-23,26.76,27.8,26.58,27.74,2369300,0.0,0
2008-07-24,27.73,28.01,27.18,27.27,1473800,0.0,0
2008-07-25,27.38,27.7,27.24,27.34,1260300,0.0,0
2008-07-28,27.23,27.34,27.05,27.11,941500,0.0,0
2008-07-29,27.16,27.77,27.14,27.67,1329900,0.0,0
2008-07-30,27.79,27.95,27.48,27.82,989000,0.0,0
2008-07-31,27.71,27.8,27.36,27.68,1269600,0.0,0
2008-08-01,27.77,27.77,27.02,27.44,719800,0.0,0
2008-08-04,27.39,27.89,27.38,27.76,792400,0.0,0
2008-08-05,28.02,28.3,27.85,28.3,845200,0.0,0
2008-08-06,28.27,30.58,28.01,30.28,4434400,0.0,0
2008-08-07,30.05,31.11,29.4,30.47,4114800,0.0,0
2008-08-08,30.33,30.54,29.91,30.54,2231800,0.0,0
2008-08-11,30.46,31.26,30.13,31.12,2730400,0.0,0
2008-08-12,31.03,31.23,30.6,30.75,1667600,0.0,0
2008-08-13,30.56,30.97,30.39,30.69,1181100,0.0,0
2008-08-14,30.59,31.27,30.36,31.0,839100,0.0,0
2008-08-15,31.01,31.52,31.0,31.33,1501800,0.0,0
2008-08-18,28.24,29.16,28.07,28.38,5955600,0.0,0
2008-08-19,28.29,28.53,28.1,28.44,2891800,0.0,0
2008-08-20,28.44,28.61,28.15,28.52,1829800,0.0,0
2008-08-21,28.51,28.52,28.04,28.3,1833500,0.2975,0
2008-08-22,28.45,28.53,28.25,28.4,963500,0.0,0
2008-08-25,28.34,28.45,27.7,27.77,1156400,0.0,0
2008-08-26,27.6,27.84,27.31,27.49,1327100,0.0,0
2008-08-27,27.3,27.81,27.3,27.69,1197000,0.0,0
2008-08-28,27.8,27.97,27.54,27.73,1195800,0.0,0
2008-08-29,27.61,27.72,27.35,27.38,971800,0.0,0
2008-09-02,27.67,28.44,27.67,27.89,1182800,0.0,0
2008-09-03,27.89,28.12,27.78,27.94,1266800,0.0,0
2008-09-04,27.75,28.24,27.58,27.63,1395300,0.0,0
2008-09-05,27.58,28.68,27.58,28.62,1859900,0.0,0
2008-09-08,28.76,29.53,28.76,29.53,1633400,0.0,0
2008-09-09,29.62,30.1,29.26,29.26,1862100,0.0,0
2008-09-10,29.56,29.69,28.91,29.3,2575400,0.0,0
2008-09-11,28.69,30.84,28.69,30.75,3443700,0.0,0
2008-09-12,30.6,31.32,30.26,31.17,3484100,0.0,0
2008-09-15,30.64,30.72,29.64,29.97,3384500,0.0,0
2008-09-16,29.59,30.58,29.59,30.49,1637900,0.0,0
2008-09-17,30.1,31.27,28.79,30.22,3063200,0.0,0
2008-09-18,30.5,32.47,30.32,32.42,3424900,0.0,0
2008-09-19,32.91,32.91,30.27,30.88,2939000,0.0,0
2008-09-22,30.93,33.62,30.77,32.24,5460400,0.0,0
2008-09-23,32.01,33.31,31.47,31.6,3459100,0.0,0
2008-09-24,31.6,31.6,29.95,30.72,2875400,0.0,0
2008-09-25,31.01,31.71,30.7,31.22,1645800,0.0,0
2008-09-26,30.88,31.43,30.41,31.15,1297700,0.0,0
2008-09-29,30.79,30.99,29.54,29.59,2601400,0.0,0
2008-09-30,29.73,30.47,29.46,30.0,1629500,0.0,0
2008-10-01,29.9,30.76,29.53,30.35,1463500,0.0,0
2008-10-02,30.21,30.3,29.37,29.56,1736900,0.0,0
2008-10-03,29.81,30.21,29.46,29.56,1231300,0.0,0
2008-10-06,29.06,29.49,28.08,28.22,2479200,0.0,0
2008-10-07,28.71,29.06,28.17,28.46,2313600,0.0,0
2008-10-08,28.51,28.91,27.96,28.23,2870500,0.0,0
2008-10-09,28.64,28.72,26.4,26.44,2335600,0.0,0
2008-10-10,25.57,27.38,25.01,26.17,3900600,0.0,0
2008-10-13,26.9,27.2,26.07,27.2,2292800,0.0,0
2008-10-14,28.0,28.46,25.8,26.31,2418600,0.0,0
2008-10-15,26.39,26.39,25.01,25.01,2812200,0.0,0
2008-10-16,26.48,27.1,25.18,26.73,3855500,0.0,0
2008-10-17,26.23,27.39,25.72,26.7,1758900,0.0,0
2008-10-20,27.02,27.22,26.38,27.05,1612100,0.0,0
2008-10-21,26.81,27.83,26.7,27.23,1371200,0.0,0
2008-10-22,27.16,27.44,25.92,26.42,1593500,0.0,0
2008-10-23,26.42,27.36,25.99,26.92,1798800,0.0,0
2008-10-24,25.41,26.37,25.14,25.48,2065400,0.0,0
2008-10-27,25.25,25.7,25.04,25.08,1616100,0.0,0
2008-10-28,25.51,27.28,25.17,27.28,2182600,0.0,0
2008-10-29,27.26,27.79,26.72,26.88,1824200,0.0,0
2008-10-30,27.47,28.06,27.33,27.88,1172100,0.0,0
2008-10-31,27.77,28.59,27.77,28.25,1395200,0.0,0
2008-11-03,28.13,28.71,27.79,28.65,970100,0.0,0
2008-11-04,29.06,29.4,28.56,29.0,1462800,0.0,0
2008-11-05,28.76,28.76,27.69,27.8,1075900,0.0,0
2008-11-06,27.69,28.14,26.64,26.76,1067900,0.0,0
2008-11-07,26.99,27.7,26.74,27.7,998800,0.0,0
2008-11-10,28.03,28.44,27.14,27.55,814800,0.0,0
2008-11-11,27.36,27.62,26.76,27.07,847400,0.0,0
2008-11-12,26.74,27.17,26.39,26.46,1260200,0.0,0
2008-11-13,26.57,27.87,25.87,27.87,1782300,0.0,0
2008-11-14,27.42,28.36,27.23,27.28,952400,0.0,0
2008-11-17,27.06,27.17,26.03,26.03,1445100,0.0,0
2008-11-18,25.64,26.73,25.44,26.32,1611700,0.0,0
2008-11-19,26.27,26.99,25.61,25.63,1240100,0.0,0
2008-11-20,25.47,26.41,24.8,24.89,1785000,0.0,0
2008-11-21,25.47,26.56,24.58,26.56,2107900,0.2975,0
2008-11-24,26.87,27.97,26.3,27.68,1380300,0.0,0
2008-11-25,28.1,28.1,25.78,26.73,1724800,0.0,0
2008-11-26,26.33,26.68,25.63,26.66,1488000,0.0,0
2008-11-28,26.61,27.62,26.59,27.56,742200,0.0,0
2008-12-01,26.94,27.39,26.2,26.21,1303600,0.0,0
2008-12-02,26.63,26.97,26.16,26.97,1435900,0.0,0
2008-12-03,26.47,27.1,26.35,27.07,1391800,0.0,0
2008-12-04,26.83,27.26,26.11,26.36,1214900,0.0,0
2008-12-05,26.14,26.51,25.46,26.51,1451500,0.0,0
2008-12-08,26.94,27.31,26.56,27.1,1245000,0.0,0
2008-12-09,26.57,27.19,26.57,26.76,1229000,0.0,0
2008-12-10,26.79,27.32,26.67,27.25,1163100,0.0,0
2008-12-11,26.97,27.64,26.93,26.98,946200,0.0,0
2008-12-12,26.37,27.52,26.37,27.3,1267600,0.0,0
2008-12-15,27.48,27.52,26.83,27.09,1137400,0.0,0
2008-12-16,27.47,28.08,27.04,28.08,1236300,0.0,0
2008-12-17,27.57,28.04,27.53,27.67,1063000,0.0,0
2008-12-18,27.94,28.3,27.01,27.16,1740200,0.0,0
2008-12-19,27.26,27.54,26.82,26.84,1352700,0.0,0
2008-12-22,26.78,27.25,26.42,26.85,932000,0.0,0
2008-12-23,27.06,27.32,26.61,26.73,640100,0.0,0
2008-12-24,26.77,27.07,26.75,26.83,271200,0.0,0
2008-12-26,26.81,27.06,26.55,26.71,441600,0.0,0
2008-12-29,26.67,26.67,26.04,26.34,1228600,0.0,0
2008-12-30,26.45,27.06,26.45,27.06,869400,0.0,0
2008-12-31,27.1,27.12,26.6,26.6,1467400,0.0,0
2009-01-02,26.88,27.56,26.53,27.42,826600,0.0,0
2009-01-05,27.33,27.56,26.96,27.17,1377200,0.0,0
2009-01-06,27.27,27.61,26.93,27.54,1446400,0.0,0
2009-01-07,27.16,27.49,27.02,27.12,784200,0.0,0
2009-01-08,26.97,27.06,26.63,26.9,1006000,0.0,0
2009-01-09,26.89,26.89,26.34,26.35,806300,0.0,0
2009-01-12,26.26,26.8,26.05,26.7,869300,0.0,0
2009-01-13,26.7,26.89,26.44,26.7,960500,0.0,0
2009-01-14,26.47,26.65,25.88,26.11,859400,0.0,0
2009-01-15,26.08,26.37,25.65,26.37,915000,0.0,0
2009-01-16,26.63,27.18,26.53,26.82,1054600,0.0,0
2009-01-20,26.73,27.09,25.89,25.94,1204700,0.0,0
2009-01-21,26.3,26.3,25.49,25.94,1353300,0.0,0
2009-01-22,26.62,26.99,26.3,26.83,2232000,0.0,0
2009-01-23,26.58,26.91,26.49,26.75,1675200,0.0,0
2009-01-26,26.79,27.06,26.72,26.87,2181300,0.0,0
2009-01-27,27.56,28.82,27.55,28.69,3282800,0.0,0
2009-01-28,28.84,29.08,28.46,28.59,2475000,0.0,0
2009-01-29,28.52,29.21,28.49,28.97,1830200,0.0,0
2009-01-30,28.84,29.27,28.27,28.54,2745900,0.0,0
2009-02-02,28.33,28.33,27.59,27.94,1673900,0.0,0
2009-02-03,27.92,28.57,27.7,28.33,3760600,0.0,0
2009-02-04,28.33,28.48,27.65,27.91,1761000,0.0,0
2009-02-05,27.81,28.06,27.63,27.92,1793400,0.0,0
2009-02-06,27.88,28.77,27.77,28.69,2918400,0.0,0
2009-02-09,28.66,28.79,27.86,28.1,2058500,0.0,0
2009-02-10,27.96,28.1,27.29,27.41,1395300,0.0,0
2009-02-11,26.8,27.65,26.8,27.53,1116000,0.0,0
2009-02-12,27.24,27.97,26.84,27.97,1801200,0.0,0
2009-02-13,28.05,28.45,27.81,28.23,3059000,0.0,0
2009-02-17,27.48,27.48,26.6,26.71,2343000,0.0,0
2009-02-18,26.96,26.96,26.4,26.63,1582800,0.0,0
2009-02-19,26.86,27.32,26.19,26.82,1182900,0.0,0
2009-02-20,26.41,27.06,26.26,26.52,1611000,0.0,0
2009-02-23,26.91,26.91,25.95,26.04,1560600,0.2975,0
2009-02-24,26.16,26.44,25.94,26.36,1798500,0.0,0
2009-02-25,26.22,26.73,26.08,26.36,3505100,0.0,0
2009-02-26,26.59,26.69,25.78,25.79,2450100,0.0,0
2009-02-27,25.48,26.37,25.48,26.02,2180500,0.0,0
2009-03-02,25.68,26.29,25.48,25.88,2021700,0.0,0
2009-03-03,26.0,26.26,25.42,25.55,1761300,0.0,0
2009-03-04,25.82,26.08,25.33,25.81,1424900,0.0,0
2009-03-05,25.71,25.71,24.08,24.32,2923300,0.0,0
2009-03-06,24.45,24.78,24.23,24.7,2306500,0.0,0
2009-03-09,24.32,24.94,23.83,23.86,3525700,0.0,0
2009-03-10,24.22,24.36,23.37,23.75,3649200,0.0,0
2009-03-11,24.29,24.36,23.86,23.89,2334400,0.0,0
2009-03-12,23.89,24.91,23.89,24.87,1690700,0.0,0
2009-03-13,25.0,25.71,24.83,25.65,1966000,0.0,0
2009-03-16,25.84,26.03,25.51,25.71,1785600,0.0,0
2009-03-17,25.67,27.12,25.44,27.06,3435300,0.0,0
2009-03-18,26.98,27.56,26.57,27.18,2207200,0.0,0
2009-03-19,27.15,27.37,26.64,26.98,1515600,0.0,0
2009-03-20,26.99,27.45,26.96,26.97,1948800,0.0,0
2009-03-23,27.09,27.97,27.03,27.97,1793600,0.0,0
2009-03-24,27.97,28.01,27.22,27.34,1467600,0.0,0
2009-03-25,26.83,27.05,26.32,27.0,2734000,0.0,0
2009-03-26,27.04,27.17,26.45,27.1,1776300,0.0,0
2009-03-27,26.78,27.26,26.64,26.99,1461700,0.0,0
2009-03-30,26.53,26.92,26.49,26.83,1269400,0.0,0
2009-03-31,27.06,27.13,26.33,26.83,1436200,0.0,0
2009-04-01,26.61,27.35,26.41,27.28,1155700,0.0,0
2009-04-02,27.65,27.8,27.36,27.51,1106400,0.0,0
2009-04-03,27.47,27.92,27.24,27.91,1370900,0.0,0
2009-04-06,27.76,27.98,27.53,27.76,1101500,0.0,0
2009-04-07,27.42,27.61,27.09,27.23,1014600,0.0,0
2009-04-08,27.41,28.01,26.87,27.93,1312900,0.0,0
2009-04-09,28.11,28.29,27.9,28.25,1226500,0.0,0
2009-04-13,28.12,28.23,27.71,27.87,896600,0.0,0
2009-04-14,27.54,27.58,27.14,27.46,742200,0.0,0
2009-04-15,27.31,27.8,27.18,27.71,773100,0.0,0
2009-04-16,27.8,27.92,27.25,27.79,1186700,0.0,0
2009-04-17,27.91,28.02,27.55,27.68,2169900,0.0,0
2009-04-20,27.32,27.91,27.32,27.68,2458200,0.0,0
2009-04-21,27.58,27.91,27.34,27.49,2331800,0.0,0
2009-04-22,27.45,28.27,27.37,27.85,2326500,0.0,0
2009-04-23,28.96,29.21,28.32,28.92,3075600,0.0,0
2009-04-24,29.06,29.06,27.85,27.94,1490100,0.0,0
2009-04-27,27.73,28.3,27.61,27.69,1571400,0.0,0
2009-04-28,27.4,28.35,27.4,27.77,2439200,0.0,0
2009-04-29,27.88,28.24,27.78,27.97,1197100,0.0,0
2009-04-30,27.98,28.26,27.71,27.91,2206600,0.0,0
2009-05-01,27.98,28.01,27.51,27.58,1349400,0.0,0
2009-05-04,27.78,27.98,27.42,27.98,1313000,0.0,0
2009-05-05,27.88,28.18,27.63,27.67,1187600,0.0,0
2009-05-06,27.84,27.84,27.18,27.31,1296900,0.0,0
2009-05-07,27.43,27.44,27.0,27.13,1254400,0.0,0
2009-05-08,27.31,27.41,27.0,27.2,1070500,0.0,0
2009-05-11,26.88,27.43,26.88,27.32,1419100,0.0,0
2009-05-12,27.33,27.66,27.28,27.58,1113900,0.0,0
2009-05-13,27.41,27.52,27.14,27.2,919500,0.0,0
2009-05-14,27.4,27.48,26.98,27.18,1057800,0.0,0
2009-05-15,27.08,27.27,26.91,27.24,1170400,0.0,0
2009-05-18,27.31,27.41,27.13,27.41,1102700,0.0,0
2009-05-19,27.32,27.68,27.17,27.6,1391300,0.0,0
2009-05-20,27.73,27.85,27.32,27.34,2319400,0.2975,0
2009-05-21,27.28,27.35,26.88,27.15,1104600,0.0,0
2009-05-22,27.15,27.38,27.05,27.16,1309900,0.0,0
2009-05-26,27.13,27.55,26.79,27.48,1385200,0.0,0
2009-05-27,27.43,27.5,26.98,27.06,1119500,0.0,0
2009-05-28,27.24,27.27,26.85,27.22,919200,0.0,0
2009-05-29,27.24,27.43,26.97,27.43,1211800,0.0,0
2009-06-01,27.64,27.74,27.44,27.6,1172100,0.0,0
2009-06-02,27.5,27.97,27.42,27.84,1655000,0.0,0
2009-06-03,27.64,27.85,27.48,27.75,1272100,0.0,0
2009-06-04,27.67,27.82,27.24,27.36,1187900,0.0,0
2009-06-05,27.57,27.57,27.08,27.15,1014000,0.0,0
2009-06-08,27.16,27.6,27.14,27.43,1382500,0.0,0
2009-06-09,27.45,27.67,27.38,27.51,1067400,0.0,0
2009-06-10,27.57,27.74,27.08,27.28,1104700,0.0,0
2009-06-11,27.34,27.67,27.18,27.42,887600,0.0,0
2009-06-12,27.26,27.6,27.18,27.56,581000,0.0,0
2009-06-15,27.45,27.45,26.8,26.85,1172100,0.0,0
2009-06-16,27.01,27.01,26.34,26.37,1262000,0.0,0
2009-06-17,26.38,26.67,26.24,26.56,735300,0.0,0
2009-06-18,26.55,27.02,26.53,26.94,940600,0.0,0
2009-06-19,27.39,27.46,27.07,27.08,1893600,0.0,0
2009-06-22,26.84,27.23,26.84,27.02,1259100,0.0,0
2009-06-23,27.14,27.24,26.94,27.13,1317800,0.0,0
2009-06-24,27.3,27.6,27.15,27.58,1252900,0.0,0
2009-06-25,27.55,28.23,27.27,28.23,1456100,0.0,0
2009-06-26,28.11,28.24,27.85,28.03,1396000,0.0,0
2009-06-29,28.02,28.13,27.92,28.06,738200,0.0,0
2009-06-30,28.08,28.1,27.7,28.03,918500,0.0,0
2009-07-01,28.2,28.7,27.86,28.69,1453500,0.0,0
2009-07-02,28.38,28.6,28.17,28.41,1026200,0.0,0
2009-07-06,28.3,28.96,28.23,28.94,945800,0.0,0
2009-07-07,28.78,28.94,28.41,28.52,1264200,0.0,0
2009-07-08,28.55,28.87,28.32,28.82,1273000,0.0,0
2009-07-09,28.73,28.93,28.53,28.72,1024500,0.0,0
2009-07-10,28.67,28.77,28.41,28.56,840800,0.0,0
2009-07-13,28.58,28.81,28.5,28.71,1204300,0.0,0
2009-07-14,28.88,29.26,28.71,29.24,1135900,0.0,0
2009-07-15,29.52,29.55,29.21,29.54,773100,0.0,0
