Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,16.69,17.15,16.6,16.74,37400,0.72,0.0
2008-01-03,16.81,16.81,15.77,15.77,49500,0.0,0.0
2008-01-04,15.81,15.81,15.4,15.4,37700,0.0,0.0
2008-01-07,15.32,16.15,15.32,15.65,57500,0.0,0.0
2008-01-08,15.68,16.13,15.22,15.41,36000,0.0,0.0
2008-01-09,15.31,15.52,14.86,15.32,37800,0.0,0.0
2008-01-10,15.52,15.52,14.71,15.04,72800,0.0,0.0
2008-01-11,14.95,15.13,14.48,14.53,61500,0.0,0.0
2008-01-14,14.53,15.0,14.28,14.8,44400,0.0,0.0
2008-01-15,14.48,15.0,14.26,14.96,41600,0.0,0.0
2008-01-16,14.98,15.18,14.16,14.87,53100,0.0,0.0
2008-01-17,14.96,15.23,14.57,14.71,35500,0.0,0.0
2008-01-18,14.86,14.87,13.96,14.62,119200,0.0,0.0
2008-01-22,13.65,15.13,13.65,14.7,65300,0.0,0.0
2008-01-23,14.71,16.29,14.68,15.84,94200,0.0,0.0
2008-01-24,15.52,15.7,14.8,15.25,65100,0.0,0.0
2008-01-25,15.56,15.65,14.64,14.73,61300,0.0,0.0
2008-01-28,14.89,15.54,14.53,15.47,33200,0.0,0.0
2008-01-29,15.54,15.79,14.98,15.74,38400,0.0,0.0
2008-01-30,15.7,16.47,15.68,15.99,51800,0.0,0.0
2008-01-31,15.72,16.29,15.61,16.18,89900,0.0,0.0
2008-02-01,16.17,16.33,16.02,16.2,58600,0.0,0.0
2008-02-04,16.18,16.51,16.09,16.36,34800,0.0,0.0
2008-02-05,16.26,17.58,15.81,16.13,67100,0.0,0.0
2008-02-06,16.15,16.51,16.01,16.51,48200,0.0,0.0
2008-02-07,16.38,16.49,16.11,16.49,51100,0.0,0.0
2008-02-08,16.49,16.63,15.95,15.99,33800,0.0,0.0
2008-02-11,16.02,16.29,15.93,15.93,37200,0.0,0.0
2008-02-12,16.65,16.65,15.97,16.26,37000,0.0,0.0
2008-02-13,16.44,17.3,15.97,16.92,26400,0.0,0.0
2008-02-14,16.92,17.01,16.42,16.42,31700,0.0,0.0
2008-02-15,16.33,16.4,15.95,16.35,37800,0.0,0.0
2008-02-19,16.36,16.69,16.15,16.56,35800,0.0,0.0
2008-02-20,16.47,16.72,16.24,16.71,18700,0.0,0.0
2008-02-21,16.78,16.83,16.15,16.27,33500,0.0,0.0
2008-02-22,16.27,16.33,15.92,16.29,39700,0.0,0.0
2008-02-25,15.79,16.65,15.07,16.54,47100,0.0,0.0
2008-02-26,16.31,16.6,16.09,16.18,40300,0.0,0.0
2008-02-27,15.79,16.56,15.79,16.4,42900,0.0,0.0
2008-02-28,16.6,16.94,16.35,16.63,39200,0.0,0.0
2008-02-29,16.47,16.47,16.01,16.11,56600,0.0,0.0
2008-03-03,16.09,16.31,15.88,16.22,42700,0.0,0.0
2008-03-04,16.06,16.26,15.86,16.11,121500,0.0,0.0
2008-03-05,16.2,16.22,15.86,15.97,87500,0.0,0.0
2008-03-06,15.92,16.15,15.66,15.68,38500,0.0,0.0
2008-03-07,15.86,16.09,15.65,15.72,30600,0.0,0.0
2008-03-10,15.92,16.24,15.52,15.59,37800,0.0,0.0
2008-03-11,16.06,16.2,15.59,16.13,56900,0.0,0.0
2008-03-12,16.09,16.31,15.88,15.92,45400,0.0,0.0
2008-03-13,15.97,16.24,15.88,16.02,28800,0.0,0.0
2008-03-14,16.24,16.24,15.7,15.84,40400,0.0,0.0
2008-03-17,16.06,16.15,15.5,16.06,37600,0.0,0.0
2008-03-18,16.15,16.24,15.9,16.11,63900,0.0,0.0
2008-03-19,16.24,16.44,15.92,15.92,49100,0.0,0.0
2008-03-20,15.27,16.51,15.27,16.15,142700,0.0,0.0
2008-03-24,16.4,17.03,16.33,16.78,59800,0.0,0.0
2008-03-25,16.96,16.96,16.26,16.69,28800,0.0,0.0
2008-03-26,16.58,16.69,16.36,16.56,35100,0.0,0.0
2008-03-27,16.74,16.84,16.47,16.49,19900,0.72,0.0
2008-03-28,16.56,16.6,16.12,16.12,20500,0.0,0.0
2008-03-31,16.12,16.74,16.12,16.52,31200,0.0,0.0
2008-04-01,16.84,16.84,16.51,16.74,52500,0.0,0.0
2008-04-02,16.74,17.48,16.6,17.07,39100,0.0,0.0
2008-04-03,16.93,17.2,16.87,17.2,21100,0.0,0.0
2008-04-04,17.07,17.26,16.87,17.11,22400,0.0,0.0
2008-04-07,17.2,17.42,16.98,17.22,23000,0.0,0.0
2008-04-08,16.95,17.29,16.95,17.07,12500,0.0,0.0
2008-04-09,17.22,17.22,16.65,16.65,19900,0.0,0.0
2008-04-10,16.65,17.0,16.63,16.89,19800,0.0,0.0
2008-04-11,16.76,16.84,16.54,16.54,26400,0.0,0.0
2008-04-14,16.47,17.04,16.47,16.82,22100,0.0,0.0
2008-04-15,17.09,17.09,16.65,17.0,20300,0.0,0.0
2008-04-16,17.29,17.66,17.2,17.66,27600,0.0,0.0
2008-04-17,17.79,17.79,17.29,17.48,18800,0.0,0.0
2008-04-18,17.49,17.93,17.29,17.48,18200,0.0,0.0
2008-04-21,17.29,17.37,17.04,17.2,7000,0.0,0.0
2008-04-22,16.65,16.98,16.56,16.76,21600,0.0,0.0
2008-04-23,16.84,17.24,16.84,17.18,29300,0.0,0.0
2008-04-24,17.2,17.84,16.93,17.49,30900,0.0,0.0
2008-04-25,17.81,17.81,17.31,17.44,24400,0.0,0.0
2008-04-28,17.38,17.92,17.17,17.77,37500,0.0,0.0
2008-04-29,17.79,17.84,17.46,17.79,22100,0.0,0.0
2008-04-30,17.84,17.92,17.31,17.42,23200,0.0,0.0
2008-05-01,17.42,17.9,17.31,17.79,15100,0.0,0.0
2008-05-02,17.77,17.84,17.2,17.31,29300,0.0,0.0
2008-05-05,17.84,19.0,17.38,19.0,59600,0.0,0.0
2008-05-06,19.05,19.05,18.26,18.67,34300,0.0,0.0
2008-05-07,18.3,18.92,17.92,18.08,76100,0.0,0.0
2008-05-08,18.12,18.67,17.84,18.19,25000,0.0,0.0
2008-05-09,17.93,17.95,17.49,17.81,29400,0.0,0.0
2008-05-12,18.03,18.72,18.01,18.35,34500,0.0,0.0
2008-05-13,18.03,18.1,17.81,17.93,335000,0.0,0.0
2008-05-14,17.84,18.08,17.71,17.9,74600,0.0,0.0
