Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-04-15,1.12,1.68,1.12,1.68,1050,0,0
2015-04-16,1.68,1.68,1.68,1.68,0,0,0
2015-04-17,1.68,1.68,1.68,1.68,0,0,0
2015-04-20,1.68,1.68,1.68,1.68,0,0,0
2015-04-21,1.68,1.68,1.68,1.68,0,0,0
2015-04-22,1.68,1.68,1.68,1.68,0,0,0
2015-04-23,1.68,1.68,1.68,1.68,0,0,0
2015-04-24,1.68,1.68,1.68,1.68,0,0,0
2015-04-27,1.68,1.68,1.68,1.68,0,0,0
2015-04-28,1.68,1.68,1.68,1.68,0,0,0
2015-04-29,1.68,1.68,1.68,1.68,0,0,0
2015-04-30,1.68,1.68,1.68,1.68,0,0,0
2015-05-01,1.68,1.68,1.68,1.68,0,0,0
2015-05-04,1.68,1.68,1.68,1.68,0,0,0
2015-05-05,2.52,3.02,2.52,3.02,1973,0,0
2015-05-06,3.62,4.34,3.62,4.34,652,0,0
2015-05-07,5.19,6.22,4.16,6.1,4583,0,0
2015-05-08,6.41,7.69,5.13,7.69,2997,0,0
2015-05-11,8.4,10.08,6.72,8.0,3622,0,0
2015-05-12,7.9,7.9,6.32,6.9,1128,0,0
2015-05-13,6.0,6.0,4.8,4.8,742,0,0
2015-05-14,5.0,5.0,4.0,4.9,448,0,0
2015-05-15,4.0,4.8,4.0,4.8,52,0,0
2015-05-18,4.7,4.7,3.76,3.76,675,0,0
2015-05-19,3.76,3.76,2.5,2.5,562,0,0
2015-05-20,2.1,3.0,2.01,3.0,1458,0,0
2015-05-21,3.48,4.17,2.8,4.17,1073,0,0
2015-05-22,4.2,5.5,4.0,4.15,1013,0,0
2015-05-26,3.4,3.8,2.72,3.75,1423,0,0
2015-05-27,3.75,3.75,3.0,3.21,536,0,0
2015-05-28,3.21,3.3,3.21,3.3,883,0,0
2015-05-29,3.3,3.3,3.3,3.3,0,0,0
2015-06-01,2.7,2.7,2.7,2.7,110,0,0
2015-06-02,2.7,2.7,2.7,2.7,0,0,0
2015-06-03,2.7,2.7,2.3,2.3,2105,0,0
2015-06-04,2.3,2.3,2.3,2.3,0,0,0
2015-06-05,2.3,2.3,2.3,2.3,0,0,0
2015-06-08,2.2,2.2,1.8,1.8,3247,0,0
2015-06-09,2.1,2.3,1.7,1.7,1183,0,0
2015-06-10,1.71,2.0,1.52,1.54,2889,0,0
2015-06-11,1.52,1.52,1.26,1.26,1066,0,0
2015-06-12,1.26,1.26,1.26,1.26,0,0,0
2015-06-15,1.26,1.26,1.26,1.26,0,0,0
2015-06-16,1.4,1.68,1.13,1.13,1453,0,0
2015-06-17,1.15,1.38,1.15,1.35,890,0,0
2015-06-18,1.4,1.65,1.4,1.65,2418,0,0
2015-06-19,1.8,2.16,1.8,2.16,2821,0,0
2015-06-22,2.34,2.8,2.34,2.8,936,0,0
2015-06-23,2.8,2.8,2.8,2.8,0,0,0
2015-06-24,3.48,4.0,2.8,3.74,4092,0,0
2015-06-25,3.5,4.0,2.8,2.99,4945,0,0
2015-06-26,2.74,2.9,2.3,2.9,5221,0,0
2015-06-29,2.85,2.85,1.84,1.87,7106,0,0
2015-06-30,1.66,1.99,1.66,1.99,1415,0,0
2015-07-01,2.1,2.48,1.65,1.7,21218,0,0
2015-07-02,1.69,1.8,1.3,1.3,13044,0,0
2015-07-06,1.46,1.5,1.32,1.5,17093,0,0
2015-07-07,1.32,1.56,1.27,1.27,1232,0,0
2015-07-08,1.28,1.49,1.27,1.27,2112,0,0
2015-07-09,1.28,1.39,1.27,1.39,12010,0,0
2015-07-10,1.36,1.36,1.35,1.35,410,0,0
