Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-07-11,3.14,3.14,3.14,3.14,2500,0,0
2008-07-14,3.14,3.14,3.14,3.14,0,0,0
2008-07-15,3.14,3.14,3.14,3.14,200,0,0
2008-07-16,2.83,3.14,2.83,2.83,0,0,0
2008-07-17,2.85,3.14,2.85,2.85,0,0,0
2008-07-18,2.85,3.14,2.85,2.85,0,0,0
2008-07-21,3.14,3.14,3.14,3.14,300,0,0
2008-07-22,3.12,3.14,3.12,3.12,0,0,0
2008-07-23,3.13,3.14,3.13,3.13,0,0,0
2008-07-24,3.14,3.14,3.14,3.14,600,0,0
2008-07-25,3.14,3.14,3.14,3.14,90,0,0
2008-07-28,3.15,3.3,3.15,3.15,0,0,0
2008-07-29,3.15,3.15,3.15,3.15,100,0,0
2008-07-30,3.2,3.2,3.2,3.2,0,0,0
2008-07-31,3.2,3.2,3.2,3.2,0,0,0
2008-08-01,3.2,3.2,3.2,3.2,0,0,0
2008-08-04,3.2,3.2,3.2,3.2,0,0,0
2008-08-05,3.2,3.2,3.2,3.2,0,0,0
2008-08-06,3.14,3.14,3.14,3.14,0,0,0
2008-08-07,3.14,3.14,3.14,3.14,0,0,0
2008-08-08,3.14,3.14,3.14,3.14,0,0,0
2008-08-11,3.14,3.14,3.14,3.14,0,0,0
2008-08-12,3.14,3.14,3.14,3.14,0,0,0
2008-08-13,3.14,3.14,3.14,3.14,0,0,0
2008-08-18,3.13,3.14,3.13,3.13,0,0,0
2008-08-19,3.13,3.14,3.13,3.13,0,0,0
2008-08-20,3.13,3.14,3.13,3.13,0,0,0
2008-08-21,3.13,3.14,3.13,3.13,0,0,0
2008-08-22,3.13,3.14,3.13,3.13,0,0,0
2008-08-25,3.13,3.14,3.13,3.13,0,0,0
2008-08-26,3.13,3.14,3.13,3.13,0,0,0
2008-08-27,3.13,3.13,3.13,3.13,50,0,0
2008-08-28,3.13,3.14,3.13,3.13,0,0,0
2008-08-29,3.13,3.14,3.13,3.13,0,0,0
2008-09-02,3.3,3.3,3.3,3.3,0,0,0
2008-09-03,3.3,3.3,3.3,3.3,0,0,0
2008-09-04,3.02,3.3,3.02,3.02,0,0,0
2008-09-05,3.02,3.3,3.02,3.02,0,0,0
2008-09-08,3.02,3.02,3.02,3.02,80,0,0
2008-09-09,2.82,3.3,2.82,2.82,0,0,0
2008-09-10,2.82,3.3,2.82,2.82,0,0,0
2008-09-11,2.82,3.3,2.82,2.82,0,0,0
2008-09-12,2.82,3.3,2.82,2.82,0,0,0
2008-09-15,2.87,3.3,2.87,2.87,0,0,0
2008-09-16,2.87,3.3,2.87,2.87,0,0,0
2008-09-17,2.87,3.0,2.87,2.87,0,0,0
2008-09-18,2.87,3.0,2.87,2.87,0,0,0
2008-09-19,2.87,3.0,2.87,2.87,0,0,0
2008-09-23,3.0,3.0,3.0,3.0,0,0,0
2008-09-24,3.0,3.0,3.0,3.0,0,0,0
2008-09-25,3.0,3.0,3.0,3.0,0,0,0
2008-09-26,3.0,3.0,3.0,3.0,0,0,0
2008-09-29,3.3,3.3,3.3,3.3,0,0,0
2008-09-30,2.78,2.78,2.78,2.78,200,0,0
2008-10-01,2.78,2.78,2.78,2.78,80,0,0
2008-10-02,2.78,3.3,2.78,2.78,0,0,0
2008-10-03,2.78,2.78,2.78,2.78,100,0,0
2008-10-06,2.78,3.3,2.78,2.78,0,0,0
2008-10-07,2.78,3.3,2.78,2.78,0,0,0
2008-10-08,2.78,3.3,2.78,2.78,0,0,0
2008-10-09,2.78,3.3,2.78,2.78,0,0,0
2008-10-10,2.78,3.3,2.78,2.78,0,0,0
2008-10-13,2.87,3.3,2.87,2.87,0,0,0
2008-10-14,2.78,3.3,2.78,2.78,0,0,0
2008-10-15,2.78,3.3,2.78,2.78,0,0,0
2008-10-16,2.78,3.3,2.78,2.78,0,0,0
2008-10-17,2.78,3.3,2.78,2.78,0,0,0
2008-10-20,2.78,3.3,2.78,2.78,0,0,0
2008-10-21,2.78,3.3,2.78,2.78,0,0,0
2008-10-22,2.78,3.3,2.78,2.78,0,0,0
2008-10-23,2.78,2.78,2.78,2.78,0,0,0
2008-10-24,2.78,2.78,2.78,2.78,0,0,0
2008-10-27,2.78,2.78,2.78,2.78,0,0,0
2008-10-28,2.78,2.78,2.78,2.78,8,0,0
2008-10-31,2.48,2.48,2.48,2.48,50,0,0
2008-11-03,2.47,2.47,2.47,2.47,0,0,0
2008-11-04,2.47,2.47,2.47,2.47,0,0,0
2008-11-05,2.47,2.47,2.47,2.47,70,0,0
2008-11-10,2.43,2.43,2.43,2.43,90,0,0
2008-11-11,2.43,2.43,2.43,2.43,100,0,0
2008-11-12,2.43,2.43,2.43,2.43,100,0,0
2008-11-14,2.53,2.53,2.53,2.53,0,0,0
2008-11-17,2.53,2.53,2.53,2.53,85,0,0
2008-11-18,2.53,2.53,2.53,2.53,0,0,0
2008-11-19,2.53,2.53,2.53,2.53,0,0,0
2008-11-20,2.46,2.46,2.46,2.46,0,0,0
2008-11-21,2.46,2.46,2.46,2.46,0,0,0
2008-11-24,2.45,2.45,2.45,2.45,0,0,0
2008-11-25,2.45,2.45,2.45,2.45,300,0,0
2008-11-26,2.46,2.46,2.46,2.46,500,0,0
2008-12-04,2.49,2.49,2.49,2.49,800,0,0
2008-12-05,2.5,2.5,2.5,2.5,70,0,0
2008-12-09,2.54,2.54,2.54,2.54,100,0,0
2008-12-10,2.54,2.54,2.54,2.54,90,0,0
2008-12-11,2.52,2.54,2.52,2.52,0,0,0
2008-12-12,2.52,2.54,2.52,2.52,0,0,0
2008-12-15,2.54,2.54,2.54,2.54,15,0,0
2008-12-16,2.58,2.58,2.58,2.58,0,0,0
2008-12-17,2.58,2.58,2.58,2.58,100,0,0
2008-12-18,2.58,2.58,2.58,2.58,300,0,0
2008-12-19,2.58,2.58,2.58,2.58,300,0,0
2008-12-22,2.65,2.75,2.65,2.65,0,0,0
2008-12-23,2.65,2.75,2.65,2.65,0,0,0
2009-01-05,2.65,2.83,2.65,2.65,0,0,0
2009-01-06,2.65,2.84,2.65,2.65,0,0,0
2009-01-07,2.65,2.84,2.65,2.65,0,0,0
2009-01-08,2.65,2.65,2.65,2.65,100,0,0
2009-01-09,2.71,2.71,2.71,2.71,90,0,0
2009-01-12,2.71,2.71,2.71,2.71,80,0,0
2009-01-13,2.72,2.74,2.72,2.72,0,0,0
2009-01-14,2.72,2.74,2.72,2.72,0,0,0
2009-01-15,2.44,2.6,2.44,2.44,0,0,0
2009-01-16,2.44,2.6,2.44,2.44,0,0,0
2009-01-20,2.67,2.74,2.67,2.67,0,0,0
2009-01-21,2.67,2.74,2.67,2.67,0,0,0
2009-01-22,2.74,2.74,2.74,2.74,200,0,0
2009-01-23,2.67,2.74,2.67,2.67,0,0,0
2009-01-26,2.7,2.7,2.7,2.7,100,0,0
2009-01-27,2.7,2.7,2.7,2.7,100,0,0
2009-01-28,2.71,2.71,2.71,2.71,200,0,0
2009-01-29,2.7,3.01,2.7,2.7,0,0,0
