Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,6.5,6.55,6.42,6.55,58500,0.0,0
2008-01-03,6.49,6.67,6.49,6.66,40500,0.0,0
2008-01-04,6.68,6.69,6.56,6.59,52800,0.0,0
2008-01-07,6.67,6.67,6.51,6.53,54700,0.0,0
2008-01-08,6.5,6.64,6.47,6.48,51900,0.0,0
2008-01-09,6.53,6.61,6.42,6.61,39000,0.0,0
2008-01-10,6.64,6.74,6.55,6.74,68600,0.0,0
2008-01-11,6.71,6.73,6.62,6.67,45000,0.0,0
2008-01-14,6.76,6.83,6.73,6.79,63200,0.0,0
2008-01-15,6.79,6.81,6.61,6.65,66400,0.0,0
2008-01-16,6.61,6.71,6.61,6.71,49000,0.0,0
2008-01-17,6.77,6.83,6.56,6.69,95800,0.0,0
2008-01-18,6.72,6.81,6.62,6.67,86400,0.0,0
2008-01-22,6.53,6.56,6.23,6.49,92400,0.0,0
2008-01-23,6.56,6.56,6.25,6.48,65700,0.0,0
2008-01-24,6.56,6.68,6.54,6.68,62700,0.0,0
2008-01-25,6.68,6.91,6.68,6.75,73600,0.0,0
2008-01-28,6.76,6.76,6.63,6.71,45500,0.0,0
2008-01-29,6.71,6.72,6.53,6.58,39300,0.0,0
2008-01-30,6.62,6.62,6.21,6.44,49800,0.0,0
2008-01-31,6.4,6.56,6.37,6.55,37800,0.0,0
2008-02-01,6.61,6.68,6.49,6.67,36700,0.0,0
2008-02-04,6.72,6.73,6.59,6.62,41800,0.0,0
2008-02-05,6.65,6.7,6.48,6.51,26000,0.0,0
2008-02-06,6.56,6.56,6.24,6.42,51400,0.0,0
2008-02-07,6.4,6.47,6.31,6.39,25800,0.0,0
2008-02-08,6.37,6.43,6.31,6.41,31000,0.0,0
2008-02-11,6.43,6.51,6.13,6.33,70300,0.0,0
2008-02-12,6.45,6.46,6.27,6.34,32700,0.0,0
2008-02-13,6.4,6.41,6.28,6.32,26400,0.0,0
2008-02-14,6.34,6.34,6.09,6.12,27300,0.0,0
2008-02-15,6.16,6.26,6.1,6.25,26900,0.0,0
2008-02-19,6.3,6.43,6.22,6.4,36000,0.0,0
2008-02-20,6.36,6.38,6.23,6.34,45100,0.0,0
2008-02-21,6.42,6.43,6.21,6.3,34500,0.0,0
2008-02-22,6.33,6.33,6.2,6.2,21200,0.0,0
2008-02-25,6.21,6.27,6.21,6.26,27500,0.0,0
2008-02-26,6.19,6.32,6.15,6.29,45000,0.0,0
2008-02-27,6.33,6.42,6.29,6.37,16400,0.0,0
2008-02-28,6.37,6.37,6.21,6.23,28600,0.0,0
2008-02-29,6.24,6.24,6.06,6.13,17200,0.0,0
2008-03-03,6.1,6.12,5.96,5.99,24900,0.0,0
2008-03-04,5.96,6.04,5.89,5.92,39300,0.0,0
2008-03-05,5.94,6.03,5.93,5.96,35500,0.0,0
2008-03-06,5.95,5.95,5.79,5.86,24000,0.0,0
2008-03-07,5.79,5.79,5.68,5.76,25700,0.0,0
2008-03-10,5.76,5.76,5.5,5.56,30100,0.0,0
2008-03-11,5.66,5.74,5.58,5.73,47800,0.0,0
2008-03-12,5.75,5.86,5.66,5.67,25800,0.0,0
2008-03-13,5.62,5.7,5.52,5.66,41300,0.0,0
2008-03-14,5.7,5.78,5.57,5.63,44900,0.0,0
2008-03-17,5.5,5.5,5.32,5.4,60000,0.0,0
2008-03-18,5.52,5.63,5.51,5.57,23300,0.0,0
2008-03-19,5.66,5.69,5.6,5.61,34100,0.0,0
2008-03-20,5.64,5.8,5.48,5.65,80800,0.0,0
2008-03-24,5.72,5.91,5.72,5.82,40600,0.0,0
2008-03-25,5.91,5.95,5.82,5.92,37200,0.0,0
2008-03-26,5.92,5.95,5.86,5.87,24000,0.0,0
2008-03-27,5.93,5.94,5.87,5.88,21400,0.0,0
2008-03-28,5.85,5.93,5.85,5.87,15400,0.0,0
2008-03-31,5.91,5.93,5.86,5.87,15100,0.0,0
2008-04-01,6.06,6.11,5.94,6.11,37600,0.498,0
2008-04-02,6.16,6.18,6.11,6.13,22900,0.0,0
2008-04-03,6.08,6.17,6.08,6.16,25200,0.0,0
2008-04-04,6.17,6.21,6.15,6.21,24300,0.0,0
2008-04-07,6.23,6.26,6.16,6.22,23700,0.0,0
2008-04-08,6.14,6.23,6.12,6.23,27200,0.0,0
2008-04-09,6.27,6.27,6.03,6.12,40900,0.0,0
2008-04-10,6.17,6.19,6.11,6.16,43600,0.0,0
2008-04-11,6.15,6.24,6.15,6.18,36900,0.0,0
2008-04-14,6.22,6.22,5.95,6.03,29700,0.0,0
2008-04-15,6.17,6.24,6.09,6.11,40000,0.0,0
2008-04-16,6.23,6.51,6.23,6.44,67500,0.0,0
2008-04-17,6.43,6.63,6.33,6.56,52300,0.0,0
2008-04-18,6.69,6.81,6.6,6.71,69300,0.0,0
2008-04-21,6.71,6.72,6.59,6.66,19100,0.0,0
2008-04-22,6.7,6.7,6.55,6.6,29600,0.0,0
2008-04-23,6.63,6.63,6.54,6.56,25000,0.0,0
2008-04-24,6.58,6.6,6.49,6.51,34500,0.0,0
2008-04-25,6.6,6.6,6.33,6.48,45800,0.0,0
2008-04-28,6.55,6.59,6.44,6.56,24900,0.0,0
2008-04-29,6.56,6.61,6.4,6.54,47900,0.0,0
2008-04-30,6.57,6.63,6.57,6.59,27700,0.0,0
2008-05-01,6.62,6.68,6.46,6.59,28200,0.0,0
2008-05-02,6.68,6.7,6.56,6.7,21200,0.0,0
2008-05-05,6.7,6.7,6.51,6.59,25200,0.0,0
2008-05-06,6.59,6.63,6.5,6.62,27800,0.0,0
2008-05-07,6.62,6.62,6.43,6.48,41500,0.0,0
2008-05-08,6.51,6.62,6.41,6.51,25200,0.0,0
2008-05-09,6.5,6.57,6.47,6.48,13800,0.0,0
2008-05-12,6.5,6.55,6.4,6.53,23300,0.0,0
2008-05-13,6.55,6.56,6.51,6.55,22000,0.0,0
2008-05-14,6.6,6.62,6.55,6.57,17900,0.0,0
2008-05-15,6.59,6.62,6.52,6.61,22400,0.0,0
2008-05-16,6.59,6.7,6.59,6.67,37000,0.0,0
2008-05-19,6.67,6.78,6.66,6.76,42800,0.0,0
2008-05-20,6.75,6.76,6.6,6.68,29300,0.0,0
2008-05-21,6.7,6.7,6.57,6.63,31400,0.0,0
2008-05-22,6.64,6.65,6.55,6.6,33400,0.0,0
2008-05-23,6.57,6.6,6.55,6.57,27600,0.0,0
2008-05-27,6.59,6.66,6.47,6.6,60800,0.0,0
2008-05-28,6.63,6.69,6.61,6.65,35200,0.0,0
2008-05-29,6.63,6.7,6.57,6.66,29500,0.0,0
2008-05-30,6.68,6.7,6.63,6.64,30100,0.0,0
2008-06-02,6.63,6.7,6.55,6.6,42900,0.0,0
2008-06-03,6.62,6.66,6.57,6.6,25900,0.0,0
2008-06-04,6.6,6.7,6.57,6.61,22500,0.0,0
2008-06-05,6.66,6.69,6.65,6.69,15800,0.0,0
2008-06-06,6.66,6.67,6.58,6.61,22400,0.0,0
2008-06-09,6.63,6.63,6.51,6.53,22000,0.0,0
2008-06-10,6.44,6.44,6.34,6.41,29000,0.0,0
2008-06-11,6.43,6.44,6.31,6.31,34300,0.0,0
2008-06-12,6.33,6.33,6.18,6.23,36500,0.0,0
2008-06-13,6.25,6.28,6.17,6.27,27900,0.0,0
2008-06-16,6.25,6.26,6.2,6.25,33300,0.0,0
2008-06-17,6.3,6.3,6.14,6.15,52400,0.0,0
2008-06-18,6.15,6.28,6.14,6.2,37900,0.0,0
2008-06-19,6.18,6.19,6.13,6.15,31400,0.0,0
