Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,35.64,35.64,33.97,34.1,6564500,0.0,0.0
2008-01-03,34.35,34.35,32.84,33.07,8596000,0.0,0.0
2008-01-04,32.36,32.75,31.1,31.4,7218500,0.0,0.0
2008-01-07,31.62,31.97,29.35,30.18,12436500,0.0,0.0
2008-01-08,30.43,32.12,30.29,30.35,11479000,0.0,0.0
2008-01-09,30.12,31.02,28.79,29.93,10655500,0.0,0.0
2008-01-10,29.6,32.35,29.57,31.89,10333000,0.0,0.0
2008-01-11,31.62,32.29,30.99,31.82,6809000,0.0,0.0
2008-01-14,31.71,32.17,31.24,31.7,5867000,0.0,0.0
2008-01-15,31.28,31.68,29.87,30.02,7396500,0.0,0.0
2008-01-16,29.71,29.92,26.47,27.29,20562500,0.0,0.0
2008-01-17,27.33,27.57,24.03,24.07,18874000,0.0,0.0
2008-01-18,24.78,25.7,24.47,25.48,23960500,0.0,0.0
2008-01-22,23.7,26.1,23.32,25.34,13475500,0.0,0.0
2008-01-23,24.61,26.4,23.97,26.36,15194500,0.0,0.0
2008-01-24,26.52,27.92,26.1,27.68,13467000,0.0,0.0
2008-01-25,28.44,28.44,26.59,26.72,11116000,0.0,0.0
2008-01-28,28.03,28.06,24.87,25.78,23337500,0.0,0.0
2008-01-29,26.04,26.2,25.23,26.08,10225000,0.0,0.0
2008-01-30,25.76,26.66,25.19,25.43,10637000,0.0,0.0
2008-01-31,24.73,25.97,23.75,25.59,18802500,0.0,0.0
2008-02-01,25.55,26.13,24.68,24.9,12942000,0.0,0.0
2008-02-04,25.26,25.74,24.91,25.05,8993500,0.0,0.0
2008-02-05,24.63,25.25,22.89,22.91,18446500,0.0,0.0
2008-02-06,23.11,23.11,21.07,21.31,34800500,0.0,0.0
2008-02-07,22.53,24.38,22.41,23.97,35555000,0.0,0.0
2008-02-08,24.34,24.45,23.03,23.49,19474000,0.0,0.0
2008-02-11,23.88,24.38,23.2,23.93,10373000,0.0,0.0
2008-02-12,24.18,25.46,24.04,24.55,16474000,0.0,0.0
2008-02-13,24.96,25.41,24.59,25.31,9575000,0.0,0.0
2008-02-14,25.36,25.39,24.45,24.52,6911000,0.0,0.0
